ds_name,att_name,sizeDistinct1,ds_name_2,att_name_2,sizeDistinct2,joinSize,trueContainment,trueQuality
property-tie-lines.csv,Geom,3311,datasets_579296_1047868_authors.csv,NAME,107,0,0.0,0.0
datasets_579296_1047868_authors.csv,NAME,107,property-tie-lines.csv,Geom,3311,0,0.0,0.0
property-tie-lines.csv,P_ANNOTATION_LBL_ID,3311,datasets_579296_1047868_authors.csv,NAME,107,0,0.0,0.0
datasets_579296_1047868_authors.csv,NAME,107,property-tie-lines.csv,P_ANNOTATION_LBL_ID,3311,0,0.0,0.0
property-tie-lines.csv,Geom,3311,road-ahead-current-road-closures.csv,PROJECT,17,0,0.0,0.0
road-ahead-current-road-closures.csv,PROJECT,17,property-tie-lines.csv,Geom,3311,0,0.0,0.0
property-tie-lines.csv,Geom,3311,road-ahead-current-road-closures.csv,STREET,0,0,0.0,0.0
road-ahead-current-road-closures.csv,STREET,0,property-tie-lines.csv,Geom,3311,0,0.0,0.0
property-tie-lines.csv,Geom,3311,road-ahead-current-road-closures.csv,LOCATION,17,0,0.0,0.0
road-ahead-current-road-closures.csv,LOCATION,17,property-tie-lines.csv,Geom,3311,0,0.0,0.0
property-tie-lines.csv,Geom,3311,road-ahead-current-road-closures.csv,COMP_DATE,12,0,0.0,0.0
road-ahead-current-road-closures.csv,COMP_DATE,12,property-tie-lines.csv,Geom,3311,0,0.0,0.0
property-tie-lines.csv,Geom,3311,road-ahead-current-road-closures.csv,URL_LINK,17,0,0.0,0.0
road-ahead-current-road-closures.csv,URL_LINK,17,property-tie-lines.csv,Geom,3311,0,0.0,0.0
property-tie-lines.csv,Geom,3311,road-ahead-current-road-closures.csv,Geom,17,0,0.0,0.0
road-ahead-current-road-closures.csv,Geom,17,property-tie-lines.csv,Geom,3311,0,0.0,0.0
property-tie-lines.csv,P_ANNOTATION_LBL_ID,3311,road-ahead-current-road-closures.csv,PROJECT,17,0,0.0,0.0
road-ahead-current-road-closures.csv,PROJECT,17,property-tie-lines.csv,P_ANNOTATION_LBL_ID,3311,0,0.0,0.0
property-tie-lines.csv,P_ANNOTATION_LBL_ID,3311,road-ahead-current-road-closures.csv,STREET,0,0,0.0,0.0
road-ahead-current-road-closures.csv,STREET,0,property-tie-lines.csv,P_ANNOTATION_LBL_ID,3311,0,0.0,0.0
property-tie-lines.csv,P_ANNOTATION_LBL_ID,3311,road-ahead-current-road-closures.csv,LOCATION,17,0,0.0,0.0
road-ahead-current-road-closures.csv,LOCATION,17,property-tie-lines.csv,P_ANNOTATION_LBL_ID,3311,0,0.0,0.0
property-tie-lines.csv,P_ANNOTATION_LBL_ID,3311,road-ahead-current-road-closures.csv,COMP_DATE,12,0,0.0,0.0
road-ahead-current-road-closures.csv,COMP_DATE,12,property-tie-lines.csv,P_ANNOTATION_LBL_ID,3311,0,0.0,0.0
property-tie-lines.csv,P_ANNOTATION_LBL_ID,3311,road-ahead-current-road-closures.csv,URL_LINK,17,0,0.0,0.0
road-ahead-current-road-closures.csv,URL_LINK,17,property-tie-lines.csv,P_ANNOTATION_LBL_ID,3311,0,0.0,0.0
property-tie-lines.csv,P_ANNOTATION_LBL_ID,3311,road-ahead-current-road-closures.csv,Geom,17,0,0.0,0.0
road-ahead-current-road-closures.csv,Geom,17,property-tie-lines.csv,P_ANNOTATION_LBL_ID,3311,0,0.0,0.0
property-tie-lines.csv,Geom,3311,eo_pr.csv,NAME,1270,0,0.0,0.0
eo_pr.csv,NAME,1270,property-tie-lines.csv,Geom,3311,0,0.0,0.0
property-tie-lines.csv,Geom,3311,eo_pr.csv,ICO,784,0,0.0,0.0
eo_pr.csv,ICO,784,property-tie-lines.csv,Geom,3311,0,0.0,0.0
property-tie-lines.csv,Geom,3311,eo_pr.csv,STREET,1266,0,0.0,0.0
eo_pr.csv,STREET,1266,property-tie-lines.csv,Geom,3311,0,0.0,0.0
property-tie-lines.csv,Geom,3311,eo_pr.csv,CITY,107,0,0.0,0.0
eo_pr.csv,CITY,107,property-tie-lines.csv,Geom,3311,0,0.0,0.0
property-tie-lines.csv,Geom,3311,eo_pr.csv,STATE,1,0,0.0,0.0
eo_pr.csv,STATE,1,property-tie-lines.csv,Geom,3311,0,0.0,0.0
property-tie-lines.csv,Geom,3311,eo_pr.csv,ZIP,1111,0,0.0,0.0
eo_pr.csv,ZIP,1111,property-tie-lines.csv,Geom,3311,0,0.0,0.0
property-tie-lines.csv,Geom,3311,eo_pr.csv,NTEE_CD,302,0,0.0,0.0
eo_pr.csv,NTEE_CD,302,property-tie-lines.csv,Geom,3311,0,0.0,0.0
property-tie-lines.csv,Geom,3311,eo_pr.csv,SORT_NAME,276,0,0.0,0.0
eo_pr.csv,SORT_NAME,276,property-tie-lines.csv,Geom,3311,0,0.0,0.0
property-tie-lines.csv,P_ANNOTATION_LBL_ID,3311,eo_pr.csv,NAME,1270,0,0.0,0.0
eo_pr.csv,NAME,1270,property-tie-lines.csv,P_ANNOTATION_LBL_ID,3311,0,0.0,0.0
property-tie-lines.csv,P_ANNOTATION_LBL_ID,3311,eo_pr.csv,ICO,784,0,0.0,0.0
eo_pr.csv,ICO,784,property-tie-lines.csv,P_ANNOTATION_LBL_ID,3311,0,0.0,0.0
property-tie-lines.csv,P_ANNOTATION_LBL_ID,3311,eo_pr.csv,STREET,1266,0,0.0,0.0
eo_pr.csv,STREET,1266,property-tie-lines.csv,P_ANNOTATION_LBL_ID,3311,0,0.0,0.0
property-tie-lines.csv,P_ANNOTATION_LBL_ID,3311,eo_pr.csv,CITY,107,0,0.0,0.0
eo_pr.csv,CITY,107,property-tie-lines.csv,P_ANNOTATION_LBL_ID,3311,0,0.0,0.0
