go_id,parent_go_id,pref_name,class_level,aspect,path
GO:0000003,GO:0008150,reproduction,1,P,biological_process  reproduction
GO:0000149,GO:0005515,SNARE binding,2,F,molecular_function  protein binding  SNARE binding
GO:0000166,GO:0003674,nucleotide binding,1,F,molecular_function  nucleotide binding
GO:0000215,GO:0016772,tRNA 2'-phosphotransferase activity,4,F,"molecular_function  catalytic activity  transferase activity  transferase activity, transferring phosphorus-containing groups  tRNA 2'-phosphotransferase activity"
GO:0000228,GO:0005694,nuclear chromosome,3,C,cellular_component  organelle  chromosome  nuclear chromosome
GO:0000229,GO:0005694,cytoplasmic chromosome,3,C,cellular_component  organelle  chromosome  cytoplasmic chromosome
GO:0000902,GO:0008150,cell morphogenesis,1,P,biological_process  cell morphogenesis
GO:0000988,GO:0003674,protein binding transcription factor activity,1,F,molecular_function  protein binding transcription factor activity
GO:0001071,GO:0003674,nucleic acid binding transcription factor activity,1,F,molecular_function  nucleic acid binding transcription factor activity
GO:0001515,GO:0005102,opioid peptide activity,3,F,molecular_function  protein binding  receptor binding  opioid peptide activity
GO:0001517,GO:0008146,N-acetylglucosamine 6-O-sulfotransferase activity,4,F,molecular_function  catalytic activity  transferase activity  sulfotransferase activity  N-acetylglucosamine 6-O-sulfotransferase activity
GO:0001540,GO:0042277,beta-amyloid binding,2,F,molecular_function  peptide binding  beta-amyloid binding
GO:0001618,GO:0004872,virus receptor activity,2,F,molecular_function  receptor activity  virus receptor activity
GO:0001968,GO:0005515,fibronectin binding,2,F,molecular_function  protein binding  fibronectin binding
GO:0002376,GO:0008150,immune system process,1,P,biological_process  immune system process
GO:0003013,GO:0008150,circulatory system process,1,P,biological_process  circulatory system process
GO:0003674,,molecular_function,0,F,molecular_function
GO:0003676,GO:0003674,nucleic acid binding,1,F,molecular_function  nucleic acid binding
GO:0003677,GO:0003676,DNA binding,2,F,molecular_function  nucleic acid binding  DNA binding
GO:0003682,GO:0003674,chromatin binding,1,F,molecular_function  chromatin binding
GO:0003723,GO:0003676,RNA binding,2,F,molecular_function  nucleic acid binding  RNA binding
GO:0003729,GO:0003723,mRNA binding,3,F,molecular_function  nucleic acid binding  RNA binding  mRNA binding
GO:0003735,GO:0005198,structural constituent of ribosome,2,F,molecular_function  structural molecule activity  structural constituent of ribosome
GO:0003823,GO:0003674,antigen binding,1,F,molecular_function  antigen binding
GO:0003824,GO:0003674,catalytic activity,1,F,molecular_function  catalytic activity
GO:0003847,GO:0016788,1-alkyl-2-acetylglycerophosphocholine esterase activity,4,F,"molecular_function  catalytic activity  hydrolase activity  hydrolase activity, acting on ester bonds  1-alkyl-2-acetylglycerophosphocholine esterase activity"
