usan_stem_id,stem,subgroup,annotation,stem_class,major_class,who_extra
1,-trilat,-,endopeptidase inhibitors,Suffix,protease,0
2,-caserin,-,"serotonin receptor agonists, primarily 5-HT2",Suffix,GPCR,0
3,-serod,-,serotonin receptor antagonists and partial agonists,Suffix,GPCR,0
4,-ditan,-,antimigraine (5-HT1 receptor agonists),Suffix,GPCR,0
5,-triptan,-,"antimigraine agents (5-HT1 receptor agonists),sumatriptan derivatives",Suffix,GPCR,0
6,-zotan,-,5-HT1A receptor agonists/antagonists acting primarily as neuroprotectors,Suffix,GPCR,0
7,-sonan,-,5-HT1B receptor antagonists,Suffix,GPCR,0
8,-anserin,-,serotonin 5-HT2 receptor antagonists,Suffix,GPCR,0
10,-denoson,-,adenosine A receptor agonists,Suffix,GPCR,0
11,-alol,-,combined alpha and beta receptors,Suffix,GPCR,0
13,-algron,-,alpha1- and alpha2-adrenoreceptor agonists,Suffix,GPCR,0
14,-olol,-,beta-blockers (propranolol type),Suffix,GPCR,0
15,-begron,-,beta 3 adrenoreceptor agonist,Suffix,GPCR,0
16,-adol-,-,analgesics (mixed opiate receptor agonists/antagonists),Infix,GPCR,0
17,-adol,-,analgesics (mixed opiate receptor agonists/antagonists),Suffix,GPCR,0
18,-sartan,-,angiotensin II receptor antagonists,Suffix,GPCR,0
19,-tibant,-,antiasthmatics (bradykinin antagonists),Suffix,GPCR,0
20,-ast,-lukast,antiasthmatics/antiallergics: leukotriene receptor antagonists,Suffix,GPCR,0
21,-ast,-trodast,antiasthmatics/antiallergics: thromboxane A2 receptor antagonists,Suffix,GPCR,0
23,-azosin,-,antihypertensives (prazosin type),Suffix,GPCR,0
24,-sidone,-,antipsychotic with binding activity on serotonin (5HT2A) and dopamine (D2) receptors,Suffix,GPCR,0
25,-tiapine,-,antipsychotics (dibenzothiazepine derivatives),Suffix,GPCR,0
26,-troline,-,antipsychotics (dopamine D2 antagonists),Suffix,GPCR,0
27,-peridol,-,antipsychotics (haloperidol type),Suffix,GPCR,0
28,-peridone,-,antipsychotics (risperidone type),Suffix,GPCR,0
29,-troban,-,antithrombotics (thromboxane A2 receptor antagonists),Suffix,GPCR,0
30,-spirone,-,anxiolytics (buspirone type),Suffix,GPCR,0
31,-terol,-,bronchodilators (phenethylamine derivatives),Suffix,GPCR,0
32,-nab-,-,cannabinol derivatives,Infix,GPCR,0
33,nab-,-,cannabinol derivatives,Prefix,GPCR,0
34,-viroc,-,CCR5 antagonists,Suffix,GPCR,0
35,-viroc,-criviroc,CCR5 antagonists: immunomodulators,Suffix,GPCR,0
36,-azepide,-,cholecystokinin receptor antagonists,Suffix,GPCR,0
37,-glumide,-,"CCK antagonists, antiulcer, anxiolytic agent",Suffix,GPCR,0
38,trop-,-,atropine derivatives,Prefix,GPCR,0
39,-rixin,-,CXCR2 modulators,Suffix,GPCR,0
40,-ixafor,-,CXCR4 antagonists,Suffix,GPCR,0
41,-dopidine,-,dopamine D2 receptor modulator,Suffix,GPCR,0
43,-dore,-,dopamine D2D3 receptor modulators,Suffix,GPCR,0
44,-dopa,-,dopamine receptor agonists,Suffix,GPCR,0
46,-pamine,-,dopaminergics (butopamine type),Suffix,GPCR,0
48,-entan,-,endothelin receptor antagonists,Suffix,GPCR,0
49,-kef-,-,enkephalin agonists,Infix,GPCR,0
50,-golix,-,GnRH receptor antagonists (nonpeptide),Suffix,GPCR,0
51,-astine,-,antihistaminics (histamine-H1 receptor antagonists),Suffix,GPCR,0
54,-tidine,-,H2-receptor antagonists (cimetidine type),Suffix,GPCR,0
55,-isant,-,histamine H3 receptor antagonists,Suffix,GPCR,0
56,-azoline,-,antihistamines/local vasoconstrictors (antazoline type),Suffix,GPCR,0
57,-lubant,-,leukotriene receptor antagonists (treatment of inflammatory skin disorders),Suffix,GPCR,0
58,-clidine,-,muscarinic receptor agonists,Suffix,GPCR,0
59,-fentanil,-,narcotic analgesics (fentanyl derivatives),Suffix,GPCR,0
60,-azocine,-,"narcotic antagonists/agonists (6,7-benzomorphan derivatives)",Suffix,GPCR,0
62,-orphan,-,narcotic antagonists/agonists (morphinan derivatives),Suffix,GPCR,0
63,nal-,-,narcotic agonists/antagonists (normorphine type),Prefix,GPCR,0
65,-neurin,-,"neurotensin receptor antagonists, neurotropins",Suffix,GPCR,0
66,-tant,-pitant,tachykinin (neurokinin) receptor antagonists: NK1 receptor antagonists,Suffix,GPCR,0
67,-tant,-dutant,tachykinin (neurokinin) receptor antagonists: NK2 receptor antagonists,Suffix,GPCR,0
68,-tant,-netant,tachykinin (neurokinin) receptor antagonists: NK3 receptor antagonists,Suffix,GPCR,0
69,-tocin,-,oxytocin derivatives,Suffix,GPCR,0
70,-siban,-,oxytocin antagonists,Suffix,GPCR,0
71,-plact,-,platelet factor 4 analogs and derivatives,Suffix,GPCR,0
72,-pafant,-,platelet-activating factor antagonists,Suffix,GPCR,0
73,-prost-,-,prostaglandins,Infix,GPCR,0
74,-melteon,-,selective melatonin receptor agonist,Suffix,GPCR,0
75,-pride,-,sulpride derivatives,Suffix,GPCR,0
76,-fylline,-,theophylline derivatives,Suffix,GPCR,0
77,-relin,-tirelin,prehormones or hormone-release stimulating peptides: thyrotropin releasing hormone analogues,Suffix,GPCR,0
78,-osuran,-,urotensin receptor antagonists,Suffix,GPCR,0
79,-pressin,-,vasoconstrictors (vasopressin derivatives),Suffix,GPCR,0
80,-vaptan,-,vasopressin receptor antagonists,Suffix,GPCR,0
81,-tide,-glutide,peptides: GLP peptide analogs,Suffix,GPCR,0
82,-tide,-actide,peptides: synthetic corticotropins,Suffix,GPCR,0
83,-setron,-,serotonin 5-HT3 antagonists,Suffix,ion channel,0
85,-azepam,-,antianxiety agents (diazepam type),Suffix,ion channel,0
86,-barb-,-,barbituric acid derivatives,Infix,ion channel,0
88,-azenil,-,benzodiazepine receptor (agonists/antagonists),Suffix,ion channel,0
92,-aj-,-,antiarrhythmics (ajmaline derivatives),Infix,ion channel,0
93,-isomide,-,antiarrhythmics (disopyramide derivatives),Suffix,ion channel,0
94,-afenone,-,antiarrhythmics (propafenone derivatives),Suffix,ion channel,0
95,-arone,-,antirrhythmics,Suffix,ion channel,0
96,-ilide,-,class III antiarrhythmic agents,Suffix,ion channel,0
97,-tiazem,-,calcium channel blockers (diltiazem type),Suffix,ion channel,0
98,-pamil,-,coronary vasodilators (verapamil type),Suffix,ion channel,0
99,-gab-,-,gabamimetics,Infix,ion channel,0
100,-capoc,-,"agonists of the Gardos channel, or the calcium activated potassium channel of intermediate conductance",Suffix,ion channel,0
101,-pidem,-,hypnotics/sedatives (zolpidem type),Suffix,ion channel,0
102,-clone,-,hypnotics/tranquilizers (zopiclone type),Suffix,ion channel,0
103,-caine,-,local anesthetics,Suffix,ion channel,0
105,-nicline,-,nicotinic acetylcholine receptor partial agonists/agonists,Suffix,ion channel,0
106,-stinel,-,"(N-methyl-D-asparate) NMDA receptor antagonist, glycine recognition site",Suffix,ion channel,0
107,-kalner,-,opener of large conductance calcium-activated (maxi-k) K+ channels,Suffix,ion channel,0
108,-kalim,-,potassium channel agonists,Suffix,ion channel,0
109,-kalant,-,potassium channel antagonists,Suffix,ion channel,0
111,-dipine,-,phenylpyridine vasodilators (nifedipine type),Suffix,ion channel,0
112,-anib,-,angiogenesis inhibitors,Suffix,kinase,0
113,-imod,-mapimod,immunomodulators: mitogen-activated protein (MAP) kinase inhibitors,Suffix,kinase,0
114,-rafenib,-,raf kinase inhibitors,Suffix,kinase,0
115,-tinib,-brutinib,tyrosine kinase inhibitors: Bruton's (Btk) inhibitors,Suffix,kinase,0
116,-renone,-,aldosterone antagonists (spironolactone type),Suffix,NR,0
117,-andr-,-,androgens,Infix,NR,0
118,-ster-,-,"steroids (androgens, anabolics)",Infix,NR,0
120,-glitazar,-,PPAR agonists (not thiazolidene derivatives),Suffix,NR,0
121,-glitazone,-,PPST agonists (thiazolidene derivatives),Suffix,NR,0
124,-fibrate,-,antihyperlipidemics (clofibrate type),Suffix,NR,0
125,-tirome,-,"antihyperlipidemic, thyromimetic derivatives",Suffix,NR,0
127,-arotene,-,arotinoid derivatives,Suffix,NR,0
128,-cort-,-,cortisone derivatives,Infix,NR,0
129,estr-,-,estrogens,Prefix,NR,0
130,-estrant,-,estrogen antagonists,Suffix,NR,0
131,-berel,-,beta estrogen receptor agonist,Suffix,NR,0
133,-fexorate,-,farnesoid X receptor agonists,Suffix,NR,0
134,-pred-,-,prednisone and prednisolone derivatives,Infix,NR,0
135,pred-,-,prednisone and prednisolone derivatives,Prefix,NR,0
139,-gest-,-,progestins,Infix,NR,0
140,-pristone,-,progesterone receptor antagonists,Suffix,NR,0
141,-proget,-,nonsteroidal ligand for the progesterone receptor,Suffix,NR,0
142,-retin-,-,retinol derivatives,Infix,NR,0
143,-prisnil,-,selective progesterone receptor modulators (SPRM),Suffix,NR,0
144,-olone,-,steroids (not prednisolone derivatives),Suffix,NR,0
145,-onide,-,topical steroids (acetal derivatives),Suffix,NR,0
146,calci-,-,vitamin D analogues,Prefix,NR,0
147,-ast,-milast,antiasthmatics/antiallergics: type IV phosphodiesterase inhibitors,Suffix,PDE,0
148,-rinone,-,cardiotonics (amrinone type),Suffix,PDE,0
149,-fentrine,-,phosphodiesterase inhibitor,Suffix,PDE,0
150,-afil,-,PDE5 inhibitors,Suffix,PDE,0
152,-gliptin,-,dipeptidyl aminopeptidase-IV inhibitors,Suffix,protease,0
153,-pril,-,antihypertensives (ACE inhibitors),Suffix,protease,0
156,-tril,-,endopeptidase inhibitors,Suffix,protease,0
157,-kiren,-,renin inhibitors,Suffix,protease,0
158,-stat,-mastat,enzyme inhibitors: matrix metalloprotease inhibitors,Suffix,protease,0
159,-xaban,-,antithrombotic: blood coagulation factor XA inhibitors,Suffix,protease,0
160,-vir,-navir,antivirals: HIV protease inhibitors (saquinavir type),Suffix,protease,0
161,-catib,-,cathespin inhibitors,Suffix,protease,0
162,-stat,-elestat,enzyme inhibitors: elastase inhibitors,Suffix,protease,0
164,-stat,-mostat,enzyme inhibitors: proteolytic enzyme inhibitors,Suffix,protease,0
165,-vir,-previr,antivirals: serine protease inhibitors,Suffix,protease,0
166,-gatran,-,thrombin inhibitors (argatroban type),Suffix,protease,0
167,-setrag,-,"serotonin 5-HT receptor agonists, not principally 5-HT2",Suffix,GPCR,0
168,-pirdine,-,5-HT6 inhibitors,Suffix,GPCR,0
169,-leuton,-,5-lipoxgenase inhibitors,Suffix,,0
170,-flapon,-,5-lipoxygenase-activating protein (FLAP) inhibitors,Suffix,,0
171,nifur-,-,5-nitrofuran derivatives,Prefix,,0
172,-ditraz,-,acaricide/tick repellent,Suffix,,0
173,-crine,-,acridine derivatives,Suffix,,0
175,-stat-,-restat-,enzyme inhibitors: aldose-reductase inhibitors,Infix,,0
176,-erg-,-,ergot alkaloid derivatives,Infix,,0
177,-serpine,-,Rauwolfia alkaloid derivatives,Suffix,,0
178,vin-,-,vinca alkaloids,Prefix,,0
