molregno,mw_freebase,alogp,hba,hbd,psa,rtb,ro3_pass,num_ro5_violations,cx_most_apka,cx_most_bpka,cx_logp,cx_logd,molecular_species,full_mwt,aromatic_rings,heavy_atoms,qed_weighted,mw_monoisotopic,full_molformula,hba_lipinski,hbd_lipinski,num_lipinski_ro5_violations
1,341.75,2.11,5,1,84.82,3,N,0,6.48,,3.63,2.69,ACID,341.75,3,24,0.74,341.0567,C17H12ClN3O3,6,1,0
2,332.32,1.33,6,1,108.61,3,N,0,6.33,,2.88,1.82,ACID,332.32,3,25,0.73,332.0909,C18H12N4O3,7,1,0
3,357.80,2.27,5,2,87.98,3,N,0,6.33,,3.70,2.64,ACID,357.80,3,25,0.75,357.0880,C18H16ClN3O3,6,2,0
4,307.31,1.46,5,1,84.82,3,N,0,6.33,,3.02,1.97,ACID,307.31,3,23,0.74,307.0957,C17H13N3O3,6,1,0
5,341.75,2.11,5,1,84.82,3,N,0,6.33,,3.63,2.57,ACID,341.75,3,24,0.74,341.0567,C17H12ClN3O3,6,1,0
6,307.31,1.46,5,1,84.82,3,N,0,6.33,,3.02,1.97,ACID,307.31,3,23,0.74,307.0957,C17H13N3O3,6,1,0
7,420.65,2.88,5,1,84.82,3,N,0,6.48,,4.40,3.46,ACID,420.65,3,25,0.66,418.9672,C17H11BrClN3O3,6,1,0
8,396.62,3.11,5,1,84.82,3,N,0,6.53,,4.32,3.43,NEUTRAL,396.62,3,25,0.69,394.9631,C16H8Cl3N3O3,6,1,0
9,405.82,1.21,7,1,118.96,4,N,0,6.48,,1.95,1.02,ACID,405.82,3,27,0.65,405.0186,C17H12ClN3O5S,8,1,0
10,606.86,9.29,2,2,31.82,0,N,2,,,0.80,0.80,NEUTRAL,606.86,6,46,0.17,606.3712,C42H46N4+2,4,2,2
15,373.82,2.53,6,1,84.82,4,N,0,6.48,,3.74,2.81,ACID,373.82,3,25,0.56,373.0288,C17H12ClN3O3S,6,1,0
21,362.17,2.46,5,1,84.82,3,N,0,6.48,,3.72,2.78,ACID,362.17,3,24,0.73,361.0021,C16H9Cl2N3O3,6,1,0
23,317.18,4.50,2,0,26.30,1,N,0,,,3.96,3.96,NEUTRAL,317.18,2,19,0.72,316.0099,C16H13BrO2,2,0,0
24,364.18,4.54,2,0,26.30,1,N,0,,,4.05,4.05,NEUTRAL,364.18,2,19,0.55,363.9960,C16H13IO2,2,0,0
25,262.31,3.78,2,0,26.30,1,N,0,,,3.50,3.50,NEUTRAL,262.31,2,20,0.58,262.0994,C18H14O2,2,0,0
26,364.18,4.54,2,0,26.30,1,N,0,,,4.05,4.05,NEUTRAL,364.18,2,19,0.55,363.9960,C16H13IO2,2,0,0
27,293.28,1.15,5,1,84.82,3,N,0,6.33,,2.51,1.46,ACID,293.28,3,22,0.73,293.0800,C16H11N3O3,6,1,0
28,364.19,2.31,5,2,87.98,3,N,0,6.48,,3.27,2.34,ACID,364.19,3,24,0.75,363.0177,C16H11Cl2N3O3,6,2,0
29,327.73,1.81,5,1,84.82,3,N,0,6.48,,3.11,2.18,ACID,327.73,3,23,0.74,327.0411,C16H10ClN3O3,6,1,0
30,309.32,1.31,5,2,87.98,3,N,0,6.33,,2.58,1.53,ACID,309.32,3,23,0.76,309.1113,C17H15N3O3,6,2,0
31,433.51,2.68,7,1,93.81,5,N,0,,7.24,2.94,2.71,NEUTRAL,433.51,3,32,0.66,433.2114,C24H27N5O3,8,2,0
32,323.31,1.16,6,1,94.05,4,N,0,6.33,,2.35,1.30,ACID,323.31,3,24,0.73,323.0906,C17H13N3O4,7,1,0
33,435.53,1.80,9,1,110.88,5,N,0,,7.24,2.29,2.07,NEUTRAL,435.53,3,29,0.65,435.1035,C18H21N5O4S2,9,2,0
38,606.86,9.29,2,2,31.82,0,N,2,,,0.80,0.80,NEUTRAL,606.86,6,46,0.17,606.3712,C42H46N4+2,4,2,2
39,468.60,5.50,2,2,59.80,5,N,1,,,-2.87,-2.87,NEUTRAL,468.60,6,36,0.33,468.2303,C32H28N4+2,4,4,1
46,496.66,5.61,2,2,59.80,7,N,1,,,-1.98,-1.98,NEUTRAL,496.66,6,38,0.28,496.2616,C34H32N4+2,4,4,1
47,494.64,6.00,2,2,59.80,6,N,1,,,-2.18,-2.18,NEUTRAL,494.64,6,38,0.22,494.2459,C34H30N4+2,4,4,1
48,608.87,9.31,2,2,31.82,17,N,2,,,1.13,1.13,NEUTRAL,608.87,6,46,0.08,608.3868,C42H48N4+2,4,2,2
49,632.90,9.79,2,2,31.82,0,N,2,,,1.50,1.50,NEUTRAL,632.90,6,48,0.16,632.3868,C44H48N4+2,4,2,2
50,634.91,9.41,2,2,31.82,0,N,2,,,1.69,1.69,NEUTRAL,634.91,6,48,0.16,634.4025,C44H50N4+2,4,2,2
