oc_id,tax_id,l1,l2,l3
1,10030,Eukaryotes,Mammalia,Rodentia
2,9593,Eukaryotes,Mammalia,Primates
3,470,Bacteria,Gram-Negative,Acinetobacter
4,5475,Fungi,Ascomycota,Saccharomycetales
5,5660,Eukaryotes,Kinetoplastida,Leishmania
6,5691,Eukaryotes,Kinetoplastida,Trypanosoma
7,9606,Eukaryotes,Mammalia,Primates
8,237895,Eukaryotes,Apicomplexa,Cryptosporidium
9,5807,Eukaryotes,Apicomplexa,Cryptosporidium
10,5800,Eukaryotes,Apicomplexa,Eimeria
11,5801,Eukaryotes,Apicomplexa,Eimeria
12,51314,Eukaryotes,Apicomplexa,Eimeria
13,5804,Eukaryotes,Apicomplexa,Eimeria
14,51315,Eukaryotes,Apicomplexa,Eimeria
15,5802,Eukaryotes,Apicomplexa,Eimeria
16,5821,Eukaryotes,Apicomplexa,Plasmodium
17,5823,Eukaryotes,Apicomplexa,Plasmodium
18,5827,Eukaryotes,Apicomplexa,Plasmodium
19,5833,Eukaryotes,Apicomplexa,Plasmodium
20,36329,Eukaryotes,Apicomplexa,Plasmodium
21,186763,Eukaryotes,Apicomplexa,Plasmodium
22,5839,Eukaryotes,Apicomplexa,Plasmodium
24,54757,Eukaryotes,Apicomplexa,Plasmodium
25,5861,Eukaryotes,Apicomplexa,Plasmodium
26,31274,Eukaryotes,Apicomplexa,Plasmodium
27,73239,Eukaryotes,Apicomplexa,Plasmodium
28,5875,Eukaryotes,Apicomplexa,Other
29,5811,Eukaryotes,Apicomplexa,Toxoplasma
30,10047,Eukaryotes,Mammalia,Rodentia
31,42414,Eukaryotes,Mammalia,Rodentia
32,39107,Eukaryotes,Mammalia,Rodentia
33,10045,Eukaryotes,Mammalia,Rodentia
34,10046,Eukaryotes,Mammalia,Rodentia
35,10090,Eukaryotes,Mammalia,Rodentia
36,10095,Eukaryotes,Mammalia,Rodentia
37,10114,Eukaryotes,Mammalia,Rodentia
38,10112,Eukaryotes,Mammalia,Rodentia
39,9995,Eukaryotes,Mammalia,Rodentia
40,10036,Eukaryotes,Mammalia,Rodentia
41,69158,Eukaryotes,Mammalia,Rodentia
42,10116,Eukaryotes,Mammalia,Rodentia
43,35658,Eukaryotes,Mammalia,Rodentia
44,10026,Eukaryotes,Mammalia,Rodentia
45,10029,Eukaryotes,Mammalia,Rodentia
46,10141,Eukaryotes,Mammalia,Rodentia
47,36483,Eukaryotes,Mammalia,Rodentia
48,9527,Eukaryotes,Mammalia,Primates
49,9479,Eukaryotes,Mammalia,Primates
50,9521,Eukaryotes,Mammalia,Primates
51,9545,Eukaryotes,Mammalia,Primates
52,9598,Eukaryotes,Mammalia,Primates
53,9557,Eukaryotes,Mammalia,Primates
54,9480,Eukaryotes,Mammalia,Primates
55,9515,Eukaryotes,Mammalia,Primates
56,100937,Eukaryotes,Mammalia,Primates
57,9534,Eukaryotes,Mammalia,Primates
58,9541,Eukaryotes,Mammalia,Primates
59,9554,Eukaryotes,Mammalia,Primates
60,9544,Eukaryotes,Mammalia,Primates
61,9378,Eukaryotes,Mammalia,Other
62,9913,Eukaryotes,Mammalia,Cetartiodactyla
63,9685,Eukaryotes,Mammalia,Carnivora
64,9825,Eukaryotes,Mammalia,Other
65,9940,Eukaryotes,Mammalia,Cetartiodactyla
66,9796,Eukaryotes,Mammalia,Perissodactyla
67,9615,Eukaryotes,Mammalia,Carnivora
68,9669,Eukaryotes,Mammalia,Other
69,9986,Eukaryotes,Mammalia,Lagomorpha
70,9823,Eukaryotes,Mammalia,Cetartiodactyla
71,9793,Eukaryotes,Mammalia,Other
72,5656,Eukaryotes,Kinetoplastida,Other
73,5667,Eukaryotes,Kinetoplastida,Leishmania
74,5659,Eukaryotes,Kinetoplastida,Leishmania
75,5661,Eukaryotes,Kinetoplastida,Leishmania
76,5671,Eukaryotes,Kinetoplastida,Leishmania
77,5664,Eukaryotes,Kinetoplastida,Leishmania
78,5665,Eukaryotes,Kinetoplastida,Leishmania
79,5679,Eukaryotes,Kinetoplastida,Leishmania
80,28847,Eukaryotes,Kinetoplastida,Leishmania
81,5666,Eukaryotes,Kinetoplastida,Leishmania
82,5690,Eukaryotes,Kinetoplastida,Trypanosoma
83,5702,Eukaryotes,Kinetoplastida,Trypanosoma
84,31285,Eukaryotes,Kinetoplastida,Trypanosoma
85,31286,Eukaryotes,Kinetoplastida,Trypanosoma
86,5693,Eukaryotes,Kinetoplastida,Trypanosoma
87,5694,Eukaryotes,Kinetoplastida,Trypanosoma
88,3630,Eukaryotes,Viridiplantae,Eudicotyledons
89,3564,Eukaryotes,Viridiplantae,Eudicotyledons
90,40922,Eukaryotes,Viridiplantae,Other
91,3702,Eukaryotes,Viridiplantae,Eudicotyledons
92,3818,Eukaryotes,Viridiplantae,Eudicotyledons
93,3704,Eukaryotes,Viridiplantae,Other
94,4499,Eukaryotes,Viridiplantae,Monocotyledons
95,161934,Eukaryotes,Viridiplantae,Eudicotyledons
96,3716,Eukaryotes,Viridiplantae,Eudicotyledons
97,3823,Eukaryotes,Viridiplantae,Eudicotyledons
98,4071,Eukaryotes,Viridiplantae,Other
99,3649,Eukaryotes,Viridiplantae,Other
100,4058,Eukaryotes,Viridiplantae,Other
101,3078,Eukaryotes,Viridiplantae,Other
102,13443,Eukaryotes,Viridiplantae,Other
103,90397,Eukaryotes,Viridiplantae,Monocotyledons
104,3843,Eukaryotes,Viridiplantae,Other
105,3847,Eukaryotes,Viridiplantae,Eudicotyledons
106,4232,Eukaryotes,Viridiplantae,Eudicotyledons
107,3981,Eukaryotes,Viridiplantae,Other
108,4513,Eukaryotes,Viridiplantae,Monocotyledons
109,112509,Eukaryotes,Viridiplantae,Other
110,4236,Eukaryotes,Viridiplantae,Eudicotyledons
111,33125,Eukaryotes,Viridiplantae,Eudicotyledons
112,260603,Eukaryotes,Viridiplantae,Other
113,3496,Eukaryotes,Viridiplantae,Other
114,4097,Eukaryotes,Viridiplantae,Eudicotyledons
115,4530,Eukaryotes,Viridiplantae,Monocotyledons
116,39947,Eukaryotes,Viridiplantae,Other
117,52841,Eukaryotes,Viridiplantae,Other
118,38727,Eukaryotes,Viridiplantae,Other
119,3888,Eukaryotes,Viridiplantae,Eudicotyledons
120,62097,Eukaryotes,Viridiplantae,Other
121,175104,Eukaryotes,Viridiplantae,Other
122,3111,Eukaryotes,Viridiplantae,Other
123,42229,Eukaryotes,Viridiplantae,Other
124,3758,Eukaryotes,Viridiplantae,Other
125,3755,Eukaryotes,Viridiplantae,Other
126,3726,Eukaryotes,Viridiplantae,Eudicotyledons
127,3988,Eukaryotes,Viridiplantae,Eudicotyledons
128,74649,Eukaryotes,Viridiplantae,Other
129,23216,Eukaryotes,Viridiplantae,Other
130,41241,Eukaryotes,Viridiplantae,Eudicotyledons
131,54806,Eukaryotes,Viridiplantae,Other
132,4556,Eukaryotes,Viridiplantae,Monocotyledons
133,3727,Eukaryotes,Viridiplantae,Other
134,4107,Eukaryotes,Viridiplantae,Eudicotyledons
135,4113,Eukaryotes,Viridiplantae,Eudicotyledons
136,4560,Eukaryotes,Viridiplantae,Monocotyledons
137,3562,Eukaryotes,Viridiplantae,Eudicotyledons
138,84956,Eukaryotes,Viridiplantae,Other
139,54865,Eukaryotes,Viridiplantae,Other
140,4565,Eukaryotes,Viridiplantae,Monocotyledons
141,4577,Eukaryotes,Viridiplantae,Monocotyledons
142,6277,Eukaryotes,Nematoda,Spirurida
143,53326,Eukaryotes,Nematoda,Other
144,6253,Eukaryotes,Nematoda,Other
145,6279,Eukaryotes,Nematoda,Spirurida
146,6280,Eukaryotes,Nematoda,Other
147,6239,Eukaryotes,Nematoda,Rhabditida
148,27827,Eukaryotes,Nematoda,Other
149,62055,Eukaryotes,Nematoda,Other
150,27828,Eukaryotes,Nematoda,Other
151,6287,Eukaryotes,Nematoda,Other
152,6289,Eukaryotes,Nematoda,Other
153,6339,Eukaryotes,Nematoda,Other
154,6299,Eukaryotes,Nematoda,Other
155,6306,Eukaryotes,Nematoda,Tylenchida
156,27835,Eukaryotes,Nematoda,Other
157,85896,Eukaryotes,Nematoda,Other
158,6283,Eukaryotes,Nematoda,Other
159,6282,Eukaryotes,Nematoda,Other
160,6254,Eukaryotes,Nematoda,Other
161,6256,Eukaryotes,Nematoda,Other
162,45464,Eukaryotes,Nematoda,Other
163,6334,Eukaryotes,Nematoda,Other
164,40349,Eukaryotes,Nematoda,Other
165,6319,Eukaryotes,Nematoda,Other
166,6565,Eukaryotes,Mollusca,
167,6536,Eukaryotes,Mollusca,
168,6643,Eukaryotes,Mollusca,
169,28377,Eukaryotes,Lepidosauria,
170,8724,Eukaryotes,Lepidosauria,
171,8726,Eukaryotes,Lepidosauria,
172,8613,Eukaryotes,Lepidosauria,
173,8710,Eukaryotes,Lepidosauria,
174,8729,Eukaryotes,Lepidosauria,
175,8707,Eukaryotes,Lepidosauria,
176,31159,Eukaryotes,Lepidosauria,
177,40353,Eukaryotes,Lepidosauria,
178,242054,Eukaryotes,Lepidosauria,
179,8504,Eukaryotes,Lepidosauria,
180,8656,Eukaryotes,Lepidosauria,
181,8643,Eukaryotes,Lepidosauria,
182,8644,Eukaryotes,Lepidosauria,
183,196380,Eukaryotes,Lepidosauria,
184,35670,Eukaryotes,Lepidosauria,
185,8570,Eukaryotes,Lepidosauria,
186,88087,Eukaryotes,Lepidosauria,
187,109784,Eukaryotes,Lepidosauria,
188,42806,Eukaryotes,Aves,
189,8782,Eukaryotes,Aves,
190,8932,Eukaryotes,Aves,
191,9091,Eukaryotes,Aves,
192,9031,Eukaryotes,Aves,
193,9103,Eukaryotes,Aves,
194,7029,Eukaryotes,Arthropoda,Hemiptera
195,7159,Eukaryotes,Arthropoda,Diptera
196,7460,Eukaryotes,Arthropoda,Hymenoptera
197,6660,Eukaryotes,Arthropoda,Crustacea
198,85549,Eukaryotes,Arthropoda,Crustacea
200,7091,Eukaryotes,Arthropoda,Lepidoptera
201,7371,Eukaryotes,Arthropoda,Other
202,73009,Eukaryotes,Arthropoda,Other
203,7141,Eukaryotes,Arthropoda,Lepidoptera
204,7515,Eukaryotes,Arthropoda,Other
205,7157,Eukaryotes,Arthropoda,Other
206,6956,Eukaryotes,Arthropoda,Arachnida
207,50387,Eukaryotes,Arthropoda,Coleoptera
208,72496,Eukaryotes,Arthropoda,Other
209,7227,Eukaryotes,Arthropoda,Diptera
210,191328,Eukaryotes,Arthropoda,Other
211,7137,Eukaryotes,Arthropoda,Other
212,7102,Eukaryotes,Arthropoda,Lepidoptera
213,6960,Eukaryotes,Arthropoda,Other
214,7049,Eukaryotes,Arthropoda,Other
215,6849,Eukaryotes,Arthropoda,Other
216,7004,Eukaryotes,Arthropoda,Orthoptera
217,7375,Eukaryotes,Arthropoda,Diptera
218,7052,Eukaryotes,Arthropoda,Other
219,6805,Eukaryotes,Arthropoda,Other
220,7129,Eukaryotes,Arthropoda,Other
221,7130,Eukaryotes,Arthropoda,Lepidoptera
222,7370,Eukaryotes,Arthropoda,Diptera
223,13164,Eukaryotes,Arthropoda,Hemiptera
224,6978,Eukaryotes,Arthropoda,Other
225,7380,Eukaryotes,Arthropoda,Other
226,51655,Eukaryotes,Arthropoda,Lepidoptera
227,7010,Eukaryotes,Arthropoda,Orthoptera
228,7509,Eukaryotes,Arthropoda,Other
229,37547,Eukaryotes,Arthropoda,Lepidoptera
230,7108,Eukaryotes,Arthropoda,Lepidoptera
231,7109,Eukaryotes,Arthropoda,Lepidoptera
232,35570,Eukaryotes,Arthropoda,Other
233,7067,Eukaryotes,Arthropoda,Coleoptera
234,32264,Eukaryotes,Arthropoda,Arachnida
235,7111,Eukaryotes,Arthropoda,Lepidoptera
236,6192,Eukaryotes,Platyhelminthes,Other
237,102285,Eukaryotes,Platyhelminthes,Other
238,6182,Eukaryotes,Platyhelminthes,Schistosoma
239,6183,Eukaryotes,Platyhelminthes,Schistosoma
240,6207,Eukaryotes,Platyhelminthes,Taenia
241,85432,Eukaryotes,Platyhelminthes,Taenia
242,8404,Eukaryotes,Amphibia,
243,8406,Eukaryotes,Amphibia,
244,8355,Eukaryotes,Amphibia,
245,8356,Eukaryotes,Amphibia,
246,8397,Eukaryotes,Amphibia,
247,8342,Eukaryotes,Amphibia,
248,7957,Eukaryotes,Teleostei,Otomorpha
249,7962,Eukaryotes,Teleostei,Otomorpha
250,7933,Eukaryotes,Teleostei,Other
251,7786,Eukaryotes,Other,
252,7787,Eukaryotes,Other,
253,8017,Eukaryotes,Teleostei,Other
254,8005,Eukaryotes,Teleostei,Otomorpha
255,55118,Eukaryotes,Teleostei,Other
256,5908,Eukaryotes,Alveolata,
257,5911,Eukaryotes,Other,
258,4784,Eukaryotes,Oomycetes,
259,4787,Eukaryotes,Oomycetes,
260,44689,Eukaryotes,Other,
261,143451,Eukaryotes,Oomycetes,
262,65071,Eukaryotes,Oomycetes,
263,115418,Eukaryotes,Other,
264,178550,Eukaryotes,Other,
265,252963,Eukaryotes,Other,
266,10190,Eukaryotes,Other,
267,6040,Eukaryotes,Other,
268,5741,Eukaryotes,Fornicata,
269,5759,Eukaryotes,Amoebozoa,
270,4769,Eukaryotes,Other,
271,2792,Eukaryotes,Other,
272,5722,Eukaryotes,Parabasalia,
274,5888,Eukaryotes,Other,
275,5940,Eukaryotes,Other,
276,7653,Eukaryotes,Echinodermata,
277,7650,Eukaryotes,Echinodermata,
278,7625,Eukaryotes,Echinodermata,
279,7588,Eukaryotes,Echinodermata,
280,7609,Eukaryotes,Echinodermata,
281,2210,Archaea,,
282,2261,Archaea,,
283,2287,Archaea,,
284,187420,Archaea,,
285,469,Bacteria,Gram-Negative,Acinetobacter
286,471,Bacteria,Gram-Negative,Acinetobacter
287,107673,Bacteria,Gram-Negative,Acinetobacter
288,28090,Bacteria,Gram-Negative,Acinetobacter
289,472,Bacteria,Gram-Negative,Acinetobacter
290,714,Bacteria,Gram-Negative,Other
291,715,Bacteria,Gram-Negative,Other
292,642,Bacteria,Gram-Negative,Aeromonas
293,644,Bacteria,Gram-Negative,Aeromonas
294,646,Bacteria,Gram-Negative,Aeromonas
295,647,Bacteria,Gram-Negative,Aeromonas
296,357,Bacteria,Gram-Negative,Other
297,358,Bacteria,Gram-Negative,Alphaproteobacteria
298,507,Bacteria,Gram-Negative,Other
299,511,Bacteria,Gram-Negative,Betaproteobacteria
300,232,Bacteria,Gram-Negative,Other
302,1166,Bacteria,Gram-Negative,Other
303,63363,Bacteria,Gram-Negative,Aquificales
304,106588,Bacteria,Gram-Negative,Bacteroides
305,817,Bacteria,Gram-Negative,Bacteroides
306,28116,Bacteria,Gram-Negative,Bacteroides
307,818,Bacteria,Gram-Negative,Bacteroides
308,820,Bacteria,Gram-Negative,Bacteroides
309,821,Bacteria,Gram-Negative,Bacteroides
310,518,Bacteria,Gram-Negative,Betaproteobacteria
311,520,Bacteria,Gram-Negative,Other
312,159,Bacteria,Gram-Negative,Other
313,235,Bacteria,Gram-Negative,Alphaproteobacteria
314,292,Bacteria,Gram-Negative,Betaproteobacteria
315,197,Bacteria,Gram-Negative,Other
316,155892,Bacteria,Gram-Negative,Other
317,810,Bacteria,Gram-Negative,Other
318,813,Bacteria,Gram-Negative,Other
319,83558,Bacteria,Gram-Negative,Other
