assay_class_id,l1,l2,l3,class_type,bao_id,source
1,ALIMENTARY TRACT AND METABOLISM,Anti-Obesity Activity,Computer-Assisted Measurement of Food Consumption in Rats Anorectic Activity,In vivo efficacy,,Vogel_2008
2,ALIMENTARY TRACT AND METABOLISM,Anti-Obesity Activity,Food Consumption in Rats Anorectic Activity,In vivo efficacy,,Vogel_2008
3,ALIMENTARY TRACT AND METABOLISM,Anti-Obesity Activity,General Anti-Obesity activity,In vivo efficacy,,phenotype
4,ALIMENTARY TRACT AND METABOLISM,Anti-Obesity Activity,Resting Metabolic Rate Anti-Obesity,In vivo efficacy,,Vogel_2008
5,ALIMENTARY TRACT AND METABOLISM,Experimental Diabetes Mellitus,Alloxan Induced Diabetes,In vivo efficacy,,Vogel_2008
6,ALIMENTARY TRACT AND METABOLISM,Experimental Diabetes Mellitus,Corticosteroid Induced Diabetes,In vivo efficacy,,Vogel_2008
7,ALIMENTARY TRACT AND METABOLISM,Experimental Diabetes Mellitus,Streptozotocin Induced Diabetes,In vivo efficacy,,Vogel_2008
8,ALIMENTARY TRACT AND METABOLISM,Experimental Diabetes Mellitus,Virus Induced Diabetes,In vivo efficacy,,Vogel_2008
9,ALIMENTARY TRACT AND METABOLISM,Experimental Obesity,Diet Induced Obesity,In vivo efficacy,,Hock_2016
10,ALIMENTARY TRACT AND METABOLISM,Experimental Obesity,Goldthioglucose Induced Obesity,In vivo efficacy,,Vogel_2008
11,ALIMENTARY TRACT AND METABOLISM,Experimental Obesity,Hypothalamic Obesity High Fat Diet,In vivo efficacy,,Vogel_2008
12,ALIMENTARY TRACT AND METABOLISM,Experimental Obesity,Monosodium Glutamate Induced Obesity Anti-Obesity,In vivo efficacy,,Vogel_2008
13,ALIMENTARY TRACT AND METABOLISM,Gall Bladder Function,Cholagogic Activity Bile Secretion in Mice,In vivo efficacy,,Vogel_2008
14,ALIMENTARY TRACT AND METABOLISM,Gall Bladder Function,Choleretic Activity Bile Secretion in Rats,In vivo efficacy,,Vogel_2008
15,ALIMENTARY TRACT AND METABOLISM,Gall Bladder Function,Chronic Bile Fistula in Rats ,In vivo efficacy,,Vogel_2008
16,ALIMENTARY TRACT AND METABOLISM,Gastric Function,Acid Secretion in Perfused Rat Stomach (Gosh and Schild Rat),In vivo efficacy,,Vogel_2008
17,ALIMENTARY TRACT AND METABOLISM,Gastric Function,Assay of Long-Acting Thyroid-Stimulating Factor (LATS) in Mice,In vivo efficacy,,Vogel_2008
18,ALIMENTARY TRACT AND METABOLISM,Gastric Function,Chronic Gastric Fistula in Rats,In vivo efficacy,,Vogel_2008
19,ALIMENTARY TRACT AND METABOLISM,Gastric Function,Ethanol Induced Mucosal Damage in Rats Cytoprotective Activity,In vivo efficacy,,Vogel_2008
20,ALIMENTARY TRACT AND METABOLISM,Gastric Function,Gastric Ischemia Reperfusion Injury in Rats,In vivo efficacy,,Vogel_2008
21,ALIMENTARY TRACT AND METABOLISM,Gastric Function,Gastric Mucosal Blood Flow,In vivo efficacy,,Vogel_2008
22,ALIMENTARY TRACT AND METABOLISM,Gastric Function,Gastrin Activity,In vivo efficacy,,Vogel_2008
23,ALIMENTARY TRACT AND METABOLISM,Gastric Function,General Gastric Secretion,In vivo efficacy,,phenotype
24,ALIMENTARY TRACT AND METABOLISM,Gastric Function,General Models of Anti-Ulcer Activity,In vivo efficacy,,phenotype
25,ALIMENTARY TRACT AND METABOLISM,Gastric Function,Indomethacin Induced Ulcers in Rats,In vivo efficacy,,Hock_2016
26,ALIMENTARY TRACT AND METABOLISM,Gastric Function,Isolated Gastric Mucosal Preparation,In vivo efficacy,,Vogel_2008
27,ALIMENTARY TRACT AND METABOLISM,Gastric Function,Isolated Rat Stomach,In vivo efficacy,,Vogel_2008
28,ALIMENTARY TRACT AND METABOLISM,Gastric Function,Measurement of Gastric Absorption of Drugs in Rats,In vivo efficacy,,Vogel_2008
29,ALIMENTARY TRACT AND METABOLISM,Gastric Function,Measurement of Intragastric Pressure in Rats,In vivo efficacy,,Vogel_2008
30,ALIMENTARY TRACT AND METABOLISM,Gastric Function,Pylorus Ligation in Rats SHAY Rat,In vivo efficacy,,Vogel_2008
31,ALIMENTARY TRACT AND METABOLISM,Gastric Function,Subacute Gastric Ulcer in Rats,In vivo efficacy,,Vogel_2008
32,ALIMENTARY TRACT AND METABOLISM,Genetically Diabetic Animals,"Spontaneously Diabetic Mice: KK Mouse, KK-AY Mouse, NOD Mouse, Obese Hyperglycemic Mice, Diabetic db/db Mice, Diabetes Obesity Syndrome in CBA/Ca Mice, Wellesley Mouse",In vivo efficacy,,Vogel_2008
33,ALIMENTARY TRACT AND METABOLISM,Genetically Diabetic Animals,"Spontaneously Diabetic Rats: BB Rat, WBN/Kob Rat, Cohen Diabetic Rat, Goto-Kakizaki Rat, Zucker-Fatty Rat, Zucker Diabetic Fatty Rat Zdf/Drt-Fa, Wdf/Ta-Fa Rat, OLETF Rat, ESS-Rat, Obese SHR Rat, SHR/N-cp Rat, BHE Rat, LEW.1AR1/Ztm-iddm RAT",In vivo efficacy,,Vogel_2008
34,ALIMENTARY TRACT AND METABOLISM,Genetically Obese Animals,"Spontaneously Obese Mice: Yellow Obese Mouse AYA, KK-AY Mouse, Obese Hyperglycemic (ob/ob) mice, BL/6 Obese Mice, NZO Mouse, Diabetes Obesity Syndrome in CBA/CA Mice, FAT/FAT Mice, Tubby Mice",In vivo efficacy,,Vogel_2008
35,ALIMENTARY TRACT AND METABOLISM,Genetically Obese Animals,"Spontaneously Obese Rats: WBN/KOB Rat, Zucker-Fatty Rat, WDF/TA-FA Rat, OLETF Rat, Obese SHR Rat, JCR:LA-Corpulent Rat, Growth Hormone Deficient Dwarf Rat",In vivo efficacy,,Vogel_2008
36,ALIMENTARY TRACT AND METABOLISM,Intestinal Function,Anti-Diarrheal Effect in Cecectomized Rats,In vivo efficacy,,Vogel_2008
37,ALIMENTARY TRACT AND METABOLISM,Intestinal Function,Castor Oil Induced Diarrhea,In vivo efficacy,,Vogel_2008
38,ALIMENTARY TRACT AND METABOLISM,Intestinal Function,Colon Motility in Anesthetized Rats,In vivo efficacy,,Vogel_2008
39,ALIMENTARY TRACT AND METABOLISM,Intestinal Function,Continuous Recording of Electrical and Mechanical Activity in the Gut of the Conscious Rat,In vivo efficacy,,Vogel_2008
40,ALIMENTARY TRACT AND METABOLISM,Intestinal Function,Cysteamine Induced Duodenal Ulcers in Rats,In vivo efficacy,,Vogel_2008
41,ALIMENTARY TRACT AND METABOLISM,Intestinal Function,Enteropooling Test,In vivo efficacy,,Vogel_2008
42,ALIMENTARY TRACT AND METABOLISM,Intestinal Function,Evaluation of Anti-Diarrheal Effect in Cold Restrained Rats,In vivo efficacy,,Vogel_2008
43,ALIMENTARY TRACT AND METABOLISM,Intestinal Function,Everted Sac Absorption Technique,In vivo efficacy,,Vogel_2008
44,ALIMENTARY TRACT AND METABOLISM,Intestinal Function,Experimental Colitis Inflammatory Gut Disease,In vivo efficacy,,Vogel_2008
45,ALIMENTARY TRACT AND METABOLISM,Intestinal Function,Experimental Ileitis Inflammatory Gut Disease,In vivo efficacy,,Vogel_2008
46,ALIMENTARY TRACT AND METABOLISM,Intestinal Function,General Diarrhea Models,In vivo efficacy,,phenotype
47,ALIMENTARY TRACT AND METABOLISM,Intestinal Function,In Vivo Evaluation of Spasmolytic Activity in Rats,In vivo efficacy,,Vogel_2008
48,ALIMENTARY TRACT AND METABOLISM,Intestinal Function,Intestinal Drug Absorption,In vivo efficacy,,Vogel_2008
49,ALIMENTARY TRACT AND METABOLISM,Intestinal Function,Laxative Activity in Rats,In vivo efficacy,,Vogel_2008
50,ALIMENTARY TRACT AND METABOLISM,Intestinal Function,Propulsive Gut Motility in Mice,In vivo efficacy,,Vogel_2008
51,ALIMENTARY TRACT AND METABOLISM,Intestinal Function,Stomach Emptying and Intestinal Absorption in Rats,In vivo efficacy,,Vogel_2008
52,ALIMENTARY TRACT AND METABOLISM,Liver Function,Allyl Alcohol Induced Liver Necrosis in Rats,In vivo efficacy,,Vogel_2008
53,ALIMENTARY TRACT AND METABOLISM,Liver Function,Bile Duct Ligation Induced Liver Fibrosis in Rats,In vivo efficacy,,Vogel_2008
54,ALIMENTARY TRACT AND METABOLISM,Liver Function,Carbon tetrachloride CCl4 Induced Liver Fibrosis in Rats,In vivo efficacy,,Vogel_2008
55,ALIMENTARY TRACT AND METABOLISM,Liver Function,Galactosamine Induced Liver Necrosis,In vivo efficacy,,Vogel_2008
56,ALIMENTARY TRACT AND METABOLISM,Liver Function,General Models of Drug Induced Liver Injury,In vivo efficacy,,phenotype
57,ALIMENTARY TRACT AND METABOLISM,Liver Function,General Models of Hepatotoxic and Hepatoprotective Activity,In vivo efficacy,,phenotype
58,ALIMENTARY TRACT AND METABOLISM,Liver Function,Hepatitis in Long Evans Cinnamon Rats,In vivo efficacy,,Vogel_2008
59,ALIMENTARY TRACT AND METABOLISM,Liver Function,Liver Fibrosis Induced by Schistosome Cercariae,In vivo efficacy,,Vogel_2008
60,ALIMENTARY TRACT AND METABOLISM,Liver Function,Temporary Hepatic Ischemia,In vivo efficacy,,Vogel_2008
61,ALIMENTARY TRACT AND METABOLISM,Measurement of Blood Glucose-Lowering and Antidiabetic Activity,Anti-Diabetic Effects of Liver X Receptor Agonists,In vivo efficacy,,Vogel_2008
62,ALIMENTARY TRACT AND METABOLISM,Measurement of Blood Glucose-Lowering and Antidiabetic Activity,Blood Glucose Lowering Effect,In vivo efficacy,,Vogel_2008
63,ALIMENTARY TRACT AND METABOLISM,Measurement of Blood Glucose-Lowering and Antidiabetic Activity,Effects of Insulin Sensitizer Drugs,In vivo efficacy,,Vogel_2008
64,ALIMENTARY TRACT AND METABOLISM,Measurement of Blood Glucose-Lowering and Antidiabetic Activity,Euglycemic Clamp Technique,In vivo efficacy,,Vogel_2008
65,ALIMENTARY TRACT AND METABOLISM,Measurement of Blood Glucose-Lowering and Antidiabetic Activity,General Anti-Diabetic Activity,In vivo efficacy,,phenotype
66,ALIMENTARY TRACT AND METABOLISM,Measurement of Blood Glucose-Lowering and Antidiabetic Activity,General Anti-Hyperglycemic Activity,In vivo efficacy,,phenotype
