bao_id,label
BAO_0000006,percent cytotoxicity
BAO_0000007,nucleosome format
BAO_0000008,bioassay type
BAO_0000009,ADMET
BAO_0000010,functional
BAO_0000015,bioassay
BAO_0000016,protein substrate and ligand constant
BAO_0000019,assay format
BAO_0000033,Bmax
BAO_0000034,Kd
BAO_0000041,binding type
BAO_0000042,Cue Signal Response assay
BAO_0000074,mode of action
BAO_0000082,percent response
BAO_0000084,ligand function mode of action
BAO_0000085,irreversible binding
BAO_0000086,reversible binding
BAO_0000087,activation
BAO_0000090,cytotoxicity
BAO_0000091,inhibition
BAO_0000093,stimulation
BAO_0000094,growth inhibition
BAO_0000096,percent growth inhibition
BAO_0000098,screening concentration
BAO_0000100,small-molecule physicochemical format
BAO_0000103,endpoint action correlation
BAO_0000110,protein-small molecule interaction assay
BAO_0000131,positively correlated
BAO_0000140,inversely correlated
BAO_0000143,percent control
BAO_0000162,metal ion redistribution assay
BAO_0000179,result
BAO_0000180,concentration endpoint
BAO_0000181,response endpoint
BAO_0000186,AC50
BAO_0000187,CC50
BAO_0000188,EC50
BAO_0000189,GI50
BAO_0000190,IC50
BAO_0000191,IC80
BAO_0000192,Ki
BAO_0000193,fold change
BAO_0000194,TGI
BAO_0000197,IC50 absolute
BAO_0000198,IC50 relative
BAO_0000199,pIC50
BAO_0000200,percent activation
BAO_0000201,percent inhibition
BAO_0000202,percent cell viability
BAO_0000217,biochemical format
BAO_0000218,organism-based format
BAO_0000219,cell-based format
BAO_0000220,subcellular format
BAO_0000221,tissue-based format
BAO_0000223,protein complex format
BAO_0000224,protein format
BAO_0000225,nucleic acid format
BAO_0000249,cell membrane format
BAO_0000250,cytosol format
BAO_0000251,microsome format
BAO_0000252,mitochondrion format
BAO_0000253,nuclear extract format
BAO_0000254,whole cell lysate format
BAO_0000255,rabbit reticulocyte lysate format
BAO_0000260,signal increase corresponding to activation
BAO_0000261,signal decrease corresponding to inhibition
BAO_0000346,50 percent activation
BAO_0000347,50 percent inhibition
BAO_0000348,80 percent inhibition
BAO_0000349,50 percent cell viability
BAO_0000357,single protein format
BAO_0000366,cell-free format
BAO_0000375,fold activation
BAO_0000376,fold inhibition
BAO_0000378,protein redistribution assay
BAO_0000379,second messenger redistribution assay
BAO_0000394,protein-nucleotide interaction assay
BAO_0000430,B-score
BAO_0000432,Z-score
BAO_0000434,curve fit specification
BAO_0000435,Hill equation
BAO_0000441,competitive binding
BAO_0000442,non-competitive binding
BAO_0000443,input data
BAO_0000444,normalized data
BAO_0000445,raw data
BAO_0000476,ligand binding mode of action
BAO_0000477,km
BAO_0000479,koff
BAO_0000480,kon
BAO_0000481,kcat
BAO_0000482,competitive inhibition
BAO_0000483,uncompetitive inhibition
BAO_0000485,non-competitive inhibition
BAO_0000487,enzyme kinetic constant
BAO_0000488,partial inhibition
BAO_0000489,allosteric modulation
BAO_0000490,tight binding inhibition
BAO_0000491,time dependent inhibition
BAO_0000519,signal direction
BAO_0000579,saturation binding
BAO_0000581,Tm
BAO_0000583,raw activity
BAO_0000585,temperature endpoint
BAO_0000586,vmax
BAO_0000587,binding constant
BAO_0000588,50 percent cytotoxicity
BAO_0000590,DNA-RNA interaction assay
BAO_0000591,protein-DNA interaction assay
BAO_0000593,protein-RNA interaction assay
BAO_0000599,EC30
BAO_0000610,PubChem endpoint name
BAO_0000625,curve fit model
BAO_0000626,3 parameter Hill equation
BAO_0000629,4 parameter Hill equation
BAO_0000649,calcium redistribution assay
BAO_0000650,cAMP redistribution assay
BAO_0000651,cGMP redistribution assay
BAO_0000653,dye redistribution assay
BAO_0000656,efficacy
BAO_0000804,maximal inhibition
BAO_0000805,maximal activation
BAO_0000819,ion redistribution assay
BAO_0001103,percent activity
BAO_0001106,50 percent growth inhibition
BAO_0001108,100 percent growth inhibition
BAO_0002005,kinase activity assay
BAO_0002006,percent apoptosis
BAO_0002040,percent mitosis
BAO_0002041,cell cycle assay
BAO_0002042,percent interphase
