assay_id,doc_id,description,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id,assay_strain,assay_tissue,assay_cell_type,assay_subcellular_fraction,tid,relationship_type,confidence_score,curated_by,activity_count,assay_source,src_id,src_assay_id,chembl_id,updated_on,updated_by,orig_description,mc_tax_id,mc_organism,mc_target_type,mc_target_name,mc_target_accession,cell_id,bao_format,tissue_id,curation_comment,variant_id,aidx,job_id,log_id,ridx,tid_fixed
1,11087,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,B,,,,,,,,,12052,H,8,Autocuration,1,ORIGINAL,1,,CHEMBL615117,2011-01-19 17:04:50,LJB Desc Spelling,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 microM.,,,,,,,BAO_0000019,,,,CLD0,0,0,CLD0,
2,684,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,F,,,,,,,,,22226,U,0,Autocuration,1,ORIGINAL,1,,CHEMBL615118,2006-04-20 15:42:24,admin_actype,Compound was evaluated for its ability to mobilise calcium in 1321NI cells,,,,,,,BAO_0000219,,,,CLD0,0,0,CLD0,
3,15453,,B,,,,,,,,,22229,U,0,Autocuration,0,ORIGINAL,1,,CHEMBL615119,2004-10-31 12:48:03,admin,,,,,,,,BAO_0000019,,,,CLD0,0,0,CLD0,
4,17841,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,B,,,Bos taurus,9913,,,,,104729,H,4,Autocuration,1,ORIGINAL,1,,CHEMBL615120,2006-12-04 17:22:55,BautoJPO,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]-CGS21680 as radioligand,,,,,,,BAO_0000249,,,,CLD0,0,0,CLD0,
5,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,,,Homo sapiens,9606,,,143B,,80001,N,1,Intermediate,5,ORIGINAL,1,,CHEMBL615121,2013-02-14 14:00:47,set cell-type from tid,In vitro cell cytotoxicity against 143-B cell lines(Human osteosarcoma cell line),,,,,,163,BAO_0000219,,,,CLD0,0,0,CLD0,
6,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,,,Homo sapiens,9606,,,143B,,80001,N,1,Intermediate,2,ORIGINAL,1,,CHEMBL615122,2013-02-14 14:00:47,set cell-type from tid,In vitro cell cytotoxicity against 143-B cell lines(Human osteosarcoma cell line),,,,,,163,BAO_0000219,,,,CLD0,0,0,CLD0,
7,13799,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,F,,,Mus musculus,10090,,,143B,,80001,N,1,Intermediate,2,ORIGINAL,1,,CHEMBL615123,2013-02-14 14:00:47,set cell-type from tid,Cytotoxic Activity of the compound was evaluated against 143B (TK-) tumor cells,,,,,,163,BAO_0000219,,,,CLD0,0,0,CLD0,
8,17774,In vitro cell cytotoxicity was determined against 143B cell line,F,,,Homo sapiens,9606,,,143B,,80001,N,1,Expert,14,ORIGINAL,1,,CHEMBL615124,2013-02-14 14:00:47,set cell-type from tid,In vitro cell cytotoxicity of the compound was determined against 143B cell line,,,,,,163,BAO_0000219,,,,CLD0,0,0,CLD0,
9,3801,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,F,,,Homo sapiens,9606,,,143B,,80001,N,1,Intermediate,8,ORIGINAL,1,,CHEMBL615125,2013-02-14 14:00:47,set cell-type from tid,Inhibitory activity against tumor osteosarcoma cell line 143B after 72h continuous exposure to compound,,,,,,163,BAO_0000219,,,,CLD0,0,0,CLD0,
10,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,,,Homo sapiens,9606,,,143B,,80001,N,1,Intermediate,7,ORIGINAL,1,,CHEMBL615126,2013-02-14 14:00:47,set cell-type from tid,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,,,,,163,BAO_0000219,,,,CLD0,0,0,CLD0,
11,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,,,Homo sapiens,9606,,,143B,,80001,N,1,Intermediate,3,ORIGINAL,1,,CHEMBL615127,2013-02-14 14:00:47,set cell-type from tid,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,,,,,163,BAO_0000219,,,,CLD0,0,0,CLD0,
12,17774,In vitro cell cytotoxicity was determined against 143B-LTK cell line,F,,,Homo sapiens,9606,,,143B,,80001,N,1,Expert,14,ORIGINAL,1,,CHEMBL615128,2013-02-14 14:00:47,set cell-type from tid,In vitro cell cytotoxicity of the compound was determined against 143B-LTK cell line,,,,,,163,BAO_0000219,,,,CLD0,0,0,CLD0,
