drugind_id,record_id,molregno,max_phase_for_ind,mesh_id,mesh_heading,efo_id,efo_term
22606,1390869,675774,2,D045743,"Scleroderma, Diffuse",EFO:0000404,diffuse scleroderma
22607,1390869,675774,4,D001172,"Arthritis, Rheumatoid",EFO:0000685,rheumatoid arthritis
22608,1390869,675774,2,D008180,"Lupus Erythematosus, Systemic",EFO:0002690,systemic lupus erythematosus
22609,1343491,675576,3,D009203,Myocardial Infarction,EFO:0000612,myocardial infarction
22610,1344515,438435,4,D011471,Prostatic Neoplasms,EFO:0001663,prostate carcinoma
22612,1343309,448986,4,D003920,Diabetes Mellitus,EFO:0000400,diabetes mellitus
22613,1343309,448986,3,D024821,Metabolic Syndrome,EFO:0000195,metabolic syndrome
22614,1343309,448986,2,D065626,Non-alcoholic Fatty Liver Disease,EFO:0003095,non-alcoholic fatty liver disease
22615,1343309,448986,4,D003924,"Diabetes Mellitus, Type 2",EFO:0001360,type II diabetes mellitus
22617,1343835,16450,4,D005334,Fever,HP:0001945,fever
22619,1343835,16450,4,D008881,Migraine Disorders,EFO:0003821,migraine disorder
22620,1343835,16450,3,D010003,Osteoarthritis,EFO:0002506,osteoarthritis
22621,1343835,16450,3,D020370,"Osteoarthritis, Knee",EFO:0004616,"osteoarthritis, knee"
22622,1343835,16450,4,D010146,Pain,EFO:0003843,pain
22625,1344903,1125,4,D005901,Glaucoma,EFO:0000516,glaucoma
22626,1344649,674765,4,D005901,Glaucoma,EFO:0000516,glaucoma
22627,1344903,1125,2,D007674,Kidney Diseases,EFO:0003086,kidney disease
22629,1344915,169652,4,D011565,Psoriasis,EFO:0000676,psoriasis
22630,1679369,562404,4,D029424,"Pulmonary Disease, Chronic Obstructive",EFO:0000341,chronic obstructive pulmonary disease
22631,1344035,675482,4,D013167,"Spondylitis, Ankylosing",EFO:0003898,ankylosing spondylitis
22632,1344035,675482,4,D011565,Psoriasis,EFO:0000676,psoriasis
22633,1344035,675482,4,D001172,"Arthritis, Rheumatoid",EFO:0000685,rheumatoid arthritis
22634,1344035,675482,4,D003093,"Colitis, Ulcerative",EFO:0000729,ulcerative colitis
22635,1343400,244450,4,D000152,Acne Vulgaris,EFO:0003894,acne
22637,1702610,1377982,4,D002289,"Carcinoma, Non-Small-Cell Lung",EFO:0003060,non-small cell lung carcinoma
22638,1392866,1121853,3,D008268,Macular Degeneration,EFO:0001365,age-related macular degeneration
22640,1392866,1121853,2,D012164,Retinal Diseases,EFO:0003839,retinopathy
22641,1695896,1380107,4,D003924,"Diabetes Mellitus, Type 2",EFO:0001360,type II diabetes mellitus
22642,1343607,864943,4,D001249,Asthma,EFO:0000270,asthma
22643,1343195,34094,3,D001249,Asthma,EFO:0000270,asthma
22644,1343195,34094,3,D029424,"Pulmonary Disease, Chronic Obstructive",EFO:0000341,chronic obstructive pulmonary disease
22645,1343607,864943,4,D029424,"Pulmonary Disease, Chronic Obstructive",EFO:0000341,chronic obstructive pulmonary disease
22646,1344408,675698,4,D005132,Eye Manifestations,EFO:0005751,eye allergy
22648,1343708,675480,3,D011565,Psoriasis,EFO:0000676,psoriasis
22649,1344479,675582,4,D009103,Multiple Sclerosis,EFO:0003885,multiple sclerosis
22650,1343432,553490,3,D007669,Kidney Calculi,EFO:0003845,kidney stone
22651,1707063,1381980,3,D052439,Lipid Metabolism Disorders,Orphanet:309005,Disorder of lipid metabolism
22652,1707063,1381980,3,D006937,Hypercholesterolemia,HP:0003124,hypercholesterolemia
22654,1344106,1926908,4,D006973,Hypertension,EFO:0000537,hypertension
22657,1344205,395607,4,D006073,Gout,EFO:0004274,gout
22659,1344205,395607,4,D007938,Leukemia,EFO:0000565,leukemia
