cell_id,cell_name,cell_description,cell_source_tissue,cell_source_organism,cell_source_tax_id,clo_id,efo_id,cellosaurus_id,cl_lincs_id,chembl_id,cell_ontology_id
1,DC3F,DC3F,Lung,Cricetulus griseus,10029,,,CVCL_4704,,CHEMBL3307241,
2,P3HR-1,P3HR-1,Lyphoma,Homo sapiens,9606,CLO_0008331,EFO_0002312,CVCL_2676,LCL-2024,CHEMBL3307242,
3,UCLA P-3,UCLA P-3,Lung Adenocarcinoma,Homo sapiens,9606,,,CVCL_N513,,CHEMBL3307243,
4,UMSCC22B,UMSCC22B,Carcinoma,Homo sapiens,9606,,,CVCL_7732,,CHEMBL3307244,
5,UMUC3,UMUC3,Bladder Carcinoma,Homo sapiens,9606,CLO_0009487,EFO_0002387,CVCL_1783,LCL-1721,CHEMBL3307245,
6,V79-4,V79-4,Lung,Cricetulus griseus,10029,CLO_0009504,,CVCL_2796,,CHEMBL3307246,
7,VCR100,VCR100,Leukaemia,Mus musculus,10090,,,,,CHEMBL3307247,
8,W256,W256,Monocytic Carcinosarcoma,Rattus norvegicus,10116,CLO_0007335,,CVCL_3537,,CHEMBL3307248,
9,WEHI265.1,WEHI265.1,Macrophage,Mus musculus,10090,CLO_0009576,,CVCL_3620,,CHEMBL3307249,
10,WiDr-NTR,WiDr-NTR,Colon Adenocarcinoma,Homo sapiens,9606,,,,,CHEMBL3307250,
11,XC,XC,Sarcoma,Rattus norvegicus,10116,CLO_0009645,,CVCL_1891,,CHEMBL3307251,
13,YAPC,YAPC,Pancreas Carincoma,Homo sapiens,9606,CLO_0009711,,CVCL_1794,LCL-1792,CHEMBL3307253,
14,YT-NU,YT-NU,Neuroblastoma,Homo sapiens,9606,,,CVCL_H524,,CHEMBL3307254,
15,T6400,T6400,Fibroblasts,Mus musculus,10090,,,CVCL_R998,,CHEMBL3307255,
16,T78-1,T78-1,Lung,Cricetulus griseus,10029,,,CVCL_X527,,CHEMBL3307256,
17,T78-1/T79-A3,T78-1/T79-A3,Lung,Cricetulus griseus,10029,,,,,CHEMBL3307257,
18,TA3,TA3,Mammary Carcinoma,Mus musculus,10090,,,CVCL_4315,,CHEMBL3307258,
19,UMR106-06,UMR106-06,Osteosarcoma,Rattus norvegicus,10116,,,CVCL_S477,,CHEMBL3307259,
20,AIK-T8,AIK-T8,Lymphocyte,Homo sapiens,9606,,,CVCL_1B43,,CHEMBL3308406,
