hrac_class_id,active_ingredient,level1,level1_description,level2,level2_description,level3,hrac_code
1,CLODINAFOP-PROPARGYL,A,INHIBITION OF ACETYL COA CARBOXYLASE (ACCASE),A1,ARYLOXYPHENOXY-PROPIONATE 'FOPS',A11,A
2,CYHALOFOP-BUTYL,A,INHIBITION OF ACETYL COA CARBOXYLASE (ACCASE),A1,ARYLOXYPHENOXY-PROPIONATE 'FOPS',A12,A
3,DICLOFOP-METHYL,A,INHIBITION OF ACETYL COA CARBOXYLASE (ACCASE),A1,ARYLOXYPHENOXY-PROPIONATE 'FOPS',A13,A
4,FENOXAPROP-P-ETHYL,A,INHIBITION OF ACETYL COA CARBOXYLASE (ACCASE),A1,ARYLOXYPHENOXY-PROPIONATE 'FOPS',A14,A
5,FLUAZIFOP-P-BUTYL,A,INHIBITION OF ACETYL COA CARBOXYLASE (ACCASE),A1,ARYLOXYPHENOXY-PROPIONATE 'FOPS',A15,A
6,HALOXYFOP-R-METHYL,A,INHIBITION OF ACETYL COA CARBOXYLASE (ACCASE),A1,ARYLOXYPHENOXY-PROPIONATE 'FOPS',A16,A
7,PROPAQUIZAFOP,A,INHIBITION OF ACETYL COA CARBOXYLASE (ACCASE),A1,ARYLOXYPHENOXY-PROPIONATE 'FOPS',A17,A
8,QUIZALOFOP-P-ETHYL,A,INHIBITION OF ACETYL COA CARBOXYLASE (ACCASE),A1,ARYLOXYPHENOXY-PROPIONATE 'FOPS',A18,A
9,ALLOXYDIM,A,INHIBITION OF ACETYL COA CARBOXYLASE (ACCASE),A2,CYCLOHEXANEDIONE 'DIMS',A21,A
10,BUTROXYDIM,A,INHIBITION OF ACETYL COA CARBOXYLASE (ACCASE),A2,CYCLOHEXANEDIONE 'DIMS',A22,A
11,CLETHODIM,A,INHIBITION OF ACETYL COA CARBOXYLASE (ACCASE),A2,CYCLOHEXANEDIONE 'DIMS',A23,A
12,CYCLOXYDIM,A,INHIBITION OF ACETYL COA CARBOXYLASE (ACCASE),A2,CYCLOHEXANEDIONE 'DIMS',A24,A
13,PROFOXYDIM,A,INHIBITION OF ACETYL COA CARBOXYLASE (ACCASE),A2,CYCLOHEXANEDIONE 'DIMS',A25,A
14,SETHOXYDIM,A,INHIBITION OF ACETYL COA CARBOXYLASE (ACCASE),A2,CYCLOHEXANEDIONE 'DIMS',A26,A
15,TEPRALOXYDIN,A,INHIBITION OF ACETYL COA CARBOXYLASE (ACCASE),A2,CYCLOHEXANEDIONE 'DIMS',A27,A
16,TRALKOXYDIM,A,INHIBITION OF ACETYL COA CARBOXYLASE (ACCASE),A2,CYCLOHEXANEDIONE 'DIMS',A28,A
17,PINOXADEN,A,INHIBITION OF ACETYL COA CARBOXYLASE (ACCASE),A3,PHENYLPYRAZOLINE 'DEN',A31,A
18,AMIDOSULFURON,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B1,SULFONYLUREA,B11,B
19,AZIMSULFURON,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B1,SULFONYLUREA,B12,B
20,BENSULFURON-METHYL,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B1,SULFONYLUREA,B13,B
21,CHLORIMURON-ETHYL,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B1,SULFONYLUREA,B14,B
22,CHLORSULFURON,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B1,SULFONYLUREA,B15,B
23,CINOSULFURON,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B1,SULFONYLUREA,B16,B
24,CYCLOSULFAMURON,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B1,SULFONYLUREA,B17,B
25,ETHAMETSULFURON-METHYL,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B1,SULFONYLUREA,B18,B
26,ETHOXYSULFURON,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B1,SULFONYLUREA,B19,B
27,FLAZASULFURON,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B1,SULFONYLUREA,B110,B
28,FLUPYRSULFURON-METHYL-NA,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B1,SULFONYLUREA,B111,B
29,FORAMSULFURON,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B1,SULFONYLUREA,B112,B
30,HALOSULFURON-METHYL,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B1,SULFONYLUREA,B113,B
31,IMAZOSULFURON,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B1,SULFONYLUREA,B114,B
32,IODOSULFURON,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B1,SULFONYLUREA,B115,B
33,MESOSULFURON,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B1,SULFONYLUREA,B116,B
34,METSULFURON-METHYL,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B1,SULFONYLUREA,B117,B
35,NICOSULFURON,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B1,SULFONYLUREA,B118,B
36,OXASULFURON,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B1,SULFONYLUREA,B119,B
37,PRIMISULFURON-METHYL,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B1,SULFONYLUREA,B120,B
38,PROSULFURON,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B1,SULFONYLUREA,B121,B
39,PYRAZOSULFURON-ETHYL,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B1,SULFONYLUREA,B122,B
40,RIMSULFURON,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B1,SULFONYLUREA,B123,B
41,SULFOMETURON-METHYL,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B1,SULFONYLUREA,B124,B
42,SULFOSULFURON,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B1,SULFONYLUREA,B125,B
43,THIFENSULFURON-METHYL,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B1,SULFONYLUREA,B126,B
44,TRIASULFURON,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B1,SULFONYLUREA,B127,B
45,TRIBENURON-METHYL,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B1,SULFONYLUREA,B128,B
46,TRIFLOXYSULFURON,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B1,SULFONYLUREA,B129,B
47,TRIFLUSULFURON-METHYL,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B1,SULFONYLUREA,B130,B
48,TRITOSULFURON,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B1,SULFONYLUREA,B131,B
49,IMAZAPIC,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B2,IMIDAZOLINONE,B21,B
50,IMAZAMETHABENZ-METHYL,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B2,IMIDAZOLINONE,B22,B
51,IMAZAMOX,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B2,IMIDAZOLINONE,B23,B
52,IMAZAPYR,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B2,IMIDAZOLINONE,B24,B
53,IMAZAQUIN,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B2,IMIDAZOLINONE,B25,B
54,IMAZETHAPYR,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B2,IMIDAZOLINONE,B26,B
55,CLORANSULAM-METHYL,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B3,TRIAZOLOPYRIMIDINE,B31,B
56,DICLOSULAM,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B3,TRIAZOLOPYRIMIDINE,B32,B
57,FLORASULAM,B,INHIBITION OF ACETOLACTATE SYNTHASE ALS (ACETOHYDROXYACID SYNTHASE AHAS),B3,TRIAZOLOPYRIMIDINE,B33,B
