co_stem_id,res_stem_id,company,country,previous_company
1,646,Xenome,Australia,
2,121,Cellmid,Australia,
3,630,Virax,Australia,
4,34,AMRAD,Australia,
5,161,CSL Ltd,Australia,
6,440,Novogen,Australia,
7,204,Elbion,Belgium,
8,248,Galapagos,Belgium,
9,71,Novartis,Switzerland,Ciba Geigy
10,119,UCB,Belgium,
11,406,UCB,Belgium,
12,464,UCB,Belgium,
13,621,UCB,Belgium,
14,163,Cytochroma,Canada,
15,81,BioChem Pharma,Canada,
16,269,Hemosol,Canada,
17,300,Inex Pharmaceutical,Canada,
18,303,Inflazyme,Canada,
19,310,Inflazyme,Canada,
20,443,Nymox Pharmaceutical,Canada,
21,44,Topotarget,Denmark,
22,496,Topotarget,Denmark,
23,557,Santaris ,Denmark,
24,243,GEA,Denmark,
25,346,Leo Pharma,Denmark,
26,464,Leo Pharma,Denmark,
27,359,Lundbeck,Denmark,
28,436,NeuroSearch,Denmark,
29,425,Novo-Nordisk,Denmark,
30,426,Novo-Nordisk,Denmark,
31,428,Novo-Nordisk,Denmark,
32,228,Orion Pharma,Finland,
33,398,Orion Pharma,Finland,
34,454,Orion Pharma,Finland,
35,640,SanofiAventis,France,
36,245,GenFit,France,
37,5,AB Science,France,
38,87,Beaufour-Ipsen,France,
39,96,Beaufour-Ipsen,France,
40,98,Bioprojet Pharma,France,
41,230,FGene,France,
42,347,Fournier,France,
43,301,Innate Pharma,France,
44,297,Innothera Industries,France,
45,314,Jouveinal Labs.,France,
46,235,Labs. Delagrange,France,
47,157,Labs. Lafon,France,
48,342,Lacer,France,
49,348,LFB Biotechnologies,France,
50,439,Neurotech,France,
51,411,NicOx,France,
52,224,Pierre Fabre,France,
53,564,Pierre Fabre,France,
54,109,SanofiAventis,France,
55,144,SanofiAventis,France,
56,170,SanofiAventis,France,
57,180,SanofiAventis,France,
58,183,SanofiAventis,France,
59,273,SanofiAventis,France,
60,274,SanofiAventis,France,
61,341,SanofiAventis,France,
62,370,SanofiAventis,France,
63,372,SanofiAventis,France,
64,380,SanofiAventis,France,
65,464,SanofiAventis,France,
66,501,SanofiAventis,France,
67,506,SanofiAventis,France,
68,518,SanofiAventis,France,
69,521,SanofiAventis,France,
70,545,SanofiAventis,France,
71,552,SanofiAventis,France,
72,563,SanofiAventis,France,
73,639,SanofiAventis,France,William H. orerR
74,654,SanofiAventis,France,
75,518,Servier,France,
76,21,Aeterna Zentaris,Germany,
77,43,Apogenix,Germany,
78,179,DeveloGen,Germany,
79,258,Ganymed,Germany,
80,315,Jerini,Germany,
81,327,KeyNeurotek,Germany,
82,430,Noxxon Pharma,Germany,
83,625,VasoPharm,Germany,
84,502,Agennix,Germany,
85,63,Asta Medica,Germany,
86,173,Asta Medica,Germany,
87,11,BASF,Germany,
88,74,BASF,Germany,
89,76,Bayer-Schering,Germany,
90,140,Bayer-Schering,Germany,
91,226,Bayer-Schering,Germany,
92,541,Bayer-Schering,Germany,
93,604,Bayer-Schering,Germany,
94,614,Bayer-Schering,Germany,
95,102,Biotest,Germany,
96,85,Boehringer-Ingelheim,Germany,
97,86,Boehringer-Ingelheim,Germany,
98,107,Boehringer-Ingelheim,Germany,
99,329,Boehringer-Ingelheim,Germany,
100,564,Boehringer-Ingelheim,Germany,
101,590,Boehringer-Ingelheim,Germany,
102,637,Boehringer-Ingelheim,Germany,
103,219,Evotec,Germany,
104,227,Fresenius,Germany,
105,349,Fresenius,Germany,
106,260,Godecke,Germany,
107,261,Godecke,Germany,
108,127,Grunenthal,Germany,
109,318,Klinge Pharma,Germany,
110,103,Knoll,Germany,
