met_id,drug_record_id,substrate_record_id,metabolite_record_id,pathway_id,pathway_key,enzyme_name,enzyme_tid,met_conversion,organism,tax_id,met_comment
119,2468083,2468090,2468102,1,"Fig. 2, p.19",,,,Homo sapiens,9606,
120,2468083,2468083,2468093,1,"Fig. 2, p.19",,,,Homo sapiens,9606,
121,2468083,2468083,2468103,1,"Fig. 2, p.19",,,,Homo sapiens,9606,
122,2468083,2468083,2468094,1,"Fig. 2, p.19",,,,Homo sapiens,9606,
123,2468083,2468083,2468090,1,"Fig. 2, p.19",,,,Homo sapiens,9606,
124,2468083,2468090,2468091,1,"Fig. 2, p.19",,,,Homo sapiens,9606,
125,2468083,2468090,2468092,1,"Fig. 2, p.19",,,,Homo sapiens,9606,
127,2468125,2468125,2468129,3,"Fig. 9, p164/165",,,O-dealkylation,Homo sapiens,9606,
128,2468125,2468125,2468129,2,"Fig. 2.1.4.1, p.46",,,O-demethylation of the methoxypropoxy side chain,Callithrix jacchus,9483,
129,2468125,2468125,2468129,1,"Fig. 2, p.19",,,Oxidative dealkylation,Homo sapiens,9606,
130,2468125,2468127,2468129,1,"Fig. 2.1.1.1, p.35",,,,Mus musculus,10090,Species: Figure legend also mentions Rattus norvegicus.
131,2468125,2468130,2468129,1,"Fig. 2.1.1.1, p.35",,,,Mus musculus,10090,Species: Figure legend also mentions Rattus norvegicus.
132,2468125,2468127,2468130,1,"Fig. 2.1.1.1, p.35",,,C-oxidation,Mus musculus,10090,Species: Figure legend also mentions Rattus norvegicus.
133,2468125,2468127,2468130,2,"Fig. 2.1.4.1, p.46",,,Oxidation,Callithrix jacchus,9483,
134,2468125,2468127,2468130,3,"Fig. 9, p164/165",,,Oxidation,Homo sapiens,9606,
135,2468125,2468125,2468130,1,"Fig. 2.1.1.1, p.35",,,,Mus musculus,10090,Species: Figure legend also mentions Rattus norvegicus.
136,2468125,2468128,2468131,1,"Fig. 2.1.1.1, p.35",,,Glucuronidation,Mus musculus,10090,Species: Figure legend also mentions Rattus norvegicus.
137,2468125,2468129,2468132,1,"Fig. 2.1.1.1, p.35",,,Glucuronidation,Mus musculus,10090,Species: Figure legend also mentions Rattus norvegicus.
138,2468125,2468129,2468132,3,"Fig. 9, p164/165",,,O-glucuronidation,Homo sapiens,9606,
139,2468125,2468130,2468129,3,"Fig. 9, p164/165",,,,Homo sapiens,9606,
140,2468125,2468127,2468129,3,"Fig. 9, p164/165",,,,Homo sapiens,9606,
141,2468125,2468125,2468135,2,"Fig. 2.1.4.1, p.46",,,Cyclization of the carboxylic acid intermediate,Callithrix jacchus,9483,
142,2468125,2468125,2468135,3,"Fig. 9, p164/165",,,,Homo sapiens,9606,
143,2468125,2468125,2468137,3,"Fig. 9, p164/165",,,,Homo sapiens,9606,
144,2468125,2468125,2468138,2,"Fig. 2.1.4.1, p.46",,,,Callithrix jacchus,9483,
145,2468125,2468125,2468138,3,"Fig. 9, p164/165",,,,Homo sapiens,9606,
146,2468125,2468125,2468139,3,"Fig. 9, p164/165",,,Hydrolysis of amino-isobutyramide group,Homo sapiens,9606,
147,2468125,2468125,2468139,2,"Fig. 2.1.4.1, p.46",,,Hydrolysis of the central amide bond,Callithrix jacchus,9483,
148,2468125,2468125,2468127,1,"Fig. 2.1.1.1, p.35",,,N-demethylation,Mus musculus,10090,Species: Figure legend also mentions Rattus norvegicus.
149,2468125,2468125,2468127,3,"Fig. 9, p164/165",,,O-demethylation,Homo sapiens,9606,
150,2468125,2468125,2468127,2,"Fig. 2.1.4.1, p.46",,,O-demethylation of the methoxypropoxy side chain,Callithrix jacchus,9483,
151,2468125,2468125,2468128,3,"Fig. 9, p164/165",,,O-demethylation,Homo sapiens,9606,
152,2468125,2468125,2468128,1,"Fig. 2.1.1.1, p.35",,,Oxidative dealkylation,Mus musculus,10090,Species: Figure legend also mentions Rattus norvegicus.
153,2468125,2468130,2468129,2,"Fig. 2.1.4.1, p.46",,,Dealkylation,Callithrix jacchus,9483,
180,2469415,2469415,2469642,1,fig 6,CYP3A,106175,,Homo sapiens,9606,Conditions:in-vitro
278,2469415,2469415,2469641,1,fig 6,CYP1A,109705,,Homo sapiens,9606,Conditions:in-vitro
279,2469841,2469841,2469301,1,fig 9,CYP3A4/3A5,104999,,Homo sapiens,9606,Conditions:Liver microsomes
280,2469841,2469841,2469300,1,fig 9,CYP3A4/3A5,104999,,Homo sapiens,9606,Conditions:Liver microsomes
281,2469841,2469841,2469302,1,fig 9,CYP3A4/3A5,104999,,Homo sapiens,9606,Conditions:Liver microsomes
282,2469841,2469841,2469303,1,fig 9,CYP3A4/3A5,104999,,Homo sapiens,9606,Conditions:Liver microsomes
283,2469841,2469301,2470014,1,fig 9,,,,Homo sapiens,9606,Conditions:Liver microsomes
284,2469841,2469301,2470184,1,fig 9,CYP3A4/3A5,104999,,Homo sapiens,9606,Conditions:Liver microsomes
285,2469671,2469671,2470074,1,fig 1,NNMT,105674,,Homo sapiens,9606,Conditions:Liver microsomes
286,2469671,2469671,2470075,1,fig 1,Cytochrome P450s,22226,,Homo sapiens,9606,Conditions:Liver microsomes
287,2469671,2470074,2470072,1,fig 1,AOX,12056,,Homo sapiens,9606,Conditions:Liver microsomes
288,2469671,2470074,2470073,1,fig 1,AOX,12056,,Homo sapiens,9606,Conditions:Liver microsomes
289,2470204,2470204,2470205,1,fig 1,,,,Homo sapiens,9606,Conditions: in-vitro
290,2470204,2470205,2470206,1,fig 1,,,,Homo sapiens,9606,Conditions: in-vitro
291,2470204,2470206,2470338,1,fig 1,,,,Homo sapiens,9606,Conditions: in-vitro
292,2470976,2470976,2470187,1,fig 8,CYP3A4,17045,,Homo sapiens,9606,Conditions: in-vitro
293,2470976,2470976,2470202,1,fig 8,CYP3A4/3A5,104999,,Homo sapiens,9606,Conditions: in-vitro
294,2470976,2470842,2470187,1,fig 8,CYP3A4,17045,,Homo sapiens,9606,Conditions: in-vitro
295,2470976,2470976,2470842,1,fig 8,CYP3A4,17045,,Homo sapiens,9606,Conditions: in-vitro
296,2470204,2470338,2469327,1,fig 1,,,,Homo sapiens,9606,Conditions: in-vitro
297,2470204,2470338,2469328,1,fig 1,,,,Homo sapiens,9606,Conditions: in-vitro
298,2470204,2469327,2469328,1,fig 1,,,,Homo sapiens,9606,Conditions: in-vitro
299,2469548,2470598,2470597,1,fig 6,,,,Homo sapiens,9606,
300,2469548,2469333,2469361,1,fig 6,,,,Homo sapiens,9606,
301,2469548,2469333,2470364,1,fig 6,,,,Homo sapiens,9606,
302,2470662,2470662,2470664,1,fig 10,CYP2E1,20056,,Homo sapiens,9606,
303,2470662,2470662,2470663,1,fig 10,CYP2E1,20056,,Homo sapiens,9606,
304,2470662,2470663,2469365,1,fig 10,CYP2E1,20056,,Homo sapiens,9606,
305,2470662,2470663,2469366,1,fig 10,CYP2E1,20056,,Homo sapiens,9606,
306,2470662,2470663,2470352,1,fig 10,CYP2E1,20056,,Homo sapiens,9606,
307,2469548,2469548,2470629,1,fig 6,,,,Homo sapiens,9606,
308,2469548,2469548,2470366,1,fig 6,,,,Homo sapiens,9606,
