who_name,level1,level2,level3,level4,level5,level1_description,level2_description,level3_description,level4_description
sodium fluoride,A,A01,A01A,A01AA,A01AA01,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Caries prophylactic agents
sodium monofluorophosphate,A,A01,A01A,A01AA,A01AA02,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Caries prophylactic agents
olaflur,A,A01,A01A,A01AA,A01AA03,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Caries prophylactic agents
stannous fluoride,A,A01,A01A,A01AA,A01AA04,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Caries prophylactic agents
combinations,A,A01,A01A,A01AA,A01AA30,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Caries prophylactic agents
"sodium fluoride, combinations",A,A01,A01A,A01AA,A01AA51,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Caries prophylactic agents
hydrogen peroxide,A,A01,A01A,A01AB,A01AB02,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment
chlorhexidine,A,A01,A01A,A01AB,A01AB03,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment
amphotericin B,A,A01,A01A,A01AB,A01AB04,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment
polynoxylin,A,A01,A01A,A01AB,A01AB05,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment
domiphen,A,A01,A01A,A01AB,A01AB06,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment
oxyquinoline,A,A01,A01A,A01AB,A01AB07,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment
neomycin,A,A01,A01A,A01AB,A01AB08,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment
miconazole,A,A01,A01A,A01AB,A01AB09,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment
