mol_frac_id,frac_class_id,molregno
129,470,1493237
57,471,499374
60,472,515306
28,473,430452
77,474,990518
30,475,440243
110,476,1403905
54,477,478977
63,478,564534
43,479,447059
3,480,440200
92,481,1220258
51,482,467422
100,483,1241093
111,484,1408902
99,485,1239431
145,487,1674713
93,488,1224083
102,489,1245001
52,490,467479
62,491,558576
121,492,1476114
36,493,442754
112,494,1409605
32,495,442664
53,496,467481
146,497,1677923
118,498,1475366
21,501,316299
133,502,1493656
95,503,1229612
40,505,446779
82,506,1076168
6,509,26722
10,510,56831
106,511,1267018
139,513,1627948
123,514,1486302
114,515,1461886
29,519,435442
131,520,1493581
143,522,1672848
15,523,175969
103,524,1246092
89,525,1205569
144,527,1673193
137,528,1495158
105,531,1266108
7,532,38856
14,533,150887
12,534,112258
22,535,335813
5,536,26590
108,537,1376047
38,538,442756
64,539,612388
96,540,1233596
117,542,1463611
116,545,1463254
72,546,781511
35,547,442753
79,548,1038106
132,550,1493646
86,551,1203528
68,552,694017
83,553,1092788
120,561,1475768
65,563,612825
25,564,388388
134,565,1493853
58,568,499441
128,569,1492847
44,570,447060
23,573,344695
98,574,1238054
122,577,1477108
1,579,6738
101,580,1243162
69,581,695142
88,583,1204003
140,585,1672265
91,588,1218838
48,589,458931
47,590,458929
136,592,1494923
42,594,447058
124,595,1486807
61,596,556852
59,597,505935
80,598,1053502
67,599,675145
27,600,421157
90,601,1210434
84,603,1142493
41,604,447057
126,605,1489701
85,606,1203455
55,607,488114
31,608,442458
81,609,1068884
2,610,381700
75,611,961603
9,612,47984
4,613,13725
142,614,1672660
33,615,442734
37,616,442755
73,617,843943
113,618,1413367
141,619,1672641
97,620,1234484
104,621,1248017
39,628,442758
8,631,39585
87,632,1203657
20,633,255935
19,635,243586
18,636,242394
17,637,242393
24,641,347123
135,642,1494107
76,643,967667
11,647,95026
127,652,1489721
119,655,1475656
138,656,1495313
13,658,118976
34,658,442735
130,660,1493580
66,662,674690
45,663,452466
50,664,461960
49,665,461931
16,668,198725
74,670,943211
26,671,388389
94,673,1224390
56,674,488115
71,675,708407
147,676,1678348
46,679,453582
115,680,1462791
78,681,1019749
107,682,1311101
109,685,1379245
