patent_use_code,definition
U-1,PREVENTION OF PREGNANCY
U-10,DIAGNOSTIC METHOD FOR DISTINGUISHING BETWEEN HYPOTHALAMIC MALFUNCTIONS OR LESIONS IN HUMANS
U-100,METHOD OF TREATING OCULAR INFLAMMATION
U-1000,ADJUNCTIVE THERAPY TO DIET IN PATIENTS WITH HYPERLIPIDEMIAS
U-1001,"METHOD FOR DELIVERING DRUG TO LUNG OF MAMMAL, COMPRISING ADMINISTERING DRUG PRODUCT BY INHALATION. TREATING A MAMMAL HAVING A CONDITION CAPABLE OF TREATMENT BY INHALATION, COMPRISING ADMINISTERING TO THE LUNG THE DRUG PRODUCT BY INHALATION"
U-1002,METHOD OF TREATING INFLAMMATORY CONDITIONS
U-1003,A METHOD OF MYOCARDIAL PERFUSION IMAGING AND INCREASING CORONARY BLOOD FLOW
U-1004,TREATMENT OF PATIENTS WITH RELAPSED OR REFRACTORY PERIPHERAL T-CELL LYMPHOMA
U-1005,METHOD OF TREATING A STAPHYLOCOCCAL INFECTION
U-1006,NEW COMBINATION PRODUCT FOR THE EARLY TREATMENT OF RECURRENT HERPES LABIALIS (COLD SORES) TO REDUCE THE LIKELIHOOD OF ULCERATIVE COLD SORES AND TO SHORTEN THE LESION HEALING TIME IN ADULTS AND ADOLESCENTS (12 YEARS OF AGE AND OLDER)
U-1007,METHOD OF TREATING GOUT FLARES
U-1008,APPLICATION OF ANTISEPTIC WITH MOISTURIZERS FOR SURGICAL AND HEALTHCARE PERSONNEL SKIN DISINFECTION
U-1009,METHOD FOR ADMINISTRATION OF TESTOSTERONE
U-101,ADJUNCT TO CONVENTIONAL CT OR MRI IMAGING IN THE LOCALIZATION OF STROKE IN PATIENTS IN WHOM STROKE HAS ALREADY BEEN DIAGNOSED
U-1010,TO REDUCE BLOOD PHENYLALANINE LEVELS IN PATIENTS WITH HYPERPHENYLALANINEMIA DUE TO TETRA HYDROBIOPTERIN RESPONSIVE PHENYLKETONURIA. KUVAN SHOULD BE TAKEN ORALLY WITH FOOD TO INCREASE ABSORPTION
U-1011,USE OF GRANISETRON TRANSDERMAL SYSTEM TO TREAT/PREVENT CHEMOTHERAPY INDUCED NAUSEA AND VOMITING
U-1012,METHOD FOR TREATING INSOMNIA WHILE REDUCING THE RISK OF AN ADVERSE DRUG INTERACTION
U-1013,METHOD OF USING RIBAVIRIN IN COMBINATION WITH PEGYLATED INTERFERON ALPHA-2B TO TREAT PATIENTS WITH CHRONIC HEPATITIS C
