protein_class_id,protein_class_desc,l1,l2,l3,l4,l5,l6,l7,l8
1,enzyme,Enzyme,,,,,,,
2,adhesion,Adhesion,,,,,,,
3,secreted,Secreted protein,,,,,,,
4,structural,Structural protein,,,,,,,
5,nuclear other,Other nuclear protein,,,,,,,
6,enzyme  kinase,Enzyme,Kinase,,,,,,
7,membrane other,Other membrane protein,,,,,,,
8,cytosolic other,Other cytosolic protein,,,,,,,
9,surface antigen,Surface antigen,,,,,,,
10,enzyme  reductase,Enzyme,Oxidoreductase,,,,,,
11,membrane receptor,Membrane receptor,,,,,,,
12,transcription factor,Transcription factor,,,,,,,
13,enzyme  cytochrome p450  cyp_cam,Enzyme,Cytochrome P450,Cytochrome P450 CAM family,,,,,
14,enzyme  protease  serine  pas  s6,Enzyme,Protease,Serine protease,Serine protease PA clan,Serine protease S6 family,,,
15,enzyme  protease  serine  sb  s8a,Enzyme,Protease,Serine protease,Serine protease SB clan,Serine protease S8A subfamily,,,
16,enzyme  protease  serine  sb  s8b,Enzyme,Protease,Serine protease,Serine protease SB clan,Serine protease S8B subfamily,,,
18,enzyme  protease  serine  sc  s10,Enzyme,Protease,Serine protease,Serine protease SC clan,Serine protease S10 family,,,
19,enzyme  protease  serine  sc  s28,Enzyme,Protease,Serine protease,Serine protease SC clan,Serine protease S28 family,,,
20,enzyme  protease  serine  sc  s33,Enzyme,Protease,Serine protease,Serine protease SC clan,Serine protease S33 family,,,
21,enzyme  protease  serine  sc  s9a,Enzyme,Protease,Serine protease,Serine protease SC clan,Serine protease S9A subfamily,,,
22,enzyme  protease  serine  sc  s9b,Enzyme,Protease,Serine protease,Serine protease SC clan,Serine protease S9B subfamily,,,
23,enzyme  protease  serine  se  s11,Enzyme,Protease,Serine protease,Serine protease SE clan,Serine protease S11 family,,,
24,enzyme  protease  serine  se  s12,Enzyme,Protease,Serine protease,Serine protease SE clan,Serine protease S12 family,,,
25,enzyme  protease  serine  se  s13,Enzyme,Protease,Serine protease,Serine protease SE clan,Serine protease S13 family,,,
27,enzyme  protease  serine  sh  s21,Enzyme,Protease,Serine protease,Serine protease SH clan,Serine protease S21 family,,,
28,enzyme  protease  cysteine  ca  c2,Enzyme,Protease,Cysteine protease,Cysteine protease CA clan,Cysteine protease C2 family,,,
29,enzyme  protease  metallo  mae  m49,Enzyme,Protease,Metallo protease,Metallo protease MAE clan,Metallo protease M49 family,,,
30,enzyme  protease  metallo  m-  m79,Enzyme,Protease,Metallo protease,Metallo protease unclassified clan,Metallo protease M79 family,,,
31,enzyme  protease  metallo  mae  m1,Enzyme,Protease,Metallo protease,Metallo protease MAE clan,Metallo protease M1 family,,,
