alert_id,alert_set_id,alert_name,smarts
1,1,R1 Reactive alkyl halides,"[Br,Cl,I][CX4;CH,CH2]"
2,1,R2 Acid halides,"[S,C](=[O,S])[F,Br,Cl,I]"
3,1,R3 Carbazides,O=CN=[N+]=[N-]
4,1,R4 Sulphate esters,"COS(=O)O[C,c]"
5,1,R5 Sulphonates,"COS(=O)(=O)[C,c]"
6,1,R6 Acid anhydrides,C(=O)OC(=O)
7,1,R7 Peroxides,OO
8,1,R8 Pentafluorophenyl esters,C(=O)Oc1c(F)c(F)c(F)c(F)c1(F)
9,1,R9 Paranitrophenyl esters,C(=O)Oc1ccc(N(=O)~[OX1])cc1
10,1,R10 esters of HOBT,C(=O)Onnn
11,1,R11 Isocyanates & Isothiocyanates,"N=C=[S,O]"
12,1,R12 Triflates,OS(=O)(=O)C(F)(F)F
13,1,R13 lawesson's reagent and derivatives,P(=S)(S)S
14,1,R14 phosphoramides,NP(=O)(N)N
15,1,R15 Aromatic azides,cN=[N+]=[N-]
16,1,R16 beta carbonyl quaternary Nitrogen,"C(=O)C[N+,n+]"
17,1,R17 acylhydrazide,[N;R0][N;R0]C(=O)
18,1,"R18 Quaternary C, Cl, I, P or S","[C+,Cl+,I+,P+,S+]"
19,1,R19 Phosphoranes,C=P
20,1,R20 Chloramidines,[Cl]C([C&R0])=N
21,1,R21 Nitroso,[N&D2](=O)
22,1,R22 P/S Halides,"[P,S][Cl,Br,F,I]"
23,1,R23 Carbodiimide,N=C=N
24,1,R24 Isonitrile,[N+]#[C-]
25,1,R25 Triacyloximes,C(=O)N(C(=O))OC(=O)
26,1,R26 Cyanohydrins,N#CC[OH]
27,1,R27 Acyl cyanides,N#CC(=O)
28,1,R28 Sulfonyl cyanides,S(=O)(=O)C#N
29,1,R29 Cyanophosphonates,P(OCC)(OCC)(=O)C#N
30,1,R30 Azocyanamides,[N;R0]=[N;R0]C#N
31,1,R31 Azoalkanals,[N;R0]=[N;R0]CC=O
32,1,I1 Aliphatic methylene chains 7 or more long,[CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0]
