protclasssyn_id,protein_class_id,protein_class_synonym,syn_type
33666,1,Enzyme,CONCEPT_WIKI
33667,1,Enzymes,CONCEPT_WIKI
33668,1,Biocatalysts,CONCEPT_WIKI
33670,1,Biocatalysts,UMLS
33671,1,Enzymes,UMLS
33672,1,ConceptWiki:c525bb08-30c7-4e6d-ad69-80c569766d12,CW_XREF
33673,1,MESH:D004798,MESH_XREF
33674,10,Oxidoreductases,CONCEPT_WIKI
33675,10,Dehydrogenases,CONCEPT_WIKI
33676,10,Reductases,CONCEPT_WIKI
33677,10,Dehydrogenase,CONCEPT_WIKI
33678,10,Reductase,CONCEPT_WIKI
33680,10,Dehydrogenases,UMLS
33681,10,Reductases,UMLS
33682,10,Reductase,UMLS
33683,10,Dehydrogenase,UMLS
33684,10,Oxidoreductases,UMLS
33685,10,ConceptWiki:3ea331f8-c2e7-47d0-a8dd-ab178d221de7,CW_XREF
33686,10,MESH:D010088,MESH_XREF
33687,100,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A",CONCEPT_WIKI
33688,100,"phosphodiesterase 4A, cAMP-specific",CONCEPT_WIKI
33691,100,ConceptWiki:b56d88b0-350e-4245-becd-567ed0613e46,CW_XREF
33692,1005,Ion Channels,CONCEPT_WIKI
33693,1005,"Channels, Ionic",CONCEPT_WIKI
33694,1005,Ion Channel,CONCEPT_WIKI
33695,1005,Membrane Channel,CONCEPT_WIKI
33696,1005,"Channels, Ion",CONCEPT_WIKI
33697,1005,"Channel, Membrane",CONCEPT_WIKI
33698,1005,Ionic Channels,CONCEPT_WIKI
33699,1005,Membrane Channels,CONCEPT_WIKI
33700,1005,"Channel, Ion",CONCEPT_WIKI
33701,1005,Ionic Channel,CONCEPT_WIKI
33702,1005,"Channel, Ionic",CONCEPT_WIKI
33703,1005,"Channels, Membrane",CONCEPT_WIKI
33705,1005,Ion Channel,UMLS
33706,1005,"Channels, Ionic",UMLS
33707,1005,Membrane Channel,UMLS
33708,1005,"Channels, Ion",UMLS
33709,1005,"Channel, Membrane",UMLS
33710,1005,Ionic Channels,UMLS
33711,1005,"Channel, Ion",UMLS
33712,1005,Membrane Channels,UMLS
33713,1005,"Channel, Ionic",UMLS
33714,1005,Ionic Channel,UMLS
33715,1005,"Channels, Membrane",UMLS
33716,1005,Ion Channels,UMLS
33717,1005,ConceptWiki:e629cc34-0b37-4e71-92e9-6119128f3630,CW_XREF
33718,1005,MESH:D007473,MESH_XREF
33719,101,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B",CONCEPT_WIKI
33720,101,"phosphodiesterase 4B, cAMP-specific",CONCEPT_WIKI
33723,101,ConceptWiki:ee7b82fb-83dd-4c12-90b5-06c5fec89ab9,CW_XREF
33724,1014,"Inositol 1,4,5-Trisphosphate Receptors",CONCEPT_WIKI
33725,1014,"Triphosphate Receptor, Inositol",CONCEPT_WIKI
33726,1014,"1,4,5-INTP Receptor",CONCEPT_WIKI
33727,1014,"Receptor, Inositol Triphosphate",CONCEPT_WIKI
33728,1014,INOSITOL TRISPHOSPHATE 01 04 05 RECEPTORS,CONCEPT_WIKI
33729,1014,"Inositol-1,4,5-Triphosphate Receptor",CONCEPT_WIKI
33730,1014,INSP3 Receptor,CONCEPT_WIKI
33731,1014,"Receptor, IP3",CONCEPT_WIKI
33732,1014,"Receptor, INSP3",CONCEPT_WIKI
33734,1014,"Inositol 1,4,5-Triphosphate Receptors",CONCEPT_WIKI
33735,1014,Inositol Triphosphate Receptor,CONCEPT_WIKI
33736,1014,INOSITOL TRIPHOSPHATE 01 04 05 RECEPTORS,CONCEPT_WIKI
33737,1014,"Receptor, Inositol-1,4,5-triphosphate",CONCEPT_WIKI
33738,1014,IP3 Receptor,CONCEPT_WIKI
33739,1014,"Triphosphate Receptor, Inositol",UMLS
33740,1014,"1,4,5-INTP Receptor",UMLS
33741,1014,"Receptor, Inositol Triphosphate",UMLS
33742,1014,INOSITOL TRISPHOSPHATE 01 04 05 RECEPTORS,UMLS
33743,1014,"Inositol-1,4,5-Triphosphate Receptor",UMLS
33744,1014,INSP3 Receptor,UMLS
33745,1014,"Receptor, IP3",UMLS
33746,1014,"Receptor, INSP3",UMLS
33747,1014,"Inositol 1,4,5-Trisphosphate Receptors",UMLS
33748,1014,"Inositol 1,4,5-Triphosphate Receptors",UMLS
33749,1014,Inositol Triphosphate Receptor,UMLS
33750,1014,INOSITOL TRIPHOSPHATE 01 04 05 RECEPTORS,UMLS
33751,1014,IP3 Receptor,UMLS
33752,1014,"Receptor, Inositol-1,4,5-triphosphate",UMLS
33753,1014,ConceptWiki:26703450-0b21-404b-84d6-db861de5a6b1,CW_XREF
33754,1014,MESH:D053496,MESH_XREF
33755,1015,"Potassium Channels, Inwardly Rectifying",CONCEPT_WIKI
33756,1015,Inwardly Rectifying Potassium Channel,CONCEPT_WIKI
33757,1015,K CHANNEL INWARDLY RECTIFYING,CONCEPT_WIKI
33758,1015,IRK1 Channel,CONCEPT_WIKI
