mol_atc_id,level5,molregno
37364,J01DC06,454514
37365,L02AE04,675285
37366,N03AX18,88739
37367,B05XA10,2197498
37368,P03AC52,1152067
37369,S01GA53,114810
37370,A02BC03,5975
37371,D01AE07,604618
37372,L01XX40,69277
37373,S01EB04,675180
37374,A16AX10,1383028
37375,C08CA03,486789
37376,G03CA53,674924
37377,N07XX01,1052744
37378,L04AA03,1381247
37379,A03AX04,1249092
37380,D11AH02,674637
37381,R02AB01,2197622
37382,R03BA06,381691
37383,H05BX03,674761
37384,G03DA04,12825
37385,J04AB30,1451061
37386,P01AX01,1376416
37387,D01AE11,253862
37388,R05CB06,253571
37389,G03CA01,31241
37390,G04BD06,618127
37391,J01DC05,458729
37392,J01DD04,83724
37393,D11AX13,328158
37394,V04CG03,2197391
37395,A04AD12,399361
37396,V03AC03,564990
37397,S01ED01,8531
37398,N07XX10,102755
37399,G02CC02,51056
37400,P01BX01,152728
37401,L04AA25,675779
37402,N03AF04,139940
37403,N05CD12,96652
37404,N03AA03,65728
37405,C02AA05,674466
37406,A01AC01,674400
37407,A12CC08,2039274
37408,C05CA05,2039257
37409,N06BX21,2039361
37410,V03AN01,697236
37411,R07AA01,674688
37412,R06AA06,1383214
37413,L03AB06,1380775
37414,M02AA09,153408
37415,M02AA17,97010
37416,N05CC01,453652
37417,A10BC01,1078587
37418,A07EA04,27152
37419,D08AL30,693216
37420,V09IX06,674695
37421,R05DB17,1377323
37422,L03AX18,993429
37423,D07AC10,674496
37424,D08AH03,130007
37425,L01XC03,1121953
37426,A07EA02,374052
37427,H02AB02,954312
37428,L01BB02,674702
37429,L01BC02,368538
37430,S01BC07,621308
37431,L03AX14,957194
37432,R07AB53,193343
37433,S01HA06,147956
37434,B05XA06,674410
37435,P02CC02,700190
37436,L01CA03,401769
37437,L01DB05,1078604
37438,A02BX10,1377804
37439,N07BC02,27576
37440,H02AB09,374052
37441,A11GA01,443348
37442,V08AB03,675242
37443,V09XX04,2096400
37444,V10AX06,2096375
37445,N03AX14,252155
37446,J01GB04,325239
37447,A03AB14,1042479
37448,L01XC28,1763549
37449,N05CX04,139608
37450,M01AX68,876580
37451,A01AB22,371546
37452,A03AB16,2039175
37453,D02BA02,1672475
37454,G04CA04,33307
37455,J05AF09,74911
37456,J01GB01,577488
37457,R05CA06,1380378
37458,S01CB02,182546
37459,C05BB05,13456
37460,S02BA03,27370
37461,B01AF02,397524
37462,V09AX03,2039213
37463,D09AA01,312304
37464,J07AE02,1381205
37465,D01AE14,353011
37466,R03BA06,674400
37467,B05XX02,674342
37468,M01CB05,2039184
37469,H02AB05,674293
37470,J01FA01,12506
37471,P03AA03,1379238
37472,N02BG09,284208
37473,A09AA02,675598
37474,S01GX07,27309
37475,D08AC02,48849
37476,H02AB06,27370
37477,R03DX05,675485
37478,P01CA02,15890
37479,L01XE01,88797
37480,A05BA04,1376727
37481,N03AD01,31811
37482,R03AC06,1013780
37483,V04CG05,563451
37484,C03CA03,258666
37485,V03AE08,1763559
37486,R06AC04,231013
37487,R06AX02,11005
37488,G03CA03,27626
37489,L04AA40,467361
37490,L01XE45,299120
37491,N02CX08,2039299
37492,N03AX24,318390
37493,N07XX14,60371
37494,G04CX04,1926910
37495,A10BH07,1148185
37496,A06AH05,1378025
37497,B02BX08,1376153
37498,A02BX14,1078535
37499,V03AB02,439020
37500,G01AF06,873560
37501,J04AC51,4941
37502,N05AF03,80209
37503,M09AA72,255947
37504,N01BA04,652997
37505,C05AA09,954312
37506,A08AA09,1383402
37507,P01AR03,1152056
37508,N02BA15,2096376
37509,A03FA08,1376793
37510,J06BB21,1380936
37511,C02CC05,1383081
37512,J01XX06,458901
37513,N03AG06,122170
37514,B01AB09,675608
37515,V03AB04,359778
37516,P01AX07,19101
37517,J01MA13,1616
37518,D01AC08,255904
37519,M03BA05,1376553
37520,N02BG06,458338
37521,N02CA52,2203
37522,R03BB01,1406675
37523,C03CA01,2046
37524,A01AB03,48849
37525,G03BA03,364520
37526,G03CC06,328137
37527,M01AX04,989360
37528,L03AX15,1379624
37529,A02AC01,674490
37530,J01XX09,374037
37531,R03DA05,794445
37532,V09GX04,674678
37533,B05XA17,675009
37534,A05BA06,1627947
37535,C02CC02,43086
37536,C10AA08,675704
37537,C10AX06,674662
37538,N04AC30,1376543
37539,N05BC01,99389
37540,C04AX11,1383207
37541,A07EA04,674489
37542,N05AD05,65538
37543,A16AA04,21036
37544,A06AA02,1246443
37545,N06DA02,9372
37546,L04AA29,367860
37547,A07EA02,674513
37548,C08CA16,699483
37549,P03AC04,421902
37550,R06AD03,320810
37551,D07AA02,150313
37552,G01AF18,1379700
37553,C05CA53,393440
37554,C09CA02,54211
37555,N06AA05,316208
37556,R03DX01,150549
37557,C04AX26,181585
37558,N05CH01,3012
37559,L04AX04,63649
37560,C07AB10,139268
37561,L03AA03,1381400
37562,N06AA14,176875
37563,B01AC02,418428
37564,V08AA02,563573
37565,G03XA02,1209273
37566,L01XE05,276734
37567,L04AC07,699373
37568,L04AB01,675371
37569,N04BC06,675038
37570,B01AC05,60319
37571,S01LA01,1449158
37572,D06BB08,1376610
37573,D08AG03,675176
37574,G04CA03,23093
37575,L01CB01,68607
37576,N05BA09,111390
37577,S01CB03,674919
37578,C01AA03,1381438
37579,L01XE26,1377987
37580,N05AX15,1340277
37581,R05DA04,675465
37582,R06AB51,54051
37583,S01JA02,1536282
37584,G01AB01,754676
37585,M01CB04,1531962
37586,B01AB01,675515
37587,D08AJ06,371614
37588,N05AX07,1383470
37589,S01BA14,674816
37590,N02AX05,139237
37591,N02BA01,1280
37592,A03AB06,1376043
37593,J01MB03,119300
37594,N06BX01,95805
37595,J01DB05,485902
37596,M01AC06,20496
37597,N05CA06,2326
37598,R02AD02,6723
37599,V10XX01,1379795
37600,P01AA01,373973
37601,C02CA06,33469
37602,V09AX05,1145509
37603,B05AA10,1381428
37604,B01AC18,755916
37605,A10AF01,675534
37606,A16AB12,1380942
37607,B03AB04,2039256
37608,P03AB01,16530
37609,D07AA02,674513
37610,J06BB16,675484
37611,C09AA09,1592409
37612,N06AX01,262631
37613,V09DX01,2039233
37614,R06AE09,675142
37615,S01ED54,255221
37616,D07AB03,675343
37617,G03CC05,860
37618,S01BA07,675015
37619,R03BA08,1347273
37620,B06AA03,675561
37621,C03AA08,453564
37622,C03BA04,134333
37623,A10BX01,1380712
37624,R06AC05,835863
37625,D07XB02,381691
37626,M03BB53,315123
37627,N06AX16,27278
37628,A14AA05,674536
37629,A07EA01,182546
37630,P01AA05,1152049
37631,A03FA02,557741
37632,C04AX21,1043745
37633,A02BC06,675812
37634,V09DA01,674874
37635,S01CB05,675015
37636,J01EA01,1216
37637,J01CA14,1248695
37638,J01DC04,674969
37639,N02CC06,421034
37640,R03AC04,49226
37641,R03CB51,1994
37642,B05CB01,674525
37643,A08AA56,351701
37644,M09AX04,1381001
37645,S01GA05,219334
