tissue_id,uberon_id,pref_name,efo_id,chembl_id,bto_id,caloha_id
2,UBERON:0000002,Uterine cervix,,CHEMBL3988026,,
4,UBERON:0000004,Nose,,CHEMBL3987869,,
6,UBERON:0000006,Islets of langerhans,,CHEMBL4296343,,
7,UBERON:0000007,Pituitary gland,UBERON:0000007,CHEMBL3638173,BTO:0001073,TS-0798
9,UBERON:0000009,Submucosa,,CHEMBL3987982,,
14,UBERON:0000014,Zone of skin,UBERON:0000014,CHEMBL3638174,,
23,UBERON:0000023,Wing,,CHEMBL3988049,,
25,UBERON:0000025,Tube,,CHEMBL3988015,,
29,UBERON:0000029,Lymph node,UBERON:0000029,CHEMBL3638175,BTO:0000784,TS-0579
30,UBERON:0000030,Lamina propria,,CHEMBL3987795,,
33,UBERON:0000033,Head,,CHEMBL3987761,,
43,UBERON:0000043,Tendon,,CHEMBL3988000,,
44,UBERON:0000044,Dorsal root ganglion,,CHEMBL3833581,,
45,UBERON:0000045,Ganglion,,CHEMBL3987746,,
55,UBERON:0000055,Vessel,,CHEMBL3988044,,
56,UBERON:0000056,Ureter,,CHEMBL3885901,,
57,UBERON:0000057,Urethra,,CHEMBL3988023,,
58,UBERON:0000058,Duct,,CHEMBL3987715,,
59,UBERON:0000059,Large intestine,,CHEMBL3987796,,
62,UBERON:0000062,Organ,,CHEMBL3987880,,
65,UBERON:0000065,Respiratory tract,,CHEMBL3987939,,
69,UBERON:0000069,Larval stage,,CHEMBL3987601,,
70,UBERON:0000070,Pupal stage,,CHEMBL3987927,,
85,UBERON:0000085,Morula,,CHEMBL3987845,,
104,UBERON:0000104,Life cycle,,CHEMBL3987810,,
107,UBERON:0000107,Cleavage stage,,CHEMBL3987683,,
108,UBERON:0000108,Blastula stage,,CHEMBL3987654,,
109,UBERON:0000109,Gastrula stage,,CHEMBL3987750,,
115,UBERON:0000115,Lung epithelium,,CHEMBL3987824,,
119,UBERON:0000119,Cell layer,,CHEMBL3987670,,
120,UBERON:0000120,Blood brain barrier,,CHEMBL3987461,,
127,UBERON:0000127,Facial nucleus,,CHEMBL3987739,,
151,UBERON:0000151,Pectoral fin,,CHEMBL3987897,,
160,UBERON:0000160,Intestine,UBERON:0000160,CHEMBL3638176,BTO:0000648,TS-0490
162,UBERON:0000162,Cloaca,,CHEMBL3987684,,
165,UBERON:0000165,Mouth,,CHEMBL3987846,,
173,UBERON:0000173,Amniotic fluid,,CHEMBL3638177,BTO:0000068,TS-0034
174,UBERON:0000174,Excreta,,CHEMBL3987733,,
175,UBERON:0000175,Pleural effusion,,CHEMBL3987913,,
177,UBERON:0000177,Pus,,CHEMBL3987929,,
178,UBERON:0000178,Blood,UBERON:0000178,CHEMBL3638178,BTO:0000089,TS-0079
200,UBERON:0000200,Gyrus,,CHEMBL3987758,,
211,UBERON:0000211,Ligament,,CHEMBL3987811,,
305,UBERON:0000305,Amnion,,CHEMBL3987541,,
307,UBERON:0000307,Blastula,,CHEMBL3987653,,
310,UBERON:0000310,Breast,,CHEMBL3987569,,
316,UBERON:0000316,Cervical mucus,,CHEMBL3987675,,
317,UBERON:0000317,Colonic mucosa,,CHEMBL3987686,,
325,UBERON:0000325,Gastric gland,,CHEMBL3638179,BTO:0000503,
326,UBERON:0000326,Pancreatic juice,,CHEMBL3987888,,
331,UBERON:0000331,Ileal mucosa,,CHEMBL3987772,,
341,UBERON:0000341,Throat,,CHEMBL3988004,,
344,UBERON:0000344,Mucosa,,CHEMBL3987847,,
345,UBERON:0000345,Myelin,,CHEMBL3987850,,
347,UBERON:0000347,Myelin sheath,,CHEMBL3987851,,
349,UBERON:0000349,Limbic system,,CHEMBL3638180,BTO:0000928,TS-1307
353,UBERON:0000353,Parenchyma,,CHEMBL3987893,,
359,UBERON:0000359,Preputial gland,,CHEMBL3987584,,
362,UBERON:0000362,Renal medulla,UBERON:0000362,CHEMBL3638181,BTO:0001167,TS-1157
365,UBERON:0000365,Urothelium,,CHEMBL3988025,,
369,UBERON:0000369,Corpus striatum,,CHEMBL3987697,,
376,UBERON:0000376,Thigh,EFO:0001943,CHEMBL3638182,BTO:0001376,TS-2039
387,UBERON:0000387,Meniscus,,CHEMBL3987833,,
403,UBERON:0000403,Scalp,,CHEMBL3987949,,
411,UBERON:0000411,Visual cortex,,CHEMBL3988047,,
412,UBERON:0000412,Dermal papilla,,CHEMBL3987706,,
437,UBERON:000437,Proximal metaphysis,,CHEMBL3988121,,
440,UBERON:0000440,Trabecula,,CHEMBL3988012,,
451,UBERON:0000451,Prefrontal cortex,,CHEMBL3987919,,
473,UBERON:0000473,Testis,UBERON:0000473,CHEMBL3638183,BTO:0001363,TS-1030
479,UBERON:0000479,Tissue,,CHEMBL3988010,,
483,UBERON:0000483,Epithelium,,CHEMBL3987730,,
910,UBERON:0000910,Chyme,,CHEMBL3987680,,
912,UBERON:0000912,Mucus,,CHEMBL3987848,,
913,UBERON:0000913,Interstitial fluid,,CHEMBL3638184,,
916,UBERON:0000916,Abdomen,,CHEMBL3987626,,
922,UBERON:0000922,Embryo,,CHEMBL3987722,,
924,UBERON:0000924,Ectoderm,,CHEMBL3987718,,
925,UBERON:0000925,Endoderm,,CHEMBL3987723,,
926,UBERON:0000926,Mesoderm,,CHEMBL3987837,,
935,UBERON:0000935,Anterior commissure,,CHEMBL3987635,,
939,UBERON:0000939,Imaginal disc,,CHEMBL3987774,,
945,UBERON:0000945,Stomach,UBERON:0000945,CHEMBL3638185,BTO:0001307,TS-0980
947,UBERON:0000947,Aorta,UBERON:0000947,CHEMBL3638186,BTO:0000135,TS-0046
948,UBERON:0000948,Heart,UBERON:0000948,CHEMBL3638187,BTO:0000562,TS-0445
950,UBERON:0000950,Gracilis,,CHEMBL3987755,,
955,UBERON:0000955,Brain,UBERON:0000955,CHEMBL3638188,BTO:0000142,TS-0095
956,UBERON:0000956,Cerebral cortex,UBERON:0000956,CHEMBL3559724,BTO:0000233,TS-0091
957,UBERON:0000957,Lamina,,CHEMBL3987794,,
958,UBERON:0000958,Medulla of organ,UBERON:0000958,CHEMBL3638189,,
964,UBERON:0000964,Cornea,UBERON:0000964,CHEMBL3638190,BTO:0000286,TS-0171
965,UBERON:0000965,Lens of camera-type eye,UBERON:0000965,CHEMBL3638191,BTO:0000723,TS-0545
966,UBERON:0000966,Retina,UBERON:0000966,CHEMBL3638192,BTO:0001175,TS-0865
970,UBERON:0000970,Eye,UBERON:0000970,CHEMBL3638193,BTO:0000439,TS-0309
971,UBERON:0000971,Ommatidium,,CHEMBL3987879,,
972,UBERON:0000972,Antenna,,CHEMBL3987568,,
974,UBERON:0000974,Neck,,CHEMBL3987857,,
975,UBERON:0000975,Sternum,,CHEMBL3987976,,
976,UBERON:0000976,Humerus,,CHEMBL3987769,,
