mol_hrac_id,hrac_class_id,molregno
136,1,1238673
8,3,51985
161,4,1475652
94,5,1205140
179,6,1493346
189,8,1627951
18,9,180771
43,10,683895
17,11,180769
19,14,180856
10,16,93395
99,17,1207202
184,20,1512208
49,21,694141
46,22,692071
116,25,1225851
183,26,1512207
108,27,1218642
52,29,702307
175,32,1488249
47,34,692099
154,35,1475370
142,36,1243723
156,38,1475509
185,39,1512209
100,40,1207662
34,41,496897
157,42,1475512
144,43,1245386
133,44,1237358
48,45,692130
203,46,1768319
160,49,1475641
110,51,1221599
90,52,1044851
72,53,871764
143,54,1243971
105,56,1214146
193,57,1674527
65,58,813555
181,59,1494924
132,60,1236484
200,61,1677709
204,61,1768550
159,64,1475515
195,64,1675923
191,66,1672487
202,66,1767917
112,67,1223068
190,67,1672310
51,68,698124
5,69,16544
86,70,1224800
194,72,1674564
75,73,910408
109,74,1220828
61,75,757073
89,76,1029721
123,77,1229371
122,79,1228808
50,80,696840
170,82,1476530
198,83,1676436
140,84,1243090
106,86,1217696
78,87,946346
138,88,1242393
79,89,949589
4,90,16529
38,91,612112
59,92,711613
137,93,1241152
82,94,992583
42,95,612458
3,96,16509
76,98,916582
83,99,993810
158,100,1475513
26,102,453495
125,103,1231384
62,104,780521
60,106,744118
12,107,121669
139,108,1242691
73,109,881377
44,110,688935
30,113,454074
28,114,453541
81,115,990929
196,116,1676220
91,118,1048671
11,119,114105
35,119,496901
21,120,371606
192,120,1673546
33,121,469606
173,122,1486227
87,124,1239200
53,126,702415
103,127,1211971
145,129,1245581
150,131,1405557
135,132,1238201
95,133,1205383
40,135,612261
41,136,612262
153,138,1417020
113,139,1225240
174,140,1486774
102,142,1207913
111,146,1221765
71,147,849879
120,150,1227913
178,151,1490302
93,152,1203631
104,153,1214011
169,154,1476352
119,156,1227718
23,161,396839
39,162,612260
84,163,993810
74,164,909441
13,165,158327
151,169,1409629
56,170,705658
57,171,705659
45,172,689509
58,173,705694
9,174,81712
55,175,705620
7,176,41443
54,177,705619
164,178,1476107
141,179,1243502
117,180,1226793
6,181,41442
197,182,1676357
121,183,1228650
14,184,172583
37,185,611896
77,187,941309
70,188,838038
67,189,822920
64,190,798285
80,191,989219
177,192,1489438
115,193,1225545
180,194,1494736
101,195,1207842
66,196,818713
166,199,1476120
107,200,1218031
118,202,1227289
88,203,1016208
167,204,1476121
165,206,1476119
188,208,1592154
201,209,1678072
152,210,1414740
128,212,1234224
15,213,178297
127,214,1233558
147,215,1315911
85,216,1213900
124,217,1230540
63,219,795234
163,220,1476102
97,221,1206487
155,223,1475507
162,224,1475767
22,225,381696
114,227,1225338
96,228,1206478
131,229,1235823
168,230,1476122
149,231,1405104
2,232,13437
29,233,454017
20,236,291099
126,237,1232948
36,238,573492
24,239,412511
199,240,1676519
25,241,433937
32,242,454294
31,243,454216
171,244,1478519
92,245,1062475
130,246,1235576
27,247,453535
98,248,1206496
129,249,1234224
187,250,1590942
186,252,1590036
134,253,1238017
146,253,1247795
148,256,1369899
182,257,1495975
68,263,831710
176,264,1488839
205,267,1768763
172,268,1485977
69,269,837578
1,271,4361
16,272,178619
