std_act_id,standard_type,definition,standard_units,normal_range_min,normal_range_max
1,CC50,Concentration required for 50% cytotoxicity,nM,1.000000000000,10000000.000000000000
2,EC50,Effective concentration for 50% activity,nM,0.010000000000,100000.000000000000
3,GI50,Concentration required for 50% growth inhibition,nM,1.000000000000,10000000.000000000000
4,IC50,Concentration required for 50% inhibition,nM,0.010000000000,100000.000000000000
5,Ki,Inhibition constant,nM,0.010000000000,100000.000000000000
6,Solubility,Solubility ,nM,100.000000000000,1000000000.000000000000
7,Solubility,Solubility,ug.mL-1,0.050000000000,50000.000000000000
8,T1/2,Half-life,hr,0.001000000000,10000.000000000000
9,CL,Clearance,mL.min-1.g-1,0E-12,10000.000000000000
10,CL,Clearance,mL.min-1.kg-1,0E-12,10000.000000000000
11,CL_renal,Renal clearance,mL.min-1.kg-1,0E-12,10000.000000000000
12,CL/F,Clearance/Bioavailability,mL.min-1.kg-1,0E-12,10000.000000000000
13,CLogD,Calculated Log(Distribution Coefficient),-,-10.000000000000,15.000000000000
14,CLogD7.4,Calculated Log(Distribution Coefficient) at pH7.4,-,-10.000000000000,15.000000000000
15,CLogP,Calculated Log(Partition Coefficient),-,-10.000000000000,15.000000000000
16,F,Bioavailability,%,0E-12,150.000000000000
17,IC95,Concentration required for 95% inhibition,nM,0.010000000000,100000.000000000000
18,IFI,Inhibition Frequency (promiscuity) Index,%,0E-12,100.000000000000
19,Inhibition,Inhibition,%,-10.000000000000,150.000000000000
20,LogP,Log(Partition Coefficient),-,-10.000000000000,15.000000000000
21,LogPapp,Log(Apparent permeability),-,-10.000000000000,15.000000000000
22,Tmax,Time for maximum concentration,hr,0.010000000000,1000.000000000000
23,Vd,Volume of Distribution,L.kg-1,0.010000000000,1000.000000000000
24,Vdss,Steady State Volume of Distribution,L.kg-1,0.010000000000,1000.000000000000
25,XC50,Concentration required for 50% effect,nM,0.010000000000,100000.000000000000
26,Vd/F,Volume of distribution after non-intravenous administration,L.kg-1,0.010000000000,1000.000000000000
27,Cmax,Maximum concentration,ug.mL-1,0.000500000000,5000.000000000000
28,Cmax,Maximum concentration,nM,1.000000000000,10000000.000000000000
29,IC50,Concentration required for 50% inhibition,ug.mL-1,0.000005000000,50.000000000000
30,MRT,Mean residence time,hr,0.010000000000,1000.000000000000
31,IC90,Concentration required for 90% inhibition,nM,0.010000000000,100000.000000000000
32,IC90,Concentration required for 90% inhibition,ug.mL-1,0.000005000000,50.000000000000
33,MCC,Minimum cytotoxic concentration,nM,1.000000000000,10000000.000000000000
34,MCC,Minimum cytotoxic concentration,ug.mL-1,0.000500000000,5000.000000000000
35,MIC,Minimum inhibitory concentration,nM,1.000000000000,10000000.000000000000
36,MIC,Minimum inhibitory concentration,ug.mL-1,0.000500000000,5000.000000000000
37,Kd,Dissociation constant,nM,0.010000000000,100000.000000000000
38,Vdss/F,Volume of distribution at steady state after non-intravenous administration,L.kg-1,0.010000000000,1000.000000000000
39,CC50,Concentration required for 50% cytotoxicity,ug.mL-1,0.000500000000,5000.000000000000
40,EC50,Effective concentration for 50% activity,ug.mL-1,0.000005000000,50.000000000000
41,GI50,Concentration required for 50% growth inhibition,ug.mL-1,0.000500000000,5000.000000000000
42,IC99,Concentration required for 99% inhibition,nM,0.010000000000,100000.000000000000
43,IC99,Concentration required for 99% inhibition,ug.mL-1,0.000005000000,50.000000000000
44,LC50,Concentration required for 50% lethality,nM,1.000000000000,10000000.000000000000
45,LC50,Concentration required for 50% lethality,ug.mL-1,0.000500000000,5000.000000000000
46,TGI,Concentration required for total growth inhibition,nM,1.000000000000,10000000.000000000000
47,TGI,Concentration required for total growth inhibition,ug.mL-1,0.000500000000,5000.000000000000
48,LD50,Dose required for 50% lethality,mg.kg-1,0.000500000000,5000.000000000000
49,LD50,Dose required for 50% lethality,umol.kg-1,0.001000000000,10000.000000000000
50,Km,Michaelis constant,nM,10.000000000000,100000000.000000000000
51,Potency,Concentration or dose required to elicit a specific response,nM,1.000000000000,10000000.000000000000
52,AC50,Concentration required for 50% activity,nM,0.010000000000,100000.000000000000
53,ED50,Effective dose for 50% activity,mg.kg-1,0.000500000000,500.000000000000
54,IZ,Zone of inhibition,mm,0E-12,50.000000000000
55,MIC50,Minimum inhibitory concentration in 50% of population,nM,1.000000000000,10000000.000000000000
56,MIC80,Minimum inhibitory concentration in 80% of population,nM,1.000000000000,10000000.000000000000
57,MIC90,Minimum inhibitory concentration in 90% of population,nM,1.000000000000,10000000.000000000000
58,MIC50,Minimum inhibitory concentration in 50% of population,ug.mL-1,0.000500000000,5000.000000000000
59,MIC80,Minimum inhibitory concentration in 80% of population,ug.mL-1,0.000500000000,5000.000000000000
60,MIC90,Minimum inhibitory concentration in 90% of population,ug.mL-1,0.000500000000,5000.000000000000
61,MIC70,Minimum inhibitory concentration in 70% of population,ug.mL-1,0.000500000000,5000.000000000000
62,ID50,Dose required for 50% inhibition,mg.kg-1,0.000500000000,500.000000000000
