ap_id,activity_id,type,relation,value,units,text_value,standard_type,standard_relation,standard_value,standard_units,standard_text_value,comments,result_flag
1,17126237,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
2,17126237,ACTIVITY_TEST,,,,RBC (Erythrocytes),ACTIVITY_TEST,,,,RBC (Erythrocytes),,0
3,17126237,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
4,17126237,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
5,17126237,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,,0
6,17126237,DOSE,=,0E-30,mg/kg,,DOSE,=,0E-30,mg.kg-1,,,0
7,17126237,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
8,17126237,TIME,=,3.000000000000000000000000000000,hr,,TIME,=,3.000000000000000000000000000000,hr,,,0
9,17126237,N_ANIMALS,=,5.000000000000000000000000000000,,,N_ANIMALS,=,5.000000000000000000000000000000,,,,0
10,17126238,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
11,17126238,ACTIVITY_TEST,,,,HGB (Hemoglobin),ACTIVITY_TEST,,,,HGB (Hemoglobin),,0
12,17126238,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
13,17126238,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
14,17126238,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,,0
15,17126238,DOSE,=,0E-30,mg/kg,,DOSE,=,0E-30,mg.kg-1,,,0
16,17126238,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
17,17126238,TIME,=,3.000000000000000000000000000000,hr,,TIME,=,3.000000000000000000000000000000,hr,,,0
18,17126238,N_ANIMALS,=,5.000000000000000000000000000000,,,N_ANIMALS,=,5.000000000000000000000000000000,,,,0
19,17126239,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
20,17126239,ACTIVITY_TEST,,,,HCT (Hematocrit),ACTIVITY_TEST,,,,HCT (Hematocrit),,0
21,17126239,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
22,17126239,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
23,17126239,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,,0
24,17126239,DOSE,=,0E-30,mg/kg,,DOSE,=,0E-30,mg.kg-1,,,0
25,17126239,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
26,17126239,TIME,=,3.000000000000000000000000000000,hr,,TIME,=,3.000000000000000000000000000000,hr,,,0
27,17126239,N_ANIMALS,=,5.000000000000000000000000000000,,,N_ANIMALS,=,5.000000000000000000000000000000,,,,0
28,17126240,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
29,17126240,ACTIVITY_TEST,,,,MCV (Ery. Mean Corpuscular Volume),ACTIVITY_TEST,,,,MCV (Ery. Mean Corpuscular Volume),,0
30,17126240,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
31,17126240,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
32,17126240,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,,0
33,17126240,DOSE,=,0E-30,mg/kg,,DOSE,=,0E-30,mg.kg-1,,,0
34,17126240,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
35,17126240,TIME,=,3.000000000000000000000000000000,hr,,TIME,=,3.000000000000000000000000000000,hr,,,0
36,17126240,N_ANIMALS,=,5.000000000000000000000000000000,,,N_ANIMALS,=,5.000000000000000000000000000000,,,,0
37,17126241,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
38,17126241,ACTIVITY_TEST,,,,MCH (Ery. Mean Corpuscular Hemoglobin),ACTIVITY_TEST,,,,MCH (Ery. Mean Corpuscular Hemoglobin),,0
39,17126241,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
40,17126241,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
41,17126241,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,,0
42,17126241,DOSE,=,0E-30,mg/kg,,DOSE,=,0E-30,mg.kg-1,,,0
43,17126241,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
44,17126241,TIME,=,3.000000000000000000000000000000,hr,,TIME,=,3.000000000000000000000000000000,hr,,,0
45,17126241,N_ANIMALS,=,5.000000000000000000000000000000,,,N_ANIMALS,=,5.000000000000000000000000000000,,,,0
46,17126242,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
47,17126242,ACTIVITY_TEST,,,,MCHC (Ery. Mean Corpuscular HGB Concentration),ACTIVITY_TEST,,,,MCHC (Ery. Mean Corpuscular HGB Concentration),,0
48,17126242,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
49,17126242,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
50,17126242,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,,0
51,17126242,DOSE,=,0E-30,mg/kg,,DOSE,=,0E-30,mg.kg-1,,,0
52,17126242,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
53,17126242,TIME,=,3.000000000000000000000000000000,hr,,TIME,=,3.000000000000000000000000000000,hr,,,0
54,17126242,N_ANIMALS,=,5.000000000000000000000000000000,,,N_ANIMALS,=,5.000000000000000000000000000000,,,,0
55,17126243,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
56,17126243,ACTIVITY_TEST,,,,RETIRBC (Reticulocytes/Erythrocytes),ACTIVITY_TEST,,,,RETIRBC (Reticulocytes/Erythrocytes),,0
57,17126243,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
58,17126243,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
59,17126243,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,SRC_ACTIVITY_ID,=,6.000000000000000000000000000000,,,,0
60,17126243,DOSE,=,0E-30,mg/kg,,DOSE,=,0E-30,mg.kg-1,,,0
61,17126243,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
62,17126243,TIME,=,3.000000000000000000000000000000,hr,,TIME,=,3.000000000000000000000000000000,hr,,,0
63,17126243,N_ANIMALS,=,5.000000000000000000000000000000,,,N_ANIMALS,=,5.000000000000000000000000000000,,,,0
64,17126244,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
65,17126244,ACTIVITY_TEST,,,,PLAT (Platelets),ACTIVITY_TEST,,,,PLAT (Platelets),,0
