activity_id,assay_id,doc_id,record_id,molregno,standard_relation,standard_value,standard_units,standard_flag,standard_type,activity_comment,data_validity_comment,potential_duplicate,pchembl_value,bao_endpoint,uo_units,qudt_units,toid,upper_value,standard_upper_value,src_id,type,relation,value,units,text_value,standard_text_value
31863,54505,6424,206172,180094,>,100000.000000000000000000000000000000,nM,1,IC50,,,0,,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,>,100.000000000000000000000000000000,uM,,
31864,83907,6432,208970,182268,=,2500.000000000000000000000000000000,nM,1,IC50,,,1,5.60,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,2.500000000000000000000000000000,uM,,
31865,88152,6432,208970,182268,>,50000.000000000000000000000000000000,nM,1,IC50,,,0,,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,>,50.000000000000000000000000000000,uM,,
31866,83907,6432,208987,182855,=,9000.000000000000000000000000000000,nM,1,IC50,,,1,5.05,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,9.000000000000000000000000000000,uM,,
31867,88153,6432,208987,182855,,,,0,IC50,Not Determined,,0,,BAO_0000190,,,,,,1,IC50,,,uM,,
31868,154606,6570,297547,252199,=,4000.000000000000000000000000000000,nM,1,IC50,,,0,5.40,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,4.000000000000000000000000000000,uM,,
31869,5080,6570,297547,252199,=,25.000000000000000000000000000000,%,0,% remaining,,,0,,BAO_0000179,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,% remaining,=,25.000000000000000000000000000000,%,,
31870,154606,6570,297563,253534,=,17000.000000000000000000000000000000,nM,1,IC50,,,0,4.77,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,17.000000000000000000000000000000,uM,,
31871,5080,6570,297563,253534,=,27.000000000000000000000000000000,%,0,% remaining,,,0,,BAO_0000179,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,% remaining,=,27.000000000000000000000000000000,%,,
31872,154606,6570,297580,253199,=,180.000000000000000000000000000000,nM,1,IC50,,,0,6.75,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,180.000000000000000000000000000000,nM,,
