tid,target_type,pref_name,tax_id,organism,chembl_id,species_group_flag
1,SINGLE PROTEIN,Maltase-glucoamylase,9606,Homo sapiens,CHEMBL2074,0
2,SINGLE PROTEIN,Sulfonylurea receptor 2,9606,Homo sapiens,CHEMBL1971,0
3,SINGLE PROTEIN,Phosphodiesterase 5A,9606,Homo sapiens,CHEMBL1827,0
4,SINGLE PROTEIN,Voltage-gated T-type calcium channel alpha-1H subunit,9606,Homo sapiens,CHEMBL1859,0
5,SINGLE PROTEIN,Nicotinic acetylcholine receptor alpha subunit,6253,Ascaris suum,CHEMBL1884,0
6,SINGLE PROTEIN,Dihydrofolate reductase,9606,Homo sapiens,CHEMBL202,0
7,SINGLE PROTEIN,Dihydrofolate reductase,83333,Escherichia coli K-12,CHEMBL1809,0
8,SINGLE PROTEIN,Tyrosine-protein kinase ABL,9606,Homo sapiens,CHEMBL1862,0
9,SINGLE PROTEIN,Epidermal growth factor receptor erbB1,9606,Homo sapiens,CHEMBL203,0
10,SINGLE PROTEIN,DNA-directed RNA polymerase beta chain,83333,Escherichia coli K-12,CHEMBL1852,0
11,SINGLE PROTEIN,Thrombin,9606,Homo sapiens,CHEMBL204,0
12,SINGLE PROTEIN,Plasminogen,9606,Homo sapiens,CHEMBL1801,0
13,SINGLE PROTEIN,Beta-lactamase TEM,562,Escherichia coli,CHEMBL2065,0
14,SINGLE PROTEIN,Adenosine deaminase,9606,Homo sapiens,CHEMBL1910,0
15,SINGLE PROTEIN,Carbonic anhydrase II,9606,Homo sapiens,CHEMBL205,0
16,SINGLE PROTEIN,Antithrombin-III,9606,Homo sapiens,CHEMBL1950,0
18,SINGLE PROTEIN,Penicillin-binding protein 1A,83333,Escherichia coli K-12,CHEMBL1813,0
19,SINGLE PROTEIN,Estrogen receptor alpha,9606,Homo sapiens,CHEMBL206,0
21,SINGLE PROTEIN,Neuraminidase,211044,Influenza A virus (A/Puerto Rico/8/1934(H1N1)),CHEMBL2051,0
22,SINGLE PROTEIN,Influenza virus A matrix protein M2,381517,Influenza A virus (A/Udorn/307/1972(H3N2)),CHEMBL2052,0
23,SINGLE PROTEIN,Plasma kallikrein,9606,Homo sapiens,CHEMBL2000,0
24,SINGLE PROTEIN,HMG-CoA reductase,9606,Homo sapiens,CHEMBL402,0
25,SINGLE PROTEIN,Glucocorticoid receptor,9606,Homo sapiens,CHEMBL2034,0
27,SINGLE PROTEIN,Human herpesvirus 1 DNA polymerase,10299,Herpes simplex virus (type 1 / strain 17),CHEMBL1872,0
28,SINGLE PROTEIN,Thymidylate synthase,9606,Homo sapiens,CHEMBL1952,0
29,SINGLE PROTEIN,Sodium/potassium-transporting ATPase alpha-1 chain,9606,Homo sapiens,CHEMBL1807,0
30,SINGLE PROTEIN,Aldehyde dehydrogenase,9606,Homo sapiens,CHEMBL1935,0
32,SINGLE PROTEIN,Cytochrome P450 11A1,9606,Homo sapiens,CHEMBL2033,0
33,SINGLE PROTEIN,Tubulin beta-2 chain,9606,Homo sapiens,CHEMBL1848,0
34,SINGLE PROTEIN,Fibronectin receptor beta,9606,Homo sapiens,CHEMBL1905,0
35,SINGLE PROTEIN,Insulin receptor,9606,Homo sapiens,CHEMBL1981,0
36,SINGLE PROTEIN,Progesterone receptor,9606,Homo sapiens,CHEMBL208,0
37,SINGLE PROTEIN,DNA gyrase subunit B,83333,Escherichia coli K-12,CHEMBL1826,0
38,SINGLE PROTEIN,Epoxide hydrolase 1,9606,Homo sapiens,CHEMBL1968,0
39,SINGLE PROTEIN,Tyrosine 3-hydroxylase,9606,Homo sapiens,CHEMBL1969,0
40,SINGLE PROTEIN,Thyroid peroxidase,9606,Homo sapiens,CHEMBL1839,0
41,SINGLE PROTEIN,Alcohol dehydrogenase alpha chain,9606,Homo sapiens,CHEMBL1970,0
42,SINGLE PROTEIN,Trypsin I,9606,Homo sapiens,CHEMBL209,0
43,SINGLE PROTEIN,Beta-2 adrenergic receptor,9606,Homo sapiens,CHEMBL210,0
45,SINGLE PROTEIN,D-alanylalanine synthetase,83333,Escherichia coli K-12,CHEMBL1956,0
46,SINGLE PROTEIN,Penicillin-binding protein 2,83333,Escherichia coli K-12,CHEMBL1840,0
47,SINGLE PROTEIN,Muscarinic acetylcholine receptor M2,9606,Homo sapiens,CHEMBL211,0
48,SINGLE PROTEIN,Mineralocorticoid receptor,9606,Homo sapiens,CHEMBL1994,0
49,SINGLE PROTEIN,Integrin alpha-IIb,9606,Homo sapiens,CHEMBL212,0
50,SINGLE PROTEIN,Beta-1 adrenergic receptor,9606,Homo sapiens,CHEMBL213,0
51,SINGLE PROTEIN,Serotonin 1a (5-HT1a) receptor,9606,Homo sapiens,CHEMBL214,0
52,SINGLE PROTEIN,Alpha-2a adrenergic receptor,9606,Homo sapiens,CHEMBL1867,0
53,SINGLE PROTEIN,DNA gyrase subunit A,83333,Escherichia coli K-12,CHEMBL1858,0
54,SINGLE PROTEIN,DNA polymerase alpha subunit,9606,Homo sapiens,CHEMBL1828,0
55,SINGLE PROTEIN,Arachidonate 5-lipoxygenase,9606,Homo sapiens,CHEMBL215,0
56,SINGLE PROTEIN,Androgen Receptor,9606,Homo sapiens,CHEMBL1871,0
57,SINGLE PROTEIN,Retinoic acid receptor alpha,9606,Homo sapiens,CHEMBL2055,0
58,SINGLE PROTEIN,Cytochrome P450 51,237561,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),CHEMBL1780,0
59,SINGLE PROTEIN,Thyroid hormone receptor alpha,9606,Homo sapiens,CHEMBL1860,0
60,SINGLE PROTEIN,Growth hormone receptor,9606,Homo sapiens,CHEMBL1976,0
61,SINGLE PROTEIN,Muscarinic acetylcholine receptor M1,9606,Homo sapiens,CHEMBL216,0
62,SINGLE PROTEIN,DNA topoisomerase I,9606,Homo sapiens,CHEMBL1781,0
63,SINGLE PROTEIN,DNA topoisomerase II alpha,9606,Homo sapiens,CHEMBL1806,0
64,SINGLE PROTEIN,Vitamin D receptor,9606,Homo sapiens,CHEMBL1977,0
65,SINGLE PROTEIN,Cytochrome P450 19A1,9606,Homo sapiens,CHEMBL1978,0
68,SINGLE PROTEIN,Inosine-5'-monophosphate dehydrogenase 2,9606,Homo sapiens,CHEMBL2002,0
69,SINGLE PROTEIN,Angiotensin-converting enzyme,9606,Homo sapiens,CHEMBL1808,0
70,SINGLE PROTEIN,Dihydrofolate reductase,5839,Plasmodium falciparum K1,CHEMBL1939,0
71,SINGLE PROTEIN,Farnesyl diphosphate synthase,9606,Homo sapiens,CHEMBL1782,0
72,SINGLE PROTEIN,Dopamine D2 receptor,9606,Homo sapiens,CHEMBL217,0
73,SINGLE PROTEIN,Tyrosinase,9606,Homo sapiens,CHEMBL1973,0
74,SINGLE PROTEIN,GABA receptor alpha-1 subunit,9606,Homo sapiens,CHEMBL1962,0
76,SINGLE PROTEIN,Cytochrome P450 11B1,9606,Homo sapiens,CHEMBL1908,0
77,SINGLE PROTEIN,Pancreatic lipase,9606,Homo sapiens,CHEMBL1812,0
78,SINGLE PROTEIN,Thyroid stimulating hormone receptor,9606,Homo sapiens,CHEMBL1963,0
79,SINGLE PROTEIN,Steroid 5-alpha-reductase 1,9606,Homo sapiens,CHEMBL1787,0
80,SINGLE PROTEIN,FK506-binding protein 1A,9606,Homo sapiens,CHEMBL1902,0
81,SINGLE PROTEIN,Myeloid cell surface antigen CD33,9606,Homo sapiens,CHEMBL1842,0
83,SINGLE PROTEIN,DOPA decarboxylase,9606,Homo sapiens,CHEMBL1843,0
84,SINGLE PROTEIN,Inosine-5'-monophosphate dehydrogenase 1,9606,Homo sapiens,CHEMBL1822,0
86,SINGLE PROTEIN,Monoamine oxidase A,9606,Homo sapiens,CHEMBL1951,0
87,SINGLE PROTEIN,Cannabinoid CB1 receptor,9606,Homo sapiens,CHEMBL218,0
88,SINGLE PROTEIN,Dopamine D1 receptor,9606,Homo sapiens,CHEMBL2056,0
89,SINGLE PROTEIN,Ryanodine receptor 1,9606,Homo sapiens,CHEMBL1846,0
90,SINGLE PROTEIN,Dopamine D4 receptor,9606,Homo sapiens,CHEMBL219,0
91,SINGLE PROTEIN,Catechol O-methyltransferase,9606,Homo sapiens,CHEMBL2023,0
93,SINGLE PROTEIN,Acetylcholinesterase,9606,Homo sapiens,CHEMBL220,0
94,SINGLE PROTEIN,Cytochrome P450 7A1,9606,Homo sapiens,CHEMBL1851,0
95,SINGLE PROTEIN,Luteinizing hormone/Choriogonadotropin receptor,9606,Homo sapiens,CHEMBL1854,0
96,SINGLE PROTEIN,Cyclooxygenase-1,9606,Homo sapiens,CHEMBL221,0
97,SINGLE PROTEIN,Cyclophilin B,9606,Homo sapiens,CHEMBL2075,0
98,SINGLE PROTEIN,Ribonucleoside-diphosphate reductase M1 chain,9606,Homo sapiens,CHEMBL1830,0
99,SINGLE PROTEIN,Follicle stimulating hormone receptor,9606,Homo sapiens,CHEMBL2024,0
100,SINGLE PROTEIN,Norepinephrine transporter,9606,Homo sapiens,CHEMBL222,0
102,SINGLE PROTEIN,Histamine H2 receptor,9606,Homo sapiens,CHEMBL1941,0
103,SINGLE PROTEIN,Alpha-1d adrenergic receptor,9606,Homo sapiens,CHEMBL223,0
104,SINGLE PROTEIN,Monoamine oxidase B,9606,Homo sapiens,CHEMBL2039,0
105,SINGLE PROTEIN,Serotonin 1d (5-HT1d) receptor,9606,Homo sapiens,CHEMBL1983,0
106,SINGLE PROTEIN,Serotonin 1b (5-HT1b) receptor,9606,Homo sapiens,CHEMBL1898,0
107,SINGLE PROTEIN,Serotonin 2a (5-HT2a) receptor,9606,Homo sapiens,CHEMBL224,0
108,SINGLE PROTEIN,Serotonin 2c (5-HT2c) receptor,9606,Homo sapiens,CHEMBL225,0
109,SINGLE PROTEIN,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,83333,Escherichia coli K-12,CHEMBL1984,0
110,SINGLE PROTEIN,Enoyl-[acyl-carrier-protein] reductase,83333,Escherichia coli K-12,CHEMBL1857,0
111,SINGLE PROTEIN,Inositol-1(or 4)-monophosphatase 1,9606,Homo sapiens,CHEMBL1786,0
112,SINGLE PROTEIN,Vasopressin V2 receptor,9606,Homo sapiens,CHEMBL1790,0
113,SINGLE PROTEIN,GABA transporter 1,9606,Homo sapiens,CHEMBL1903,0
114,SINGLE PROTEIN,Adenosine A1 receptor,9606,Homo sapiens,CHEMBL226,0
115,SINGLE PROTEIN,Type-1 angiotensin II receptor,9606,Homo sapiens,CHEMBL227,0
116,SINGLE PROTEIN,Oxytocin receptor,9606,Homo sapiens,CHEMBL2049,0
117,SINGLE PROTEIN,Somatostatin receptor 2,9606,Homo sapiens,CHEMBL1804,0
118,SINGLE PROTEIN,Gonadotropin-releasing hormone receptor,9606,Homo sapiens,CHEMBL1855,0
119,SINGLE PROTEIN,Calcitonin receptor,9606,Homo sapiens,CHEMBL1832,0
120,SINGLE PROTEIN,Steroid 5-alpha-reductase 2,9606,Homo sapiens,CHEMBL1856,0
