Company,Slogan
Costa Coffee,For coffee lovers.
Evian,Evian. Live young.
Dasani,Designed to make a difference.
Heineken,It's all about the beer.
Gatorade,The Legend Continues.
TÃ­o Pepe,Good food tastes better after a glass of Tio Pepe
Tetley's Brewery,Don't Do Things By Halves.
Batemans Brewery,Good Honest Ales
Jones Soda,Run with the little guyâ¦ create some change.
Grapette,Thirsty or Not.
Jif (lemon juice),juice in a jiffy.
Royal Tru,Bring out the crazy!
Oronamin,Genki hatsuratsu.
Culligan,Hey Culligan!
Belvedere Vodka,Belvedere Always Goes Down Smoothly.
Wodka Gorbatschow,The Pure Spirit of Vodka.
White Horse (whisky),you can take a white horse anywhere.
Grand Old Parr,Make friends with Old Parr.
Clan Gregor,Royal is my race.
Finlandia (vodka),Vodka from a Purer Place.
Colgate,"Stronger, healthier gums."
Fanta,"Drink Fanta, stay Bamboocha."
Pizza Hut,Make it great.
Head & Shoulders,Live head first.
Domino's Pizza,Pizza deliver experts.
Ben & Jerry's,"Peace, love & ice cream."
Heineken,It's all about the beer.
Gatorade,The Legend Continues.
Milo,MILO Everyday!
Starbucks,Customize Your Cup.
Audi,Vorsprung durch Technik.
NIVEA,More evolved skincare.
Snickers,Get some nuts!
Nescafe,It all starts with a NescafÃ©.
KFC(Kentucky Fried Chicken),Finger Lickin' Good.
Levi's Jeans,Original jeans. original people.
Lipton,Be more tea.
Dove (toiletries),The secret of beautiful hair.
Pampers,Discover your babyâs world.
Coca-Cola,Taste The Feeling.
Beam Suntory,"For relaxing times, make it Suntory time."
Live+,Sharpen Up!
Pussy (energy drink),100% natural.
Tango (drink),The Whole Fruit.
Tizer,The Great British Pop.
Dr. Enuf,Enuf is Enough!
ToniCol,the different soft drink.
Campa Cola,The Great Indian Taste.
Mezzo Mix,Cola Kisses orange.
Bluna,How Bluna are you?
Bionade,The official beverage of a better world.
Oasis (drink),Be Fruit.
Slice (drink),"It's orange, only twisted."
Rondo (soft drink),The Thirst Crusher!
OK Soda,Everything is going to be OK.
Jolt Cola,"All the sugar, twice the caffeine!"
Crystal Pepsi,You've never seen a taste like this.
Robinsons (drink),Real Fruit in Every Drop.
Yazoo (drink),Milk shaken up.
Bubble Up,"kiss of lemon, kiss of lime."
Colgate,"Stronger, healthier gums."
Fanta,"Drink Fanta, stay Bamboocha."
Pizza Hut,Make it great.
Head & Shoulders,Live head first.
Domino's Pizza,Pizza deliver experts.
Ben & Jerry's,"Peace, love & ice cream."
Heineken,It's all about the beer.
Gatorade,The Legend Continues.
Milo,MILO Everyday!
Starbucks,Customize Your Cup.
Audi,Vorsprung durch Technik.
NIVEA,More evolved skincare.
Snickers,Get some nuts!
Nescafe,It all starts with a NescafÃ©.
KFC(Kentucky Fried Chicken),Finger Lickin' Good.
Levi's Jeans,Original jeans. original people.
Lipton,Be more tea.
Dove (toiletries),The secret of beautiful hair.
Pampers,Discover your babyâs world.
Coca-Cola,Taste The Feeling.
Mecca-Cola,Shake your Conscience.
SodaStream,Get busy with the fizzy.
Monster Energy,Unleash the Beast.
Dr. Brown's,Taste of the Town.
Cheerwine,Uniquely Southern.
Vernors,Deliciously Different.
Gini (soft drink),The hottest of cold drinks.
Moxie,Just Make It Moxie for Mine.
Mello Yello,Make The Mello Yello Move.
Limca,It's veri veri Lime & Lemoni.
Lilt,the totally tropical taste.
Inca Kola,Let's go for more.
Fresca,Nothing tastes like Fresca.
Barq's,Barq's has bite!
Pepsi Zero Sugar,Get Buckets.
Horlicks,the food drink of the night.
Woodroofe,Still the best lemonade made.
