authors,originalPublicationYear,originalTitle,title,languageCode
Suzanne Collins,2008,The Hunger Games,"The Hunger Games (The Hunger Games, #1)",eng
"J.K. Rowling, Mary GrandPré",1997,Harry Potter and the Philosopher's Stone,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",eng
Stephenie Meyer,2005,Twilight,"Twilight (Twilight, #1)",en-US
Harper Lee,1960,To Kill a Mockingbird,To Kill a Mockingbird,eng
F. Scott Fitzgerald,1925,The Great Gatsby,The Great Gatsby,eng
John Green,2012,The Fault in Our Stars,The Fault in Our Stars,eng
J.R.R. Tolkien,1937,The Hobbit or There and Back Again,The Hobbit,en-US
J.D. Salinger,1951,The Catcher in the Rye,The Catcher in the Rye,eng
Dan Brown,2000,Angels & Demons ,"Angels & Demons  (Robert Langdon, #1)",en-CA
Jane Austen,1813,Pride and Prejudice,Pride and Prejudice,eng
Khaled Hosseini,2003,The Kite Runner ,The Kite Runner,eng
Veronica Roth,2011,Divergent,"Divergent (Divergent, #1)",eng
"George Orwell, Erich Fromm, Celâl Üster",1949,Nineteen Eighty-Four,1984,eng
George Orwell,1945,Animal Farm: A Fairy Story,Animal Farm,eng
"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,The Diary of a Young Girl,eng
"Stieg Larsson, Reg Keeland",2005,Män som hatar kvinnor,"The Girl with the Dragon Tattoo (Millennium, #1)",eng
Suzanne Collins,2009,Catching Fire,"Catching Fire (The Hunger Games, #2)",eng
"J.K. Rowling, Mary GrandPré, Rufus Beck",1999,Harry Potter and the Prisoner of Azkaban,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",eng
J.R.R. Tolkien,1954, The Fellowship of the Ring,"The Fellowship of the Ring (The Lord of the Rings, #1)",eng
Suzanne Collins,2010,Mockingjay,"Mockingjay (The Hunger Games, #3)",eng
"J.K. Rowling, Mary GrandPré",2003,Harry Potter and the Order of the Phoenix,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",eng
Alice Sebold,2002,The Lovely Bones,The Lovely Bones,eng
"J.K. Rowling, Mary GrandPré",1998,Harry Potter and the Chamber of Secrets,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",eng
"J.K. Rowling, Mary GrandPré",2000,Harry Potter and the Goblet of Fire,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",eng
"J.K. Rowling, Mary GrandPré",2007,Harry Potter and the Deathly Hallows,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",eng
Dan Brown,2003,The Da Vinci Code,"The Da Vinci Code (Robert Langdon, #2)",eng
"J.K. Rowling, Mary GrandPré",2005,Harry Potter and the Half-Blood Prince,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",eng
William Golding,1954,Lord of the Flies ,Lord of the Flies,eng
"William Shakespeare, Robert           Jackson",1595,An Excellent conceited Tragedie of Romeo and Juliet,Romeo and Juliet,eng
Gillian Flynn,2012,Gone Girl,Gone Girl,eng
Kathryn Stockett,2009,The Help,The Help,eng
John Steinbeck,1937,Of Mice and Men ,Of Mice and Men,eng
Arthur Golden,1997,Memoirs of a Geisha,Memoirs of a Geisha,eng
E.L. James,2011,Fifty Shades of Grey,"Fifty Shades of Grey (Fifty Shades, #1)",eng
"Paulo Coelho, Alan R. Clarke",1988,O Alquimista,The Alchemist,eng
Lois Lowry,1993,The Giver,"The Giver (The Giver, #1)",eng
C.S. Lewis,1950,"The Lion, the Witch and the Wardrobe","The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",eng
Audrey Niffenegger,2003,The Time Traveler's Wife,The Time Traveler's Wife,eng
George R.R. Martin,1996,A Game of Thrones,"A Game of Thrones (A Song of Ice and Fire, #1)",eng
Elizabeth Gilbert,2006,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia","Eat, Pray, Love",eng
Rick Riordan,2005,The Lightning Thief,"The Lightning Thief (Percy Jackson and the Olympians, #1)",eng
Louisa May Alcott,1868,Little Women,"Little Women (Little Women, #1)",en-US
"Charlotte Brontë, Michael Mason",1847,Jane Eyre,Jane Eyre,eng
Nicholas Sparks,1996,The Notebook,"The Notebook (The Notebook, #1)",eng
Yann Martel,2001,Life of Pi,Life of Pi,
Sara Gruen,2006,Water for Elephants,Water for Elephants,eng
Markus Zusak,2005,The Book Thief,The Book Thief,eng
Ray Bradbury,1953,Fahrenheit 451,Fahrenheit 451,spa
Stephenie Meyer,2006,"New Moon (Twilight, #2)","New Moon (Twilight, #2)",eng
