id,titleBook,titleSeriesBook,authorName,hasSeries,seriesNumber,avgRating,totalRating,voters,score
0,The Hunger Games ,The Hunger Games,Suzanne Collins,TRUE,1,4.33,6086305,196,9286
1,Catching Fire ,The Hunger Games,Suzanne Collins,TRUE,2,4.29,2360261,138,3376
2,Mockingjay ,The Hunger Games,Suzanne Collins,TRUE,3,4.04,2217517,99,9442
3,Divergent ,Divergent,Veronica Roth,TRUE,1,4.2,2767407,97,9119
4,Vampire Academy ,Vampire Academy,Richelle Mead,TRUE,1,4.13,7029,86,8292
5,Harry Potter and the Deathly Hallows ,Harry Potter,J.K. Rowling,TRUE,7,4.62,2656673,86,8066
6,Clockwork Angel ,The Infernal Devices,Cassandra Clare,TRUE,1,4.33,4635,77,7374
7,Harry Potter and the Goblet of Fire ,Harry Potter,J.K. Rowling,TRUE,4,4.56,2423434,72,6674
8,"Hush, Hush ",Hush Hush,Becca Fitzpatrick,TRUE,1,3.98,5976,66,6382
9,Harry Potter and the Half-Blood Prince ,Harry Potter,J.K. Rowling,TRUE,6,4.57,2295705,69,6343
10,Harry Potter and the Order of the Phoenix ,Harry Potter,J.K. Rowling,TRUE,5,4.5,2355804,59,5336
11,Twilight ,Twilight,Stephenie Meyer,TRUE,1,3.59,4728031,57,5320
12,City of Bones ,The Mortal Instruments,Cassandra Clare,TRUE,1,4.1,1541880,53,4653
13,The Host ,The Host,Stephenie Meyer,TRUE,1,3.84,4101,49,4607
14,Breaking Dawn ,Twilight,Stephenie Meyer,TRUE,4,3.69,1260753,47,4398
15,City of Fallen Angels ,The Mortal Instruments,Cassandra Clare,TRUE,4,4.14,4032,47,4179
16,Fallen ,Fallen,Lauren Kate,TRUE,1,3.73,1960,43,4102
17,The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass ,The Mortal Instruments-3,Cassandra Clare,TRUE,1,4.56,3884,42,3916
18,Pride and Prejudice,NA,Jane Austen,FALSE,0,4.26,2818060,38,3472
19,Frostbite ,Vampire Academy,Richelle Mead,TRUE,2,4.28,8631,38,3442
