movieid,genre
1,Documentary
1,Short
2,Comedy
2,Crime
5,Western
6,Comedy
6,Family
8,Animation
8,Comedy
8,Short
9,Drama
10,Family
11,Comedy
12,Crime
12,Drama
12,Short
13,Animation
13,Short
14,Drama
14,Romance
14,Short
15,Comedy
15,Short
17,Short
18,Comedy
19,Mystery
20,Crime
20,Thriller
21,Comedy
21,Drama
22,Drama
24,Adult
25,Short
26,Western
28,Comedy
28,Short
29,Comedy
29,Short
31,Drama
32,Documentary
32,Music
33,Action
33,Crime
33,Thriller
34,Short
35,Comedy
35,Short
36,Documentary
36,Short
37,Crime
38,Drama
40,Documentary
41,Western
42,Music
43,Drama
44,Drama
45,Music
46,Documentary
47,Comedy
47,Short
50,Comedy
50,Fantasy
50,Sci-Fi
50,Short
51,Short
52,Action
52,Comedy
53,Action
53,Comedy
53,Crime
56,Documentary
57,Drama
58,Short
59,Comedy
60,Short
61,Documentary
61,Short
62,Horror
62,Sci-Fi
64,Documentary
66,Documentary
67,Documentary
68,Documentary
68,Short
69,Drama
69,War
70,Documentary
70,Short
71,Musical
72,Documentary
72,Short
73,Comedy
73,Family
73,Horror
74,Comedy
74,Short
76,Animation
76,Comedy
76,Short
77,Documentary
77,Short
78,Documentary
79,Documentary
80,Documentary
80,Short
81,Documentary
81,Short
82,Documentary
82,Short
83,Documentary
83,Short
84,Documentary
84,Short
85,Documentary
86,Documentary
87,Documentary
87,Short
88,Documentary
88,Short
89,Documentary
89,Short
90,Documentary
91,Documentary
94,Action
94,Adventure
94,Comedy
95,Drama
95,Romance
96,Short
97,Documentary
97,Short
98,Short
98,Thriller
99,Documentary
100,Animation
100,Comedy
100,Short
102,Documentary
102,Short
103,Documentary
104,Documentary
105,Drama
105,Short
106,Comedy
106,Short
107,Short
108,Crime
108,Drama
112,Documentary
112,Short
114,Documentary
115,Documentary
117,Documentary
117,Horror
117,Short
118,Documentary
118,Horror
119,Documentary
120,Documentary
121,Comedy
121,Short
124,Animation
124,Comedy
124,Family
124,Short
127,Western
128,Comedy
129,Documentary
130,Drama
130,Family
131,Short
132,Documentary
132,Short
133,Horror
133,Sci-Fi
135,Documentary
135,Short
136,Comedy
136,Short
137,Drama
137,Fantasy
139,Comedy
140,Family
141,Drama
141,Family
142,Documentary
143,Documentary
143,Short
144,Documentary
146,Documentary
148,Animation
148,Short
152,Comedy
152,Romance
153,Short
155,Documentary
156,Horror
158,Drama
159,Drama
160,Drama
161,Documentary
162,Documentary
162,Short
163,Documentary
163,Short
164,Short
165,Documentary
165,Short
166,Romance
167,Crime
168,Crime
171,Documentary
171,Short
172,Comedy
173,Comedy
174,Short
176,Music
176,Short
178,Family
178,Music
180,Documentary
180,Music
184,Comedy
184,Crime
184,Romance
186,Comedy
187,Short
187,Western
188,Western
189,Animation
189,Short
190,Western
191,Drama
192,Drama
193,Documentary
195,Drama
196,Drama
197,Drama
198,Comedy
200,Drama
202,Short
204,Comedy
206,Documentary
206,Short
207,Documentary
207,Short
208,Documentary
209,Drama
210,Documentary
210,Short
215,Documentary
215,Drama
215,Short
217,Drama
217,Short
218,Documentary
220,Documentary
220,Short
221,Documentary
221,Short
222,Documentary
223,Drama
223,Music
224,Adventure
225,Music
227,Documentary
227,Short
228,Documentary
229,Documentary
229,Short
230,Drama
230,Horror
230,Mystery
230,Thriller
231,Documentary
232,Documentary
233,Documentary
234,Documentary
235,Documentary
236,Documentary
237,Documentary
238,Documentary
239,Documentary
240,Documentary
241,Comedy
242,Documentary
242,Short
244,Documentary
244,Short
245,Documentary
248,Music
248,Short
249,Documentary
249,Short
250,Documentary
250,Short
251,Drama
251,Family
252,Family
253,Comedy
254,Comedy
256,Comedy
256,Short
