Arg0,Arg1,Arg2
d1,salmonella_n,p
d1,cytogen_ca,p
d1,cytogen_sce,p
d1,salmonella,p
d10,salmonella,p
d10,salmonella_n,p
d10,cytogen_ca,p
d10,cytogen_sce,p
d100,salmonella,n
d100,mouse_lymph,p
d100,drosophila_slrl,p
d100,drosophila_rt,n
d100,cytogen_ca,n
d100,cytogen_sce,p
d101,salmonella,n
d101,mouse_lymph,p
d101,cytogen_ca,n
d101,cytogen_sce,p
d102,salmonella,n
d102,mouse_lymph,p
d102,cytogen_ca,n
d102,cytogen_sce,p
d102,chromaberr,n
d103,salmonella,n
d103,mouse_lymph,n
d103,cytogen_ca,n
d103,cytogen_sce,p
d103,chromaberr,p
d104,salmonella,n
d104,mouse_lymph,n
d104,cytogen_ca,n
d104,cytogen_sce,p
d105,salmonella,n
d105,mouse_lymph,p
d105,cytogen_ca,n
d105,cytogen_sce,p
d105,chromaberr,n
d106,salmonella,n
d108,salmonella,n
d108,mouse_lymph,p
d108,cytogen_ca,n
d108,cytogen_sce,n
d109,salmonella,n
d109,mouse_lymph,p
d109,cytogen_ca,p
d109,cytogen_sce,p
d11,salmonella,p
d11,salmonella_n,p
d11,mouse_lymph,p
d11,cytogen_ca,p
d11,cytogen_sce,p
d110,salmonella,n
d110,mouse_lymph,p
d110,cytogen_ca,n
d110,cytogen_sce,p
d110,chromex,n
d111,salmonella,n
d112,salmonella,n
d112,mouse_lymph,p
d112,cytogen_ca,n
d112,cytogen_sce,p
d113,salmonella,p
d113,cytogen_ca,n
d113,cytogen_sce,p
d114,salmonella,n
d114,cytogen_ca,p
d114,cytogen_sce,p
d115,salmonella,n
d115,mouse_lymph,n
d115,cytogen_ca,p
d115,cytogen_sce,p
d115,chromaberr,p
d115,chromex,p
d116,salmonella,n
d116,cytogen_ca,n
d116,cytogen_sce,n
d117,salmonella,n
d117,mouse_lymph,p
d117,cytogen_ca,n
d117,cytogen_sce,p
d118,salmonella,n
d118,salmonella_n,n
d118,mouse_lymph,p
d118,cytogen_ca,n
d118,cytogen_sce,p
d119,salmonella,n
d119,mouse_lymph,n
d119,cytogen_ca,n
d119,cytogen_sce,n
d12,salmonella,p
d12,cytogen_ca,p
d12,cytogen_sce,p
d12,micronuc_m,n
d12,micronuc_f,n
d120,salmonella,n
d120,mouse_lymph,p
d120,cytogen_ca,n
d120,cytogen_sce,p
d120,micronuc_m,n
d120,micronuc_f,n
d120,chromaberr,n
d120,chromex,n
d121,salmonella,n
d121,mouse_lymph,n
d121,cytogen_ca,n
d121,cytogen_sce,n
d122,salmonella,n
d122,salmonella_n,n
d122,mouse_lymph,p
d122,cytogen_ca,n
d122,cytogen_sce,p
d123,salmonella,n
d123,cytogen_ca,n
d123,cytogen_sce,n
d124,salmonella,n
d124,mouse_lymph,n
d124,cytogen_ca,n
d124,cytogen_sce,p
d125,salmonella,n
d125,mouse_lymph,n
d125,cytogen_ca,n
d125,cytogen_sce,n
d126,salmonella,n
d126,cytogen_ca,n
d126,cytogen_sce,n
d127,salmonella,n
d127,mouse_lymph,n
d127,cytogen_ca,p
d127,cytogen_sce,n
d128,salmonella,p
d128,cytogen_ca,n
d128,cytogen_sce,p
d129,salmonella,n
d129,mouse_lymph,p
d13,salmonella,p
d13,mouse_lymph,p
d13,drosophila_slrl,p
d13,drosophila_rt,n
d13,cytogen_ca,p
d13,cytogen_sce,p
d13,chromaberr,p
d130,mouse_lymph,p
d130,cytogen_ca,p
d130,cytogen_sce,p
d131,salmonella,n
d131,salmonella_n,n
d131,mouse_lymph,p
d131,cytogen_sce,p
d132,salmonella,n
d132,mouse_lymph,n
d132,cytogen_ca,p
d132,cytogen_sce,p
d133,salmonella,n
d133,mouse_lymph,p
d133,cytogen_ca,n
d133,cytogen_sce,p
d134,salmonella,n
d134,mouse_lymph,n
d134,cytogen_ca,n
d134,cytogen_sce,p
d134,chromex,p
d135,salmonella,n
d135,mouse_lymph,n
d135,cytogen_ca,p
d135,cytogen_sce,n
d135,cytogen_ca,n
d135,cytogen_sce,n
d136,salmonella,n
d136,cytogen_ca,n
d136,cytogen_sce,n
d137,salmonella,n
d137,salmonella_n,n
d137,mouse_lymph,n
d137,cytogen_ca,n
d137,cytogen_sce,n
d137,chromaberr,p
d137,chromex,n
d138,salmonella,n
d138,mouse_lymph,p
d138,cytogen_ca,p
d138,cytogen_sce,p
d139,salmonella,n
d139,mouse_lymph,n
d139,cytogen_ca,n
d139,cytogen_sce,p
d139,chromaberr,n
d14,salmonella,p
d14,salmonella_n,p
d14,cytogen_ca,p
d14,cytogen_sce,p
d140,salmonella,n
d140,mouse_lymph,n
d140,cytogen_ca,p
d140,cytogen_sce,p
d141,salmonella,n
d141,mouse_lymph,p
d141,cytogen_ca,n
d141,cytogen_sce,n
d141,micronuc_m,n
d141,micronuc_f,n
d141,chromaberr,n
d141,chromex,n
d142,mouse_lymph,p
d142,cytogen_ca,p
d143,salmonella,n
d143,mouse_lymph,n
d143,cytogen_ca,n
d143,cytogen_sce,n
d144,salmonella,n
d144,mouse_lymph,n
d144,cytogen_ca,p
d144,chromaberr,n
d144,chromex,n
d145,salmonella,n
d145,mouse_lymph,n
d145,cytogen_ca,n
d145,cytogen_sce,n
d145,chromaberr,p
d145,chromex,p
d146,salmonella,n
d146,mouse_lymph,p
d146,cytogen_ca,n
d146,cytogen_sce,n
d147,salmonella,n
d147,mouse_lymph,n
d147,cytogen_ca,n
d147,cytogen_sce,n
d147,chromaberr,n
d148,salmonella,n
d148,mouse_lymph,p
d148,cytogen_ca,p
d148,cytogen_sce,n
d149,salmonella,n
d149,mouse_lymph,n
d149,cytogen_ca,n
d15,salmonella,p
d15,mouse_lymph,p
d15,drosophila_slrl,p
d15,drosophila_rt,n
d15,cytogen_ca,p
d15,cytogen_sce,p
d150,salmonella,n
d150,mouse_lymph,n
d150,cytogen_ca,n
d150,cytogen_sce,n
d151,salmonella,n
d151,mouse_lymph,p
d151,cytogen_ca,p
d151,cytogen_sce,p
d151,chromaberr,p
d152,salmonella,n
d152,mouse_lymph,n
d152,cytogen_ca,n
d152,cytogen_sce,n
d153,salmonella,n
d153,mouse_lymph,p
d153,cytogen_ca,n
d153,cytogen_sce,p
d155,salmonella,n
d155,mouse_lymph,p
d155,cytogen_ca,n
d156,salmonella,n
d156,mouse_lymph,p
d156,cytogen_ca,n
d157,salmonella,n
d157,mouse_lymph,n
d157,cytogen_ca,p
d157,cytogen_sce,n
d158,salmonella,n
d158,mouse_lymph,p
d158,cytogen_ca,n
d158,cytogen_sce,p
d159,salmonella,n
d159,salmonella_n,n
d159,mouse_lymph,n
d159,cytogen_ca,n
d16,salmonella,p
d16,cytogen_ca,p
d16,cytogen_sce,p
d160,salmonella,p
d160,cytogen_ca,n
d160,cytogen_sce,p
d160,chromaberr,p
d160,chromex,p
d161,salmonella,n
d161,mouse_lymph,p
d161,cytogen_ca,n
d161,cytogen_sce,n
d163,salmonella,n
d163,salmonella_n,n
d163,mouse_lymph,n
d163,cytogen_ca,n
d163,cytogen_sce,n
d165,salmonella,n
d165,mouse_lymph,p
d165,cytogen_ca,n
d166,salmonella,n
d166,mouse_lymph,n
d166,cytogen_ca,n
d166,cytogen_sce,n
d167,salmonella,n
d167,mouse_lymph,n
d167,cytogen_sce,p
d168,salmonella,n
d168,mouse_lymph,n
d168,cytogen_ca,n
d168,cytogen_sce,n
d169,salmonella,n
d169,mouse_lymph,p
d169,cytogen_ca,p
d169,cytogen_sce,p
d17,salmonella,p
d17,salmonella_n,p
d17,cytogen_ca,p
d17,cytogen_sce,p
d170,salmonella,n
d170,mouse_lymph,p
d170,cytogen_ca,n
d170,cytogen_sce,n
d171,mouse_lymph,n
d171,cytogen_ca,n
d171,cytogen_sce,n
d172,salmonella,n
d172,salmonella_n,n
d172,mouse_lymph,p
d172,cytogen_ca,n
d172,cytogen_sce,n
d173,salmonella,n
d173,salmonella_n,n
d173,mouse_lymph,p
d173,cytogen_ca,n
d173,cytogen_sce,n
d174,salmonella,n
d174,mouse_lymph,n
d174,cytogen_ca,n
d174,cytogen_sce,n
d176,salmonella,n
d176,mouse_lymph,n
d176,cytogen_ca,n
d176,cytogen_sce,n
d177,salmonella,n
d177,mouse_lymph,p
d177,cytogen_ca,n
d177,cytogen_sce,n
d178,salmonella,n
d178,salmonella_n,n
d178,mouse_lymph,n
d178,cytogen_sce,n
d178,chromaberr,n
d179,salmonella,n
d179,mouse_lymph,n
d179,cytogen_ca,n
d179,cytogen_sce,p
d18,salmonella,p
d18,cytogen_ca,n
d18,cytogen_sce,p
d180,salmonella,n
