id,firstname,lastname
1,Todd,1
2,Les,"12 Poissons"
3,Lejaren,a'Hiller
4,Nian,A
5,Khairiya,A-Mansour
6,Ricardo,"A. Solla"
8,"Kodanda Rami Reddy",A.
9,"Nageswara Rao",A.
10,Yuri,A.
11,Swamy,A.S.A.
12,"Per (I)",Aabel
13,Eivind,Aaeng
14,Mang,Aag
15,Sigfred,Aagaard
16,Michael,Aaglund
17,Safdar,Aah
18,Astrid,Aakra
19,"Mohamad Reza",Aalami
20,Jefri,Aalmuhammed
21,Rostislav,Aalto
22,Veikko,Aaltonen
23,Pål,Aam
25,Willie,Aames
26,Douglas,Aarniokoski
27,Hallie,Aaron
28,Jane,Aaron
29,"Joe (II)",Aaron
31,Paul,Aaron
32,Evan,Aaronson
33,Reuben,Aaronson
34,Heikki,Aarva
35,Olav,Aasmundtveit
36,Lauri,Aaspõllu
37,Jamel,Aattache
38,Eduardo,Abad
39,Francisco,Abad
40,Jorge,Abad
41,Toni,Abad
42,Baltasar,Abadal
43,Regine,Abadia
44,A.C.,Abadie
45,Hector,Abadie
46,Emil,Abadzhiev
47,David,Abajo
48,Askhab,Abakarov
49,Ezequiel,Abalos
50,Ruben,Abalos
51,Eduard,Abalov
52,Paul,Abascal
53,Devi,Abashidze
54,Dodo,Abashidze
55,Leila,Abashidze
56,Bobby,Abate
57,Tony,Abatemarco
58,Hiyam,Abbas
59,"Khwaja Ahmad",Abbas
60,Munshi,Abbas
61,S.M.,Abbas
62,Shukhrat,Abbasov
63,Fariborz,Abbassi
64,Lisa,Abbatiello
65,Mohamed,Abbazi
66,"Jack Yutaka",Abbe
67,"James E.",Abbe
68,Malcolm,Abbey
69,Francesco,Abbondati
70,"Abdul Malik",Abbott
71,Andrew,Abbott
72,"Charles (I)",Abbott
73,"David (VIII)",Abbott
74,Deborah,Abbott
75,George,Abbott
76,"Jennifer (I)",Abbott
78,Lee,Abbott
79,Louise,Abbott
80,Luke,Abbott
81,"Norman (II)",Abbott
82,Philip,Abbott
83,Sarah,Abbott
84,"Simon Dare",Abbott
85,Wayne,Abbott
86,Olivier,Abbou
87,Alberto,Abdala
88,"Samir (II)",Abdallah
89,Mohamed,"Abdel Aziz"
90,Mohamed,"Abdel Gawad"
91,Chadi,"Abdel Salam"
92,Daoud,"Abdel Sayed"
93,Fatin,"Abdel Wahab"
94,Hamada,"Abdel Wahab"
95,Hassan,"Abdel Wahab"
96,Zaki,"Abdel Wahab"
97,Ali,Abdel-Khalek
98,Ameed,Abdelhafiz
99,Abdellatif,Abdelhamid
100,Adisoerya,Abdi
101,Reza,Abdi
102,Nick,Abdo
103,Mohsen,Abdolvahab
104,Vadim,Abdrashitov
105,Lono,"Abdul Hamid"
107,Aminah,Abdul-Jabbaar
108,Bairam,Abdullayev
109,Davron,Abdullayev
110,Ernest,Abdyjaparov
111,Aktan,Abdykalykov
112,"Frank (II)",Abe
113,Hisashi,Abe
114,Kino,Abe
115,Masamichi,Abe
116,Masashi,Abe
117,Nobito,Abe
118,Noriyuki,Abe
119,Takashi,Abe
120,Teruo,Abe
121,Tsotumo,Abe
122,Yutaka,Abe
123,Eliette,Abecassis
124,Ramzi,Abed
125,"Mohammad Reza",Abedi
126,"James Brih",Abee
127,Alan,Abel
128,Alfred,Abel
129,"Dominique (I)",Abel
130,Jeanne,Abel
131,"Robert (I)",Abel
132,Roysten,Abel
133,"Rudolph E.",Abel
134,Susanne,Abel
135,Gay,Abel-Bey
136,Alexander,Abela
137,Angelo,Abela
138,Gert,Abelbeck
139,Azinhal,Abelho
140,"Cesar S.B.",Abella
141,"Rafael Jorge",Abella
142,Bror,Abelli
143,Antonio,Abellán
144,Lisa,"Abelow Hedley"
145,Jeffrey,Abelson
146,Claudia,Abend
147,Julie,Aberdein
148,Douglas,Aberle
149,Don,Abernathy
150,Lewis,Abernathy
151,Otar,Abesadze
152,Dennis,Abey
153,Shathi,Abeysekara
154,Tissa,Abeysekera
155,César,Abeytua
156,Denzil,Abeywardane
157,Serge,Abi-Yaghi
158,Aly,Abidy
159,"Robert B.",Abihay
160,Pascal,Abikanlou
161,Jytte,Abildstrøm
162,Milton,Abirached
163,Shachar,Abiri
164,Judith,Abitbol
165,"Jesús B.",Abitia
166,Julian,Abitia
167,Dragan,Abjaninich
168,Daniela,Abke
169,Brad,Ableson
170,Vyacheslav,Ablotia
171,Boshra,Abo-Saif
172,Susan,Abod
173,"João Abel",Aboim
174,Yossi,Abolafia
175,Kevin,Abosch
176,Soledad,"Abot Glenz"
177,Mohamed,Abou-Seif
178,Gaston,Abougit
179,Roni,Aboulafia
180,Marcel,Aboulker
181,Salah,Abouseif
182,François,About
183,Tony,Aboyantz
184,"Temesghen Zehaie",Abraha
185,Adam,Abraham
186,Chris,Abraham
187,"David (II)",Abraham
188,"John (I)",Abraham
189,Maurice,Abraham
190,Morris,Abraham
191,"Peggy Jo",Abraham
192,Hernán,Abrahamnsohn
193,Derwin,Abrahams
194,Jim,Abrahams
195,Christer,Abrahamsen
196,Svend,Abrahamsen
197,Lenny,Abrahamson
198,Leonard,Abrahamson
199,Khoren,Abrahamyan
200,Christopher,Abram
201,Luigi,Abramo
202,"A. (I)",Abramov
203,Aleksandr,Abramov
204,Yefim,Abramov
205,Liza,Abramovic
206,Velimir,Abramovic
207,Veljko,Abramovic
208,Virginia,Abramovich
209,Amarante,Abramovici
210,Myriam,Abramowicz
211,Abiola,Abrams
212,Anthony,Abrams
213,J.J.,Abrams
214,Jerry,Abrams
215,Leon,Abrams
216,Tom,Abrams
217,"David (II)",Abramson
218,Hans,Abramson
219,Ivan,Abramson
220,Neil,Abramson
221,"Richard Gilbert",Abramson
222,Aluisio,Abranches
223,Bebeto,Abrantes
224,Alê,Abreu
225,"Carlos Alberto",Abreu
226,"Gilda de",Abreu
227,Herval,Abreu
228,José,Abreu
229,"José Eduardo",Abreu
230,Letícia,Abreu
231,Rogerio,Abreu
232,Josef,"Abrhám Jr."
233,Albert,Abril
234,Levi,Abrino
235,"Edward M.",Abroms
236,Alberto,Abruzzese
