X,Y,Colors
67,51,blue
47,55,blue
38,59,blue
24,43,blue
31,69,blue
65,43,blue
60,62,blue
33,37,blue
56,60,blue
57,54,blue
46,56,blue
42,56,blue
39,57,blue
20,61,blue
59,69,blue
36,64,blue
67,41,blue
55,38,blue
63,37,blue
45,46,blue
58,63,blue
42,41,blue
49,62,blue
37,52,blue
46,51,blue
45,35,blue
40,42,blue
56,44,blue
50,42,blue
31,67,blue
23,48,blue
40,61,blue
32,56,blue
34,36,blue
23,46,blue
32,40,blue
21,65,blue
50,33,blue
40,41,blue
26,49,blue
29,34,blue
27,68,blue
43,42,blue
37,53,blue
59,64,blue
43,33,blue
68,33,blue
60,62,blue
29,53,blue
20,38,blue
150,80,red
166,38,red
120,39,red
148,50,red
128,63,red
127,54,red
165,62,red
155,35,red
158,45,red
151,51,red
127,77,red
158,36,red
127,68,red
126,38,red
141,64,red
163,43,red
124,59,red
126,64,red
123,54,red
142,72,red
136,50,red
148,35,red
140,30,red
143,65,red
154,60,red
150,59,red
141,32,red
159,35,red
164,67,red
167,32,red
163,41,red
153,55,red
138,38,red
150,43,red
154,61,red
136,61,red
151,51,red
149,51,red
120,60,red
155,53,red
147,49,red
151,64,red
167,60,red
121,45,red
153,68,red
158,58,red
170,54,red
153,78,red
166,43,red
160,71,red
111,118,green
95,121,green
97,108,green
82,121,green
99,137,green
93,114,green
116,139,green
117,112,green
84,125,green
101,121,green
97,130,green
90,110,green
103,145,green
116,135,green
88,145,green
90,133,green
92,127,green
83,106,green
108,103,green
114,126,green
100,116,green
98,138,green
86,116,green
120,121,green
90,102,green
88,103,green
98,108,green
90,136,green
118,107,green
82,103,green
102,116,green
85,148,green
81,134,green
99,117,green
103,115,green
90,117,green
100,107,green
115,110,green
91,107,green
112,137,green
100,112,green
113,118,green
80,126,green
113,145,green
96,112,green
86,144,green
86,127,green
84,147,green
81,105,green
92,117,green
