AcquisitionID,AcquisitionMonth,AcquisitionMonthDate,AcquisitionYear,Company,Business,Country,Value,DerivedProducts,ParentCompany
ACQ99,November,11,2015,bebop,Cloud software,USA,380000000,Google Cloud Platform,Google
ACQ98,November,11,2015,Fly Labs,Video editing,USA,,Google Photos,Google
ACQ97,December,8,2015,Clearleap,Cloud-based video management,USA,,,IBM
ACQ96,December,18,2015,Metanautix,Big Data Analytics,USA,,,Microsoft
ACQ95,December,21,2015,"Talko, Inc.",Mobile communications,USA,,,Microsoft
ACQ94,January,7,2016,Emotient,Emotion recognition,USA,,"Face ID, Animoji[100]",Apple
ACQ93,January,15,2016,Iris Analytics,Real time transaction fraud detection,GER,,,IBM
ACQ92,January,19,2016,Teacher Gaming LLC,Education software,FIN,,,Microsoft
ACQ915,July,30,1987,"Forethought, Inc.",Computer software,USA,14000000,,Microsoft
ACQ914,March,2,1988,Network Innovations,Software,USA,,,Apple
ACQ913,June,7,1988,Orion Network Systems,Satellite communication systems,USA,,,Apple
ACQ912,June,27,1988,Styleware,Computer software,USA,,AppleWorks GS,Apple
ACQ911,July,11,1988,Claris,Computer software,USA,,"FileMaker, iWork, iLife",Apple
ACQ910,January,3,1989,Coral Software,Computer software,USA,,Macintosh Common Lisp,Apple
ACQ91,January,21,2016,Ustream,Streaming video,USA,,,IBM
ACQ909,March,31,1991,Consumers Software,Software,CAN,,,Microsoft
ACQ908,June,29,1992,Fox Software,PC database software,USA,,,Microsoft
ACQ907,February,28,1994,Softimage,Wholesale 3-D visualization software,CAN,,,Microsoft
ACQ906,September,27,1994,Altamira Software,Software,USA,,,Microsoft
ACQ905,November,1,1994,NextBase,Software,USA,,,Microsoft
ACQ904,November,15,1994,One Tree Software,Software,USA,,,Microsoft
ACQ903,February,23,1995,RenderMorphics,3D graphics hardware,USA,,,Microsoft
ACQ902,July,10,1995,Network Managers,Systems design,UK,,,Microsoft
ACQ901,October,17,1995,The Blue Ribbon SoundWorks,Software,USA,,,Microsoft
ACQ900,November,6,1995,Netwise,Computer software,USA,,,Microsoft
ACQ90,January,28,2016,LearnSprout,Education technology,USA,,Classroom iPad App,Apple
ACQ9,October,16,2017,tbh,Anonymous social media app,USA,,,Facebook
ACQ899,December,12,1995,Bruce Artwick Organization,Programming,USA,,,Microsoft
ACQ898,January,16,1996,Vermeer Technologies,Software,USA,133000000,,Microsoft
ACQ897,March,6,1996,VGA-Animation Software Div[note 1],Software,GER,,,Microsoft
ACQ896,March,12,1996,Colusa Software,Software,USA,,,Microsoft
ACQ895,April,16,1996,Exos,Video game controllers,USA,,,Microsoft
ACQ894,April,23,1996,Aspect Software Engineering,Computer software,USA,14150000,,Microsoft
ACQ893,June,11,1996,eShop,Software,USA,,,Microsoft
ACQ892,June,17,1996,Electric Gravity,Electronic games,USA,,,Microsoft
ACQ891,November,1,1996,Panorama Software Sys-On-Line[note 2],Software,CAN,,,Microsoft
ACQ890,February,3,1997,NetCarta,Internet software,USA,20000000,,Microsoft
ACQ89,January,28,2016,Resource/Ammirati,Digital marketing and creative agency,USA,,,IBM
ACQ889,February,7,1997,NeXT,Unix-like hardware and software platform,USA,404000000,"Mac OS X, iOS, macOS, tvOS, watchOS",Apple
ACQ888,March,3,1997,Interse,Internet software,USA,,,Microsoft
ACQ887,April,30,1997,WebTV Networks,Internet service provider,USA,425000000,,Microsoft
ACQ886,May,7,1997,Dimension X,Java-based platforms,USA,,,Microsoft
ACQ885,June,13,1997,Cooper & Peters,Programming,USA,,,Microsoft
ACQ884,June,30,1997,LinkAge Software,Internet software development,CAN,,,Microsoft
ACQ883,August,5,1997,VXtreme,Internet video software,USA,,,Microsoft
ACQ882,September,,1997,Net Controls,Web search engine,USA,1400000,Yahoo! Search,Yahoo
ACQ881,September,2,1997,Power Computing Corporation,Macintosh clones,USA,110000000,,Apple
ACQ880,October,8,1997,Four11,Web-based email,USA,92000000,Yahoo! Mail,Yahoo
ACQ88,January,29,2016,Flyby Media,Augmented reality,USA,,ARkit,Apple
ACQ879,December,31,1997,Hotmail,Internet software,USA,500000000,,Microsoft
ACQ878,February,23,1998,Flash Communications,Enterprise instant messaging software,USA,,,Microsoft
ACQ877,March,31,1998,Classic Games,Online game,USA,,Yahoo! Games,Yahoo
ACQ876,April,15,1998,Firefly,Relationship management software,USA,40000000,,Microsoft
ACQ875,April,28,1998,MESA Group,Data sharing software,USA,,,Microsoft
ACQ874,April,29,1998,Sportasy,Fantasy sport,USA,,Yahoo! Fantasy Sports,Yahoo
ACQ873,June,8,1998,Viaweb,Web application,USA,48600000,Yahoo! Store,Yahoo
ACQ872,July,17,1998,Webcal,Calendaring software,USA,21000000,Yahoo Calendar,Yahoo
ACQ871,August,25,1998,Valence Research,Internet software,USA,,,Microsoft
ACQ870,October,12,1998,Yoyodyne,Direct marketing,USA,29600000,Yahoo! Search Marketing,Yahoo
ACQ87,February,2,2016,Aperto AG,Digital marketing and creative agency,GER,,,IBM
ACQ869,November,6,1998,LinkExchange,Internet advertising network,USA,265000000,,Microsoft
ACQ868,December,,1998,Hyperparallel,Data analysis,USA,8100000,Yahoo! Search,Yahoo
ACQ867,January,8,1999,Xemplar Education,Software,UK,4926000,,Apple
ACQ866,January,11,1999,FASA Interactive,Computer game software,USA,,,Microsoft
ACQ865,March,4,1999,CompareNet,Shopping online,USA,,,Microsoft
ACQ864,March,26,1999,Numinous Technologies,Software,USA,,,Microsoft
ACQ863,April,1,1999,Broadcast.com,Internet radio,USA,5700000000,Yahoo! Music Radio (defunct),Yahoo
ACQ862,April,27,1999,Interactive Objects-Digital,Web music software,USA,,,Microsoft
ACQ861,April,30,1999,Jump Networks,Internet service provider,USA,,,Microsoft
ACQ860,May,27,1999,Encompass,Internet service provider,USA,130000000,Yahoo!,Yahoo
ACQ86,February,3,2016,"TouchType, Ltd.","SwiftKey, a keyboard productivity application",UK,250000000,,Microsoft
ACQ859,May,28,1999,GeoCities,Web hosting service,USA,3600000000,Yahoo! GeoCities,Yahoo
ACQ858,June,2,1999,Online Anywhere,Content delivery network,USA,80000000,Yahoo! TV,Yahoo
ACQ857,June,7,1999,ShadowFactor Software,Wholesale computer software,USA,,,Microsoft
ACQ856,June,15,1999,Omnibrowse,Internet software,USA,,,Microsoft
ACQ855,June,28,1999,Intrinsa,Defect detection software,USA,58900000,,Microsoft
ACQ854,July,1,1999,Sendit,Application software,SWE,125420000,,Microsoft
ACQ853,July,7,1999,Zoomit,Encryption software,CAN,,,Microsoft
ACQ852,July,21,1999,STNC,Community software,UK,,,Microsoft
ACQ851,September,19,1999,Softway Systems,Computer programming,USA,,,Microsoft
ACQ850,October,29,1999,Entropic,Software,USA,,,Microsoft
ACQ85,Feburary,3,2016,LegbaCore,Platform security,USA,,Exposed firmware exploit in Apple computers.[104],Apple
ACQ849,November,3,1999,Raycer Graphics,Computer graphic chips,USA,15000000,,Apple
ACQ848,January,7,2000,Visio Corporation,Wholesale drawing software,USA,1375000000,,Microsoft
ACQ847,January,7,2000,NetSelector,Internet software,USA,,,Apple
ACQ846,February,29,2000,Peach Networks,Digital TV services,ISR,,,Microsoft
ACQ845,March,17,2000,Travelscape,Internet service provider,USA,89750000,,Microsoft
ACQ844,March,23,2000,Arthas.com,E-commerce payment systems,USA,,Yahoo! Store,Yahoo
ACQ843,April,5,2000,MyQuest,Internet service provider,USA,,Yahoo!,Yahoo
ACQ842,April,11,2000,Astarte-DVD Authoring Software[note 1],Software,GER,,DVD Studio Pro,Apple
ACQ841,April,12,2000,Titus Communications,Cable television,USA,944800000,,Microsoft
ACQ840,June,19,2000,Bungie Software,Computer software,USA,,,Microsoft
ACQ84,February,3,2016,ecx.io AG,Digital marketing and creative agency,GER,,,IBM
ACQ839,June,30,2000,VivaSmart,E-commerce,USA,8900000,Yahoo! Shopping,Yahoo
ACQ838,July,12,2000,NetGames,Software,USA,,,Microsoft
