gid,rank,votes,title,category,year,authors,avgRating,pages,published,publisher,5stars,4stars,3stars,2stars,1stars,ratings
8306857,1,10159,"Divergent (Divergent, #1)",Favorite Book of 2011,2011,Veronica Roth,4.2,487,25/04/2011,Katherine Tegen Books,1343769,835964,406657,114036,51883,2752309
7304203,2,8970,"Shadowfever (Fever, #5)",Favorite Book of 2011,2011,Karen Marie Moning,4.41,608,18/01/2011,Delacorte Press,57918,23886,8573,2335,1884,94596
10664113,3,7617,"A Dance with Dragons (A Song of Ice and Fire, #5)",Favorite Book of 2011,2011,George R.R. Martin,4.33,1125,12/07/2011,Bantam,271230,178846,64273,12202,3245,529796
6752378,4,7535,"City of Fallen Angels (The Mortal Instruments, #4)",Favorite Book of 2011,2011,Cassandra Clare,4.14,425,05/04/2011,"Simon & Schuster Children's, Margaret K. McElderry Books",199551,145864,80096,19915,5596,451022
9418327,5,6287,Bossypants,Favorite Book of 2011,2011,Tina Fey,3.96,283,05/04/2011,Reagan Arthur Books,278684,292662,164020,41277,22337,798980
1215032,6,5859,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Favorite Book of 2011,2011,Patrick Rothfuss,4.57,994,01/03/2011,DAW Books,270523,91853,25096,5935,2459,395866
8667848,7,4833,"A Discovery of Witches (All Souls Trilogy, #1)",Favorite Book of 2011,2011,Deborah Harkness,4,579,,Viking Penguin,140593,107360,58075,22149,12508,340685
9460487,8,4254,"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Favorite Book of 2011,2011,Ransom Riggs,3.91,352,,Quirk,310324,315126,210241,60171,20436,916298
7686667,9,3754,"Delirium (Delirium, #1)",Favorite Book of 2011,2011,Lauren Oliver,3.98,441,03/02/2011,HarperTeen,154719,133383,80262,25214,11034,404612
7981206,10,3300,"Dead Reckoning (Sookie Stackhouse, #11)",Favorite Book of 2011,2011,Charlaine Harris,3.78,336,28/05/2011,"Gollancz, Victor Limited",31065,39390,33681,8511,1688,114335
9409458,11,1732,"Forever (The Wolves of Mercy Falls, #3)",Favorite Book of 2011,2011,Maggie Stiefvater,3.91,390,12/07/2011,Scholastic Press,36263,33818,24215,7146,2298,103740
8554005,12,1718,Sing You Home,Favorite Book of 2011,2011,Jodi Picoult,3.77,466,01/03/2011,Atria Books,20622,28205,20859,5833,1925,77444
9118135,13,1347,State of Wonder,Favorite Book of 2011,2011,Ann Patchett,3.87,353,07/06/2011,HarperCollins Publishers,43582,66368,37611,9285,2545,159391
8683812,14,1339,The Paris Wife,Favorite Book of 2011,2011,Paula McLain,3.81,314,27/02/2011,Ballantine Books,60486,108074,64210,15284,4446,252500
8652190,15,1319,"Awakened (House of Night, #8)",Favorite Book of 2011,2011,"P.C. Cast, Kristin Cast",4.02,290,04/01/2011,St. Martin's Griffin,51402,32774,23891,7714,3296,119077
9361589,16,1293,The Night Circus,Favorite Book of 2011,2011,Erin Morgenstern,4.04,391,13/09/2011,Doubleday,257790,208114,111187,38229,15072,630392
9520360,17,1137,"The Son of Neptune (The Heroes of Olympus, #2)",Favorite Book of 2011,2011,Rick Riordan,4.44,521,04/10/2011,Disney-Hyperion Books,224328,115115,37471,5763,2119,384796
8709527,18,815,"Bloodlines (Bloodlines, #1)",Favorite Book of 2011,2011,Richelle Mead,4.21,421,23/08/2011,Penguin Group,79242,50083,23695,5529,3431,161980
8490112,19,683,"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",Favorite Book of 2011,2011,Laini Taylor,4.02,418,27/09/2011,"Little, Brown Books for Young Readers",117744,97268,50648,16266,9232,291158
9969571,20,613,"Ready Player One (Ready Player One, #1)",Favorite Book of 2011,2011,Ernest Cline,4.27,374,16/08/2011,Crown Publishers,405655,251346,97406,28187,12976,795570
10357575,1,4107,1Q84,Fiction,2011,"Haruki Murakami, Jay Rubin, Philip Gabriel",3.92,925,25/10/2011,Knopf,62227,68013,37216,12440,4947,184843
8546358,2,3948,The Peach Keeper,Fiction,2011,Sarah Addison Allen,3.85,273,22/03/2011,Bantam,14935,21484,15073,3309,610,55411
8554005,3,3676,Sing You Home,Fiction,2011,Jodi Picoult,3.77,466,01/03/2011,Atria Books,20622,28205,20859,5833,1925,77444
8949352,4,3245,Night Road,Fiction,2011,Kristin Hannah,4.17,385,22/03/2011,St. Martin's Press,36927,32840,13434,2879,869,86949
9279177,5,3000,The Lover's Dictionary,Fiction,2011,David Levithan,3.89,211,04/01/2011,"Farrar, Straus and Giroux",13360,15559,10333,2776,791,42819
9118135,6,2204,State of Wonder,Fiction,2011,Ann Patchett,3.87,353,07/06/2011,HarperCollins Publishers,43582,66368,37611,9285,2545,159391
8366402,7,2192,The Tiger's Wife,Fiction,2011,Téa Obreht,3.39,338,08/03/2011,Random House,13267,27403,27786,12038,4391,84885
10032672,8,1867,The Language of Flowers,Fiction,2011,Vanessa Diffenbaugh,4.08,323,23/08/2011,Ballantine Books,66648,81070,33302,6473,1808,189301
10964693,9,1827,The Marriage Plot,Fiction,2011,Jeffrey Eugenides,3.44,406,11/10/2011,Farrar Straus Giroux,16944,37540,36564,13667,4720,109435
9545064,10,1661,The Story of Beautiful Girl,Fiction,2011,Rachel Simon,3.92,346,04/05/2011,Grand Central Publishing,7157,10591,5681,1238,303,24970
10996342,11,601,The Art of Fielding,Fiction,2011,Chad Harbach,3.99,512,07/09/2011,"Little, Brown and Company",32791,42315,18737,4592,1793,100228
11804738,12,568,The Sense of an Ending,Fiction,2011,Julian Barnes,3.72,163,11/10/2011,Knopf Doubleday Publishing Group,32124,56249,37801,11715,3399,141288
10059498,13,553,The Midwife's Confession,Fiction,2011,Diane Chamberlain,4.06,417,26/04/2011,Mira,11832,14640,6337,1156,327,34292
9443405,14,516,The Pale King,Fiction,2011,David Foster Wallace,3.95,548,15/04/2011,"Little, Brown & Company",4661,6117,2673,756,385,14592
10364994,15,273,The Submission,Fiction,2011,Amy Waldman,3.67,300,16/08/2011,"Farrar, Straus and Giroux",2390,4959,3433,1043,311,12136
9749711,16,248,Silver Sparrow,Fiction,2011,Tayari Jones,3.86,352,24/05/2011,Algonquin Books,4011,7720,4460,812,123,17126
9923372,17,170,Maine,Fiction,2011,J. Courtney Sullivan,3.37,388,14/06/2011,Knopf,3711,10194,11759,4178,1035,30877
10762469,18,167,The Leftovers,Fiction,2011,Tom Perrotta,3.4,355,30/08/2011,St. Martin's Press,4970,14997,15465,5376,1328,42136
8584686,19,167,Swamplandia!,Fiction,2011,Karen Russell,3.24,323,01/02/2011,Knopf,6293,14519,16110,8679,3371,48972
9658159,20,107,Once Upon a River,Fiction,2011,Bonnie Jo Campbell,3.69,348,05/07/2011,"W. W. Norton & Company, Inc.",1578,2888,1839,647,212,7164
9583508,1,3996,"Smokin' Seventeen (Stephanie Plum, #17)",Mystery & Thriller,2011,"Janet Evanovich, Lorelei King",3.96,308,21/06/2011,Random House Audio Publishing Group,23976,26630,18046,3454,637,72743
10402992,2,3251,"New York to Dallas (In Death, #33)",Mystery & Thriller,2011,"J.D. Robb, Susan Ericksen",4.44,14,13/09/2011,Brilliance Audio,14710,7567,2500,375,123,25275
9736930,3,3114,Before I Go to Sleep,Mystery & Thriller,2011,S.J. Watson,3.89,359,14/06/2011,Harper,79441,107099,63983,15425,4984,270932
8517008,4,2827,"A Red Herring Without Mustard (Flavia de Luce, #3)",Mystery & Thriller,2011,Alan Bradley,4.07,399,08/02/2011,Delacorte Press,11268,17517,7008,689,165,36647
10552338,5,2531,Reamde,Mystery & Thriller,2011,Neal Stephenson,3.97,1044,20/09/2011,William Morrow,15775,19826,9540,2585,806,48532
9166559,6,1989,These Things Hidden,Mystery & Thriller,2011,Heather Gudenkauf,3.87,337,18/01/2011,Mira,9375,13258,8366,1943,538,33480
10169662,7,1903,Never Knowing,Mystery & Thriller,2011,Chevy Stevens,3.86,410,05/07/2011,St Martins Press,6247,8463,5233,1337,448,21728
7926569,8,1821,Now You See Her,Mystery & Thriller,2011,"James Patterson, Michael Ledwidge",4,359,27/06/2011,"Little, Brown and Company",11363,13109,7268,1392,405,33537
8701129,9,1645,"Love You More (Tessa Leoni, #1; Detective D.D. Warren, #5)",Mystery & Thriller,2011,Lisa Gardner,4.17,368,08/03/2011,Bantam,15043,16927,6184,850,207,39211
9681098,10,1467,"The Fifth Witness (Mickey Haller, #4; Harry Bosch Universe, #22)",Mystery & Thriller,2011,Michael Connelly,4.19,421,05/04/2011,"Little, Brown and Company",20862,23743,8251,849,200,53905
10680329,11,718,"A Trick of the Light (Chief Inspector Armand Gamache, #7)",Mystery & Thriller,2011,Louise Penny,4.31,339,30/08/2011,Minotaur Books,18473,17613,4432,507,137,41162
9635495,12,672,"Fallen (Will Trent, #5)",Mystery & Thriller,2011,Karin Slaughter,4.22,387,21/06/2011,Delacorte Press,14501,13936,4807,734,241,34219
8437667,13,578,"Live Wire (Myron Bolitar, #10)",Mystery & Thriller,2011,Harlan Coben,4.08,371,22/03/2011,Dutton,13007,15661,7210,1062,275,37215
10532477,14,527,"Heat Rises (Nikki Heat, #3)",Mystery & Thriller,2011,Richard Castle,3.93,301,20/09/2011,Hyperion,4553,7108,4402,552,88,16703
9440448,15,485,"Buried Prey (Lucas Davenport, #21)",Mystery & Thriller,2011,John Sandford,4.25,390,,None,13911,12898,4445,564,165,31983
10024937,16,384,Iron House,Mystery & Thriller,2011,John Hart,4.09,421,,None,4813,5619,2166,457,163,13218
9970915,17,261,"Pirate King (Mary Russell, #11)",Mystery & Thriller,2011,Laurie R. King,3.47,300,,Bantam Books,1399,2496,2797,1042,255,7989
9578677,18,222,"The Silent Girl (Rizzoli & Isles, #9)",Mystery & Thriller,2011,Tess Gerritsen,4.13,315,05/07/2011,Random House Publishing Group,11775,13254,5515,759,215,31518
10627168,19,216,"The Affair (Jack Reacher, #16)",Mystery & Thriller,2011,Lee Child,4.12,405,27/09/2011,Delacorte Press,27319,31049,12699,1868,618,73553
9231999,20,88,"Claire DeWitt and the City of the Dead (Claire DeWitt Mysteries, #1)",Mystery & Thriller,2011,Sara Gran,3.68,273,02/06/2011,Houghton Mifflin Harcourt,1509,3103,2167,570,203,7552
8683812,1,3123,The Paris Wife,Historical Fiction,2011,Paula McLain,3.81,314,27/02/2011,Ballantine Books,60486,108074,64210,15284,4446,252500
10950924,2,2498,The Dovekeepers,Historical Fiction,2011,Alice Hoffman,4.04,504,04/10/2011,Simon and Schuster,25214,23533,11214,3417,1418,64796
9850443,3,2212,The Sisters Brothers,Historical Fiction,2011,Patrick deWitt,3.85,328,26/04/2011,Ecco,18599,34126,18099,4192,1150,76166
8689913,4,2196,Madame Tussaud: A Novel of the French Revolution,Historical Fiction,2011,Michelle Moran,3.96,446,15/02/2011,Crown Publishing Group,5931,7830,3977,924,301,18963
9500416,5,1944,Dreams of Joy (Shanghai Girls #2),Historical Fiction,2011,Lisa See,4.08,354,31/05/2011,Random House,18922,24602,10066,1645,388,55623
8312896,6,1734,The Second Duchess,Historical Fiction,2011,Elizabeth Loupas,3.91,369,01/03/2011,New American Library,982,1150,739,165,59,3095
9684523,7,1603,Caleb's Crossing,Historical Fiction,2011,Geraldine Brooks,3.82,306,03/05/2011,Viking,13741,25218,14910,3199,936,58004
10518423,8,1343,The Soldier's Wife,Historical Fiction,2011,Margaret Leroy,3.89,416,28/06/2011,Hachette Books,3728,6047,3288,650,217,13930
10054335,9,1082,Rules of Civility,Historical Fiction,2011,Amor Towles,4.04,335,26/07/2011,Viking Adult,46060,56688,25538,5406,1461,135153
10872085,10,1065,"Only Time Will Tell (The Clifton Chronicles, #1)",Historical Fiction,2011,Jeffrey Archer,4.08,,,None,24825,30262,12225,2331,859,70502
9542439,11,604,"The Lady of the Rivers (The Plantagenet and Tudor Novels, #1; Cousins War #3)",Historical Fiction,2011,Philippa Gregory,4,502,15/09/2011,Simon & Schuster Ltd,21020,22718,12506,2575,1156,59975
8911226,12,559,Doc,Historical Fiction,2011,Mary Doria Russell,3.99,394,03/05/2011,Random House,4376,5895,2634,625,216,13746
9413657,13,554,Letters from Home,Historical Fiction,2011,Kristina McMorris,3.85,364,22/02/2011,Kensington Books,806,1238,765,178,51,3038
9689093,14,542,The Autobiography of Mrs. Tom Thumb,Historical Fiction,2011,Melanie Benjamin,3.69,424,,None,1700,3931,2976,582,158,9347
10158657,15,508,22 Britannia Road,Historical Fiction,2011,Amanda Hodgkinson,3.64,323,,None,1866,4443,3638,874,160,10981
10437680,16,334,Lionheart (Plantagenets #4),Historical Fiction,2011,Sharon Kay Penman,4.1,594,04/10/2011,G.P. Putnam's Sons,2233,2255,1055,210,66,5819
9933894,17,331,"The Dark Enquiry (Lady Julia Grey, #5)",Historical Fiction,2011,Deanna Raybourn,4.05,392,21/06/2011,Mira,2759,3549,1705,242,61,8316
9951003,18,255,"Becoming Marie Antoinette (Marie Antoinette, #1)",Historical Fiction,2011,Juliet Grey,3.8,453,09/08/2011,Ballantine Books,1386,2137,1498,323,119,5463
8582344,19,215,Exit the Actress,Historical Fiction,2011,Priya Parmar,3.82,444,01/02/2011,Touchstone,425,579,390,98,37,1529
9464746,20,185,"The Wild Rose (The Tea Rose, #3)",Historical Fiction,2011,Jennifer Donnelly,4.1,623,02/08/2011,Hyperion,4006,3798,1883,407,95,10189
10664113,1,8530,"A Dance with Dragons (A Song of Ice and Fire, #5)",Fantasy,2011,George R.R. Martin,4.33,1125,12/07/2011,Bantam,271230,178846,64273,12202,3245,529796
9361589,2,8519,The Night Circus,Fantasy,2011,Erin Morgenstern,4.04,391,13/09/2011,Doubleday,257790,208114,111187,38229,15072,630392
1215032,3,4962,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Fantasy,2011,Patrick Rothfuss,4.57,994,01/03/2011,DAW Books,270523,91853,25096,5935,2459,395866
8785374,4,2479,"Snuff (Discworld, #39; City Watch #8)",Fantasy,2011,Terry Pratchett,4.16,378,13/10/2011,Doubleday UK,18810,17520,7488,1398,379,45595
9581507,5,1894,Don't Breathe a Word,Fantasy,2011,Jennifer  McMahon,3.59,447,17/05/2011,Harper Paperbacks,2958,5030,4196,1520,533,14237
10079321,6,1656,"The Magician King (The Magicians, #2)",Fantasy,2011,Lev Grossman,3.92,400,09/08/2011,William Heinemann,23065,35833,18516,3956,1168,82538
8131227,7,1584,"One of Our Thursdays Is Missing (Thursday Next, #6)",Fantasy,2011,Jasper Fforde,3.95,362,08/03/2011,Viking Adult,5062,7287,4184,664,114,17311
8315340,8,1418,"Twilight's Dawn (The Black Jewels, #9)",Fantasy,2011,Anne Bishop,4.28,435,,Roc,4431,2653,1171,246,120,8621
9519912,9,1391,"Naamah's Blessing (Naamah Trilogy, #3)",Fantasy,2011,Jacqueline Carey,4.21,610,29/06/2011,Grand Central Publishing,4132,3097,1478,284,67,9058
9579634,10,1164,"Prince of Thorns (The Broken Empire, #1)",Fantasy,2011,Mark  Lawrence,3.86,373,02/08/2011,Voyager,27726,31749,18623,5821,3135,87054
