author,bookName
Bertrand Russell,The Problem of China
Bertrand Russell,Our Knowledge of the External World as a Field for Scientific Method in Philosophy
Bertrand Russell,Mysticism and Logic and Other Essays
Bertrand Russell,The Analysis of Mind
Bertrand Russell,The Problems of Philosophy
Bertrand Russell,The Practice and Theory of Bolshevism
Bertrand Russell,Proposed Roads To Freedom
Bertrand Russell,Political Ideals
D H Lawrence,My England
D H Lawrence,Look! We Have Come Through!
D H Lawrence,Tortoises
D H Lawrence,The Trespasser
D H Lawrence,The Prussian Officer
D H Lawrence,Sons and Lovers
D H Lawrence,Fantasia of the Unconscious
D H Lawrence,Twilight in Italy
D H Lawrence,Bay
D H Lawrence,The Rainbow
D H Lawrence,Women in Love
D H Lawrence,Touch and Go
D H Lawrence,Amores
D H Lawrence,Aaron's Rod
D H Lawrence,New Poems
D H Lawrence,Sea and Sardinia
D H Lawrence,The Lost Girl
D H Lawrence,The White Peacock
D H Lawrence,Wintry Peacock
James Matthew Barrie,A Window in Thrums
James Matthew Barrie,Alice Sit-By-The-Fire
James Matthew Barrie,Tommy and Grizel
James Matthew Barrie,The Little White Bird
James Matthew Barrie,What Every Woman Knows
James Matthew Barrie,Dear Brutus
James Matthew Barrie,Peter Pan
James Matthew Barrie,A Holiday in Bed and Other Sketches
James Matthew Barrie,The Admirable Crichton
James Matthew Barrie,Sentimental Tommy
James Matthew Barrie,My Lady Nicotine
James Matthew Barrie,An Edinburgh Eleven
James Matthew Barrie,Quality Street
James Matthew Barrie,Auld Licht Idylls
James Matthew Barrie,Peter and Wendy
James Matthew Barrie,The Little Minister
James Matthew Barrie,Courage
James Matthew Barrie,Echoes of the War
James Matthew Barrie,"Peter Pan in Kensington Gardens, Version 1"
James Matthew Barrie,"""Der Tag"""
James Matthew Barrie,"Peter Pan in Kensington Gardens, Version 2"
James Matthew Barrie,Better Dead
James Matthew Barrie,Margaret Ogilvy
Jerome Klapka Jerome,All Roads Lead to Calvary
Jerome Klapka Jerome,The Love of Ulrich Nebendahl
Jerome Klapka Jerome,John Ingerfield and Other Stories
Jerome Klapka Jerome,The Angel and the Author - and Others
Jerome Klapka Jerome,The Cost of Kindness
Jerome Klapka Jerome,The Philosopher's Joke
Jerome Klapka Jerome,"Sketches in Lavender, Blue and Green"
Jerome Klapka Jerome,Paul Kelver
Jerome Klapka Jerome,Tommy and Co
Jerome Klapka Jerome,Malvina of Brittany
Jerome Klapka Jerome,Clocks
Jerome Klapka Jerome,Dreams
Jerome Klapka Jerome,Stage-Land
Jerome Klapka Jerome,Evergreens
Jerome Klapka Jerome,Idle Ideas in 1905
Jerome Klapka Jerome,The Soul of Nicholas Snyders
Jerome Klapka Jerome,Tea-table Talk
Jerome Klapka Jerome,Three Men in a Boat
Jerome Klapka Jerome,Mrs. Korner Sins Her Mercies
Jerome Klapka Jerome,Three Men on the Bummel
Jerome Klapka Jerome,The Observations of Henry
Jerome Klapka Jerome,Diary of a Pilgrimage
Jerome Klapka Jerome,They and I
Jerome Klapka Jerome,Fanny and the Servant Problem
Jerome Klapka Jerome,Passing of the Third Floor Back
Jerome Klapka Jerome,The Second Thoughts of An Idle Fellow
Jerome Klapka Jerome,Novel Notes
Jerome Klapka Jerome,Idle Thoughts of an Idle Fellow
Jerome Klapka Jerome,Told After Supper
Jerome Klapka Jerome,The Master of Mrs. Chilvers
William Dean Howells,The Editor's Relations With The Young Contributor
William Dean Howells,A Chance Acquaintance
William Dean Howells,The March Family Trilogy
William Dean Howells,The Quality of Mercy
William Dean Howells,Christmas Every Day and Other Stories
William Dean Howells,A Little Swiss Sojourn
William Dean Howells,Dr. Breen's Practice
William Dean Howells,Between The Dark And The Daylight
William Dean Howells,Poems
William Dean Howells,The Albany Depot
William Dean Howells,The Landlord at Lion's Head
William Dean Howells,Last Days in a Dutch Hotel
William Dean Howells,A Pair of Patient Lovers
William Dean Howells,Suburban Sketches
William Dean Howells,Their Wedding Journey
William Dean Howells,My Mark Twain
William Dean Howells,Fennel and Rue
William Dean Howells,A Foregone Conclusion
William Dean Howells,The Leatherwood God
William Dean Howells,Roundabout to Boston
William Dean Howells,A Traveler from Altruria
William Dean Howells,Cambridge Neighbors
William Dean Howells,Imaginary Interviews
William Dean Howells,The Minister's Charge
William Dean Howells,Indian Summer
William Dean Howells,A Likely Story
William Dean Howells,The Daughter of the Storage
William Dean Howells,The Man of Letters as a Man of Business
William Dean Howells,The White Mr. Longfellow
William Dean Howells,Staccato Notes of a Vanished Summer
William Dean Howells,Literature and Life
William Dean Howells,Modern Italian Poets
William Dean Howells,Seven English Cities
William Dean Howells,Roman Holidays and Others
William Dean Howells,Literary Boston
William Dean Howells,American Literary Centers
William Dean Howells,April Hopes
William Dean Howells,Bride Roses
William Dean Howells,Short Stories and Essays
William Dean Howells,First Visit to New England and Others
William Dean Howells,The Confessions of a Summer Colonist
William Dean Howells,The Garotters
William Dean Howells,The Elevator
William Dean Howells,A Fearful Responsibility and Other Stories
William Dean Howells,Their Silver Wedding Journey
William Dean Howells,Venetian Life
William Dean Howells,Buying a Horse
William Dean Howells,Familiar Spanish Travels
William Dean Howells,The Parlor-Car
William Dean Howells,Studies of Lowell
William Dean Howells,Oliver Wendell Holmes
William Dean Howells,Annie Kilburn
William Dean Howells,Boy Life
William Dean Howells,The Lady of the Aroostook
William Dean Howells,A Boy's Town
William Dean Howells,Emile Zola
William Dean Howells,The Rise of Silas Lapham
William Dean Howells,The Coast of Bohemia
William Dean Howells,The Sleeping Car
William Dean Howells,Of Literature
William Dean Howells,A Psychological Counter-current in Recent Fiction
William Dean Howells,Ragged Lady
William Dean Howells,Stories Of Ohio
William Dean Howells,The Kentons
William Dean Howells,The Register
William Dean Howells,An Open-Eyed Conspiracy; An Idyl of Saratoga
William Dean Howells,Some Anomalies of the Short Story
William Dean Howells,A Hazard of New Fortunes
William Dean Howells,Italian Journeys
William Dean Howells,The Flight of Pony Baker
William Dean Howells,A Belated Guest
William Dean Howells,Criticism And Fiction
William Dean Howells,London Films
William Dean Howells,"Henry James, Jr"
William Dean Howells,Through the Eye of the Needle
William Dean Howells,Five O'Clock Tea
William Dean Howells,A Modern Instance
William Dean Howells,My Literary Passions
William Dean Howells,The Story of a Play
William Dean Howells,Spanish Prisoners of War
William Dean Howells,Literary Friends And Acquaintances
William Dean Howells,Evening Dress
William Dean Howells,Questionable Shapes
William Dean Howells,The Standard Household-Effect Company
Leigh Hunt,"Stories from the Italian Poets: With Lives of the Writers, Volume 2"
Leigh Hunt,"Stories from the Italian Poets: With Lives of the Writers, Volume 1"
Leigh Hunt,Captain Sword and Captain Pen
Emily Bronte,Wuthering Heights
William Somerset Maugham,Liza of Lambeth
William Somerset Maugham,The Magician
William Somerset Maugham,Of Human Bondage
William Somerset Maugham,The Hero
William Somerset Maugham,"Plays: Lady Frederick, The Explorer, A Man of Honor"
William Somerset Maugham,The Moon and Sixpence
William Somerset Maugham,Orientations
William Somerset Maugham,The Explorer
William Somerset Maugham,The Making of a Saint
William Somerset Maugham,Caesar's Wife
William Somerset Maugham,East of Suez
William Somerset Maugham,The Trembling of a Leaf
William Somerset Maugham,The Land of The Blessed Virgin; Sketches and Impressions in Andalusia
William Makepeace Thackeray,Some Roundabout Papers
William Makepeace Thackeray,Ballads
William Makepeace Thackeray,The Paris Sketch Book Of Mr. M. A. Titmarsh
William Makepeace Thackeray,The History of Samuel Titmarsh
William Makepeace Thackeray,The Newcomes
William Makepeace Thackeray,Memoirs of Mr. Charles J. Yellowplush
William Makepeace Thackeray,Barry Lyndon
William Makepeace Thackeray,The Christmas Books
William Makepeace Thackeray,Vanity Fair
William Makepeace Thackeray,Little Travels and Roadside Sketches
William Makepeace Thackeray,The Tremendous Adventures of Major Gahagan
William Makepeace Thackeray,The Wolves and the Lamb
William Makepeace Thackeray,Catherine: A Story
William Makepeace Thackeray,The Virginians
William Makepeace Thackeray,Burlesques
William Makepeace Thackeray,The History of Pendennis
William Makepeace Thackeray,The Fitz-Boodle Papers
William Makepeace Thackeray,John Leech's Pictures of Life and Character
William Makepeace Thackeray,"The History of Henry Esmond, Esq"
William Makepeace Thackeray,The Fatal Boots
William Makepeace Thackeray,The Book of Snobs
William Makepeace Thackeray,A Little Dinner at Timmins's
William Makepeace Thackeray,Notes on a Journey from Cornhill to Grand Cairo
William Makepeace Thackeray,Men's Wives
William Makepeace Thackeray,The Rose and the Ring
William Makepeace Thackeray,George Cruikshank
William Makepeace Thackeray,The Bedford-Row Conspiracy
William Makepeace Thackeray,Henry Esmond; The English Humourists; The Four Georges
William Makepeace Thackeray,The Second Funeral of Napoleon
William Makepeace Thackeray,Roundabout Papers
Robert Browning,The Pied Piper of Hamelin
Robert Browning,Browning's Shorter Poems
Robert Browning,A Blot In The 'Scutcheon
Robert Browning,Selections from the Poems and Plays of Robert Browning
Robert Browning,Dramatic Romances
Robert Browning,Christmas Eve
Robert Browning,Men and Women
Herbert George Wells,The Research Magnificent
Herbert George Wells,The Invisible Man
Herbert George Wells,The War of the Worlds
Herbert George Wells,The Island of Doctor Moreau
Herbert George Wells,Anticipations
Herbert George Wells,An Englishman Looks at the World
Herbert George Wells,Twelve Stories and a Dream
Herbert George Wells,Mankind in the Making
Herbert George Wells,What is Coming?
Herbert George Wells,In the Days of the Comet
Herbert George Wells,The Sea Lady
Herbert George Wells,Ann Veronica
Herbert George Wells,"Text Book of Biology, Part 1: Vertebrata"
Herbert George Wells,Marriage
Herbert George Wells,The War in the Air
Herbert George Wells,The World Set Free
Herbert George Wells,The Wife of Sir Isaac Harman
Herbert George Wells,The History of Mr. Polly
Herbert George Wells,Soul of a Bishop
Herbert George Wells,Certain Personal Matters
Herbert George Wells,The Sleeper Awakes
Herbert George Wells,Love and Mr. Lewisham
Herbert George Wells,"Floor Games; a companion volume to ""Little Wars"""
Herbert George Wells,God The Invisible King
Herbert George Wells,Tono Bungay
Herbert George Wells,"The Country of the Blind, And Other Stories"
Herbert George Wells,New Worlds For Old
Herbert George Wells,The First Men In The Moon
Herbert George Wells,The Red Room
Herbert George Wells,Kipps
Herbert George Wells,The Salvaging Of Civilisation
Herbert George Wells,Tales of Space and Time
