budget,homepage,id,originallanguage,originaltitle,overview,popularity,revenue,runtime,status,tagline,title,voteaverage,votecount
237000000.00,http://www.avatarmovie.com/,19995,en,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",150.437577,2787965087,162,Released,Enter the World of Pandora.,Avatar,7.2,11800
300000000.00,http://disney.go.com/disneypictures/pirates/,285,en,Pirates of the Caribbean: At World's End,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",139.082615,9.61E+08,169,Released,"At the end of the world, the adventure begins.",Pirates of the Caribbean: At World's End,6.9,4500
245000000.00,http://www.sonypictures.com/movies/spectre/,206647,en,Spectre,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",107.376788,880674609,148,Released,A Plan No One Escapes,Spectre,6.3,4466
250000000.00,http://www.thedarkknightrises.com/,49026,en,The Dark Knight Rises,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",112.31295,1084939099,165,Released,The Legend Ends,The Dark Knight Rises,7.6,9106
260000000.00,http://movies.disney.com/john-carter,49529,en,John Carter,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",43.926995,284139100,132,Released,"Lost in our world, found in another.",John Carter,6.1,2124
258000000.00,http://www.sonypictures.com/movies/spider-man3/,559,en,Spider-Man 3,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",115.699814,890871626,139,Released,The battle within.,Spider-Man 3,5.9,3576
260000000.00,http://disney.go.com/disneypictures/tangled/,38757,en,Tangled,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",48.681969,591794936,100,Released,They're taking adventure to new lengths.,Tangled,7.4,3330
280000000.00,http://marvel.com/movies/movie/193/avengers_age_of_ultron,99861,en,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",134.279229,1405403694,141,Released,A New Age Has Come.,Avengers: Age of Ultron,7.3,6767
250000000.00,http://harrypotter.warnerbros.com/harrypotterandthehalf-bloodprince/dvd/index.html,767,en,Harry Potter and the Half-Blood Prince,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",98.885637,933959197,153,Released,Dark Secrets Revealed,Harry Potter and the Half-Blood Prince,7.4,5293
250000000.00,http://www.batmanvsupermandawnofjustice.com/,209112,en,Batman v Superman: Dawn of Justice,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",155.790452,873260194,151,Released,Justice or revenge,Batman v Superman: Dawn of Justice,5.7,7004
270000000.00,http://www.superman.com,1452,en,Superman Returns,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",57.925623,391081192,154,Released,,Superman Returns,5.4,1400
200000000.00,http://www.mgm.com/view/movie/234/Quantum-of-Solace/,10764,en,Quantum of Solace,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",107.928811,586090727,106,Released,"For love, for hate, for justice, for revenge.",Quantum of Solace,6.1,2965
200000000.00,http://disney.go.com/disneypictures/pirates/,58,en,Pirates of the Caribbean: Dead Man's Chest,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",145.847379,1065659812,151,Released,Jack is back!,Pirates of the Caribbean: Dead Man's Chest,7,5246
255000000.00,http://disney.go.com/the-lone-ranger/,57201,en,The Lone Ranger,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",49.046956,89289910,149,Released,Never Take Off the Mask,The Lone Ranger,5.9,2311
225000000.00,http://www.manofsteel.com/,49521,en,Man of Steel,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",99.398009,662845518,143,Released,You will believe that a man can fly.,Man of Steel,6.5,6359
