conformationname,moleculename
188_1+1,MUSK-188
188_1+2,MUSK-188
188_1+3,MUSK-188
188_1+4,MUSK-188
190_1+1,MUSK-190
190_1+2,MUSK-190
190_1+3,MUSK-190
190_1+4,MUSK-190
199_1+1,NON-MUSK-199
199_1+2,NON-MUSK-199
199_1+3,NON-MUSK-199
199_1+4,NON-MUSK-199
200_1+1,NON-MUSK-200
200_1+2,NON-MUSK-200
200_1+3,NON-MUSK-200
200_1+4,NON-MUSK-200
208_1+1,NON-MUSK-208
208_1+2,NON-MUSK-208
211_1+1,MUSK-211
211_1+2,MUSK-211
212_1+1,MUSK-212
212_1+2,MUSK-212
212_1+3,MUSK-212
213_1+1,MUSK-213
213_1+2,MUSK-213
213_1+3,MUSK-213
213_1+4,MUSK-213
219_1+1,MUSK-219
219_1+2,MUSK-219
220_1+1,NON-MUSK-220
220_1+2,NON-MUSK-220
220_1+3,NON-MUSK-220
220_1+4,NON-MUSK-220
224_1+1,MUSK-224
224_1+2,MUSK-224
226_1+1,NON-MUSK-226
226_1+2,NON-MUSK-226
227_1+1,MUSK-227
227_1+2,MUSK-227
228_1+1,MUSK-228
228_1+2,MUSK-228
228_1+3,MUSK-228
228_2+1,MUSK-228
228_2+2,MUSK-228
232_1+1,NON-MUSK-232
232_1+2,NON-MUSK-232
232_1+3,NON-MUSK-232
232_2+1,NON-MUSK-232
232_2+2,NON-MUSK-232
232_3+1,NON-MUSK-232
232_3+2,NON-MUSK-232
232_4+1,NON-MUSK-232
232_4+2,NON-MUSK-232
236_1+1,MUSK-236
236_1+2,MUSK-236
236_1+3,MUSK-236
236_2+1,MUSK-236
236_2+2,MUSK-236
236_2+3,MUSK-236
238_1+1,MUSK-238
238_1+2,MUSK-238
238_1+3,MUSK-238
238_2+1,MUSK-238
238_2+2,MUSK-238
240_1+1,MUSK-240
240_1+2,MUSK-240
240_2+1,MUSK-240
240_2+2,MUSK-240
240_3+1,MUSK-240
240_3+2,MUSK-240
240_4+1,MUSK-240
240_4+2,MUSK-240
246_1+1,MUSK-246
246_1+2,MUSK-246
246_2+1,MUSK-246
246_2+2,MUSK-246
247_1+1,NON-MUSK-247
247_1+2,NON-MUSK-247
249_1+1,NON-MUSK-249
249_1+2,NON-MUSK-249
253_1+1,NON-MUSK-253
253_1+2,NON-MUSK-253
254_1+1,MUSK-254
254_1+2,MUSK-254
256_1+1,MUSK-256
256_1+2,MUSK-256
256_1+3,MUSK-256
256_1+4,MUSK-256
257_1+1,NON-MUSK-257
257_1+2,NON-MUSK-257
257_1+3,NON-MUSK-257
257_1+4,NON-MUSK-257
271_1+1,NON-MUSK-271
271_1+2,NON-MUSK-271
272_1+1,MUSK-272
272_1+2,MUSK-272
272_1+3,MUSK-272
273_1+1,MUSK-273
273_1+2,MUSK-273
273_1+3,MUSK-273
273_1+4,MUSK-273
273_1+5,MUSK-273
284_1+1,MUSK-284
284_1+2,MUSK-284
284_2+1,MUSK-284
284_2+2,MUSK-284
285_1+1,MUSK-285
285_1+2,MUSK-285
285_1+3,MUSK-285
285_1+4,MUSK-285
285_2+1,MUSK-285
285_2+2,MUSK-285
285_2+3,MUSK-285
285_2+4,MUSK-285
286_1+1,NON-MUSK-286
286_1+2,NON-MUSK-286
286_1+3,NON-MUSK-286
286_1+4,NON-MUSK-286
286_2+1,NON-MUSK-286
286_2+2,NON-MUSK-286
286_2+3,NON-MUSK-286
286_2+4,NON-MUSK-286
286_2+5,NON-MUSK-286
288_1+1,NON-MUSK-288
288_1+2,NON-MUSK-288
288_1+3,NON-MUSK-288
288_1+4,NON-MUSK-288
288_1+5,NON-MUSK-288
288_1+6,NON-MUSK-288
288_1+7,NON-MUSK-288
288_1+8,NON-MUSK-288
288_2+1,NON-MUSK-288
288_2+2,NON-MUSK-288
288_2+3,NON-MUSK-288
288_2+4,NON-MUSK-288
288_2+5,NON-MUSK-288
