CountryCode,CountryName,Region,IncomeGroup,SpecialNotes
ABW,Aruba,"Latin America & Caribbean","High income: nonOECD","SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000."
AFG,Afghanistan,"South Asia","Low income","Fiscal year end: March 20; reporting period for national accounts data: FY (from 2013 are CY). National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy."
AGO,Angola,"Sub-Saharan Africa","Upper middle income","April 2013 database update: Based on IMF data, national accounts data were revised for 2000 onward; the base year changed to 2002."
ALB,Albania,"Europe & Central Asia","Upper middle income",NULL
AND,Andorra,"Europe & Central Asia","High income: nonOECD",NULL
ARB,"Arab World",NULL,NULL,"Arab World aggregate. Arab World is composed of members of the League of Arab States."
ARE,"United Arab Emirates","Middle East & North Africa","High income: nonOECD","April 2013 database update: Based on data from the National Bureau of Statistics, national accounts data were revised for 2001 onward; the base year changed to 2007."
ARG,Argentina,"Latin America & Caribbean","Upper middle income",NULL
ARM,Armenia,"Europe & Central Asia","Lower middle income",NULL
ASM,"American Samoa","East Asia & Pacific","Upper middle income",NULL
ATG,"Antigua and Barbuda","Latin America & Caribbean","High income: nonOECD","April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006."
AUS,Australia,"East Asia & Pacific","High income: OECD","Fiscal year end: June 30; reporting period for national accounts data: FY. Value added current series updated by the Australian Bureau of Statistics; data revised from 1990 onward; Australia reports using SNA 2008."
AUT,Austria,"Europe & Central Asia","High income: OECD","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
AZE,Azerbaijan,"Europe & Central Asia","Upper middle income","April 2012 database update: National accounts historical expenditure series in constant prices were revised in line with State Statistical Committee data that were not previously available."
BDI,Burundi,"Sub-Saharan Africa","Low income",NULL
BEL,Belgium,"Europe & Central Asia","High income: OECD","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
BEN,Benin,"Sub-Saharan Africa","Low income",NULL
BFA,"Burkina Faso","Sub-Saharan Africa","Low income",NULL
BGD,Bangladesh,"South Asia","Low income","Fiscal year end: June 30; reporting period for national accounts data: FY. New base year is 2005/06."
BGR,Bulgaria,"Europe & Central Asia","Upper middle income","New reference year is 2010. April 2011 database update: The National Statistical Office revised national accounts data from 1995 onward. GDP in current prices were about 4 percent higher than previous estimates."
BHR,Bahrain,"Middle East & North Africa","High income: nonOECD","New base year is 2010."
BHS,"Bahamas, The","Latin America & Caribbean","High income: nonOECD",NULL
BIH,"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income","New reference year is 2010."
BLR,Belarus,"Europe & Central Asia","Upper middle income",NULL
BLZ,Belize,"Latin America & Caribbean","Upper middle income",NULL
