ContinentCountryofNationality,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Mexico,84.00,103.00,177.00,190.00,132.00,172.00,303.00,202.00,468.00,667.00
Moldova,12.00,35.00,49.00,114.00,81.00,133.00,172.00,96.00,55.00,67.00
Mongolia,56.00,105.00,77.00,51.00,103.00,96.00,80.00,38.00,30.00,41.00
Morocco,3.00,3.00,,4.00,,12.00,9.00,4.00,4.00,9.00
Nepal,211.00,282.00,348.00,493.00,407.00,417.00,573.00,473.00,256.00,364.00
Nicaragua,20.00,20.00,28.00,20.00,20.00,13.00,21.00,7.00,11.00,31.00
Niger,8.00,4.00,10.00,4.00,8.00,,3.00,5.00,5.00,3.00
Nigeria,24.00,28.00,38.00,38.00,31.00,31.00,64.00,62.00,51.00,95.00
Pakistan,93.00,133.00,162.00,196.00,201.00,255.00,234.00,263.00,269.00,273.00
Peru,59.00,44.00,43.00,18.00,21.00,33.00,27.00,13.00,11.00,18.00
Philippines,8.00,20.00,16.00,16.00,12.00,3.00,14.00,9.00,4.00,3.00
Romania,16.00,26.00,10.00,6.00,3.00,14.00,8.00,5.00,10.00,
Russia,231.00,284.00,372.00,366.00,390.00,464.00,543.00,345.00,218.00,308.00
Rwanda,65.00,71.00,76.00,59.00,96.00,70.00,84.00,57.00,55.00,67.00
Saudi Arabia,7.00,,8.00,7.00,16.00,10.00,17.00,39.00,33.00,39.00
Senegal,7.00,11.00,10.00,23.00,10.00,18.00,18.00,7.00,11.00,9.00
Serbia and Montenegro (former),31.00,65.00,52.00,37.00,18.00,16.00,34.00,20.00,27.00,16.00
Sierra Leone,25.00,20.00,23.00,36.00,23.00,14.00,14.00,7.00,28.00,12.00
Somalia,62.00,77.00,70.00,95.00,62.00,29.00,55.00,32.00,24.00,12.00
Sri Lanka,16.00,35.00,39.00,127.00,107.00,50.00,33.00,34.00,29.00,30.00
Sudan,48.00,85.00,86.00,73.00,70.00,99.00,122.00,83.00,57.00,100.00
Syria,12.00,8.00,23.00,8.00,12.00,46.00,327.00,750.00,850.00,873.00
Tajikistan,,3.00,10.00,13.00,23.00,36.00,24.00,25.00,20.00,17.00
Tanzania,4.00,6.00,8.00,6.00,7.00,10.00,12.00,,10.00,3.00
Togo,91.00,62.00,39.00,35.00,16.00,18.00,21.00,24.00,20.00,14.00
Turkey,9.00,16.00,34.00,25.00,47.00,31.00,31.00,25.00,5.00,17.00
Turkmenistan,26.00,15.00,13.00,7.00,11.00,17.00,10.00,6.00,5.00,10.00
Uganda,33.00,78.00,56.00,56.00,89.00,90.00,91.00,49.00,59.00,77.00
Ukraine,41.00,64.00,65.00,73.00,67.00,133.00,152.00,120.00,95.00,145.00
United Arab Emirates,,,,3.00,,,3.00,9.00,10.00,15.00
Uzbekistan,88.00,109.00,105.00,100.00,79.00,111.00,83.00,62.00,58.00,66.00
Venezuela,1080.00,834.00,751.00,394.00,467.00,898.00,960.00,601.00,318.00,470.00
Vietnam,15.00,11.00,21.00,35.00,24.00,18.00,15.00,8.00,12.00,12.00
Yemen,7.00,28.00,18.00,25.00,44.00,38.00,31.00,45.00,29.00,59.00
Zimbabwe,141.00,159.00,198.00,155.00,62.00,79.00,56.00,40.00,18.00,33.00
Other,73.00,102.00,91.00,96.00,105.00,100.00,109.00,84.00,78.00,84.00
Unknown,41.00,53.00,92.00,129.00,53.00,47.00,38.00,40.00,35.00,47.00
Total,13048.00,12448.00,12129.00,11980.00,11227.00,13419.00,17428.00,15205.00,14583.00,17878.00
