atomid,Cnt
d100_16,1
d108_16,1
d108_22,1
d109_1,1
d109_13,1
d109_5,1
d10_13,1
d10_14,1
d111_10,1
d111_15,1
d111_19,1
d111_20,1
d112_13,1
d113_11,1
d114_11,1
d114_2,1
d118_12,1
d118_2,1
d118_4,1
d118_6,1
d11_12,1
d121_17,1
d122_16,1
d122_27,1
d122_32,1
d124_9,1
d128_6,1
d129_1,1
d130_15,1
d130_16,1
d131_9,1
d132_11,1
d132_2,1
d133_10,1
d135_34,1
d135_40,1
d136_13,1
d136_18,1
d136_7,1
d137_10,1
d137_12,1
d137_15,1
d137_21,1
d137_45,1
d137_51,1
d137_57,1
d137_60,1
d137_69,1
d137_74,1
d137_79,1
d138_11,1
d138_12,1
d139_30,1
d13_24,1
d13_31,1
d140_36,1
d140_39,1
d140_4,1
d140_40,1
d141_13,1
d142_11,1
d142_13,1
d142_14,1
d142_4,1
d143_22,1
d143_4,1
d143_5,1
d144_2,1
d144_33,1
d145_25,1
d145_28,1
d145_31,1
d146_10,1
d146_12,1
d146_3,1
d147_29,1
d147_3,1
d147_31,1
d148_17,1
d149_11,1
d149_13,1
d149_31,1
d14_14,1
d150_12,1
d150_18,1
d151_10,1
d151_11,1
d151_13,1
d151_9,1
d152_24,1
d152_30,1
d153_10,1
d153_12,1
d154_16,1
d154_26,1
d154_9,1
d155_25,1
d155_30,1
d155_4,1
d155_42,1
d155_44,1
d155_48,1
d155_49,1
d156_10,1
d156_18,1
d156_19,1
d156_20,1
d156_22,1
d156_29,1
d156_40,1
d156_45,1
d157_24,1
d158_1,1
d15_12,1
d160_10,1
d160_13,1
d160_5,1
d160_6,1
d160_7,1
d161_26,1
d162_11,1
d162_16,1
d162_21,1
d162_22,1
d163_12,1
d163_20,1
d163_23,1
d163_8,1
d164_12,1
d164_18,1
d164_24,1
d164_25,1
d164_28,1
d164_29,1
d164_38,1
d164_5,1
d164_7,1
d165_14,1
d165_25,1
d167_13,1
d168_18,1
d169_12,1
d16_13,1
d16_4,1
d170_12,1
d170_4,1
d171_29,1
d172_2,1
d172_3,1
d172_4,1
d172_5,1
d173_40,1
d173_64,1
d174_12,1
d174_15,1
d174_18,1
d174_6,1
d174_9,1
d175_20,1
d175_23,1
d177_11,1
d177_25,1
d177_32,1
d177_39,1
d177_4,1
d177_9,1
d17_4,1
d180_19,1
d180_9,1
d181_13,1
d182_12,1
d182_21,1
d182_24,1
d182_26,1
d182_32,1
d183_11,1
d183_30,1
d183_32,1
d183_36,1
d183_38,1
d183_4,1
d183_56,1
d186a_101,1
d186a_13,1
d186a_34,1
d186a_36,1
d186a_4,1
d186a_48,1
d186a_51,1
d186a_6,1
d186a_88,1
d186a_91,1
d186a_93,1
d186b_54,1
d187_11,1
d187_13,1
d189_21,1
d18_21,1
d18_4,1
d191_16,1
d192_13,1
d192_23,1
d193_2,1
d193_5,1
d194_1,1
d196_5,1
d199_13,1
d199_24,1
d19_4,1
d1_13,1
d1_4,1
d201_11,1
d201_20,1
d201_4,1
d201_7,1
d201_9,1
d203_2,1
d203_4,1
d203_6,1
d205_16,1
d205_3,1
d205_4,1
d205_5,1
d205_6,1
d207_12,1
d207_23,1
d208_2_2,1
d208_2_3,1
d208_2_4,1
d208_2_5,1
d209_10,1
d209_11,1
d209_5,1
d20_10,1
d211_16,1
d211_17,1
d211_2,1
d212_18,1
d212_2,1
d212_22,1
d212_23,1
d212_24,1
d212_28,1
d212_39,1
d212_42,1
d213_15,1
d215_2,1
d216_16,1
d216_3,1
d216_4,1
d216_5,1
d216_6,1
d217_12,1
d217_2,1
d218_17,1
d219_17,1
d219_18,1
d21_11,1
d21_20,1
d221_17,1
d221_21,1
d221_22,1
d221_23,1
d221_34,1
d221_36,1
d221_4,1
d222_26,1
d225a_25,1
d225b_25,1
d226_2,1
d227_1,1
d22_12,1
d22_23,1
d230_1,1
d231_12,1
d232_7,1
d233_13,1
d233_18,1
d233_23,1
d234_2,1
d234_7,1
d234_8,1
d235_14,1
d235_16,1
d235_3,1
d237_13,1
d237_3,1
d237_4,1
d238_18,1
d238_21,1
d238_27,1
d23_1_11,1
d23_1_21,1
d23_2_12,1
d23_2_16,1
d23_2_20,1
d23_2_21,1
d240_3,1
d240_8,1
d241_3,1
d241_6,1
d242_19,1
d243_10,1
d244_3,1
d244_5,1
d245_10,1
d246_27,1
d246_28,1
d246_32,1
d246_68,1
d246_71,1
d247_16,1
d247_17,1
d247_3,1
d24_11,1
d24_21,1
d250_1,1
d251_1,1
d251_11,1
d251_19,1
d251_3,1
d252_10,1
d252_7,1
d253_12,1
d253_7,1
d254_3,1
d254_8,1
d256_1,1
d256_10,1
d256_14,1
d256_18,1
d256_19,1
d256_9,1
d257_10,1
d257_19,1
d257_20,1
d257_29,1
d257_6,1
d258_13,1
d258_3,1
d258_8,1
d260_12,1
d260_2,1
d260_6,1
d262_2,1
d263_1,1
d263_6,1
d264_10,1
d264_19,1
d264_20,1
d264_24,1
d264_32,1
d264_6,1
d265_2,1
d265_4,1
d265_6,1
d266_17,1
d266_2,1
d266_26,1
d266_4,1
d266_6,1
d267_14,1
d267_18,1
d267_7,1
d268_2,1
d269_10,1
d269_19,1
d269_20,1
d269_23,1
d269_25,1
d269_6,1
d270_11,1
d270_14,1
d270_19,1
d270_2,1
d270_20,1
d270_35,1
d270_43,1
d270_5,1
d271_18,1
d271_2,1
d271_26,1
d271_7,1
d271_9,1
d277_15,1
d277_4,1
d278_15,1
d278_4,1
d279_4,1
d27_1,1
d27_8,1
d280_14,1
d280_15,1
d280_17,1
d280_4,1
d282_7,1
d283_8,1
d284_10,1
d285_10,1
d287_19,1
d287_3,1
d287_5,1
d288_11,1
d28_5,1
d28_8,1
d290_16,1
d290_4,1
d291_3,1
d293_11,1
d293_13,1
d293_4,1
d294_10,1
d294_17,1
d294_4,1
d296_4,1
d297_103,1
d297_110,1
d297_117,1
d297_124,1
d297_132,1
d297_139,1
d297_14,1
d297_146,1
d297_153,1
d297_160,1
d297_21,1
d297_28,1
d297_35,1
d297_42,1
d297_46,1
d297_52,1
d297_59,1
d297_66,1
d297_73,1
d297_8,1
d297_80,1
d297_87,1
d297_89,1
d297_96,1
d298_11,1
d298_13,1
d298_4,1
d299_11,1
d299_12,1
d29a_14,1
d29a_15,1
d29a_16,1
d29a_18,1
d29b_14,1
d29b_15,1
d29b_16,1
d29b_18,1
d2_11,1
d2_4,1
d301_2,1
d301_4,1
d302_1,1
d302_6,1
d303_11,1
d304a_24,1
d304a_25,1
d304a_9,1
d304b_19,1
d304b_20,1
d304b_8,1
d305_11,1
d305_24,1
d306_11,1
d307_2,1
d308_14,1
d308_4,1
d309_3,1
d309_6,1
d311_30,1
d312_4,1
d312_9,1
d313_17,1
d313_20,1
d313_28,1
d313_9,1
d314_10,1
d314_11,1
d314_2,1
d314_4,1
d314_6,1
d314_7,1
d315_13,1
d315_24,1
d316_7,1
d318_13,1
d318_31,1
d318_33,1
d31a_10,1
d31a_20,1
d31a_25,1
d31b_1,1
d320_12,1
d321_1,1
d321_2,1
d321_3,1
d322_13,1
