bookrank,id,title,bookauthor,publicationyear,publisher,languagecode,numpages,averagerating,ratingscount
1,2429135,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,2008,Knopf,eng,465,4.13,2323151
2,16299,And Then There Were None,Agatha Christie,2004,St. Martin's Press,eng,264,4.26,642138
3,960,"Angels & Demons (Robert Langdon, #1)",Dan Brown,2006,Pocket Books,eng,736,3.9,2450604
4,17899948,Rebecca,Daphne du Maurier,2013,"Little, Brown and Company",eng,449,4.23,200400
5,168642,In Cold Blood,Truman Capote,1994,Vintage,eng,343,4.07,463437
6,22034,The Godfather,Mario Puzo,2002,NAL,eng,448,4.36,287416
7,12232938,The Lovely Bones,Alice Sebold,2006,"Little, Brown and Company",eng,372,3.81,1875378
8,119073,The Name of the Rose,Umberto Eco,1994,Harvest Books,eng,536,4.12,244807
9,5358,The Firm,Robin Waterfield,2000,Addison Wesley Publishing Company,eng,76,4.02,544744
10,21686,Shutter Island,Dennis Lehane,2004,HarperTorch,eng,369,4.09,137258
11,19288043,Gone Girl,Gillian Flynn,2014,Broadway Books,eng,415,4.07,1067279
12,21671,Mystic River,Dennis Lehane,2001,William Morrow Paperbacks,eng,416,4.18,110194
13,1232,"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,2005,Penguin Books,eng,487,4.27,333243
14,40024,"The Alienist (Dr. Laszlo Kreizler, #1)",Caleb Carr,2006,Random House,eng,498,4.06,127882
15,2052,"The Big Sleep (Philip Marlowe, #1)",Raymond Chandler,1988,Vintage Crime,eng,231,4.01,104668
16,6853,"One for the Money (Stephanie Plum, #1)",Janet Evanovich,2006,Griffin,eng,320,4.04,451938
17,29999,The Maltese Falcon,Dashiell Hammett,2005,Orion,eng,213,3.91,69948
18,28877,"Red Dragon (Hannibal Lecter, #1)",Thomas  Harris,2000,Dutton,eng,348,4.03,240764
19,2459785,"In the Woods (Dublin Murder Squad, #1)",Tana French,2008,Penguin Books,eng,431,3.77,42384
20,425029,Presumed Innocent (Kindle County Legal Thriller #1),Scott Turow,1988,Warner Books Inc,eng,421,4.1,100095
21,40440,The Thirteenth Tale,Diane Setterfield,2006,Atria Books,eng,406,3.96,241247
22,386187,Midnight in the Garden of Good and Evil,John Berendt,1999,Vintage,eng,386,3.92,199509
23,51496,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,2003,Signet Classics,eng,144,3.81,298473
24,32542,"A Time to Kill (Jake Brigance, #1)",John Grisham,2004,Dell,eng,515,4.07,667411
25,23919,The Complete Stories and Poems,Edgar Allan Poe,1984,"Doubleday & Company, Inc.",eng,821,4.39,186194
26,16343,"The Mysterious Affair at Styles (Hercule Poirot, #1)",Agatha Christie,2002,Deodand,eng,121,3.99,200481
27,64863,"A is for Alibi (Kinsey Millhone, #1)",Sue Grafton,2005,St. Martin's Press,eng,308,3.85,144715
28,102868,A Study in Scarlet,Arthur Conan Doyle,2005,Digireads.com,eng,123,4.16,269499
29,5890,The Woman in White,Wilkie Collins,2003,Penguin Classics,eng,672,4,108819
30,13137,"1st to Die (Women's Murder Club, #1)",James Patterson,2005,Grand Central Publishing,eng,424,4.08,271758
31,7126,The Count of Monte Cristo,Alexandre Dumas,2003,Penguin Classics,eng,1276,4.25,653184
32,343,Perfume: The Story of a Murderer,Patrick Süskind,1987,Penguin Books,eng,263,4.02,232641
33,6534,"Postmortem (Kay Scarpetta, #1)",Patricia Daniels Cornwell,2003,Pocket Books,eng,342,4.02,194635
34,2373,"The Bone Collector (Lincoln Rhyme, #1)",Jeffery Deaver,1998,Signet Book,eng,528,4.19,141646
35,79885,"The Lincoln Lawyer (Mickey Haller, #1; Harry Bosch Universe, #15)",Michael Connelly,2005,"Little, Brown",eng,404,4.16,156976
36,32499,The Pelican Brief,John Grisham,2006,Delta,eng,400,4,345035
37,1618,The Curious Incident of the Dog in the Night-Time,Mark Haddon,2004,Vintage,eng,226,3.88,1066651
38,78129,"Killing Floor (Jack Reacher, #1)",Lee Child,2006,Jove,eng,424,4.05,198550
39,10692,The Historian,Elizabeth Kostova,2005,Time Warner Books,eng,704,3.78,201425
40,7144,Crime and Punishment,Fyodor Dostoyevsky,2002,Penguin,eng,671,4.21,490764
41,32506,"The Poet (Jack McEvoy, #1; Harry Bosch Universe, #5)",Michael Connelly,2002,Grand Central Publishing,eng,510,4.2,64748
42,479309,Naked in Death (In Death #1),J.D. Robb,1995,Berkley Publishing Group,eng,306,4.12,68154
43,540020,The Day of the Jackal,Frederick Forsyth,1979,Bantam,eng,358,4.26,102994
44,7061,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Alexander McCall Smith,2003,Anchor Books,eng,235,3.78,210665
45,124509,Smilla's Sense of Snow,Peter Høeg,1995,Delta,eng,469,3.73,30050
46,6138,The Moonstone,Wilkie Collins,2001,Modern Library,eng,528,3.91,60208
47,2247142,"The Talented Mr. Ripley (Ripley, #1)",Patricia Highsmith,2008,W. W. Norton  Company,eng,320,3.94,27524
48,762806,"Gorky Park (Arkady Renko, #1)",Martin Cruz Smith,1982,Ballantine Books,eng,433,4.04,54087
49,853510,"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,2007,HarperCollins,eng,347,4.17,128838
50,31374,"A Great Deliverance (Inspector Lynley, #1)",Elizabeth  George,1989,Bantam Books,eng,413,4.05,32829
