color,noun,literalornonliteral
blue,label,L
blue,ring,L
blue,note,N
blue,flag,L
blue,uniform,L
blue,shark,N
blue,line,L
blue,fish,L
blue,filter,L
blue,book,L
blue,eye,L
blue,helmet,L
blue,shield,N
blue,ball,L
blue,bin,L
blue,dress,L
blue,ground,L
blue,colour,L
blue,vinyl,L
blue,color,L
blue,square,L
blue,logo,L
blue,car,L
blue,laser,L
blue,thing,L
blue,wave,L
blue,area,L
blue,field,L
blue,pill,L
blue,planet,N
blue,link,L
blue,cheese,N
blue,flash,L
blue,pencil,N
blue,state,N
blue,triangle,L
blue,face,L
blue,hat,N
blue,hair,L
blue,bag,L
brown,egg,L
brown,colour,L
brown,leather,L
brown,butterfly,L
brown,shirt,L
brown,spot,L
brown,wing,L
brown,band,L
brown,fox,L
brown,coal,N
brown,coat,L
brown,rat,N
brown,soil,L
brown,clay,L
yellow,skin,N
yellow,scheme,L
yellow,stripe,L
yellow,wall,L
yellow,flag,L
yellow,dress,L
yellow,ball,L
yellow,panel,L
yellow,form,L
yellow,house,L
yellow,coat,L
yellow,line,L
yellow,strip,L
yellow,duck,L
green,future,N
green,forest,L
green,wall,N
green,politics,N
green,flag,L
green,form,L
green,filter,L
green,icon,L
green,belt,L
green,space,L
green,spot,L
green,coat,L
green,room,L
green,stone,L
green,technology,N
green,energy,N
green,skin,L
green,market,N
green,electricity,N
green,party,N
green,signal,N
green,valley,L
green,image,L
green,issue,N
green,supplier,N
green,ribbon,L
green,ink,L
green,hill,L
green,cloth,L
green,circle,L
green,development,N
green,channel,N
green,movement,N
green,earth,N
green,card,L
green,business,N
green,company,N
green,head,L
green,group,N
green,laser,L
green,tea,N
green,service,N
green,extract,L
green,product,L
green,idea,N
black,feather,L
black,sack,L
black,taxi,L
black,page,L
black,vinyl,N
black,athlete,N
black,outfit,L
black,friend,N
black,boot,L
black,fur,L
black,staff,N
black,side,L
black,student,N
black,paper,L
black,mayor,N
black,cat,L
black,form,L
black,sky,L
black,prisoner,N
black,case,L
black,patient,N
black,sleeve,L
black,scale,L
black,citizen,N
black,hand,N
black,employee,N
black,life,N
black,short,L
black,plastic,L
black,business,N
black,experience,N
black,circle,L
black,dragon,L
black,flag,L
black,vote,N
black,box,L
black,ice,N
black,artist,N
black,card,L
black,project,N
black,colour,L
black,culture,N
black,interior,L
black,cartridge,L
black,cab,L
black,trouser,L
black,propaganda,N
black,market,N
black,slave,N
black,hole,N
black,mass,N
black,border,L
black,glass,L
black,art,N
black,cap,L
black,stripe,L
black,line,L
black,manager,N
black,stone,L
black,movie,N
black,shape,L
black,cross,L
black,seed,L
black,boy,N
black,beach,N
black,horse,L
black,metal,L
black,soldier,N
black,wing,L
black,sheet,L
black,streak,L
black,candidate,N
black,triangle,L
black,powder,L
black,movement,N
black,bill,L
black,issue,N
black,figure,L
black,member,N
black,bean,N
black,male,N
black,arrow,L
black,top,L
black,ink,L
black,heart,N
black,strap,L
black,patch,L
black,cloud,L
black,knight,N
black,image,L
black,sand,L
black,work,N
black,plate,L
black,neighborhood,N
black,frame,L
white,towel,L
white,copy,L
white,car,L
white,mother,N
white,point,L
white,clay,L
white,cell,N
white,job,N
white,musician,N
white,hat,L
white,girl,N
white,cottage,L
white,dog,L
white,gate,L
white,space,N
white,ground,N
white,scheme,L
white,overall,L
white,fence,L
white,flour,N
white,interior,L
white,star,L
white,rice,N
white,rabbit,L
white,body,N
white,marble,L
white,van,L
white,shoe,L
white,cheese,N
white,clothes,L
white,floor,L
white,triangle,L
white,side,L
white,pepper,N
white,snow,L
white,person,N
white,belt,L
white,screen,L
white,clothing,L
white,ring,L
white,top,L
white,bit,L
white,sleeve,L
white,actor,N
white,smile,N
white,male,N
white,sand,L
white,elephant,L
white,tape,L
white,hand,N
white,ribbon,L
white,butterfly,L
white,soldier,N
white,flash,L
white,hole,N
white,label,L
white,eye,L
white,group,N
white,worker,N
white,cloud,L
white,light,L
white,text,L
white,government,N
white,smoke,L
white,plate,L
white,mouse,L
white,parent,N
white,square,L
white,family,N
white,tile,L
white,band,L
white,bar,L
white,gold,N
white,curtain,L
white,dial,L
white,father,N
white,kid,N
white,house,N
white,bean,N
white,circle,L
white,wine,N
white,lady,N
red,meat,N
red,disc,L
red,tower,L
red,belt,N
red,soil,L
red,signal,N
red,colour,L
red,strip,L
red,button,L
red,hat,L
red,color,L
red,dragon,L
red,arrow,L
red,sandstone,L
red,flame,L
red,shield,L
red,district,N
red,oak,N
red,door,L
red,dress,L
red,glass,L
red,wall,L
red,roof,L
red,granite,N
red,list,N
red,blood,L
red,building,L
red,number,L
red,boot,L
red,wire,L
red,letter,L
red,flash,L
red,flower,L
red,nose,N
red,water,L
red,label,L
red,marble,N
red,section,L
red,scheme,L
red,devil,L
red,face,N
red,car,L
red,flag,L
red,cliff,L
red,ant,N
red,army,N
red,version,L
red,thread,L
red,symbol,L
red,feather,L
red,tip,L
red,ball,L
