FromCurrencyCode,ToCurrencyCode
USD,ARS
USD,AUD
USD,BRL
USD,CAD
USD,CNY
USD,DEM
USD,EUR
USD,FRF
USD,GBP
USD,JPY
USD,MXN
USD,SAR
USD,VEB
USD,ARS
USD,AUD
USD,BRL
USD,CAD
USD,CNY
USD,DEM
USD,EUR
USD,FRF
USD,GBP
USD,JPY
USD,MXN
USD,SAR
USD,VEB
USD,ARS
USD,AUD
USD,BRL
USD,CAD
USD,CNY
USD,DEM
USD,EUR
USD,FRF
USD,GBP
USD,JPY
USD,MXN
USD,SAR
USD,VEB
USD,ARS
USD,AUD
USD,BRL
USD,CAD
USD,CNY
USD,DEM
USD,EUR
USD,FRF
USD,GBP
USD,JPY
USD,MXN
USD,SAR
USD,VEB
USD,ARS
USD,AUD
USD,BRL
USD,CAD
USD,CNY
USD,DEM
USD,EUR
USD,FRF
USD,GBP
USD,JPY
USD,MXN
USD,SAR
USD,VEB
USD,ARS
USD,AUD
USD,BRL
USD,CAD
USD,CNY
USD,DEM
USD,EUR
USD,FRF
USD,GBP
USD,JPY
USD,MXN
USD,SAR
USD,VEB
USD,ARS
USD,AUD
USD,BRL
USD,CAD
USD,CNY
USD,DEM
USD,EUR
USD,FRF
USD,GBP
USD,JPY
USD,MXN
USD,SAR
USD,VEB
USD,ARS
USD,AUD
USD,BRL
USD,CAD
USD,CNY
USD,DEM
USD,EUR
USD,FRF
USD,GBP
USD,JPY
USD,MXN
USD,SAR
USD,VEB
USD,ARS
USD,AUD
USD,BRL
USD,CAD
USD,CNY
USD,DEM
USD,EUR
USD,FRF
USD,GBP
USD,JPY
USD,MXN
USD,SAR
USD,VEB
USD,ARS
USD,AUD
USD,BRL
USD,CAD
USD,CNY
USD,DEM
USD,EUR
USD,FRF
USD,GBP
USD,JPY
USD,MXN
USD,SAR
USD,VEB
USD,ARS
USD,AUD
USD,BRL
USD,CAD
USD,CNY
USD,DEM
USD,EUR
USD,FRF
USD,GBP
USD,JPY
USD,MXN
USD,SAR
USD,VEB
USD,ARS
USD,AUD
USD,BRL
USD,CAD
USD,CNY
USD,DEM
USD,EUR
USD,FRF
USD,GBP
USD,JPY
USD,MXN
USD,SAR
USD,VEB
USD,ARS
USD,AUD
USD,BRL
USD,CAD
USD,CNY
USD,DEM
USD,EUR
USD,FRF
USD,GBP
USD,JPY
USD,MXN
USD,SAR
USD,VEB
USD,ARS
USD,AUD
USD,BRL
USD,CAD
USD,CNY
USD,DEM
USD,EUR
USD,FRF
USD,GBP
USD,JPY
USD,MXN
USD,SAR
USD,VEB
USD,ARS
USD,AUD
USD,BRL
USD,CAD
USD,CNY
USD,DEM
USD,EUR
USD,FRF
USD,GBP
USD,JPY
USD,MXN
USD,SAR
USD,VEB
USD,ARS
USD,AUD
USD,BRL
USD,CAD
USD,CNY
USD,DEM
USD,EUR
USD,FRF
USD,GBP
USD,JPY
USD,MXN
USD,SAR
USD,VEB
USD,ARS
USD,AUD
USD,BRL
USD,CAD
USD,CNY
USD,DEM
USD,EUR
USD,FRF
USD,GBP
USD,JPY
USD,MXN
USD,SAR
USD,VEB
USD,ARS
USD,AUD
USD,BRL
USD,CAD
USD,CNY
USD,DEM
USD,EUR
USD,FRF
USD,GBP
USD,JPY
USD,MXN
USD,SAR
USD,VEB
USD,ARS
USD,AUD
USD,BRL
USD,CAD
USD,CNY
USD,DEM
USD,EUR
USD,FRF
USD,GBP
USD,JPY
USD,MXN
USD,SAR
USD,VEB
USD,ARS
USD,AUD
USD,BRL
USD,CAD
USD,CNY
USD,DEM
USD,EUR
USD,FRF
USD,GBP
USD,JPY
USD,MXN
USD,SAR
USD,VEB
USD,ARS
USD,AUD
USD,BRL
USD,CAD
USD,CNY
USD,DEM
USD,EUR
USD,FRF
USD,GBP
USD,JPY
USD,MXN
USD,SAR
USD,VEB
USD,ARS
USD,AUD
USD,BRL
USD,CAD
USD,CNY
USD,DEM
USD,EUR
USD,FRF
USD,GBP
USD,JPY
USD,MXN
USD,SAR
USD,VEB
USD,ARS
USD,AUD
USD,BRL
USD,CAD
USD,CNY
USD,DEM
USD,EUR
USD,FRF
USD,GBP
USD,JPY
USD,MXN
USD,SAR
USD,VEB
USD,ARS
USD,AUD
USD,BRL
USD,CAD
USD,CNY
USD,DEM
USD,EUR
USD,FRF
USD,GBP
USD,JPY
USD,MXN
USD,SAR
USD,VEB
USD,ARS
USD,AUD
USD,BRL
USD,CAD
USD,CNY
USD,DEM
USD,EUR
USD,FRF
USD,GBP
USD,JPY
USD,MXN
USD,SAR
USD,VEB
USD,ARS
USD,AUD
USD,BRL
USD,CAD
USD,CNY
USD,DEM
USD,EUR
USD,FRF
USD,GBP
USD,JPY
USD,MXN
USD,SAR
USD,VEB
USD,ARS
USD,AUD
USD,BRL
USD,CAD
USD,CNY
USD,DEM
USD,EUR
USD,FRF
USD,GBP
USD,JPY
USD,MXN
USD,SAR
USD,VEB
USD,ARS
USD,AUD
USD,BRL
USD,CAD
USD,CNY
USD,DEM
USD,EUR
USD,FRF
USD,GBP
USD,JPY
USD,MXN
USD,SAR
USD,VEB
USD,ARS
USD,AUD
USD,BRL
USD,CAD
USD,CNY
USD,DEM
