GeneID,Localization
G234064,cytoplasm
G234065,cytoplasm
G234070,cytoskeleton
G234073,cytoplasm
G234074,cytoplasm
G234076,nucleus
G234084,cytoplasm
G234085,nucleus
G234089,"plasma membrane"
G234093,nucleus
G234096,cytoplasm
G234100,nucleus
G234101,mitochondria
G234102,nucleus
G234103,cytoplasm
G234106,nucleus
G234107,nucleus
G234108,cytoplasm
G234109,"plasma membrane"
G234122,cytoplasm
G234123,cytoplasm
G234124,nucleus
G234126,cytoplasm
G234128,vacuole
G234131,"plasma membrane"
G234139,nucleus
G234141,nucleus
G234167,cytoskeleton
G234169,"plasma membrane"
G234170,nucleus
G234177,"plasma membrane"
G234178,nucleus
G234185,nucleus
G234191,nucleus
G234194,nucleus
G234197,cytoskeleton
G234201,nucleus
G234202,nucleus
G234205,nucleus
G234206,nucleus
G234212,cytoplasm
G234214,nucleus
G234217,nucleus
G234222,vacuole
G234227,"plasma membrane"
G234229,"plasma membrane"
G234232,cytoplasm
G234234,cytoplasm
G234235,nucleus
G234240,nucleus
G234248,cytoplasm
G234259,nucleus
G234263,nucleus
G234265,nucleus
G234270,nucleus
G234271,"plasma membrane"
G234275,nucleus
G234276,nucleus
G234277,nucleus
G234285,ER
G234286,mitochondria
G234290,mitochondria
G234293,"plasma membrane"
G234296,cytoplasm
G234300,nucleus
G234312,nucleus
G234317,cytoskeleton
G234323,nucleus
G234326,golgi
G234330,nucleus
G234334,nucleus
G234341,nucleus
G234344,golgi
G234347,nucleus
G234359,ER
G234360,cytoplasm
G234361,nucleus
G234368,cytoplasm
G234369,cytoplasm
G234371,cytoplasm
G234381,"plasma membrane"
G234382,nucleus
G234392,cytoskeleton
G234393,golgi
G234400,cytoplasm
G234402,cytoplasm
G234406,nucleus
G234413,nucleus
G234415,nucleus
G234416,nucleus
G234418,nucleus
G234427,nucleus
G234429,nucleus
G234430,nucleus
G234437,nucleus
G234444,nucleus
G234445,nucleus
G234446,vacuole
G234448,nucleus
G234452,"plasma membrane"
G234455,cytoplasm
G234458,nucleus
G234465,"plasma membrane"
G234468,cytoplasm
G234469,nucleus
G234486,nucleus
G234495,"plasma membrane"
G234497,cytoskeleton
G234505,nucleus
G234509,ER
G234513,ER
G234516,"plasma membrane"
G234517,"plasma membrane"
G234522,"plasma membrane"
G234523,nucleus
G234525,nucleus
G234529,nucleus
G234533,nucleus
G234535,nucleus
G234538,"plasma membrane"
G234542,nucleus
G234549,nucleus
G234553,cytoplasm
G234554,"plasma membrane"
G234562,nucleus
G234563,nucleus
G234564,nucleus
G234572,cytoplasm
G234575,nucleus
G234581,cytoplasm
G234586,nucleus
G234589,"plasma membrane"
G234591,cytoplasm
G234594,cytoplasm
G234603,"transport vesicles"
G234604,nucleus
G234606,golgi
G234610,mitochondria
G234613,nucleus
G234630,nucleus
G234635,nucleus
G234636,nucleus
G234638,nucleus
G234640,ER
G234642,vacuole
G234644,nucleus
G234652,nucleus
G234654,nucleus
G234656,ER
G234659,cytoplasm
G234665,peroxisome
G234666,cytoplasm
G234677,golgi
G234681,nucleus
G234684,nucleus
G234687,cytoplasm
G234692,nucleus
G234700,cytoplasm
G234702,"integral membrane"
G234715,nucleus
G234716,cytoplasm
G234722,nucleus
G234725,nucleus
G234732,cytoskeleton
G234733,cytoplasm
G234735,"plasma membrane"
G234737,cytoplasm
G234744,nucleus
G234746,nucleus
G234749,cytoplasm
G234754,"plasma membrane"
G234756,mitochondria
G234762,nucleus
G234763,cytoplasm
G234764,vacuole
G234767,"plasma membrane"
G234768,"transport vesicles"
G234769,cytoplasm
