id,title,authors,language,categories,averageRating,maturityRating,publisher,publishedDate,pageCount
0,Sammy Keyes and the Art of Deception,['Wendelin Van Draanen'],en,['Juvenile Fiction'],4,NOT_MATURE,Yearling,16/01/2009,304
1,Inward Journey,,en,['Medical'],,NOT_MATURE,Open Court Publishing Company,1983-01,133
2,The Boston Directory ...,,en,['Boston'],,NOT_MATURE,,1865,
3,Bring Your Own Devices (BYOD) Survival Guide,['Jessica Keyes'],en,['Business & Economics'],,NOT_MATURE,CRC Press,19/04/2016,451
4,Enterprise 2.0,['Jessica Keyes'],en,['Business & Economics'],,NOT_MATURE,CRC Press,19/04/2016,425
5,The CIO's Guide to Oracle Products and Solutions,['Jessica Keyes'],en,['Business & Economics'],,NOT_MATURE,CRC Press,02/09/2014,288
6,Implementing the IT Balanced Scorecard,['Jessica Keyes'],en,['Computers'],,NOT_MATURE,CRC Press,19/04/2016,528
7,Implementing the Project Management Balanced Scorecard,['Jessica Keyes'],en,['Business & Economics'],,NOT_MATURE,CRC Press,20/07/2010,447
8,Social Software Engineering,['Jessica Keyes'],en,['Computers'],,NOT_MATURE,CRC Press,19/04/2016,481
9,Classes on Modern Poets and the Art of Poetry,"['James Dickey', 'Donald J. Greiner']",en,['Biography & Autobiography'],4.5,NOT_MATURE,Univ of South Carolina Press,2004-01,310
10,Population Health Science,"['Katherine M. Keyes', 'Sandro Galea', 'Robert a Knox Professor and Dean Sandro Galea, MD']",en,,,NOT_MATURE,Oxford University Press,04/08/2016,224
11,Retelling the Nicaraguan Revolution as a Dionysian Ritual,['Martina Handler'],en,['History'],,NOT_MATURE,LIT Verlag Münster,2010,139
12,Flowers for Algernon,['BookCaps Study Guides Staff'],en,['Biography & Autobiography'],,NOT_MATURE,BookCaps Study Guides,2011,
13,Handbook of Applied Developmental Science,"['Richard M. Lerner', 'Francine Jacobs', 'Donald Wertlieb']",en,['Psychology'],,NOT_MATURE,SAGE,2003,2296
14,Wade Keyes' introductory lecture to the Montgomery Law School,"['David I. Durham', 'Wade Keyes', 'Paul M. Pruitt']",en,['Law'],,NOT_MATURE,,2001,45
15,The Journal of the Iowa Academy of Science,,en,['Science'],,NOT_MATURE,,1989,
16,Dental Science in a New Age,['Ruth Roy Harris'],en,['Dentistry'],,NOT_MATURE,,1989,476
17,List of the Scientific Writings of Charles Rollin Keyes,,en,['Geology'],,NOT_MATURE,,1909,23
18,A Study Guide for Daniel Keyes's Flowers for Algernon,"['Gale, Cengage Learning']",en,['Literary Criticism'],,NOT_MATURE,"Gale, Cengage Learning ",13/03/2015,15
19,Domain-based Parallelism and Problem Decomposition Methods in Computational Science and Engineering,"['David E. Keyes', 'Yousef Saad', 'Donald G. Truhlar']",en,['Mathematical optimization'],,NOT_MATURE,SIAM,01/01/1995,323
20,United States Department of Commerce Telephone Directory,['United States. Dept. of Commerce'],en,,,NOT_MATURE,,1991,
21,Implementing the IT Balanced Scorecard,['Jessica Keyes'],en,['Computers'],,NOT_MATURE,CRC Press,19/04/2016,528
22,Technology Trendlines,['Jessica Keyes'],en,['Business & Economics'],,NOT_MATURE,John Wiley & Sons,09/08/1995,394
23,Biography and Genealogy Master Index,,en,['Biography'],,NOT_MATURE,,1997,
24,Technical Paper - Bureau of Mines,['United States. Bureau of Mines'],en,['Mineral industries'],,NOT_MATURE,,1931,
25,The Corporate Directory of US Public Companies 1995,['Elizabeth Walsh'],en,['Business & Economics'],,NOT_MATURE,Springer,11/06/2016,2664
26,"The National Deans List, 1997-98",,en,['Students'],3,NOT_MATURE,,1998,832
27,Who's who in Technology,,en,['Technologists'],,NOT_MATURE,,1986,
28,The United States Patents Quarterly,,en,['Copyright'],,NOT_MATURE,,1996,
29,ACSA Annual Directory,['Association of Collegiate Schools of Architecture'],en,['Architecture'],,NOT_MATURE,,1991,
30,"World War II: the Encyclopedia of the War Years, 1941-1945","['Norman Polmar', 'Thomas B. Allen']",en,['History'],1,NOT_MATURE,Courier Corporation,15/08/2012,940
31,Bulletin - New Mexico Bureau of Mines & Mineral Resources,['New Mexico. Bureau of Mines and Mineral Resources'],en,['Geology'],,NOT_MATURE,,1915,
32,Whitaker's Five-year Cumulative Book List,,en,['English literature'],,NOT_MATURE,,1968,
33,American Predator,['Maureen Callahan'],en,['True Crime'],4,NOT_MATURE,Penguin,02/07/2019,304
34,Whitaker's Cumulative Book List,,en,['Great Britain'],,NOT_MATURE,,1961,
35,"Business Organizations, Keyed to Soderquist",['Casenotes'],en,['Business & Economics'],,NOT_MATURE,Aspen Publishers Online,20/01/2006,208
36,Next-Generation Biofuels,['William T. Coyle'],en,['Alcohol as fuel'],,NOT_MATURE,DIANE Publishing,2010-09,26
