Arg0,Mx
d319,0.052
d239,0.063
d119,0.073
d193,0.073
d245,0.079
d249,0.079
d206,0.080
d219,0.081
d295,0.085
d228,0.088
d276,0.092
d242,0.093
d236,0.098
d229,0.100
d255,0.100
d261,0.100
d289,0.101
d232,0.108
d243,0.108
d195,0.121
d134,0.130
d296,0.130
d220,0.131
d227,0.131
d190,0.132
d254,0.132
d272,0.132
d188,0.134
d252,0.134
d157,0.139
d270,0.143
d184,0.144
d230,0.146
d126,0.150
d250,0.150
d337,0.150
d110,0.157
d274,0.160
d162,0.169
d275,0.170
d273,0.172
d120,0.185
d90,0.185
d146,0.186
d177,0.187
d279,0.195
d238,0.198
d111,0.199
d277,0.199
d317,0.200
d298,0.202
d224,0.207
d196,0.214
d34,0.216
d86,0.220
d87,0.229
d200,0.230
d199,0.238
d37,0.244
d226,0.245
d85_1,0.259
d85_2,0.259
d316,0.272
d64,0.290
d14,0.293
d99,0.297
d29,0.301
d142,0.304
d79,0.304
d2,0.309
d70,0.310
d11,0.313
d31,0.315
d4,0.315
d59,0.315
d74,0.316
d22,0.318
d44,0.318
d9,0.318
d23_1,0.320
d81,0.320
d12,0.324
d75,0.324
d83,0.324
d33,0.325
d52,0.326
d25,0.327
d32,0.327
d333,0.327
d15,0.330
d6,0.330
d26,0.331
d24,0.338
d5,0.340
d68,0.340
d40,0.341
d35,0.347
d42,0.347
d62,0.347
d69,0.347
d30,0.348
d60,0.348
d17,0.352
d117,0.353
d82,0.358
d45,0.362
d129,0.376
d293,0.378
d104,0.388
d325,0.390
d94,0.393
d209,0.394
d307,0.396
d138,0.400
d153,0.400
d169,0.400
d174,0.400
d263,0.400
d299,0.400
d309,0.400
d91,0.400
d113,0.401
d149,0.404
d161,0.404
d241,0.404
d167,0.406
d189,0.409
d164,0.410
d187,0.410
d313,0.410
d181,0.411
d148,0.414
d168,0.418
d305,0.418
d47,0.423
d100,0.426
d267,0.426
d116,0.427
d294,0.428
d332,0.430
d306,0.431
d240,0.443
d105,0.450
d133,0.450
d112,0.452
d106,0.463
d130,0.468
d96,0.474
d128,0.475
d101,0.477
d268,0.477
d88,0.477
d10,0.487
d121,0.487
d122,0.496
d132,0.497
d102,0.507
d215,0.507
d103,0.513
d208_1,0.515
d204,0.516
d7,0.518
d84,0.521
d107,0.523
d92,0.525
d93,0.526
d125,0.532
d175,0.539
d198,0.540
d43,0.540
d156,0.542
d108,0.543
d201,0.544
d214,0.545
d278,0.545
d288,0.546
d1,0.547
d3,0.549
d176,0.550
d98,0.552
d259,0.553
d165,0.562
d223,0.575
d202,0.581
d290,0.581
d217,0.584
d291,0.586
d48,0.593
d326,0.595
d211,0.598
d222,0.598
d248,0.598
d67,0.599
d166,0.600
d155,0.605
d183,0.605
d159,0.608
d197,0.609
d179,0.610
d8,0.610
d95,0.611
d123,0.612
d171,0.614
d315,0.614
d77,0.616
d284,0.618
d124,0.622
d256,0.628
d312,0.631
d51,0.632
d158,0.650
d194,0.650
d265,0.657
d225,0.691
d141,0.692
d285,0.694
d150,0.696
d311,0.696
d66,0.697
d137,0.698
d140,0.700
d308,0.700
d151,0.701
d145,0.705
d300,0.705
d144,0.706
d283,0.706
d287,0.707
d135,0.708
d297,0.708
d192,0.709
d246,0.709
d231,0.711
d331,0.720
d170,0.724
d191,0.724
d207,0.725
d185,0.731
d97,0.734
d271,0.738
d160,0.756
d329,0.779
d318,0.780
d186,0.785
d139,0.786
d143,0.786
d28,0.787
d154,0.790
d213,0.790
d330,0.790
d180,0.792
d20,0.793
d281,0.794
d63,0.794
d36,0.795
d13,0.796
d292,0.796
d336,0.796
d152,0.797
d55,0.799
d73,0.799
d78,0.799
d115,0.800
d310,0.800
d328,0.800
d109,0.801
d27,0.802
d49,0.802
d54,0.802
d56,0.802
d57,0.802
d335,0.804
d16,0.805
d334,0.805
d39,0.805
d19,0.806
d80,0.806
d173,0.808
d303,0.808
d282,0.811
d72,0.815
d324,0.816
d38,0.816
d320,0.823
d323,0.824
d89,0.826
d21,0.827
d53,0.828
d46,0.829
d18,0.831
d136,0.834
d50,0.835
d302,0.837
d260,0.843
d131,0.870
d203,0.874
d286,0.874
d114,0.880
d314,0.881
d163,0.889
d23_2,0.900
d127,0.928
d218,0.932
d216,0.948
d327,0.952
d58,0.968
d221,0.969
d208_2,0.970
d76,0.971
d212,0.974
d118,0.980
d182,0.988
d172,0.990
d210,1.000
d280,1.004
d41,1.008
d65,1.016
d178,1.034
d321,1.050
d301,1.062
d304,1.126
d147,1.133
d258,1.142
d234,1.143
d251,1.157
d237,1.162
d233,1.167
d235,1.176
d244,1.295
d253,1.299
d266,1.315
d71,1.316
d247,1.319
d257,1.322
d61,1.323
d264,1.333
d269,1.347
d262,1.775
d205,1.908
d322,2.007
