id,compound_id,species_text,species_accession,component_text,component_accession,strain_text,source_type,source_accession,comments
1,65354,Abacopteris penangiana,IPNI:17367310-1,rhizome,BTO:0001181,,PubMed Id,16499328,
2,65355,Abacopteris penangiana,IPNI:17367310-1,rhizome,BTO:0001181,,PubMed Id,16499328,
3,65356,Abacopteris penangiana,IPNI:17367310-1,rhizome,BTO:0001181,,PubMed Id,16499328,
4,65357,Abacopteris penangiana,IPNI:17367310-1,rhizome,BTO:0001181,,PubMed Id,16499328,
5,65358,Erythrina abyssinica,NCBI:txid1237573,stem,BTO:0001300,,PubMed Id,18484536,Previous component: stem bark;
6,65359,Erythrina abyssinica,NCBI:txid1237573,stem,BTO:0001300,,PubMed Id,18484536,Previous component: stem bark;
7,65360,Erythrina abyssinica,NCBI:txid1237573,stem,BTO:0001300,,PubMed Id,18484536,Previous component: stem bark;
8,65361,Chrysanthemum morifolium,NCBI:txid41568,inflorescence,BTO:0000628,,PubMed Id,8158164,
9,65362,Cordyceps sinensis,NCBI:txid72228,,,,PubMed Id,15863936,
10,65363,Chrysanthemum boreale,NCBI:txid344871,leaf,BTO:0000713,,PubMed Id,18983901,
11,65363,Chrysanthemum boreale,NCBI:txid344871,stem,BTO:0001300,,PubMed Id,18983901,
12,65364,Microtropis japonica,NCBI:txid1089418,stem,BTO:0001300,,PubMed Id,18471021,
13,65365,Inula japonica,NCBI:txid453958,,,,DOI,10.1016/S0031-9422(00)90813-6,
14,65365,Microtropis japonica,NCBI:txid1089418,flower,BTO:0000469,,PubMed Id,14969344,
15,65366,Hyrtios erectus,NCBI:txid279628,,,,PubMed Id,8778242,
16,65367,Delphinium denudatum,IPNI:710557-1,root,BTO:0001188,,PubMed Id,9170290,
17,65368,Amomum aculeatum,NCBI:txid1076729,leaf,BTO:0000713,,PubMed Id,18260638,
18,65369,Uvaria acuminata,NCBI:txid672960,root,BTO:0001188,,PubMed Id,14709883,
19,65370,Luffa acutangula,NCBI:txid56866,whole plant,BTO:0001461,,PubMed Id,1863290,
20,65370,Viola hondoensis,NCBI:txid316467,whole plant,BTO:0001461,,PubMed Id,15356999,
21,65371,Streptomyces sp.,NCBI:txid1931,,,NA 148,PubMed Id,10344578,
22,65372,Streptomyces sp.,NCBI:txid1931,,,NA 148,PubMed Id,10344578,
