DIAMETER_MM;INSTALLATION_DATE;MATERIAL;Geom
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.07550575888926, 49.26871269701372], [-123.07545305606828, 49.26871236263892]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15092587452465, 49.258239975578164], [-123.15079929478124, 49.25823817990221]]}"
200;1964-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.07036808427709, 49.28483483332323], [-123.0703661535403, 49.28492748476457]]}"
500;1927-01-01;Steel;"{""type"": ""LineString"", ""coordinates"": [[-123.12090743729499, 49.23745488159188], [-123.12068623326502, 49.23744719707328]]}"
150;1974-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.12954872068585, 49.286326770747216], [-123.12953814039075, 49.286319298625585]]}"
400;1921-01-01;Steel;"{""type"": ""LineString"", ""coordinates"": [[-123.13018367394896, 49.29021395789854], [-123.12946716267912, 49.28975045041033]]}"
300;1931-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.14219164289018, 49.270580550624764], [-123.14216142652921, 49.270580057088985]]}"
150;1957-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15024316581409, 49.27291967294553], [-123.15024347422998, 49.272862795934515]]}"
150;1963-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.0479919502865, 49.21937605276926], [-123.0479904345054, 49.2192430133039]]}"
150;1963-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.04800947287924, 49.21937617142172], [-123.04818830958676, 49.21937650174295]]}"
300;1959-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.0310122607916, 49.28637445804953], [-123.03101171787789, 49.286583146095346]]}"
300;1959-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.03101197194891, 49.28661551963649], [-123.03101602196718, 49.28684625359654]]}"
300;1959-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.03101604256177, 49.28687908595241], [-123.03116673614196, 49.28704635551945]]}"
200;1963-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.04414036990646, 49.28857522823017], [-123.04414042371822, 49.288635504810166]]}"
200;1963-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.0441404554384, 49.28867103569941], [-123.04413558249846, 49.28883502840924]]}"
200;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.03680862751405, 49.20580246939939], [-123.03680929324418, 49.20577458377434]]}"
150;1951-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.06270696226862, 49.25219350760793], [-123.0630672315131, 49.251640150280636]]}"
200;1989-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.04230032868843, 49.206885888957274], [-123.04224609767431, 49.20688365998168]]}"
450;1931-01-01;Steel;"{""type"": ""LineString"", ""coordinates"": [[-123.04096833740351, 49.22541038171622], [-123.04096225561797, 49.225529571117484]]}"
150;1929-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.1816795136006, 49.23289208502679], [-123.18165822246391, 49.23289203755184]]}"
450;1931-01-01;Steel;"{""type"": ""LineString"", ""coordinates"": [[-123.0409582011277, 49.225609090685175], [-123.04088729638096, 49.22701246669345]]}"
150;1947-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.04088729638096, 49.22701246669345], [-123.04085304393958, 49.22701406197791]]}"
450;1931-01-01;Steel;"{""type"": ""LineString"", ""coordinates"": [[-123.04100529374871, 49.22469439053459], [-123.04096833740351, 49.22541038171622]]}"
200;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.09106344468252, 49.20990836516535], [-123.09108899136235, 49.209255817695876]]}"
200;1938-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.04228660665326, 49.207988644816794], [-123.04228465202812, 49.207966589078495]]}"
300;1950-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.04235750056003, 49.208080793588415], [-123.04234034019164, 49.20808214917368]]}"
300;1950-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.04234034019164, 49.20808214917368], [-123.04233210342952, 49.20808305172176]]}"
