ACO;ShotsDate;Sex;ReceiptNumber;PitNumber;Name;KennelNumber;EnteredBy;DispositionDate;DateImpounded;Color;Code;Breed;ApproxWeight;AnimalID;Age category;Source;Status
12;;M/N;JN12;40000;Whitey;400;;;2004-09-09;Black;;Newfoundland X;100 lbs;9284;;HOLDING STRAY;Ride Home Free
5;;F;;40010;;400;;;2004-09-12;Black;;Kerry Blue Terrier;30lbs;9288;;HOLDING STRAY;Ride Home Free
5;;F/S;;40000;Bria;400;;;2004-09-13;Brown;;Belgian Shep;50lbs;9290;;COMPLAINT;Ride Home Free
12;;M/N;15664 jn12;20089;Mylo;200;;;2004-09-14;Black & Tan & White;;Corgi  X Shep;50 lbs;9293;;PATROL;Redeemed
0;;M/N;15695 LF;20070;Bennie;200;;;2004-07-10;Black & Tan;;Rotty X;80 lbs.;9299;;BROUGHT-IN;Sold
14;;M/N;MC;40028;Charlie/Polo;400;;;2004-09-17;Chocolate;;Lab;55 lbs.;9302;;HOLDING STRAY;Ride Home Free
3;;M/N;N/c;10070;Chesterfield;100;;;2004-03-22;Brown & Tan & Black;;Rottweiler X Malamute;130;9304;;COMPLAINT;Sold
12;;M/N;15632,KS;20074;Mario;200;;;2004-08-16;Yellow;;Lab;90 lbs;9305;;HOLDING STRAY;Sold
17;2008-12-16;F/S;;50046;Keely (Kilo);500;;;2004-07-02;White with Black Spots;;Pitbull;80 lbs;9306;;POLICE-DAY;Behavior
0;;M/N;GP;40059;Rugby;400;;;2004-09-17;Grey;;Shep X;70 lbs;9308;;HOLDING STRAY;Ride Home Free
20;;F;15677JF;20053;Taya;200;;;2004-09-17;Black & Tan;;Rottie X GSD;75 lbs;9310;;HOLDING STRAY;Redeemed
0;;M;15676JF;20031;Buster;200;;;2004-09-20;Black;;Shepherd  X Border Collie;50lbs;9313;;HOLDING STRAY;Redeemed
0;;F;;40028;Cassie;400;;;2004-09-20;Black;;Shepherd X Rotty;55 lbs;9315;;HOLDING STRAY;Ride Home Free
12;;M/N;jn12;40031;Oliver;400;;;2004-09-21;Black w/ White Blaze on Chest;;Pitbull X;75 lbs;9320;;PATROL;Ride Home Free
12;;M/N;jn12;40000;Harley;400;;;2004-09-21;Black & Tan;;Rotweiller X;80 lbs;9322;;;Ride Home Free
12;;F/S;15681 WM;20066;Foxy;200;;;2004-09-21;Tan & Black & White;;Shiba Inu;25 lbs;9324;;HOLDING STRAY;Redeemed
5;;M/N;15655 JS;20053;Tyler;200;;;2004-08-23;Black & Tan;;Rottweiler X Doberman;80lbs;9328;;HOLDING STRAY;Sold
0;2008-12-16;M/N;ks19;40044;Def Jam;400;;;2004-09-23;White;;Boxer;65lbs;9332;;BROUGHT-IN;Ride Home Free
0;;M/N;15696 Board;40037;Life;400;;;2004-09-24;White with some Brown Tips;;Husky;65 lbs;9336;;HOLDING STRAY;Ride Home Free
20;;M/N;;40031;Bobby Bing;400;;;2004-09-24;Brindle & White;;Boston Terrier;16 lbs;9337;;HOLDING STRAY;Ride Home Free
21;;M/N;15693JF;20016;Mika;200;;;2004-09-25;Tan;;Akita;85 lbs;9340;;HOLDING STRAY;Redeemed
0;;M;ks19;40005;K Cee;400;;;2004-09-25;Cream;;Cockapoo;;9341;;HOLDING STRAY;Ride Home Free
14;;M/N;;40009;Luc;400;;;2004-09-25;Silver;;Husky X;;9342;;HOLDING STRAY;Ride Home Free
22;;M;BC 3;40079;Tonka or Zulu;400;;;2004-09-27;Black & Tan;;Rottweiler X;40 lbs;9347;;COMPLAINT;Ride Home Free
22;;M;BC3;40094;Tonka or Zulu;400;;;2004-09-27;Black & Tan;;Rottweiler X;40 lbs;9349;;COMPLAINT;Ride Home Free
22;;M;BC 3;40064;Furious;400;;;2004-09-27;Red & Brown;;Rottweiler X;80 lbs;9350;;COMPLAINT;Ride Home Free
22;;F;BC3;40069;China;400;;;2004-09-27;Brown & White;;Pitbull;50 lbs;9351;;COMPLAINT;Ride Home Free
22;;F/S;15703MC;20044;Jane;200;;;2004-09-27;Black & Brindle;;Cane Corso X;40 lbs;9353;;HOLDING STRAY;Redeemed
0;;F;BC3;40067;Audrey;400;;;2004-09-27;White;;Shih Tzu  X;10lbs;9354;;HOLDING STRAY;Ride Home Free
14;;F;;40005;;400;;;2004-09-28;Black w/ White Toes;;Terrier X;20 lbs;9359;;BROUGHT-IN;Ride Home Free
5;;M/N;15705JF;20069;Harley;200;;;2004-09-30;Black & Tan & White;;Husky X;60lbs;9365;;HOLDING STRAY;Redeemed
5;;F/S;Jez;40009;Dakota;400;;;2004-09-30;Orange & White;;NSDT Retiever;40lbs;9366;;HOLDING STRAY;Ride Home Free
0;;F;ks19;40079;Sasha;400;;;2004-09-01;Tan;;Pit X;30 lbs;9373;;BROUGHT-IN;Ride Home Free
22;2004-09-13;F/S;14414;20026;Tess;200;;;2004-09-01;Black & White;;Cocker Spaniel X;26 lbs;9375;;BROUGHT-IN;Sold
0;;F;15634 ks;20079;Delilah;200;;;2004-09-01;Black;;Black Lab;100 lbs;9376;;BROUGHT-IN;Redeemed
22;;M/N;15650,MC;20067;Foo;200;;;2004-09-01;Black & Tan;;Rotty X Shep;50 lbs;9377;;HOLDING STRAY;Sold
21;;F;aco21;40056;;400;;;2004-09-01;Tan;;Pit Mix;40lbs;9378;;HOLDING STRAY;Ride Home Free
20;;F/S;;40063;Dallas;400;;;2004-09-24;Red & White;;Border Collie;35 lbs;9390;;HOLDING STRAY;Ride Home Free
0;;F;;40028;Katie;400;;;2004-10-12;Black;;Lab;65lbs;9396;;BROUGHT-IN;Ride Home Free
0;;M/N;ks19;40005;Toby;400;;;2004-10-12;Golden;;Golden Retreiver;75 lbs;9400;;HOLDING STRAY;Ride Home Free
5;2004-09-25;F/S;15751,MC;20072;Zoe;200;;;2004-09-12;Tan & Black;;Shep X;60lbs;9401;;HOLDING STRAY;Sold
14;;F/S;Amy;40040;Neisha;400;;;2004-10-13;Brown & Black;;Shep X Rotty;50 lbs;9403;;PATROL;Ride Home Free
0;;M;Amy;40004;;400;;;2004-10-14;Brown & Tan;;Columbian Red Tail Boa;8 feet;9406;;HOLDING STRAY;Transferred
22;;X;;40002;;400;;;2004-10-15;Brown;;Dwarf Rabbit;;9410;;HOLDING STRAY;Transferred
5;2004-10-07;F/S;15766 skj;20038;Princess Sally (Now Cinna);200;;;2004-07-26;Black & Tan;;German Shepherd;75lbs;9413;;HOLDING STRAY;Sold
20;;M/N;15772 #17KM;20044;Tigger;200;;;2004-10-16;Brown & Black & White;;Wire Haired Fox Terrier;20 lbs;9415;;POLICE-NIGHT;Redeemed
0;2004-10-06;M/N;15777 ks19;20058;Gage;200;;;2004-09-20;Black & White;;American Staff X;50lbs;9420;;HOLDING STRAY;Sold
0;;M/N;ks19;40008;Oscar;400;;;2004-10-18;Brown & Black;;Norwich Terrier;8 lbs;9423;;HOLDING STRAY;Ride Home Free
22;2004-10-07;M/N;15795-WM;20013;"Bear changed to ""Joe""";200;;;2004-08-19;Black & Tan;;Rottweiler;80 lbs;9426;;POLICE-NIGHT;Sold
14;;F/S;15746gp;20001;;200;;;2004-10-20;Brown & White;;Ferret;2 lbs.;9427;;HOLDING STRAY;Redeemed
14;;M;15781-TU;20094;Bailey;200;;;2004-10-21;Golden;;Golden Retriever;90 lbs.;9428;;HOLDING STRAY;Redeemed
0;;M;15780 ks;40069;Smokey;400;;;2004-10-22;Black & White;;Border Collie X;50lbs;9429;;HOLDING STRAY;Ride Home Free
22;2004-10-06;F/S;15784,MC;20048;Sheridan;200;;;2004-08-23;Tan & White;;Boxer X;60 lbs;9432;;HOLDING STRAY;Sold
12;;M/N;JN 12;40000;Enzo;400;;;2004-10-24;Tan;;Jindo;55lbs;9435;;HOLDING STRAY;Ride Home Free
5;;F;15791-WM;20064;Scruffles;200;;;2004-10-25;Tan & Black;;Yorkie Terrier;4 lbs;9437;;HOLDING STRAY;Redeemed
5;;F/S;;40000;;400;;;2004-10-25;White;;West Highland Terrier;;9438;;HOLDING STRAY;Ride Home Free
0;;M;15788-SKJ;20070;Bandit;200;;;2004-10-26;Tan & White;;Pit Bull X;40;9440;;BROUGHT-IN;Redeemed
20;;F/S;15782 ks;20032;Sammi;200;;;2004-06-18;Black & Tan;;German Shepherd;65 lbs;9441;;BROUGHT-IN;Sold
0;2004-10-16;M/N;15773 JF;20026;"Beauregard, ""Beau"" for short";200;;;2004-09-24;Dark Grey;;Bouvier;75 lbs;9442;;BROUGHT-IN;Sold
0;;X;N/C;20002;Tweety;200;;;2004-09-24;Blues & Greys;;Budgie;;9443;;HOLDING STRAY;Sold
20;;F/S;15793-WM;20028;Toffee;200;;;2004-10-27;Gold;;Lab X Shepherd;65 lbs;9449;;HOLDING STRAY;Redeemed
14;;M/N;15794-TU;20094;Zoomy;200;;;2004-10-28;Black & Red;;Rottweiler;75 lbs.;9450;;HOLDING STRAY;Redeemed
14;;F;15803 SKJ;20020;Peewee;200;;;2004-10-28;Red & Brown;;Chicken;3lbs.;9451;;HOLDING STRAY;Sold
22;;M;;40067;D.O.G.;400;;;2004-10-28;Black & Tan;;Chow X Husky;50 lbs;9453;;HOLDING STRAY;Ride Home Free
22;;F;MC;40070;Scruffles;400;;;2004-10-28;Tan & Black;;Yorkie;5 lbs;9454;;HOLDING STRAY;Ride Home Free
6;2004-10-05;F/S;15734 Amy;20031;Nicole;200;;;2004-09-26;Golden;;Golden Retriever;45 lbs;9456;;OTHER;Sold
20;;M/N;15804JF;20017;Chico;200;;;2004-10-30;Brindle;;Pitbull;55lbs;9459;;POLICE-NIGHT;Redeemed
0;;M/N;Jez;40011;Rocky;400;;;2004-10-30;Yellow;;Labrador;65lbs;9460;;HOLDING STRAY;Ride Home Free
0;2004-10-14;M/N;15768 jn12;20056;Jake/Ladner;200;;;2004-09-28;Golden;;Golden Retreiver;50 lbs;9463;;HOLDING STRAY;Redeemed
0;2004-10-06;M/N;15758-TU;20016;Casino (now Cody);200;;;2004-09-28;Black & Tan;;Shep X (pup);25 lbs;9464;;HOLDING STRAY;Sold
0;;M/N;15853,MC;20023;Jake;200;;;2004-10-30;Black & White;;Blue Heeler X;65lbs;9466;;BROUGHT-IN;Redeemed
12;;M/N;jn12;40017;Howie;400;;;2004-10-30;Black & Tan;;Shep;75 lbs;9467;;PATROL;Ride Home Free
14;;F/S;15753JF;20023;Tequila;200;;;2004-10-01;Cream with Gold;;Husky X Lab;70 lbs;9470;;HOLDING STRAY;Redeemed
0;;F/S;15709JF;20035;Bailey;200;;;2004-10-02;White & Tan;;Pyrenees X;110lbs;9471;;HOLDING STRAY;Redeemed
0;2004-10-16;M/N;15741 wm;20045;Radar (Now Shortie);200;;;2004-10-04;Black & White;;Border Collie X;35lbs;9476;;BROUGHT-IN;Sold
13;;M;15717 Amy;20072;Bouncer;200;;;2004-10-03;Brindle;;Pitbull X;40lbs;9477;;SPCA;Redeemed
0;;M/N;15716 lf;20078;Tiger;200;;;2004-10-03;Tri Color;;Jack Russell Terrier;15lbs;9479;;HOLDING STRAY;Redeemed
20;;F/S;15854JF;20082;Riley;200;;;2004-10-30;Black & Tan;;Rottie X;75 lbs;9485;;BROUGHT-IN;Redeemed
5;;X;15723,JS;20000;Romeo;200;;;2004-10-05;Blue & Yellow;;Macaw - Bird;10;9488;;HOLDING STRAY;Redeemed
0;;F;15725 ks;20053;Gypsy;200;;;2004-10-05;Black & Silver;;German Shepherd;65 lbs;9489;;HOLDING STRAY;Redeemed
3;2004-10-06;F;15759,JS;20011;;200;;;2004-10-06;Black & Tan (Black Face);;Shepherd (pup);6 lbs.;9490;;;Sold
3;2004-10-06;M;15756 bob;20009;;200;;;2004-10-06;Black & Tan with White;;Shepherd X (pup) HEART RED;6 lbs.;9491;;OTHER;Sold
3;2004-10-06;M/N;15730 BC3;20004;Brando;200;;;2004-10-06;Black & Tan with White;;Shepherd X (pup);6 lbs.;9493;;OTHER;Sold
0;;F;15735/04;20014;Missy;200;;;2004-10-06;Black & White & Tan;;German Shepherd;50 lbs;9496;;HOLDING STRAY;Redeemed
14;2004-10-15;F/S;15776,MC;20079;Isla ( now Lenore);200;;;2004-10-07;Red & White;;Sheltie X Terrier (pup);10 lbs;9499;;BROUGHT-IN;Sold
21;;M/N;15792-WM;20004;JJ;200;;;2004-10-09;Black & White;;Border Collie Mix;45lbs;9502;;BROUGHT-IN;Sold
20;;F;15856KM;20044;;200;;;2004-10-31;Silver & White & Black;;Husky;20 lbs;9504;;POLICE-EMERGENCY;Redeemed
20;;F;15856KM;20048;;200;;;2004-10-31;Silver & White & Black;;Husky;20 lbs;9505;;POLICE-EMERGENCY;Redeemed
22;;M;15731  LF;20064;Rufus;200;;;2004-09-30;Tan & Black & White;;Wire Haired Fox Terrier;30 lbs;9510;;HOLDING STRAY;Redeemed
0;;M;15712 #17KM;20079;;200;;;2004-09-30;Tan & White;;Pitbull  X;70 lbs;9511;;BROUGHT-IN;Redeemed
0;;F/S;15712 #17KM;20070;Judith;200;;;2004-09-30;Black & Tan;;Rottweiler X;50 lbs;9512;;BROUGHT-IN;Redeemed
14;;M/N;TU;40067;Teddy;400;;;2004-11-08;Black & Tan;;Shepherd X Rottweiler;55 lbs.;9525;;HOLDING STRAY;Ride Home Free
0;2004-11-25;M/N;15831gp;20005;Drake;200;;;2004-11-10;Black & Tan;;German Shepherd  X Corgi?;35;9529;;BROUGHT-IN;Sold
0;;F;15890 ARD;20029;Itchi;200;;;2004-11-10;Black & Grey;;Aussie Shep. X Border Collie;55 lbs;9535;;BROUGHT-IN;Redeemed
12;;M/N;15884-WM;20070;Rocky;200;;;2004-11-12;Black & Tan;;Rottweiler;100lbs;9542;;HOLDING STRAY;Redeemed
12;;M;15888 DT;20010;Buddy;200;;;2004-11-12;White & Tan;;Jack Russell Terrier;12 lbs;9543;;BROUGHT-IN;Redeemed
0;;M/N;15834,JF;20037;Tom (was Baloo);200;;;2004-11-12;White & Grey;;Old English Sheepdog;100 lbs;9544;;COMPLAINT;Sold
0;;F;15889/ AD;20017;Emma;200;;;2004-11-13;Black;;Retriever;75 lbs;9546;;BROUGHT-IN;Redeemed
12;;M/N;15896JF;20017;Tyson;200;;;2004-11-13;Black &  White;;Pitbull;40bs;9549;;POLICE-DAY;Redeemed
5;;F;;20053;;200;;;2004-11-14;Brindle;;Mastiff X;25;9554;;POLICE-NIGHT;Redeemed
22;;M/N;15882 BC3;20021;Teddy;200;;;2004-11-15;Black & Tan;;Rottweiler X;70 lbs;9556;;HOLDING STRAY;Redeemed
12;2004-06-11;M/N;15897JF;20026;Arlo;200;;;2004-10-30;Brindle & White;;Pitbull;65 lbs;9562;;HOLDING STRAY;Sold
22;;F/S;15814 - skj;20070;Daisy;200;;;2004-11-16;Grey & Black & White;;Terrier X Poodle;10 lbs;9563;;HOLDING STRAY;Redeemed
0;;F;15811 -skj;20004;Aura;200;;;2004-11-16;Golden;;Golden Retreiver;50lbs.;9564;;HOLDING STRAY;Redeemed
0;;F;15809 skj;20035;Jessie;200;;;2004-11-16;Black & White;;Border Collie;25 lbs;9566;;HOLDING STRAY;Redeemed
0;;F;15837 - skj;20070;Keona;200;;;2004-11-30;Black;;Lab;50 lbs;9571;;BROUGHT-IN;Redeemed
20;;M/N;;40070;Bailey;400;;;2004-11-18;White & Tan & Black;;Collie X;60 lbs;9575;;HOLDING STRAY;Ride Home Free
0;;M;TU;40063;Sparky;400;;;2004-11-18;Black;;Cocker Spaniel;30 lbs;9577;;HOLDING STRAY;Ride Home Free
0;;M/N;BC3;40023;Garcou;400;;;2004-10-31;Brown & Black;;Rottie X Shepherd;75 Lbs;9582;;BROUGHT-IN;Ride Home Free
12;;F;15819,MC;20063;Angel;200;;;2004-11-21;Black & White;;Terrier X;12 lbs;9584;;HOLDING STRAY;Redeemed
6;;F;15823,SJ;20014;Lucky;200;;;2004-11-21;Grey & White;;Husky;30 lbs;9585;;HOLDING STRAY;Redeemed
3;;M;15825,SJ;20001;Munchkin;200;;;2004-11-23;White;;Bichon Frise;15;9588;;POLICE-EMERGENCY;Redeemed
6;;M/N;BC3;40094;Salsa;400;;;2004-10-31;Grey & White;;Poodle;7 pounds;9590;;HOLDING STRAY;Ride Home Free
22;;M/N;15859 Susy;20070;Logan;200;;;2004-11-01;Black & Tan;;Shepherd X;55 lbs;9593;;HOLDING STRAY;Redeemed
0;;M;15862,;20067;D.O.G.;200;;;2004-11-02;Black & Tan;;Shepherd X;50;9597;;BROUGHT-IN;Redeemed
0;;M/N;;20053;Keebler Elf;200;;;2004-11-03;Black & Tan & Cream;;Yorkie;10lbs;9603;;BROUGHT-IN;Transferred
0;;F;15869 LF;20057;Zoe;200;;;2004-11-04;Black;;Flat Coat Retriever;70 lbs;9605;;PATROL;Redeemed
5;;M/N;;40005;;400;;;2004-11-01;Brown & Black;;Shep;;9609;;HOLDING STRAY;Ride Home Free
5;;M/N;15827 JS06;20089;Angus;200;;;2004-11-04;Black with White on Chest;;Shih Tzu  X;10 lbs;9611;;HOLDING STRAY;Sold
14;;F;15832 - skj;20070;Carmella;200;;;2004-11-24;Grey Brindle;;Pitbull;15 lbs.;9612;;POLICE-DAY;Redeemed
0;;F;;40035;Spring;400;;;2004-11-26;Tan & White;;Collie X;65 lbs;9614;;HOLDING STRAY;Ride Home Free
20;;F;Kevin;40044;Bailey;400;;;2004-11-26;Silver & Black;;German Wirehaired Pointer;60 lbs;9615;;HOLDING STRAY;Ride Home Free
22;;M;BC3;40021;Leo;400;;;2004-11-04;Yellow;;Lab;70 lbs;9618;;HOLDING STRAY;Ride Home Free
12;;F;15880,JS;20059;Bella;200;;;2004-11-05;Black;;Lab X;80 lbs;9619;;HOLDING STRAY;Redeemed
12;;F;15874-TU;20067;Phoebe;200;;;2004-11-05;Tan;;Jindo;;9621;;HOLDING STRAY;Redeemed
12;;M/N;TU;40017;Dante;400;;;2004-11-05;Chocolate;;Lab;85 lbs;9624;;HOLDING STRAY;Ride Home Free
0;;F;;20070;;200;;;2004-11-14;Black & Tan;;Rottweiler;40lbs;9626;;HOLDING STRAY;Redeemed
14;2004-06-11;F/S;15900 JS06;20004;Honey;200;;;2004-10-29;Tri Colour;;Terrier X Border Collie;30 lbs.;9627;;SPCA;Sold
21;2004-12-11;M;15361,MC;20047;Dash;200;;;2004-12-08;Black;;Shepherd X  (pup);10lbs;9630;;BROUGHT-IN;Redeemed
21;;F;16505-ARD;20048;Nancy;200;;;2004-12-08;Black;;Poodle Mix;15lbs;9631;;BROUGHT-IN;Sold
0;2004-07-03;F/S;16507 - skj;20012;Daisy;200;;;2004-06-17;Tan;;Rhodesian Ridgeback X;30 lbs;9635;;HOLDING STRAY;Sold
12;2004-09-29;M/N;15752/15845;20094;Carter/Charlie;200;;;2004-09-20;White;;Maltese;15 lbs;9636;;HOLDING STRAY;Sold
0;;M/N;15374   JS06;20026;Jack;200;;;2004-12-12;Gold;;Golden Retriever;90lbs.;9638;;SPCA;Redeemed
0;2004-12-29;F/S;16520 - skj;20024;Heather;200;;;2004-12-12;Brown & White & Black;;Collie X Border Collie;50lbs.;9639;;BROUGHT-IN;Sold
12;;M;jn12;40000;Gunnar;400;;;2004-12-12;Liver & Grey;;German Short Haired Pointer;65 lbs;9640;;PATROL;Ride Home Free
22;;M;15366 KM;20045;Bobby;200;;;2004-12-13;Beige;;Pom;10 lbs;9641;;HOLDING STRAY;Redeemed
5;;F/S;15370KM;20073;Tia;200;;;2004-12-13;Black;;Standard Poodle;70lbs;9642;;HOLDING STRAY;Redeemed
5;;M/N;;40000;;400;;;2004-12-13;Gold;;Retriever;50lbs;9643;;HOLDING STRAY;Ride Home Free
0;;F/S;16502,MC;20001;Lilly;200;;;2004-12-16;Black & Grey;;Shih Tzu X;10 lbs;9655;;BROUGHT-IN;Redeemed
0;;F;ks19;40017;;400;;;2004-12-17;Tan;;Shep X;45 lbs;9657;;BROUGHT-IN;Ride Home Free
19;;M/N;16508 Amy;20070;Toby;200;;;2004-12-20;Red;;Golden Retriever;70 lbs.;9664;;HOLDING STRAY;Redeemed
22;;M/N;Susy;40070;Chevy;400;;;2004-12-21;Black & Tan;;Rottweiler X;70 lbs;9667;;HOLDING STRAY;Ride Home Free
3;;M/N;BC3;40094;Jackson;400;;;2004-11-30;Black & Tan;;Shep X;50;9671;;BROUGHT-IN;Ride Home Free
22;;F;15839-TU;20059;Cushi;200;;;2004-11-30;White & Black & Tan;;Setter X Spaniel;45 lbs;9673;;HOLDING STRAY;Redeemed
21;;M/N;16521 ks;20093;Buster;200;;;2004-12-15;Black;;Shepherd X;50lbs;9674;;HOLDING STRAY;Sold
22;2004-12-04;M/N;15362,GP;20064;Kasacki / Max;200;;;2004-11-22;Black &Tan White Spot on Chest;;Shepherd X Rotty;100 lbs;9676;;HOLDING STRAY;Sold
0;2004-11-27;M/N;15360 LF;20026;Cyrus;200;;;2004-11-22;Black & Red;;Doberman;75 lbs;9678;;HOLDING STRAY;Redeemed
20;;F;16516 ks;20072;Dahlia;200;;;2004-12-25;Black & Tan;;Australian Shepherd X;40 lbs;9680;;HOLDING STRAY;Redeemed
0;2004-12-11;M/N;16503,MC;20023;Tommy;200;;;2004-12-01;Black & Tan;;Shep X;65 lbs;9682;;BROUGHT-IN;Sold
22;;F/S;SKJ;40005;Chutney;400;;;2004-12-02;Black;;Lab X;40 lbs;9687;;COMPLAINT;Ride Home Free
14;;M;15846-TU;20000;Razor;200;;;2004-12-03;Black & Tan;;Rottweiler;;9688;;POLICE-NIGHT;Redeemed
