CODI;TIPUS_VIA;PARTICULES;NOM;DATA_APROV;NOTES_DATA;DESCRIPCIO1;DESCRIPCIO2;FONTS_DOC;ALTRES_NOMS
701599;jardins;d';Ada Byron;24/04/2007;;Augusta Ada Byron (Londres, 1815 - 1852). Coneguda com Lady Lovelace. Matemàtica. Fou la primera programadora de la història dels computadors. De jove, va establir contacte amb Charles Babbage, creador de les primeres computadores i de l'anomenada màquina analítica. Ada aportà els seus coneixements analítics per millorar-ne el funcionament. Ella mateixa es definí com a analista i la primera persona a descriure un llenguatge de programació d'ús general. Filla del poeta George Noel Gordon, Lord Byron.;;;
002050;carrer;d';Adolf Florensa;28/07/1982;;Adolf Florensa i Ferrer (Lleida, 1889 - Barcelona, 1968). Arquitecte catedràtic a l'Escola d'Arquitectura de Barcelona i arquitecte municipal.;;{PC:en}.;
701657;plaça;d';Adolf Marsillach;07/11/2008;;"Adolf Marsillach i Soriano (Barcelona, 1928 - Madrid, 2002). Actor teatral i cinematogràfic. Des del 1952 actuà en pel·lícules i dirigí sèries de televisió, però es dedicà, sobretot, al teatre, on dirigí i interpretà obres d'autors clàssics i moderns. El 1982 estrenà a Barcelona l'obra Yo me bajo en la pròxima... ¿y usted?, de la qual fou autor; l'any 1991, l'obra Feliz aniversario. Fou director del Centre Dramàtic Nacional, durant el bienni 1978 - 1979, i de la Companyia Nacional de Teatre Clàssic, entre el 1985 i el 1989, i el 1992 i el 1996. El 1997 va participar en la inauguració del Teatre Nacional de Catalunya, on dirigí el seu primer muntatge en català, L'auca del senyor Esteve, de Santiago Rusiñol. Entre d'altres, l'any 2000 fou guardonat amb la Medalla d'Or al Mèrit Artístic i el premi Max honorífic.";;;
540074;moll;;Adossat;;;Per haver-se adossat tot al llarg del dic de l'Est.;;{APB}.;
002200;carrer;d';Adrall;29/05/1945;;Poble del municipi de la parròquia d'Hortó (Alt Urgell).;;{n80}.;Núm. 40
002505;plaça;d';Adrià;05/11/1913;;"Publi Eli Adrià (Itàlica, 76 - Baiae, 138). Emperador romà. Filòsof i home d'acció que destacà com a constructor. Aixecà quatre ciutats i construí importants edificis per tot l'Imperi; entre d'altres, la vil·la de Tívoli, el Panteó i el mausoleu d'Adrià, anomenat castell de Sant Angelo a partir del segle VII.";;{PC:MPV,fn}.;Adriano
002210;avinguda;d';Adrià Gual;05/07/1960;;Adrià Gual i Queralt (Barcelona, 1872 - 1943). Autor dramàtic, director d'escena, pintor i pedagog. Fundà el Teatre Íntim. Fou director de l'Escola Catalana d'Art Dramàtic i director artístic de la productora Barcinógrafo (1913). Les seves memòries, Mitja vida de teatre (1960), editades pòstumament, són un document de gran importància. Com a pintor, se centrà en un estil modernista típicament esteticista. Finalment, dedicà el seu esforç a l'escenografia d'obres muntades per ell mateix.;;"{n80;gec}.";Decorador Adrià Gual, 1949
002403;carrer;d';Adrià Margarit;20/07/1943;;Adrià Margarit i Coll (1851 - 1908). Notari. Cofundador, amb el doctor Andreu, de la Societat Urbanitzadora del Tibidabo.;;{PC:MPV,fn}.;"Adrián Margarit; Núm. 7 (urb. S.A. El Tibidabo)"
002709;carrer;dels;Afores;;Abans de 1800;Als afores de l'antiga vila de Sant Andreu de Palomar. Pot entendre's que se li donà aquest nom perquè es trobava allunyat del nucli principal de la població.;;{AHCB:RiC,m}.;Afueras
002902;carrer;de n';Aglà;;Abans de 1865;"Possible malnom d'un personatge que visqué al carrer a l'edat mitjana; no consta aquest cognom en les fonts genealògiques consultades. Possible nom de família.";;{VB}.;
