COVER_ELEVATION_M;TYPE;Geom;Geo Local Area
60.59;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.07266490586704, 49.24818310713284]}";Kensington-Cedar Cottage
60.58;Storm;"{""type"": ""Point"", ""coordinates"": [-123.07264515750911, 49.24818072682125]}";Kensington-Cedar Cottage
50.96;Combined;"{""type"": ""Point"", ""coordinates"": [-123.08589622587529, 49.25049157586698]}";Kensington-Cedar Cottage
37.71;Storm;"{""type"": ""Point"", ""coordinates"": [-123.11295419655666, 49.261441386120076]}";Mount Pleasant
52.98;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.12011215982281, 49.25609868227763]}";South Cambie
97.61;Storm;"{""type"": ""Point"", ""coordinates"": [-123.0811486028111, 49.23381153004383]}";Kensington-Cedar Cottage
31.59;Combined;"{""type"": ""Point"", ""coordinates"": [-123.1109864123922, 49.26219009335924]}";Mount Pleasant
35.2;Storm;"{""type"": ""Point"", ""coordinates"": [-123.1110024480031, 49.26172264193064]}";Mount Pleasant
53.03;Storm;"{""type"": ""Point"", ""coordinates"": [-123.10534361778004, 49.25937872375019]}";Mount Pleasant
50.8;Storm;"{""type"": ""Point"", ""coordinates"": [-123.11112351577509, 49.258672474204324]}";Mount Pleasant
46.2;Storm;"{""type"": ""Point"", ""coordinates"": [-123.10966934286279, 49.258610699276964]}";Mount Pleasant
77.21;Storm;"{""type"": ""Point"", ""coordinates"": [-123.19692155333311, 49.25818365317548]}";West Point Grey
78.39;Storm;"{""type"": ""Point"", ""coordinates"": [-123.19783643898501, 49.25819887530103]}";West Point Grey
65.78;Combined;"{""type"": ""Point"", ""coordinates"": [-123.14755156028966, 49.25359618009493]}";Shaughnessy
22.54;Storm;"{""type"": ""Point"", ""coordinates"": [-123.18736042201965, 49.26344449260697]}";West Point Grey
39.18;Storm;"{""type"": ""Point"", ""coordinates"": [-123.13926602539826, 49.264088076017494]}";Fairview
39.07;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.13925251976339, 49.26409978606449]}";Fairview
55.04;Storm;"{""type"": ""Point"", ""coordinates"": [-123.17446863024017, 49.23471201159319]}";Kerrisdale
0.0;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.09876928673893, 49.26592013364443]}";Mount Pleasant
34.49;Storm;"{""type"": ""Point"", ""coordinates"": [-123.05457794595574, 49.28866744991952]}";Hastings-Sunrise
34.57;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.05455862011176, 49.288675500723215]}";Hastings-Sunrise
68.31;Combined;"{""type"": ""Point"", ""coordinates"": [-123.12618230443569, 49.2192606766948]}";Oakridge
14.7;Storm;"{""type"": ""Point"", ""coordinates"": [-123.0850713012939, 49.280570280235466]}";Strathcona
69.53;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.12992006756667, 49.21985931567728]}";Oakridge
14.5;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.08703586828767, 49.28059776366401]}";Strathcona
60.08;Storm;"{""type"": ""Point"", ""coordinates"": [-123.10073023667307, 49.25387758545991]}";Riley Park
60.55;Combined;"{""type"": ""Point"", ""coordinates"": [-123.1028799401, 49.253236139959625]}";Riley Park
54.13;Combined;"{""type"": ""Point"", ""coordinates"": [-123.09208037638206, 49.25013437960101]}";Riley Park
98.61;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.08113993273498, 49.23474933601913]}";Kensington-Cedar Cottage
52.35;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.12013411004337, 49.255205398222394]}";South Cambie
42.23;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.11298327596661, 49.26088020050038]}";Mount Pleasant
62.7;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.11276782047591, 49.253421370685146]}";Riley Park
62.68;Storm;"{""type"": ""Point"", ""coordinates"": [-123.1111400911254, 49.25339071808947]}";Riley Park
89.99;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.11710536170536, 49.244654245054846]}";South Cambie
90.02;Storm;"{""type"": ""Point"", ""coordinates"": [-123.11711054840096, 49.2446397574671]}";South Cambie
9.88;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.10844167708383, 49.281209356121444]}";Downtown
7.77;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.10783772777467, 49.28110126856892]}";Downtown
67.83;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.07636574324434, 49.241679873472606]}";Kensington-Cedar Cottage
75.24;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.19413163476146, 49.25795349144935]}";Dunbar-Southlands
6.24;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.14151999411824, 49.204480879799284]}";Marpole
22.7;Combined;"{""type"": ""Point"", ""coordinates"": [-123.16637145583513, 49.260309092952596]}";Kitsilano
21.38;Combined;"{""type"": ""Point"", ""coordinates"": [-123.17220464595982, 49.259626228782395]}";Kitsilano
21.83;Combined;"{""type"": ""Point"", ""coordinates"": [-123.1722379045524, 49.25872162022412]}";Kitsilano
23.23;Combined;"{""type"": ""Point"", ""coordinates"": [-123.17055440015515, 49.25869516204451]}";Kitsilano
23.46;Combined;"{""type"": ""Point"", ""coordinates"": [-123.16629750169363, 49.26087787684888]}";Kitsilano
25.49;Combined;"{""type"": ""Point"", ""coordinates"": [-123.16500761746136, 49.25951499024905]}";Kitsilano
20.92;Combined;"{""type"": ""Point"", ""coordinates"": [-123.1710449964515, 49.26232288142069]}";Kitsilano
16.65;Combined;"{""type"": ""Point"", ""coordinates"": [-123.17072044217058, 49.26276996467772]}";Kitsilano
20.47;Combined;"{""type"": ""Point"", ""coordinates"": [-123.16909163072457, 49.26143716463714]}";Kitsilano
16.12;Combined;"{""type"": ""Point"", ""coordinates"": [-123.09882328024807, 49.2673252188226]}";Mount Pleasant
84.56;Combined;"{""type"": ""Point"", ""coordinates"": [-123.08984150589448, 49.23494220433763]}";Kensington-Cedar Cottage
95.18;Combined;"{""type"": ""Point"", ""coordinates"": [-123.08987990815403, 49.23211516453173]}";Sunset
3.61;Storm;"{""type"": ""Point"", ""coordinates"": [-123.1546985010308, 49.210666867610556]}";Kerrisdale
3.48;Storm;"{""type"": ""Point"", ""coordinates"": [-123.15532331185629, 49.210948085468765]}";Kerrisdale
2.39;Combined;"{""type"": ""Point"", ""coordinates"": [-123.15646356596088, 49.213363715661856]}";Kerrisdale
19.58;Combined;"{""type"": ""Point"", ""coordinates"": [-123.14635130956084, 49.21017251576726]}";Marpole
82.31;Combined;"{""type"": ""Point"", ""coordinates"": [-123.06137889932515, 49.23738981085005]}";Kensington-Cedar Cottage
85.98;Storm;"{""type"": ""Point"", ""coordinates"": [-123.04694991959467, 49.21744126454252]}";Killarney
85.61;Storm;"{""type"": ""Point"", ""coordinates"": [-123.04660255751928, 49.217292947161546]}";Killarney
0.0;Storm;"{""type"": ""Point"", ""coordinates"": [-123.2186130213311, 49.26655772689259]}";
24.16;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.06449290508806, 49.28166516020153]}";Grandview-Woodland
25.82;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.0651207123472, 49.28167469379742]}";Grandview-Woodland
26.25;Combined;"{""type"": ""Point"", ""coordinates"": [-123.11720624170665, 49.21412126183245]}";Marpole
10.65;Storm;"{""type"": ""Point"", ""coordinates"": [-123.06386193833862, 49.28392566517068]}";Grandview-Woodland
55.08;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.11437042549694, 49.25633403973134]}";Riley Park
54.22;Combined;"{""type"": ""Point"", ""coordinates"": [-123.1126715255147, 49.25630463951651]}";Riley Park
56.32;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.11000294699083, 49.256248841143105]}";Riley Park
11.26;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.10873794308499, 49.281011624537264]}";Downtown
74.8;Storm;"{""type"": ""Point"", ""coordinates"": [-123.08377524645988, 49.24251397582693]}";Kensington-Cedar Cottage
40.85;Combined;"{""type"": ""Point"", ""coordinates"": [-123.0729090327873, 49.254380428833606]}";Kensington-Cedar Cottage
0.0;Combined;"{""type"": ""Point"", ""coordinates"": [-123.1699303044823, 49.26140103276764]}";Kitsilano
27.03;Storm;"{""type"": ""Point"", ""coordinates"": [-123.05678900767593, 49.28932547817139]}";Grandview-Woodland
12.73;Storm;"{""type"": ""Point"", ""coordinates"": [-123.06004598747572, 49.28842880376594]}";Grandview-Woodland
16.32;Storm;"{""type"": ""Point"", ""coordinates"": [-123.05931839390908, 49.288428190083515]}";Grandview-Woodland
22.45;Combined;"{""type"": ""Point"", ""coordinates"": [-123.05742147067477, 49.289803807282574]}";Grandview-Woodland
4.22;Combined;"{""type"": ""Point"", ""coordinates"": [-123.06041788221714, 49.28957559236803]}";Grandview-Woodland
101.39;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.05360022912257, 49.23178222916841]}";Victoria-Fraserview
99.1;Storm;"{""type"": ""Point"", ""coordinates"": [-123.05252949854032, 49.23178370149295]}";Victoria-Fraserview
99.1;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.05255516452348, 49.231777851899444]}";Victoria-Fraserview
98.67;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.05176333471049, 49.23177506108139]}";Victoria-Fraserview
85.23;Storm;"{""type"": ""Point"", ""coordinates"": [-123.05020718081792, 49.23574703423497]}";Renfrew-Collingwood
93.58;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.05018066653628, 49.23386004934397]}";Renfrew-Collingwood
93.58;Storm;"{""type"": ""Point"", ""coordinates"": [-123.05017213614693, 49.23384638026789]}";Renfrew-Collingwood
91.93;Storm;"{""type"": ""Point"", ""coordinates"": [-123.05018843836945, 49.234752005969774]}";Renfrew-Collingwood
98.94;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.05014196966899, 49.23202639297989]}";Victoria-Fraserview
96.66;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.05014256554495, 49.23277799109]}";Renfrew-Collingwood
90.87;Combined;"{""type"": ""Point"", ""coordinates"": [-123.1280114748351, 49.23382149439553]}";Oakridge
99.56;Combined;"{""type"": ""Point"", ""coordinates"": [-123.05656298674678, 49.23164056249301]}";Victoria-Fraserview
11.16;Storm;"{""type"": ""Point"", ""coordinates"": [-123.06358957196223, 49.283732329207524]}";Grandview-Woodland
12.84;Storm;"{""type"": ""Point"", ""coordinates"": [-123.06351289633697, 49.28347192513135]}";Grandview-Woodland
28.28;Combined;"{""type"": ""Point"", ""coordinates"": [-123.06625026116603, 49.28120412568533]}";Grandview-Woodland
29.61;Combined;"{""type"": ""Point"", ""coordinates"": [-123.06561558766543, 49.28119667101634]}";Grandview-Woodland
29.7;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.0635720657882, 49.28111005640516]}";Grandview-Woodland
25.75;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.06357391234273, 49.2816694654279]}";Grandview-Woodland
7.14;Storm;"{""type"": ""Point"", ""coordinates"": [-123.06413426330124, 49.28438228919988]}";Grandview-Woodland
