MAPID;YEAR_CREATED;NAME;STREET_NUMBER;STREET_DIRECTION;STREET_NAME;STREET_TYPE;MERGED_ADDRESS;NUMBER_OF_PLOTS;NUMBER_OF_FOOD_TREES;NOTES;FOOD_TREE_VARIETIES;OTHER_FOOD_ASSETS;JURISDICTION;STEWARD_OR_MANAGING_ORGANIZATION;PUBLIC_E_MAIL;WEBSITE;Geo Local Area;Geom
FA001;Pre-2010;0 - Private Developments - Community Shared;;;;;;507;;;;;Private;;;;;
FA008;;Arbutus Village Park;4202;;Valley;Drive;4202 Valley Drive, Vancouver, BC;0;9;;Crabapple;;Park Board;;;;Arbutus-Ridge;"{""type"": ""Point"", ""coordinates"": [-123.1549951, 49.2507172]}"
FA013;2012;Brewery Creek Community Garden;2390;;Brunswick;St;2390 Brunswick St, Vancouver, BC;40;11;;"Bramley's seedling apple; cortland apple; early macintosh apple; Jonafree apple; Jonagold apple; Lodi apple; Nova Mac apple; Evans cherry - hardy; Juliet cherry - hardy; Persimmon fuju; van cherry";;Park Board;Urban Diggers Society;brewerycreekgarden@gmail.com;http://brewerycreekgarden.wix.com/home;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.09573323, 49.26416489]}"
FA014;;Burrard View Park;650;N;Penticton;St;650 N Penticton St, Vancouver, BC;0;1;;Cherry;;Park Board;;;;Hastings-Sunrise;"{""type"": ""Point"", ""coordinates"": [-123.0519175, 49.2912065]}"
FA015;pre-1970;Callister Park;2875;;Oxford;St;2875 Oxford St, Vancouver, BC;0;4;;Apple;;Park Board;;;;Hastings-Sunrise;"{""type"": ""Point"", ""coordinates"": [-123.0453833, 49.28618]}"
FA025;2013;Charleson Park Community Garden;999;;Charleson;St;999 Charleson St, Vancouver, BC;38;;;;;Park Board;False Creek South Neighbourhood Association;charlesongarden@gmail.com;http://www.charlesongarden.ca/;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.12573796, 49.26776479]}"
FA027;2010;Cheyenne Community Garden;2755;;Cheyenne;Av;2755 Cheyenne Av, Vancouver, BC;37;7;inc by 3 plots in 2016;Plums, heritage apples;;City;Collingwood Neighbourhood House Society;foodsecurity@cnh.bc.ca;http://rcfsi.blogspot.ca;Renfrew-Collingwood;"{""type"": ""Point"", ""coordinates"": [-123.0480587, 49.2414955]}"
FA034;2013;City Hall expansion;453;W;12th;Av;453 W 12th Av, Vancouver, BC;10;;;;;City;pending;vancouvercityhallgarden@gmail.com;;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.1139357, 49.2613159]}"
FA036;2008;Cityview Baptist Church;4370;;Sophia;St;4370 Sophia  St, Vancouver, BC;6;1;;Heritage apple;;Private;Neighbours;cityview.community.garden@gmail.com;http://cityviewchurch.ca/;Riley Park;"{""type"": ""Point"", ""coordinates"": [-123.099148, 49.2459664]}"
FA039;2006;Collingwood Community Gardens;3100;;Vanness;Av;3100 Vanness Av, Vancouver, BC;30;;;;;Translink;Renfrew Collingwood Food Security Institute;foodsecurity@cnh.bc.ca;http://rcfsi.blogspot.ca;Renfrew-Collingwood;"{""type"": ""Point"", ""coordinates"": [-123.0302, 49.23774]}"
FA040;2012;Copley Community Orchard;3590;;Copley;St;3590 Copley St, Vancouver, BC;3;100;;range of varieties of perenial fruit and vegetables;;City;Copley Community Orchard Society;membership@copleycommunityorchard.com;http://www.copleycommunityorchard.com;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.0578738, 49.2498017]}"
FA043;2009;CROWS Point Community Garden;2299;E;24th;Av;2299 E 24th Av, Vancouver, BC;30;;;;;City;CROWS Point Community Garden Society;crows.point@gmail.com;https://www.facebook.com/crowspoint/;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.0579937, 49.2488724]}"
FA045;2009;Davie Village Garden;1157;;Burrard;St;1157 Burrard  St, Vancouver, BC;100;;;;;Private;Vancouver Public Space Network;dvgarden@gmail.com;;West End;"{""type"": ""Point"", ""coordinates"": [-123.1293018, 49.2795117]}"
FA048;2011;Dowtown Intercultural Gardeners Society (DIGS);1081;;Burrard;St;1081 Burrard St, Vancouver, BC;46;;corrected from 120 to 46 (28 plots + 18 planters) in 2016;;;Private;Downtown Intercultural Gardeners Society;digsvancouver@gmail.com;http://www.digsvancouver.ca/;West End;"{""type"": ""Point"", ""coordinates"": [-123.1290006, 49.2805963]}"
FA050;2013;Dunbar and 41st;5580;;Dunbar;St;5580 Dunbar St, Vancouver, BC;36;;;;;Private;shifting growth;;;Dunbar-Southlands;"{""type"": ""Point"", ""coordinates"": [-123.1850682, 49.2358897]}"
FA056;2010;Falaise Park;3434;;Falaise;Av;3434 Falaise Av, Vancouver, BC;0;25;;Apple, cherry, plum, pear, peach;;Park Board;Vancouver Christian School;;;Renfrew-Collingwood;"{""type"": ""Point"", ""coordinates"": [-123.0300574, 49.2550923]}"
FA058;2014;Fraserlands Community Garden (Riverfront Park);2750;E;South Kent;St;2750 E South Kent St, Vancouver, BC;38;;;;;Park Board;South Vancouver Family Place;fraserlandscommunitygardening@gmail.com;https://www.facebook.com/FraserlandsCommunityGardening/;Killarney;"{""type"": ""Point"", ""coordinates"": [-123.05065448, 49.20587682]}"
FA060;2007;Frog Hollow Neighbourhood House Garden 1;2703;E;1st;Av;2703 E 1st  Av, Vancouver, BC;5;;;;;Other;Frog Hollow Neighbourhood House;eva@froghollow.bc.ca;http://www.froghollow.bc.ca;Hastings-Sunrise;"{""type"": ""Point"", ""coordinates"": [-123.0493039, 49.2698011]}"
FA061;2007;Frog Hollow Neighbourhood House Garden 2;2131;;Renfrew;St;2131 Renfrew  St, Vancouver, BC;5;;;;;Other;Frog Hollow Neighbourhood House;eva@froghollow.bc.ca;http://www.froghollow.bc.ca;Hastings-Sunrise;"{""type"": ""Point"", ""coordinates"": [-123.044393, 49.2654085]}"
FA063;2011;Gaston Park;3470;;Crowley;Drive;3470 Crowley  Drive, Vancouver, BC;0;11;;quince, Asian pear, Saskatoon berry, Italian prune plum;;Park Board;Renfrew Collingwood Food Security Institute;foodsecurity@cnh.bc.ca;https://rcfood.wordpress.com/;Renfrew-Collingwood;"{""type"": ""Point"", ""coordinates"": [-123.0311899, 49.2362316]}"
FA067;2011;Grandview Park;1657;;Charles;St;1657 Charles St, Vancouver, BC;0;yes;;Plum espalier;;Park Board;;;;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.0705385, 49.2735193]}"
