DIAMETER_MM;EFFLUENT_TYPE;GRADE_PERCENT;INSTALL_YR;MATERIAL;NON_CALCULATED_LENGTH_M;Geom
900.0;Sanitary;0.15;2004;PVC;54.74;"{""type"": ""LineString"", ""coordinates"": [[-123.05823832438023, 49.25678355202025], [-123.05899242976997, 49.25678427585015]]}"
1050.0;Sanitary;0.03;2004;PVC;109.74;"{""type"": ""LineString"", ""coordinates"": [[-123.0660746286232, 49.25862371488184], [-123.06758258655819, 49.258640275379875]]}"
1050.0;Sanitary;-0.09;2004;PVC;54.07;"{""type"": ""LineString"", ""coordinates"": [[-123.06533142775342, 49.25861772393267], [-123.0660746286232, 49.25862371488184]]}"
900.0;Sanitary;0.17;2004;PVC;103.3;"{""type"": ""LineString"", ""coordinates"": [[-123.05578729239647, 49.25524418680848], [-123.05578321528482, 49.25612607083022], [-123.05576262513026, 49.25617147062968]]}"
750.0;Sanitary;0.51;2008;PVC;148.6;"{""type"": ""LineString"", ""coordinates"": [[-123.06077597257132, 49.25013398559791], [-123.06260286631337, 49.25072292597333]]}"
0.0;Combined;0.0;;n/a;372.24;"{""type"": ""LineString"", ""coordinates"": [[-123.19640507623525, 49.22520432735679], [-123.19739085084917, 49.224602149729655], [-123.19912777972331, 49.22241479220967]]}"
1275.0;Sanitary;0.19;1956;n/a;254.8;"{""type"": ""LineString"", ""coordinates"": [[-123.04759402638429, 49.243109648531245], [-123.04757824274776, 49.24312644014333], [-123.04756852668042, 49.243137994027606], [-123.04756170822796, 49.243148197432724], [-123.04755755268192, 49.243155854089416], [-123.04755220709838, 49.2431689803394], [-123.04754845832142, 49.2431853262264], [-123.04754781886973, 49.24319186602625], [-123.0475482735609, 49.2432075355404], [-123.04754975202368, 49.243216278301354], [-123.04755177903465, 49.2432239683939], [-123.04755603517806, 49.24323521968229], [-123.04755973810214, 49.24324265721815], [-123.04756868174131, 49.24325651519468], [-123.0475733173805, 49.243262351194026], [-123.04758295830922, 49.243272664759296], [-123.04758968256905, 49.243278805735734], [-123.04759837231629, 49.24328579145417], [-123.04760838103351, 49.243292803614125], [-123.04761957106335, 49.24329956341972], [-123.04764133014362, 49.24331024078908], [-123.04968719779929, 49.24418203376443], [-123.04971136344965, 49.24419407698297], [-123.0497293049616, 49.24420584402351], [-123.04974114411324, 49.244215472822994], [-123.04974932690752, 49.24422338510597], [-123.04975943712898, 49.24423520948526], [-123.04976294552428, 49.244240074395975], [-123.04977197436658, 49.24425589312404], [-123.04977663028272, 49.24426788176564], [-123.04977920973005, 49.244278036273954], [-123.0497801450127, 49.24430637985466], [-123.04972973423511, 49.24463331536003]]}"
2400.0;Combined;0.2;;CONC;106.98;"{""type"": ""LineString"", ""coordinates"": [[-123.20241135875655, 49.273668817071524], [-123.20237605348395, 49.27462943985756]]}"
600.0;Combined;0.16;;CONC;123.14;"{""type"": ""LineString"", ""coordinates"": [[-123.20256809660917, 49.27307206190686], [-123.20252707875024, 49.274177796354564]]}"
0.0;Sanitary;-0.42;2003;STEEL;62.57;"{""type"": ""LineString"", ""coordinates"": [[-123.07882645560419, 49.26617438188503], [-123.07881276816373, 49.266737157951155]]}"
