Author_ID,NAME,MEIBI,MEIBIX,AVG_NUM_WORDS,AVG_NUM_WORDS_NO_STOPWORDS
"1","Jason Kincaid","43","43","4.257910","5.858018"
"2","Michael Arrington","114","114","4.136101","5.645050"
"3","Erick Schonfeld","56","57","4.114451","5.660201"
"4","John Biggs","22","22","3.872279","5.293720"
"5","MG Siegler","66","65","3.923442","5.509575"
"6","Devin Coldewey","16","16","3.997100","5.574937"
"7","Leena Rao","24","24","4.526394","6.077610"
"8","Andy Brett","1","1","3.955098","5.721011"
"9","Scott Merrill","6","6","4.106986","5.677635"
"10","Mike Butcher","13","13","4.347529","5.878248"
"11","Robin Wauters","37","37","4.346844","5.945649"
"12","Evelyn Rusli","1","1","4.301275","5.839593"
"13","Arden Pennell","0","0","4.568996","6.052398"
"14","Roxanne Varza","0","0","4.283505","5.893617"
"15","Markus Goebel","2","2","4.293680","5.878760"
"16","Greg Kumparak","17","17","4.761403","6.249310"
"17","Marc Benioff","1","1","4.266234","6.094467"
"18","Sarah Lacy","14","14","4.089815","5.632771"
"19","Paul Carr","18","18","3.987302","5.619890"
"20","Orli Yakuel","5","5","3.909531","5.375778"
"21","Guest Author","36","36","4.200570","5.819014"
"22","Vivek Wadhwa","13","13","4.317936","5.921872"
"23","Rahul Nihalani","0","0","5.042441","6.153203"
"24","Marina Zaliznyak","0","0","4.772301","6.194909"
"25","Nicholas Deleon","8","8","3.637399","5.059106"
"26","Steve O'Hear","2","2","4.501281","6.092386"
"27","Matt Burns","8","8","4.350937","5.775186"
"28","Dave Freeman","0","0","3.233319","4.368871"
"29","Jay Donovan","1","1","4.035863","5.662236"
"30","Steve Gillmor","12","12","4.226988","5.850996"
"31","Lukas Zinnagl","1","1","4.338433","5.985782"
"32","Gagan Biyani","5","5","4.118493","5.674921"
"33","Serkan Toto","10","10","4.314502","5.876762"
"34","Roi Carthy","7","7","4.434171","6.145415"
"35","Jack McKenna","3","3","4.074890","5.499046"
"36","David Diaz","3","3","4.357158","5.866486"
"37","Daniel Levine","1","1","4.405518","6.019233"
"38","Marc Flores","1","1","4.053348","5.368113"
"39","Gené Teare","0","0","4.578947","5.723684"
"40","Cedric Giorgi","0","0","4.238744","6.036905"
"41","Chris Velazco","2","2","4.091080","5.626979"
"42","Doug Aamoth","7","7","4.279278","5.635052"
"43","tcnikc","17","17","4.084662","5.840711"
"44","Basheera Khan","2","2","4.450846","6.104427"
"45","Arda Kutsal","2","2","4.718860","6.132625"
"46","Bryce Durbin","0","0","4.604468","5.947375"
"47","LondonVC","1","1","3.970980","5.454807"
"48","Charlotta Hedman","1","1","4.085595","5.963018"
"49","Brian Solis","11","11","4.453579","6.223225"
"50","Jeremy Kessel","2","2","4.217558","5.687724"
"51","Dimitris Kalavros-Gousiou","0","0","4.161702","5.963415"
"52","nik","1","1","4.114768","5.870761"
"53","Mark Hendrickson","24","24","4.312042","5.810072"
"54","Michael Davenport","0","0","4.874449","6.547337"
"55","Paul Sloan","1","1","4.053782","5.652921"
"56","Jimin Brelsford","0","0","3.866667","5.568000"
"57","Ciara Byrne","1","1","4.291514","5.959718"
"58","Milo Yiannopoulos","2","2","4.406602","5.908374"
"59","Sarah Lacy and Paul Carr","2","2","4.089379","5.676431"
"60","Peter Ha","9","9","3.627967","4.941089"
"61","Seyi Akin-Olugbemi","0","0","4.206573","5.875410"
"62","Peter Sauer","1","1","4.963374","6.072075"
"63","Stefano Bernardi","0","0","4.594667","6.109929"
"64","Gleb Kaplun","1","1","4.231293","6.128079"
"65","Cameron Christoffers","1","1","4.509697","6.573902"
"66","Dan Romero","1","1","4.152952","5.458007"
"67","TechCrunch Europe","1","1","4.196117","5.809654"
"68","Asad Akbar","1","1","4.717336","5.725922"
"69","Adam Marks","0","0","4.089744","5.500000"
"70","Nick Gonzalez","12","12","4.392244","5.837583"
"71","Heather Harde","0","0","4.613889","5.719593"
"72","Eric Clemons","1","1","4.217622","5.994492"
"73","Shaila Luther","0","0","4.199952","5.848244"
