ADDRESS;SCHOOL_CATEGORY;SCHOOL_NAME;Geom;Geo Local Area
5025 Willow St;Public School;BC Childrens Hosp School Program;"{""type"": ""Point"", ""coordinates"": [-123.12579095999999, 49.23963096106753]}";South Cambie
2251 Collingwood St;Public School;Bayview Community Elementary;"{""type"": ""Point"", ""coordinates"": [-123.18233379, 49.26648700606768]}";Kitsilano
3400 Balaclava St;Public School;Carnarvon Community Elementary;"{""type"": ""Point"", ""coordinates"": [-123.17355723856548, 49.25658742134096]}";Arbutus-Ridge
6955 Frontenac St;Public School;Champlain Heights Community Elementary;"{""type"": ""Point"", ""coordinates"": [-123.02774835, 49.22064030106746]}";Killarney
1010 E 17th Av;Public School;Charles Dickens Elementary;"{""type"": ""Point"", ""coordinates"": [-123.08239063270196, 49.254854500002445]}";Kensington-Cedar Cottage
3417 Euclid Av;StrongStart BC;Collingwood StrongStart Centre;"{""type"": ""Point"", ""coordinates"": [-123.032313, 49.23634859906753]}";Renfrew-Collingwood
438 Terminal Av;Independent School;Columbia College;"{""type"": ""Point"", ""coordinates"": [-123.09507768504591, 49.27155962112064]}";Strathcona
5025 Willow St;Public School;Eric Hamber Secondary;"{""type"": ""Point"", ""coordinates"": [-123.12579095999999, 49.23963096106753]}";South Cambie
2740 Guelph St;StrongStart BC;Florence Nightingale StrongStart Centre;"{""type"": ""Point"", ""coordinates"": [-123.09371757, 49.260059324067655]}";Mount Pleasant
2896 W 6th Av;Public School;General Gordon Elementary;"{""type"": ""Point"", ""coordinates"": [-123.17067418, 49.26597990206767]}";Kitsilano
3745 W 28th Av;Independent School;Immaculate Conception School;"{""type"": ""Point"", ""coordinates"": [-123.18770751925071, 49.24759061248421]}";Dunbar-Southlands
801 E 54th Av;StrongStart BC;John Henderson StrongStart Centre;"{""type"": ""Point"", ""coordinates"": [-123.08804322, 49.22104214306744]}";Sunset
3250 W 43rd Av;Public School;Kerrisdale Annex;"{""type"": ""Point"", ""coordinates"": [-123.177405, 49.232867999067516]}";Kerrisdale
1166 W 14th Av;Public School;L'Ecole Bilingue Elementary;"{""type"": ""Point"", ""coordinates"": [-123.13038640000002, 49.25808403306762]}";Fairview
3939 W 16th Av;Public School;Lord Byng Secondary;"{""type"": ""Point"", ""coordinates"": [-123.1925309529982, 49.259566550086106]}";West Point Grey
2235 Kitchener St;Public School;Lord Nelson Elementary;"{""type"": ""Point"", ""coordinates"": [-123.05971209, 49.27250773706771]}";Grandview-Woodland
1750 E 22nd Av;StrongStart BC;Lord Selkirk StrongStart Centre;"{""type"": ""Point"", ""coordinates"": [-123.06900705, 49.249691952067586]}";Kensington-Cedar Cottage
6360 Maple St;Public School;Magee Secondary;"{""type"": ""Point"", ""coordinates"": [-123.15153798760876, 49.22855386506042]}";Kerrisdale
3375 Nootka St;Public School;Nootka Community Elementary;"{""type"": ""Point"", ""coordinates"": [-123.04294917, 49.25359297006762]}";Renfrew-Collingwood
575 Slocan St;Independent School;Our Lady of Sorrows;"{""type"": ""Point"", ""coordinates"": [-123.05015370472844, 49.27957121602082]}";Hastings-Sunrise
2409 E Pender St;Independent School;PALS Autism School;"{""type"": ""Point"", ""coordinates"": [-123.05595432992459, 49.28051480952856]}";Hastings-Sunrise
4196 W 4th Av;Independent School;Pacific Spirit School;"{""type"": ""Point"", ""coordinates"": [-123.1982460233882, 49.267667982326586]}";West Point Grey
