ArtistID;FirstName;LastName;ArtistURL;Biography;Country;Photo;PhotoCredit;Website
360;;Vancouver Morris Men;https://covapp.vancouver.ca/PublicArtRegistry/ArtistDetail.aspx?FromArtistIndex=False&ArtistId=360;"There are 15 members of the troup.
The dances and plays vary with the seasons of the year:
FOR AUTUMN AND WINTER These are the ""dark"" seasons, when, for the Vancouver Morris Men, the Morris takes on a different, more earthy character - some say degenerate! This is when the Vancouver Morris Men perform WELSH BORDER MORRIS. We wear dark clothes and rags and have our faces ""blacked"" as a form of disguise. The Welsh Border dances are probably the oldest variants of the Morris. Nearly all the dances consist of vigourous stepping and powerful stick clashing accompanied by a loud band comprising melodeon, banjo, fiddle, whistle, drums, triangle, trombone and tuba! See some picutres of us dancing Welsh Border here.
On Plough Sunday (the first Sunday after 12th night), we perform MOLLY DANCING and assoicated rituals from East Anglia. (Traditionally, these dances and rituals were performed on the first Monday after 12th night, but as most of us are at work on that day - unlike olden times! - we've moved the event one day earlier.) For Molly dancing, the men, dressed in old farmers clothes and with blackened faces, typically carry a plough from door-to-door, performing a strange, stamping dance lead by the ""head"" couple - the King and the Molly (a ""man-woman""). The photo to the right was taken in 1992 during our inaugural Molly dance-out, an event which has now become a regular, annual event. The dances, which come from the villages of Girton and Comberton near Cambridge, are based on Feast Dances - communal social dances from the 19th century. Also on Plough Sunday, we perform the ""WOOING"" MUMMERS PLAY from Bassingham. Here are some pictures of the VMM ""in action"" on Plough Sunday, January 2003 and Plough Sunday, January 2005. For an article on Plough Sunday in Vancouver, please click here.";Canada;;;http://www.vancouvermorrismen.org
361;;Vancouver Carnival Band;https://covapp.vancouver.ca/PublicArtRegistry/ArtistDetail.aspx?FromArtistIndex=False&ArtistId=361;The Carnival Band is a community music project with ten years of history, based out of Commercial Drive’s Britannia Community Centre. Musical direction is provided by Ross Barrett and Tim Sars. Instrumentation for the band includes all range of brass, woodwinds, drums, percussion, accordions, and of course voice. Stage shows also allow us the opportunity to join our bass, guitar, fiddle, banjo, piano, and keyboard playing friends. Many of our favourite tunes are originals by band members. The remainder of our monstrous repertoire includes samba, calypso, swing, afrobeat, jazz, funk, disco, and traditional music from around the globe. We believe that community music is grounded in collaboration, with the aim of empowering the individuals involved. Songs and performances are a means to creative expression and community cohesiveness, rather than an end in themselves.;Canada;;;http://openairorchestra.nfshost.com/carnivalband/
362;Glenn;Lewis;https://covapp.vancouver.ca/PublicArtRegistry/ArtistDetail.aspx?FromArtistIndex=False&ArtistId=362;"Head of Media Arts Section, Canada Council, 1987 – 90. Director of Western Front 
            Society, Vancouver, 1977 – 87. Taught full-time, Fine Arts Department, University of 
            B.C., Vancouver., 1971 – 74. 
Curated projects: in 2002, Exhibition, ""New Media, Vancouver Art from the Sixties and Seventies"", including catalogue, Gallery at Ceperley House, City of Burnaby; in 1986, show, ""New Video Realities”,, included 9 Canadian artists., Cologne Art Fair, Germany; in 1983, “Western Front Historical  Exhibition”, Kunstlerhaus, Stuggart, Germany; co-curated ""Living Art Performance Festival"", Vancouver, with Paul Wong and Kim Tomczak.
Solo exhibitions include: 2009, “Cézanne’s Eyes and Hands”, included 2 video installations, sculpture, and photographs, Oboro, Montreal; 2005, “Stucco Floor Divided”, installation from 1969, Belkin Satellite Gallery, Vancouver; 1993, “Utopiary, Metaphorest and Bewilderness”: Selected Works from 1967-1993, Burnaby Art Gallery. Vancouver; 1983, Photographs and prints, La Chartreuse/CIRCA, Villeneuve les Avignon, France; 1978, ""Bewilderness, the Origins of Paradise"", Vancouver Art Gallery; 1970, ""8 Closets"", Vancouver Art Gallery; 1969  ""Wall Graphs"", Ace Gallery, Vancouver.
Recent performance art, media works, events include: 2010, conceived, curated, and performed in “Procession of Performing Circles”, Vancouver; 2008, resident and performed 3 part “A Sweeping Statement”, 7a11d festival, Toronto; 2007, perfomed “I Won’t Take Your Hand Monsieur Manet, I Haven’t Washed in Eight Days” on streets of Aix-en-Provence, France, washing his hands in the city’s 27 fountains; 2001.";Canada;;;
364;Suez;Holland;https://covapp.vancouver.ca/PublicArtRegistry/ArtistDetail.aspx?FromArtistIndex=False&ArtistId=364;"http://web.mac.com/zuendo/Vj_Electrabelle/home.html  Suez Holland, owner of Electrabelle Visual Effects, has been creating live video installations for over 12 years, weaving between the roles of VJ performer, editor, animator, live camera operator, and video technician. 
Most recently, Electrabelle was brought on board with the band U2, creating video and lighting installations for the '360 degree' tour wrap party. Other projects include Grey Cup 2009 in Calgary featuring live shows with Maestro Fresh West, as well as Olympic-related events in Vancouver. Electrabelle has a strong interest in providing media tools and training to all those who seek it, not just those who can afford it. Her experience teaching at the Gulf Islands Film and Television school brought hundreds of under-priviledged youth and adults together to learn video and film techniques. For over seven years, this testing ground continually reinforced the empowerment that comes from learning to communicate through the voice of filmmaking. Now with W2, Electrabelle hopes to inspire and facilitate a new group of live media artists to tell their stories.";;;;http://www.electrabelle.com
369;Diyan;Achjadi;https://covapp.vancouver.ca/PublicArtRegistry/ArtistDetail.aspx?FromArtistIndex=False&ArtistId=369;Diyan Achjadi is a Vancouver-based artist and is an Associate Professor of Print Media at Emily Carr University of Art and Design.She received a BFA from the Cooper Union (New York) and an MFA from Concordia University (Montreal).She has exhibited at galleries and film festivals across Canada and beyond, most recently at the Richmond Art Gallery, Carleton University Art Gallery (Ottawa), and the Art Gallery of Missisauga.Achjadi has had solo exhibitions at Art Gallery of Greater Victoria, Oboro (Montreal), and AIR Gallery (New York), among others.;Canada;https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=369&ImageId=1260;;http://www.diyanachjadi.com
372;Raymond;Boisjoly;https://covapp.vancouver.ca/PublicArtRegistry/ArtistDetail.aspx?FromArtistIndex=False&ArtistId=372;Raymond Boisjoly is an Aboriginal artist of Haida and Québécois descent based in Vancouver, BC. Since completing his studies at Emily Carr Institute (now University) and The University of British Columbia, Boisjoly presented The Ever-Changing Light at Access Gallery ARC (Vancouver, BC) and has participated in numerous group exhibitions and projects including How Soon Is Now at the Vancouver Art Gallery and House Systems: Fort Club at the Hedreen Gallery at Seattle University. Boisjoly was awarded a Fleck Fellowship from the Banff Centre for the Arts in 2010.;Canada;;;
374;Myfanwy;MacLeod;https://covapp.vancouver.ca/PublicArtRegistry/ArtistDetail.aspx?FromArtistIndex=False&ArtistId=374;;Canada;https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=374&ImageId=547;Photo Credit: Bertrand Gadenne;
375;;Project Rainbow;https://covapp.vancouver.ca/PublicArtRegistry/ArtistDetail.aspx?FromArtistIndex=False&ArtistId=375;Project Rainbow is a Vancouver based research team consisting of interdisciplinary artists Jesse Birch (1975-), Jade Boyd (1975-), Heidi Nutley (1976-) and Sydney Vermont (1973-) that explores the study of colour through movement, media,  and collaboration. Project Rainbow has created four colour-based works to date: L’Human Comedy (2005), Variations on Green (2006), The Ruby Glass (2007), Blue (2010).;Canada;;;
380;Taka;Sudo;https://covapp.vancouver.ca/PublicArtRegistry/ArtistDetail.aspx?FromArtistIndex=False&ArtistId=380;;Canada;;;
388;Yue;Minjun;https://covapp.vancouver.ca/PublicArtRegistry/ArtistDetail.aspx?FromArtistIndex=False&ArtistId=388;Yue Minjun is a contemporary Chinese artist based in Beijing, China. His works have been exhibited and celebrated worldwide since the 1990s and once set the record at Sotheby's auction for contemporary Chinese art. His works have been collected by art museums including the San Francisco Museum of Modern Art, the Denver Art Museum, the Chicago Architecture Museum and many others in Europe and Asia.;China;https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=388&ImageId=549;Courtesy of Don Li-Leger;
