RegistryID;ArtistProjectStatement;Type;Status;SiteName;SiteAddress;PrimaryMaterial;URL;PhotoURL;Ownership;Neighbourhood;LocationOnsite;Geom;GeoLocalArea;DescriptionOfwork;Artists;PhotoCredits;YearOfInstallation;
27;"""McHaffie says she means to show movement, but not flight. 'My perception of the world is that very little of it is stable,' she says."" -Vancouver Sun, July 19,1986                                             The sculpture was installed as one of ten pieces in the City Shapes sculpture symposium in the City's centennial year.";Sculpture;In place;Devonian Harbour Park;Denman & Georgia Street;Stainless steel, cedar;https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=27;https://opendata.vancouver.ca/api/v2/catalog/datasets/public-art/files/25a422b0cc36381e0c0ab681d38f602d;City of Vancouver;Downtown;Lawn along Georgia Street;"{""type"": ""Point"", ""coordinates"": [-123.133965, 49.293313]}";Downtown;An abstract sculpture of stainless steel with carved cedar planks that fan out in a spiral.;103;SITE Photography, 2016;1986
41;;Mural;In place;Main Post Office;349 West Georgia Street;ceramic;https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=41;https://opendata.vancouver.ca/api/v2/catalog/datasets/public-art/files/0c14df9125abbb3e2fd2dba43b9cd7ad;Privately owned;Downtown;lobby;"{""type"": ""Point"", ""coordinates"": [-123.114442, 49.280548]}";Downtown;This tile mural of a woman and child by Paul Huba was designated as protected heritage property by the City of Vancouver on September 18, 2018.;76;Maxime Cyr-Morton;1958
43;;Fountain or water feature;Removed;Vancouver Art Gallery;750 Hornby Street;Bronze, ceramic tile;https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=43;https://opendata.vancouver.ca/api/v2/catalog/datasets/public-art/files/b7f9094e9088d3496f46cc49a2343ebb;Province of British Columbia;Downtown;Front plaza;"{""type"": ""Point"", ""coordinates"": [-123.120461, 49.282879]}";Downtown;The fountain was commissioned by the BC Government in 1966 when the building was still a courthouse. The tile floor of the pool looks like water rippling and there are faces carved into the stone that rises in the middle of the pool.;"128;231";;1966
48;;Relief;In place;Block Bldg.;2695 Granville Street;Copper, glass;https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=48;https://opendata.vancouver.ca/api/v2/catalog/datasets/public-art/files/cf0288e414c0baf0faa7f556832d4894;private;Fairview;Exterior, front entrance;"{""type"": ""Point"", ""coordinates"": [-123.138913, 49.261911]}";Fairview;The copper bas-relief with abstract design and texture that hangs above the doors as well as the enameled entrance doors themselves are done by the artists.;"144;145";;1965
63;;Sculpture;In place;Victory Square;Hastings & Cambie Street;Aluminum;https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=63;https://opendata.vancouver.ca/api/v2/catalog/datasets/public-art/files/d43aa6e2e088ccba8b7510cb090afc61;City of Vancouver;Downtown;South end of park;"{""type"": ""Point"", ""coordinates"": [-123.109894, 49.28209]}";Downtown;;41;;1967
69;;Relief;In place;East Asiatic Building;1201 West Pender Street;Copper;https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=69;https://opendata.vancouver.ca/api/v2/catalog/datasets/public-art/files/7d0d95a614bde59c9e94c700605163f5;private;Downtown;Interior, above entrance;"{""type"": ""Point"", ""coordinates"": [-123.123528, 49.288723]}";Downtown;;264;;1964
77;;Sculpture;In place;Robson Square;Robson & Hornby Street;Bronze;https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=77;https://opendata.vancouver.ca/api/v2/catalog/datasets/public-art/files/a3a2df1fc4b702017cb7938addec3db1;Province of British Columbia;Downtown;On stairs down to plaza from the Vancouver Art Gallery, Robson Street;"{""type"": ""Point"", ""coordinates"": [-123.120716, 49.282472]}";Downtown;A simplified bird form, the sculpture is a replica of a 14cm original from Cape Dorset, NWT.;34;Tamara Tosoff;1979
89;"In 1914 two posts were rented from Chief Tsa-wee-nok of Kingcome Inlet as part of the movie set for In the Land of the Head Hunters by Edward Curtis. The Art, Historical and Scientific Association of Vancouver bought them in 1927 for Stanley Park. When the first one decayed badly it was replaced by a fibreglas pole (situated near the miniature railway). The original was restored by James's granddaughter Ellen Neel in 1963 and is stored at the Vancouver Museum. In 1988 Tony Hunt carved a replica to replace the second one which is at Brockton Point.- from Hillary Stewart, Totem Poles, 1990, Douglas &amp; McIntyre";Totem pole;In place;Brockton Point;Stanley Park;cedar;https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=89;https://opendata.vancouver.ca/api/v2/catalog/datasets/public-art/files/6a7b252cb5c3cb34ab7ac30cb8ba8c94;City of Vancouver;Stanley Park;facing E., short totem on right;"{""type"": ""Point"", ""coordinates"": [-123.120776, 49.299188]}";;The house post is carved of red cedar with a Thunderbird at the top, a Killer Whale on the chest, and a Grizzly Bear holding a human being at the bottom. The current pole is a replica of a pair carved by Charles James in the early 1900s and owned by Chief Tsa-wee-nok of Kingcome Inlet.  The top bird figure originally had wings. (from Totem Poles, Hilary Stewart, 1990);470;Maxime Cyr-Morton;1988
90;;Fountain or water feature;In place;Concord Pacific;1408 Pacific Boulevard;;https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=90;https://opendata.vancouver.ca/api/v2/catalog/datasets/public-art/files/f61ada9a2f6afb4537e874d0e214bac7;Privately owned;Downtown;Corner of Homer and Pacific;"{""type"": ""Point"", ""coordinates"": [-123.126135, 49.272885]}";Downtown;A large metal X sits on top of a circular pool. The X is scored and lined with slate channels that fill with water and spill onto the stones outside the pool. Water also flows down a spiral channel and falls inside the pool. The natural flow of the water works in relation to  the geometric forms of the piece.;214;;2003
100;"This pole was erected to commemorate the meeting of the Squamish people and Captain George Vancouver near the mouth of the Capilano River in June 1792. According to Terri Clark at the Parks office in 2006, ""..pole was taken down due to rot over 18 years ago and stored in SP yard where it was subsequently consumed by a shed fire - its ashes have returned to the soil.""";Totem pole;Removed;Prospect Point (Stanley Park);Stanley Park;cedar;https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=100;;City of Vancouver;;;;;;22;;1936
