EIN;NAME;ICO;STREET;CITY;STATE;ZIP;GROUP;SUBSECTION;AFFILIATION;CLASSIFICATION;RULING;DEDUCTIBILITY;FOUNDATION;ACTIVITY;ORGANIZATION;STATUS;TAX_PERIOD;ASSET_CD;INCOME_CD;FILING_REQ_CD;PF_FILING_REQ_CD;ACCT_PD;ASSET_AMT;INCOME_AMT;REVENUE_AMT;NTEE_CD;SORT_NAME
010456167;CHRYSALIS PLACE;;GARDINER ME 04345;AKROTIRI;;00000-0000;0000;03;3;1000;199305;1;15;994408560;1;01;201612;0;0;02;0;12;0;0;0;;
010674736;US-JAPAN RELATIONSHIP FUND INC;% TATSUHIKO WAKAO;KAWASAKI KANAGAWA 216-0033;JAPAN;;00000-0000;0000;03;3;1200;200401;1;15;000000000;1;01;201612;1;1;02;0;12;5434;10;10;Q20;
010728628;INTERSECTIONS INC;;PO BOX 1715;PAGO PAGO;AS;96799-1715;0000;03;3;1000;200211;1;15;000000000;1;01;201512;0;0;02;0;12;0;0;0;O50;
020674899;ARIEL FOUNDATION INTERNATIONAL;% ROY MORRIS ESQ;GENEVA CH-1216;SWITZERLAND;;00000-0000;0000;03;3;1000;200406;2;15;000000000;1;01;201612;0;0;02;0;12;0;0;0;Q30;ARIEL KING
030387180;NEW LAKEWOOD SCOUT SPONSORS INC;% KAREN STEINFELD SECRETARY;ROCKVILLE MD 20850;AFGHANISTAN;;00000-0000;0000;03;3;1000;200402;1;16;000000000;1;01;201608;0;0;02;0;08;0;0;0;O114;
030457389;ALLIANCE FOR SAFE CHILDREN;% CARR RIGGS & INGRAM LLC;CAMBERWELL VICTORIA 3124;AUSTRALIA;;00000-0000;0000;03;3;1000;200209;1;16;000000000;1;01;201612;0;0;02;0;12;0;0;0;Q01;
030462376;BETHLEHEM INN;% IRVIN RIFKIN;SANTA ANA;EL SALVADOR;;00000-0000;0000;03;3;7100;200306;1;16;000000000;1;01;201612;0;0;02;0;12;0;0;0;X20;
030474336;THINK TANK ROMANIA INC;% C/O DAVID SOMLYO;BUCHAREST SECTOR 1 010667;ROMANIA;;00000-0000;0000;03;3;2000;200410;1;15;000000000;1;01;201703;0;0;02;0;03;0;0;0;Q70;
030517199;EAGLE WORLDWIDE MINISTRIES INC;% PAUL WETZEL;COPETOWN ONTARIO LOR 1 J0;CANADA;;00000-0000;0000;03;3;7000;200411;4;15;000000000;1;01;201512;3;4;01;0;12;28131;308565;308565;X20;
043216739;INTERNATIONAL STEPS FOUNDATION INC;;73134 HANIA CRETE;GREECE;;00000-0000;0000;03;3;1000;201702;1;15;123000000;1;01;;0;0;02;0;12;;;;A20;
043310091;RED KNIGHTS INTERNATIONAL MOTORCYCLE CLUB;% LEO PATRY;CHARLOTTETOWN PE C1E 2J6;CANADA;;00000-0000;0000;07;3;1000;199805;2;00;281000000;1;01;201612;4;4;01;0;12;237723;137273;137273;;
043319132;OTTOMAN STUDIES FOUNDATION INC;;FATIH ISTANBUL TURKEY;TURKEY;;00000-0000;0000;03;3;2000;199806;2;16;092000000;1;01;201512;4;4;01;0;12;131048;127919;127919;A76P;
043491218;RESILENCE ALLIANCE INC;% PHIL TAYLOR BIOLOGY DEPT;WOLFVILLE NS B4P 2R6;CANADA;;00000-0000;0000;03;3;1000;200001;4;15;000000000;1;01;201603;4;4;01;0;03;136451;271638;271638;C30;
043500235;WELLESLEY CANCER PREVENTION PROJECT;% LINDA GRIFFITH;WELLESLEY HILLS MA 02481;BRITISH VIRGIN ISLANDS;;00000-0000;0000;03;3;1000;200310;1;15;000000000;1;01;201612;0;0;02;0;12;0;0;0;G19;
043509510;DO THE RIGHT THING FOUNDATION TR;% BARRY E SCHWARTZ;ESCAZU SAN JOSE 10201;COSTA RICA;;00000-0000;0000;03;3;1000;200008;2;04;000000000;2;01;201512;4;1;00;1;12;195104;8732;;T20;
043575007;PENTECOSTAL MOVEMENT COUNCIL INC;% GENARO TORRES;PO BOX 6193;ST CROIX;VI;00823-6193;0000;03;3;7000;200510;1;10;000000000;1;01;;0;0;06;0;05;;;;X20;
043720924;GLOBAL EQUIP MINISTRIES;% PAUL PERRY;BELO HORIZONTE MG 30331-970;BRAZIL;;00000-0000;1894;03;9;7000;196709;1;10;029000000;5;01;;0;0;06;0;12;;;;;
043782105;YAD YITZCHOK;% NORMAN JOHNSON;BET SHEMESH;ISRAEL;;00000-0000;0000;03;3;1700;200402;1;04;000000000;1;01;201512;2;4;00;1;12;17546;123541;;T20;
060706038;BERMUDA INSTITUTE OF OCEAN SCIENCES BIOS INC;;ST GEORGES ST GEORGES GE01;BELGIUM;;00000-0000;0000;03;3;8000;194710;1;16;161180000;1;01;201512;8;8;01;0;12;38520071;24431720;18894399;U50Z;
061291614;NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION;% FACILITY REPRESENTATIVE;1 JOHN BREWERS BAY;ST THOMAS;VI;00802-6003;3254;05;9;3000;199002;0;00;263000000;0;01;201612;0;0;02;0;12;0;0;0;;NATCA LOCAL STT
061619174;FRIENDS OF THE BISHOP STRACHAN SCHOOL INC;% JAN GILLESPIE;TORONTO M4V 1X2;CANADA;;00000-0000;0000;03;3;1200;200110;4;15;000000000;1;01;201406;0;0;02;0;06;0;0;0;A12;
061659833;KAIZEN CENTER;% BALFOUR WRIGHT;SAN ANTONIO TEXAS 78266;ARMENIA;;00000-0000;0000;03;3;1200;201408;1;15;000000000;1;01;201612;0;0;02;0;12;0;0;0;A25;
061700976;SEED OF LIFE WORLD MINISTRIES;% HELEN SPENCER;CEB-KU ATTN AMC-ITT/FWD;APO;AE;09366-0000;0000;03;3;7000;200506;1;10;000000000;1;01;;0;0;06;0;12;;;;X20;
061807560;ORDER OF ST JOHN INC;;5030 ANCHOR WAY;CHRISTIANSTED;VI;00820-4692;0000;03;3;1000;201407;1;15;000000000;1;01;201612;2;2;02;0;12;16552;21400;17522;Z99;
066037010;AMERICAN ACADEMY OF INSURANCE MEDICINE;% AAIM;OTTAWA ONTARIO K2E 7J6;CANADA;;00000-0000;0000;06;3;1000;194406;2;00;205000000;5;01;201512;5;4;01;0;12;778963;444291;444291;;
066039988;WIEGAND MEMORIAL FOUNDATION INC;;MONTREAL QC H4A 2Z6;CANADA;;00000-0000;0000;03;3;1000;195711;4;04;161180059;1;01;201512;5;4;00;1;12;737431;362925;;;
112518719;LENNIE TRISTANO JAZZ FOUNDATION INC;% CAROL TRISTANO;ARCUEIL 94110;FRANCE;;00000-0000;0000;03;3;3000;198809;1;16;090000000;1;01;201612;0;0;02;0;12;0;0;0;;
112736613;FRIENDS OF TIFERETH HATORAH INC;% JOSEPH ORLANSKY;JERUSALEM;ISRAEL;;00000-0000;0000;03;3;1200;198511;1;15;602000000;1;01;201610;0;0;02;0;10;0;0;0;Q113;
112752851;GEMACH ZICHION YERMIAH;;BROOKLYN NY 11214;AFGHANISTAN;;00000-0000;0000;03;3;1000;198512;1;15;040000000;1;01;201606;0;0;02;0;06;0;0;0;;
113452714;FRIENDS OF YESHIVA CHOFETZ CHAIM KOLEL-ISRAEL;% GALITZER;JERUSALEM ISRAEL;ISRAEL;;00000-0000;0000;03;3;1200;199904;4;15;000000000;1;01;201512;3;3;01;0;12;94239;72755;72755;P20;
113514595;APAGA INC;% GAREN MKRTCHIN;LOCAL;CANADA;;00000-0000;0000;03;3;1000;200003;1;04;000000000;1;01;201609;1;1;00;1;09;1;1;;B82;
113741123;CREATIVE MEMORIES QUILT GUILD;% SUSAN LEMON;CALDWELL 77836;AFGHANISTAN;;00000-0000;0000;07;3;1000;200908;2;00;000000000;5;01;201612;0;0;02;0;12;0;0;0;N50;
113812528;ALPHA KAPPA ALPHA SORORITY INC;;WINDSOR ONTARIO N8S 2Y6;CANADA;;00000-0000;9321;07;9;1000;195210;2;00;000000000;5;01;201112;0;0;02;0;12;;;;;PSI DELTA OMEGA
