AT_STREET;ON_STREET;XSTREET;Geom;Geo Local Area
070;803;W 55TH AV AND MACDONALD ST;"{""type"": ""Point"", ""coordinates"": [-123.16830022807757, 49.22135011598763]}";Kerrisdale
054;790;W 49TH AV AND BALACLAVA ST;"{""type"": ""Point"", ""coordinates"": [-123.17591747979144, 49.22740307286524]}";Kerrisdale
081;790;W 49TH AV AND YEW ST;"{""type"": ""Point"", ""coordinates"": [-123.15880212518363, 49.22720417487744]}";Kerrisdale
079;794;VINE ST AND W 51ST AV;"{""type"": ""Point"", ""coordinates"": [-123.16015258021925, 49.22504359024529]}";Kerrisdale
081;794;W 51ST AV AND YEW ST;"{""type"": ""Point"", ""coordinates"": [-123.15895571008483, 49.22502658719802]}";Kerrisdale
131;616;GRANVILLE ST AND ROLSTON ST;"{""type"": ""Point"", ""coordinates"": [-123.13049246244279, 49.27435212545923]}";Downtown
313;834;RIVER DIST. CROSSING AND SAWMILL CRESCENT;"{""type"": ""Point"", ""coordinates"": [-123.03102819886475, 49.20590269322248]}";Killarney
313;837;E KENT AV NORTH AND RIVER DIST. CROSSING;"{""type"": ""Point"", ""coordinates"": [-123.03114019457675, 49.205330544351]}";Killarney
078;830;BALSAM ST AND SW MARINE DRIVE;"{""type"": ""Point"", ""coordinates"": [-123.16161279661871, 49.222528799509654]}";Kerrisdale
153;730;W 33RD AV AND LAUREL ST;"{""type"": ""Point"", ""coordinates"": [-123.12498816963148, 49.24132829063323]}";South Cambie
135;741;CARTIER ST AND W 38TH AV;"{""type"": ""Point"", ""coordinates"": [-123.13709868215058, 49.237038546561344]}";Shaughnessy
159;741;W 38TH AV AND WILLOW ST;"{""type"": ""Point"", ""coordinates"": [-123.12376694559255, 49.236600076323604]}";South Cambie
077;640;LARCH ST AND W 4TH AV;"{""type"": ""Point"", ""coordinates"": [-123.16224450226156, 49.268281011046206]}";Kitsilano
231;755;LANARK ST AND E 43RD AV;"{""type"": ""Point"", ""coordinates"": [-123.0757250377129, 49.23062119664217]}";Victoria-Fraserview
233;755;DUMFRIES ST AND E 43RD AV;"{""type"": ""Point"", ""coordinates"": [-123.07433454393487, 49.230604541018124]}";Victoria-Fraserview
211;755;CHESTER ST AND E 43RD AV;"{""type"": ""Point"", ""coordinates"": [-123.0892283372037, 49.230973578961205]}";Sunset
224;755;SHERBROOKE ST AND E 43RD AV;"{""type"": ""Point"", ""coordinates"": [-123.08125199495271, 49.23087098173911]}";Sunset
231;758;E 45TH AV AND LANARK ST;"{""type"": ""Point"", ""coordinates"": [-123.07578361452921, 49.22899259379793]}";Victoria-Fraserview
282;726;HORLEY ST AND MOSS ST;"{""type"": ""Point"", ""coordinates"": [-123.04576405139545, 49.239313408449064]}";Renfrew-Collingwood
282;770;KINGSWAY AND MOSS ST;"{""type"": ""Point"", ""coordinates"": [-123.04762508406348, 49.237074207771954]}";Renfrew-Collingwood
281;770;EARLES ST AND KINGSWAY;"{""type"": ""Point"", ""coordinates"": [-123.04884462165495, 49.237602592017225]}";Renfrew-Collingwood
278;736;WALES ST AND E 37TH AV;"{""type"": ""Point"", ""coordinates"": [-123.05175583923932, 49.23736701630946]}";Renfrew-Collingwood
254;733;GLADSTONE ST AND E 34TH AV;"{""type"": ""Point"", ""coordinates"": [-123.06206040321602, 49.238931214565106]}";Kensington-Cedar Cottage
253;730;E 33RD AV AND GLADSTONE ST;"{""type"": ""Point"", ""coordinates"": [-123.06287933090508, 49.23980119636899]}";Kensington-Cedar Cottage
307;714;PAYNE ST AND MONMOUTH AV;"{""type"": ""Point"", ""coordinates"": [-123.02830475144019, 49.240494458531174]}";Renfrew-Collingwood
303;716;MCHARDY ST AND QUEENS AV;"{""type"": ""Point"", ""coordinates"": [-123.0337842214633, 49.24039568456632]}";Renfrew-Collingwood
316;717;HOY ST AND VANNESS AV;"{""type"": ""Point"", ""coordinates"": [-123.0269148617266, 49.23640684844657]}";Renfrew-Collingwood
303;718;VANNESS AV AND MCHARDY ST;"{""type"": ""Point"", ""coordinates"": [-123.03468240719982, 49.23943082273515]}";Renfrew-Collingwood
303;719;CLIVE AV AND MCHARDY ST;"{""type"": ""Point"", ""coordinates"": [-123.03508972583451, 49.23900899378866]}";Renfrew-Collingwood
303;714;MONMOUTH AV AND MCHARDY ST;"{""type"": ""Point"", ""coordinates"": [-123.03218252437095, 49.24208036541867]}";Renfrew-Collingwood
314;809;WHITHORN COURT AND ARLINGTON ST;"{""type"": ""Point"", ""coordinates"": [-123.03005736888043, 49.2201071136203]}";Killarney
319;809;RADISSON ST AND HURST AV;"{""type"": ""Point"", ""coordinates"": [-123.02459253506873, 49.22015005443991]}";Killarney
300;810;KERR ST AND E 54TH AV;"{""type"": ""Point"", ""coordinates"": [-123.04129065700712, 49.220180221214896]}";Killarney
287;810;E 54TH AV AND RUPERT ST;"{""type"": ""Point"", ""coordinates"": [-123.04439022982943, 49.22018884054934]}";Killarney
288;810;LANCASTER ST AND E 54TH AV;"{""type"": ""Point"", ""coordinates"": [-123.04283076866439, 49.220184508884955]}";Killarney
279;801;E 53RD AV AND VIVIAN ST;"{""type"": ""Point"", ""coordinates"": [-123.0505121086483, 49.22107149648479]}";Victoria-Fraserview
279;799;VIVIAN ST AND E 52ND AV;"{""type"": ""Point"", ""coordinates"": [-123.0504702698533, 49.22188564069324]}";Victoria-Fraserview
284;798;KILLARNEY ST AND E 52ND AV;"{""type"": ""Point"", ""coordinates"": [-123.04584925118805, 49.22173700443376]}";Killarney
124;755;W 43RD AV AND ADERA ST;"{""type"": ""Point"", ""coordinates"": [-123.14338136413362, 49.23253175507663]}";Kerrisdale
147;750;MONTGOMERY ST AND W 41ST AV;"{""type"": ""Point"", ""coordinates"": [-123.13183927814039, 49.23408047235621]}";Shaughnessy
228;601;PARKER ST AND VERNON DRIVE;"{""type"": ""Point"", ""coordinates"": [-123.07861672248578, 49.27586773706915]}";Strathcona
308;765;E 47TH AV AND BROOKS ST;"{""type"": ""Point"", ""coordinates"": [-123.03510223416595, 49.226417714660116]}";Killarney
304;772;E 48TH AV AND MCKINNON ST;"{""type"": ""Point"", ""coordinates"": [-123.0387852981237, 49.225476918597934]}";Killarney
283;796;E 51ST AV AND RALEIGH ST;"{""type"": ""Point"", ""coordinates"": [-123.04732602756357, 49.22311534754187]}";Killarney
279;796;E 51ST AV AND VIVIAN ST;"{""type"": ""Point"", ""coordinates"": [-123.05042848413265, 49.222699299003374]}";Victoria-Fraserview
276;796;E 51ST AV AND WALES ST;"{""type"": ""Point"", ""coordinates"": [-123.05248955395675, 49.222745830894034]}";Victoria-Fraserview
302;761;KERR ST AND E 47TH AV;"{""type"": ""Point"", ""coordinates"": [-123.0408883492989, 49.22772255313386]}";Killarney
201;791;ST. GEORGE ST AND E 50TH AV;"{""type"": ""Point"", ""coordinates"": [-123.09410423682274, 49.224562771884024]}";Sunset
282;771;E 48TH AV AND RALEIGH ST;"{""type"": ""Point"", ""coordinates"": [-123.04771290815931, 49.22589415868823]}";Killarney
270;686;E 15TH AV AND NANAIMO ST;"{""type"": ""Point"", ""coordinates"": [-123.05661355216591, 49.25674980090375]}";Kensington-Cedar Cottage
267;685;GARDEN DRIVE AND E 15TH AV;"{""type"": ""Point"", ""coordinates"": [-123.05826282935834, 49.25676164624018]}";Kensington-Cedar Cottage
270;686;E 15TH AV AND NANAIMO ST;"{""type"": ""Point"", ""coordinates"": [-123.05661404493571, 49.256459704968506]}";Kensington-Cedar Cottage
270;691;E 17TH AV AND NANAIMO ST;"{""type"": ""Point"", ""coordinates"": [-123.05661627886417, 49.25509662272084]}";Kensington-Cedar Cottage
270;694;NANAIMO ST AND E 20TH AV;"{""type"": ""Point"", ""coordinates"": [-123.05662787785553, 49.25235806733993]}";Kensington-Cedar Cottage
270;700;NANAIMO ST AND E 22ND AV;"{""type"": ""Point"", ""coordinates"": [-123.05663419236893, 49.2506345614688]}";Kensington-Cedar Cottage
197;770;E 12TH AV AND KINGSWAY;"{""type"": ""Point"", ""coordinates"": [-123.09655846321846, 49.259850976382346]}";Mount Pleasant
163;633;LEG-IN-BOOT SQUARE AND MARKET HILL;"{""type"": ""Point"", ""coordinates"": [-123.11940195518031, 49.26736513668838]}";Fairview
157;638;SAWYER'S LANE AND GREENCHAIN;"{""type"": ""Point"", ""coordinates"": [-123.12277111415015, 49.26662825409553]}";Fairview
186;646;E 7TH AV AND QUEBEC ST;"{""type"": ""Point"", ""coordinates"": [-123.1028919603926, 49.26463849834874]}";Mount Pleasant
190;648;E 8TH AV AND MAIN ST;"{""type"": ""Point"", ""coordinates"": [-123.10092622496659, 49.26369810138118]}";Mount Pleasant
184;646;ONTARIO ST AND W 7TH AV;"{""type"": ""Point"", ""coordinates"": [-123.10482683549678, 49.264673009775045]}";Mount Pleasant
153;639;CHARLESON AND LAUREL ST;"{""type"": ""Point"", ""coordinates"": [-123.1240860422655, 49.266210065712116]}";Fairview
163;638;MARKET HILL AND MOBERLY ROAD;"{""type"": ""Point"", ""coordinates"": [-123.11942819523775, 49.26665308541815]}";Fairview
153;646;LAUREL ST AND W 7TH AV;"{""type"": ""Point"", ""coordinates"": [-123.1241262003323, 49.26511730323537]}";Fairview
312;684;DIEPPE DRIVE AND DIEPPE PLACE;"{""type"": ""Point"", ""coordinates"": [-123.02632527190954, 49.256213457330915]}";Renfrew-Collingwood
307;684;FALAISE AV AND DIEPPE DRIVE;"{""type"": ""Point"", ""coordinates"": [-123.02736058652627, 49.25689325503908]}";Renfrew-Collingwood
090;842;ANGUS DRIVE AND W 75TH AV;"{""type"": ""Point"", ""coordinates"": [-123.14923392572324, 49.20742715274131]}";Kerrisdale
090;830;SW MARINE DRIVE AND ANGUS DRIVE;"{""type"": ""Point"", ""coordinates"": [-123.14823951006238, 49.20901827963424]}";Marpole
121;829;W 69TH AV AND WILTSHIRE ST;"{""type"": ""Point"", ""coordinates"": [-123.14637208181337, 49.20956295139245]}";Marpole
285;668;NOOTKA ST AND HEBB AV;"{""type"": ""Point"", ""coordinates"": [-123.04015455862309, 49.25964224078058]}";Renfrew-Collingwood
300;650;RUPERT ST AND E BROADWAY;"{""type"": ""Point"", ""coordinates"": [-123.03375756434897, 49.261891343945166]}";Hastings-Sunrise
296;648;E 8TH AV AND WINDERMERE ST;"{""type"": ""Point"", ""coordinates"": [-123.03650431059056, 49.262925533137754]}";Hastings-Sunrise
282;650;NOOTKA ST AND E BROADWAY;"{""type"": ""Point"", ""coordinates"": [-123.04156791113189, 49.261912797201944]}";Hastings-Sunrise
226;601;PARKER ST AND GEORGE ST;"{""type"": ""Point"", ""coordinates"": [-123.07945296520346, 49.275879560446874]}";Strathcona
196;755;SOPHIA ST AND E 43RD AV;"{""type"": ""Point"", ""coordinates"": [-123.09867745709926, 49.23112455233241]}";Sunset
195;755;E 43RD AV AND SOPHIA ST;"{""type"": ""Point"", ""coordinates"": [-123.09945292855387, 49.23113836069202]}";Sunset
195;761;SOPHIA ST AND E 46TH AV;"{""type"": ""Point"", ""coordinates"": [-123.09945211551836, 49.228427298385164]}";Sunset
195;765;SOPHIA ST AND E 47TH AV;"{""type"": ""Point"", ""coordinates"": [-123.09945205353411, 49.22752051311684]}";Sunset
226;790;E 49TH AV AND INVERNESS ST;"{""type"": ""Point"", ""coordinates"": [-123.08005098874341, 49.225329048613744]}";Sunset
211;790;CHESTER ST AND E 49TH AV;"{""type"": ""Point"", ""coordinates"": [-123.08939470492473, 49.22545568546275]}";Sunset
212;790;PRINCE ALBERT ST AND E 49TH AV;"{""type"": ""Point"", ""coordinates"": [-123.08798410900727, 49.225439893342994]}";Sunset
214;790;ST. CATHERINES ST AND E 49TH AV;"{""type"": ""Point"", ""coordinates"": [-123.08663332828026, 49.22542558634045]}";Sunset
198;655;E 10TH AV AND GUELPH ST;"{""type"": ""Point"", ""coordinates"": [-123.09493858848619, 49.26156965731618]}";Mount Pleasant
198;650;E BROADWAY AND GUELPH ST;"{""type"": ""Point"", ""coordinates"": [-123.09492249142308, 49.26252126459748]}";Mount Pleasant
195;650;BRUNSWICK ST AND E BROADWAY;"{""type"": ""Point"", ""coordinates"": [-123.09702775705814, 49.26279120706152]}";Mount Pleasant
194;650;SCOTIA ST AND E BROADWAY;"{""type"": ""Point"", ""coordinates"": [-123.09895801681458, 49.26283780225406]}";Mount Pleasant
192;770;E BROADWAY AND KINGSWAY;"{""type"": ""Point"", ""coordinates"": [-123.09951399377529, 49.2628592640424]}";Mount Pleasant
191;650;WATSON ST AND E BROADWAY;"{""type"": ""Point"", ""coordinates"": [-123.10024361376585, 49.26288531310592]}";Mount Pleasant
193;770;KINGSWAY AND E 10TH AV;"{""type"": ""Point"", ""coordinates"": [-123.09863878819723, 49.261968427555416]}";Mount Pleasant
197;655;E 10TH AV AND PRINCE EDWARD ST;"{""type"": ""Point"", ""coordinates"": [-123.09609005461785, 49.26157824034206]}";Mount Pleasant
165;690;ASH ST AND W 16TH AV;"{""type"": ""Point"", ""coordinates"": [-123.11813033925766, 49.2569701232988]}";Fairview
165;691;W 17TH AV AND ASH ST;"{""type"": ""Point"", ""coordinates"": [-123.118167169302, 49.25606606626618]}";South Cambie
172;691;YUKON ST AND W 17TH AV;"{""type"": ""Point"", ""coordinates"": [-123.11253254172817, 49.25580678263595]}";Riley Park
170;693;CAMBIE ST AND W 18TH AV;"{""type"": ""Point"", ""coordinates"": [-123.11515613345091, 49.254899476289744]}";South Cambie
170;694;W 19TH AV AND CAMBIE ST;"{""type"": ""Point"", ""coordinates"": [-123.11519444493457, 49.25399517554524]}";South Cambie
172;697;YUKON ST AND W 20TH AV;"{""type"": ""Point"", ""coordinates"": [-123.11266274634053, 49.252900155997395]}";Riley Park
170;702;CAMBIE ST AND W 21ST AV;"{""type"": ""Point"", ""coordinates"": [-123.11527277105037, 49.25213488533229]}";South Cambie
168;706;W 23RD AV AND TUPPER ST;"{""type"": ""Point"", ""coordinates"": [-123.11619565892856, 49.25060643661152]}";South Cambie
170;707;CAMBIE ST AND W 23RD AV;"{""type"": ""Point"", ""coordinates"": [-123.11535912021056, 49.25009353951042]}";South Cambie
190;697;E 20TH AV AND MAIN ST;"{""type"": ""Point"", ""coordinates"": [-123.10092369505539, 49.252704539568995]}";Riley Park
187;697;QUEBEC ST AND E 20TH AV;"{""type"": ""Point"", ""coordinates"": [-123.10286676955951, 49.252737277577694]}";Riley Park
182;697;MANITOBA ST AND W 20TH AV;"{""type"": ""Point"", ""coordinates"": [-123.1072769818372, 49.25279872496812]}";Riley Park
173;646;ALBERTA ST AND W 7TH AV;"{""type"": ""Point"", ""coordinates"": [-123.1108907504399, 49.26478374700753]}";Mount Pleasant
173;641;W 3RD AV AND W 2ND AV;"{""type"": ""Point"", ""coordinates"": [-123.11122253725024, 49.26840895306823]}";Mount Pleasant
179;640;W 2ND AV AND COLUMBIA ST;"{""type"": ""Point"", ""coordinates"": [-123.10941867795283, 49.269295559989494]}";Mount Pleasant
172;640;W 2ND AV AND CROWE ST;"{""type"": ""Point"", ""coordinates"": [-123.1115105534789, 49.268267432852646]}";Mount Pleasant
171;642;W 4TH AV AND W 2ND AV;"{""type"": ""Point"", ""coordinates"": [-123.11299307797059, 49.26753904551204]}";Mount Pleasant
179;638;COLUMBIA ST AND W 1ST AV;"{""type"": ""Point"", ""coordinates"": [-123.10941085493423, 49.27027706926314]}";Mount Pleasant
172;638;W 1ST AV AND CROWE ST;"{""type"": ""Point"", ""coordinates"": [-123.11238183121476, 49.26902680889656]}";Mount Pleasant
170;646;CAMBIE ST AND W 7TH AV;"{""type"": ""Point"", ""coordinates"": [-123.1147566913882, 49.26496547110409]}";Fairview
159;646;W 7TH AV AND WILLOW ST;"{""type"": ""Point"", ""coordinates"": [-123.12175680492972, 49.26507922002684]}";Fairview
182;650;MANITOBA ST AND W BROADWAY;"{""type"": ""Point"", ""coordinates"": [-123.1068300103413, 49.26305141731784]}";Mount Pleasant
179;650;W BROADWAY AND COLUMBIA ST;"{""type"": ""Point"", ""coordinates"": [-123.10945311381363, 49.26311325093296]}";Mount Pleasant
171;650;YUKON ST AND W BROADWAY;"{""type"": ""Point"", ""coordinates"": [-123.11289971408726, 49.26318203109567]}";Mount Pleasant
191;635;MAIN ST AND INDUSTRIAL AV;"{""type"": ""Point"", ""coordinates"": [-123.10064136605199, 49.27047593644427]}";Mount Pleasant
