EIN;NAME;ICO;STREET;CITY;STATE;ZIP;GROUP;SUBSECTION;AFFILIATION;CLASSIFICATION;RULING;DEDUCTIBILITY;FOUNDATION;ACTIVITY;ORGANIZATION;STATUS;TAX_PERIOD;ASSET_CD;INCOME_CD;FILING_REQ_CD;PF_FILING_REQ_CD;ACCT_PD;ASSET_AMT;INCOME_AMT;REVENUE_AMT;NTEE_CD;SORT_NAME
010456167;CHRYSALIS PLACE;;GARDINER ME 04345;AKROTIRI;;00000-0000;0000;03;3;1000;199305;1;15;994408560;1;01;201612;0;0;02;0;12;0;0;0;;
010674605;IGLESIA FUENTE DE AGUA VIVA ORLANDO FL INC;% RODOLFO O FONT;PO BOX 3869;CAROLINA;PR;00984-3869;0000;03;3;7000;201611;1;10;000000000;1;01;;0;0;06;0;12;;;;X20;
010674736;US-JAPAN RELATIONSHIP FUND INC;% TATSUHIKO WAKAO;KAWASAKI KANAGAWA 216-0033;JAPAN;;00000-0000;0000;03;3;1200;200401;1;15;000000000;1;01;201612;1;1;02;0;12;5434;10;10;Q20;
010709908;HOGARES AMPARO INC;% CARMEN M CRUZ RIVERA;800 HIOODROMO ST STE 105;SAN JUAN;PR;00909-0000;0000;03;3;1000;200407;1;04;000000000;1;01;201506;2;2;00;1;06;20470;20509;;P43;
010728628;INTERSECTIONS INC;;PO BOX 1715;PAGO PAGO;AS;96799-1715;0000;03;3;1000;200211;1;15;000000000;1;01;201512;0;0;02;0;12;0;0;0;O50;
020533102;PATHSTONE CORPORATION;;1122 CALLE 5;SAN JUAN;PR;00927-5131;9113;03;9;1000;198209;1;15;994566560;1;01;;0;0;01;0;09;;;;;PARQUE PLATINO INC
020674899;ARIEL FOUNDATION INTERNATIONAL;% ROY MORRIS ESQ;GENEVA CH-1216;SWITZERLAND;;00000-0000;0000;03;3;1000;200406;2;15;000000000;1;01;201612;0;0;02;0;12;0;0;0;Q30;ARIEL KING
030387180;NEW LAKEWOOD SCOUT SPONSORS INC;% KAREN STEINFELD SECRETARY;ROCKVILLE MD 20850;AFGHANISTAN;;00000-0000;0000;03;3;1000;200402;1;16;000000000;1;01;201608;0;0;02;0;08;0;0;0;O114;
030457389;ALLIANCE FOR SAFE CHILDREN;% CARR RIGGS & INGRAM LLC;CAMBERWELL VICTORIA 3124;AUSTRALIA;;00000-0000;0000;03;3;1000;200209;1;16;000000000;1;01;201612;0;0;02;0;12;0;0;0;Q01;
030462376;BETHLEHEM INN;% IRVIN RIFKIN;SANTA ANA;EL SALVADOR;;00000-0000;0000;03;3;7100;200306;1;16;000000000;1;01;201612;0;0;02;0;12;0;0;0;X20;
030474336;THINK TANK ROMANIA INC;% C/O DAVID SOMLYO;BUCHAREST SECTOR 1 010667;ROMANIA;;00000-0000;0000;03;3;2000;200410;1;15;000000000;1;01;201703;0;0;02;0;03;0;0;0;Q70;
030517199;EAGLE WORLDWIDE MINISTRIES INC;% PAUL WETZEL;COPETOWN ONTARIO LOR 1 J0;CANADA;;00000-0000;0000;03;3;7000;200411;4;15;000000000;1;01;201512;3;4;01;0;12;28131;308565;308565;X20;
043216739;INTERNATIONAL STEPS FOUNDATION INC;;73134 HANIA CRETE;GREECE;;00000-0000;0000;03;3;1000;201702;1;15;123000000;1;01;;0;0;02;0;12;;;;A20;
043310091;RED KNIGHTS INTERNATIONAL MOTORCYCLE CLUB;% LEO PATRY;CHARLOTTETOWN PE C1E 2J6;CANADA;;00000-0000;0000;07;3;1000;199805;2;00;281000000;1;01;201612;4;4;01;0;12;237723;137273;137273;;
