PROJECT;STREET;LOCATION;COMP_DATE;URL_LINK;Geom
E 11th Ave from Commercial Dr to Victoria Dr;;E 11th Ave from Commercial Dr to Victoria Dr;2020-06-09;http://vanmapp1.vancouver.ca/roadahead/events/details/2c1bb8cb-0913-48b4-8bcb-b0349efc0fba;"{""type"": ""LineString"", ""coordinates"": [[-123.06980788707732, 49.26048814471005], [-123.06593477725981, 49.2604741409792]]}"
East side of Hornby St from north PL of 777 Hornby St to 40m south of north PL o;;East side of Hornby St from north PL of 777 Hornby St to 40m south of north PL o;2020-08-01;http://vanmapp1.vancouver.ca/roadahead/events/details/332fdbc2-1759-4ad3-b2ab-448c1a0dfc62;"{""type"": ""LineString"", ""coordinates"": [[-123.12099342680085, 49.28312749658241], [-123.12151036168872, 49.28275847532865]]}"
Both Sides of 6100-6200 Block of Tyne Street From North PL of 6240 to South PL o;;Both Sides of 6100-6200 Block of Tyne Street From North PL of 6240 to South PL o;2020-07-28;http://vanmapp1.vancouver.ca/roadahead/events/details/42132d2d-ae75-4415-aa4f-b7a39d87208f;"{""type"": ""LineString"", ""coordinates"": [[-123.03216129544124, 49.22733952824018], [-123.03216844788948, 49.22707327800106]]}"
Both sides of Hornby St from 50m north of Pacific St to Pacific St, west side of;;Both sides of Hornby St from 50m north of Pacific St to Pacific St, west side of;2020-07-30;http://vanmapp1.vancouver.ca/roadahead/events/details/514f32d2-ae27-4ead-b388-8eff5de4c87f;"{""type"": ""MultiLineString"", ""coordinates"": [[[-123.12842932546117, 49.27433917045491], [-123.12779900601525, 49.27393667450977]], [[-123.13071099115403, 49.275897789950136], [-123.13011643493155, 49.27550988968022]], [[-123.13036677422132, 49.27571988122102], [-123.12991973949464, 49.27600861812991]], [[-123.13074049545317, 49.27670624611957], [-123.1318267901042, 49.27597128661992]]]}"
Both Sides of 6900 Block of Lane East of Victoria Drive From South End of PL 699;;Both Sides of 6900 Block of Lane East of Victoria Drive From South End of PL 699;2020-07-31;http://vanmapp1.vancouver.ca/roadahead/events/details/70576a20-b771-45c8-a1e3-71ef011d89b2;"{""type"": ""MultiLineString"", ""coordinates"": [[[-123.06519716969888, 49.22098883553761], [-123.06522935620706, 49.220325457516395]], [[-123.06490033867703, 49.22078795437588], [-123.06520074608667, 49.22078795437588]]]}"
Various Locations;;Various Locations;2020-01-31;http://vanmapp1.vancouver.ca/roadahead/events/details/7a7104bd-fffc-4318-b59d-29426d6e25e2;"{""type"": ""MultiLineString"", ""coordinates"": [[[-123.06001987315537, 49.261348758665974], [-123.060049675405, 49.26115815537145]], [[-123.06016888473093, 49.26135264853457], [-123.05980529643419, 49.26135264853457]], [[-123.06199695882242, 49.262495864190925], [-123.06197907786554, 49.2622819265614], [-123.06199099850346, 49.26208354714328]], [[-123.06222345683638, 49.262258587784885], [-123.06169297535234, 49.26225469798774]], [[-123.03406072776853, 49.220127384055814], [-123.03384913137052, 49.22013322367738], [-123.03376866510007, 49.22011375814475], [-123.03342891840659, 49.22011375814475]], [[-123.0337656849406, 49.2201176512626], [-123.0337776055785, 49.22041741953228]], [[-123.0460052930721, 49.230269305263704], [-123.0460052930721, 49.22935071225896]], [[-123.05224325504243, 49.241371079466006], [-123.05184986416862, 49.24120374765985]], [[-123.0525472385125, 49.24149560517034], [-123.05224921536137, 49.241371079466006]], [[-123.0526724084848, 49.24137886235178], [-123.05245187144466, 49.2415967820138]]]}"
North Side of 2000-2100 Block of E 35th Avenue From West PL of 2083 to East PL o;;North Side of 2000-2100 Block of E 35th Avenue From West PL of 2083 to East PL o;2020-07-29;http://vanmapp1.vancouver.ca/roadahead/events/details/93123a65-d9b4-4a89-a33a-f00676f5a1d2;"{""type"": ""LineString"", ""coordinates"": [[-123.06466564534729, 49.23813429980959], [-123.063160031993, 49.23810511217107]]}"
Oak St from W. 64th Ave to W. 71st Ave;;Oak St from W. 64th Ave to W. 71st Ave;2020-06-29;https://vancouver.ca/streets-transportation/oak-street-water-main-upgrades.aspx;"{""type"": ""MultiLineString"", ""coordinates"": [[[-123.13009577084, 49.212988127486], [-123.13017074044, 49.21072925422601]], [[-123.13017074044, 49.21072925422601], [-123.13024569212, 49.20847130656301]], [[-123.13024569212, 49.20847130656301], [-123.13029861847, 49.20691428730899]]]}"
E Hastings from Carrall St to Columbia St;;E Hastings from Carrall St to Columbia St;2020-07-23;http://vanmapp1.vancouver.ca/roadahead/events/details/b0b7e876-9817-4886-b26f-e82ea6c38bdd;"{""type"": ""LineString"", ""coordinates"": [[-123.10452640056607, 49.2815102644596], [-123.10421526432033, 49.281419278917866], [-123.10391485691066, 49.281398282230555], [-123.10347497463223, 49.28138428443404], [-123.10301363468169, 49.28137728553429]]}"
1800-1900 blocks of Skeena St;;1800-1900 blocks of Skeena St;2020-12-13;http://vanmapp1.vancouver.ca/roadahead/events/details/b212ac7a-5af3-49b6-8bdc-3ac73c09be48;"{""type"": ""LineString"", ""coordinates"": [[-123.028678894043, 49.26844162172114], [-123.02851796150209, 49.26833661057029], [-123.02850723266603, 49.26670540865962]]}"
