EIN;NAME;ICO;STREET;CITY;STATE;ZIP;GROUP;SUBSECTION;AFFILIATION;CLASSIFICATION;RULING;DEDUCTIBILITY;FOUNDATION;ACTIVITY;ORGANIZATION;STATUS;TAX_PERIOD;ASSET_CD;INCOME_CD;FILING_REQ_CD;PF_FILING_REQ_CD;ACCT_PD;ASSET_AMT;INCOME_AMT;REVENUE_AMT;NTEE_CD;SORT_NAME
010674605;IGLESIA FUENTE DE AGUA VIVA ORLANDO FL INC;% RODOLFO O FONT;PO BOX 3869;CAROLINA;PR;00984-3869;0000;03;3;7000;201611;1;10;000000000;1;01;;0;0;06;0;12;;;;X20;
010709908;HOGARES AMPARO INC;% CARMEN M CRUZ RIVERA;800 HIOODROMO ST STE 105;SAN JUAN;PR;00909-0000;0000;03;3;1000;200407;1;04;000000000;1;01;201506;2;2;00;1;06;20470;20509;;P43;
020533102;PATHSTONE CORPORATION;;1122 CALLE 5;SAN JUAN;PR;00927-5131;9113;03;9;1000;198209;1;15;994566560;1;01;;0;0;01;0;09;;;;;PARQUE PLATINO INC
043700254;IGLESIA EVANGELICA MISIONERA FUERZA AGAPE;% ROBERT RANSOM;PO BOX 580;SAN ANTONIO;PR;00690-0580;2046;03;9;7000;196911;1;10;001000000;5;01;;0;0;06;0;12;;;;;
060602997;TITI MILLIE DAY CARE INC;;PO BOX 1347;GUANICA;PR;00653-1347;0000;03;3;1000;200206;1;15;000000000;1;01;201609;3;4;01;0;09;78906;293493;293493;P33;
113503195;SAAC CORP;% SIGFREDO AQUADO DE LA CRUZ;1357 AVE ASHFORD PMB 379;SAN JUAN;PR;00907-1400;0000;03;3;1000;200504;1;15;000000000;1;01;201612;1;0;02;0;12;1;0;0;L20;
133779420;SOCIEDAD ECONOMICA DE AMIGOS DEL PAIS INC;% C/O CORP;208 AVE PONCE DE LEON STE 1020;SAN JUAN;PR;00918-1040;0000;03;3;1000;199604;1;15;994120481;1;01;201412;3;4;01;0;12;86515;275000;275000;R40;
166077141;MYCOLOGICAL SOCIETY OF AMERICA THE;% SHARON A CANTRELL;PO BOX 3030;GURABO;PR;00778-3030;0000;03;3;8000;196504;1;16;161180000;5;01;201512;6;4;01;0;12;1533719;399595;399595;;
205107492;ISLAND DOG INCORPORATED;;PO BOX 1669;FAJARDO;PR;00738-1669;0000;03;3;1200;200704;1;15;000000000;1;01;201612;1;3;01;0;12;3203;91500;88800;D20;
223275938;PADMASAMBHAVA BUDDHIST CENTER OF PUERTO RICO;% NESTOR KUILAN;1453 ALFONSO AVE;ALTAMIRA RIO PIEDROS;PR;00921-0000;9243;03;9;7000;199209;1;10;001029123;5;01;;0;0;06;0;12;;;;;
223480547;IGLESIA PENTECOSTAL VIDA Y VERDAD DE LAS ASAMBLEAS DE DIOS;% BARBARA NIEVES;PO BOX 2877;GUAYAMA;PR;00785-2877;1678;03;9;7000;196408;1;10;001002029;5;01;;0;0;06;0;12;;;;;
237034732;FAMILIES PLANNING ASSOCIATION OF PUERTO RICO;;PO BOX 192379;SAN JUAN;PR;00919-2379;0000;03;3;1200;195709;1;15;602059000;5;01;201512;6;6;01;0;12;4155468;2849527;2849527;;
237043509;ZONTA INTERNATIONAL;% JOAN HERNANDEZ;1414 CALLE ALOA;PONCE;PR;00717-2503;1219;04;9;1300;196910;2;00;319000000;5;01;201605;0;0;02;0;05;0;0;0;;PONCE
237050819;ARNOLD AIR SOCIETY-SILVER WINGS;% UNIV OF PUERTO RICO MAYAGUEZ;BOX 5171 BAMBU STREET;MAYAGUEZ;PR;00681-0000;1224;04;9;3000;197001;2;00;059000000;5;01;201605;0;0;02;0;05;0;0;0;;756 AFROTC DET
237057588;TAU BETA PI ASSOCIATION INC;% LIONEL ORAMA-EXCLUSA;CALL BOX 9000;MAYAGUEZ;PR;00681-0000;0782;07;9;1000;197003;2;00;059319000;5;01;201505;0;0;02;0;05;0;0;0;;PUERTO RICO ALPHA CHAPTER
237060470;AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES;% ROSA C RODRIGUEZ;235 FEDERICO COSTA STREET;SAN JUAN;PR;00918-1341;0194;05;9;3000;194010;2;00;263264279;5;01;201512;0;0;02;0;12;0;0;0;;2837 AFGE-HUD LOCAL
237063049;NATIONAL TREASURY EMPLOYEES UNION CHAPTER 188;% HIRAM GONZALEZ;PO BOX 37297;SAN JUAN;PR;00937-0297;0000;05;3;3000;201607;2;00;263000000;5;01;201509;3;2;02;0;09;41806;16348;16348;;
