YEAR;CULTURAL_SPACE_NAME;WEBSITE;TYPE;PRIMARY_USE;ADDRESS;LOCAL_AREA;OWNERSHIP;SQUARE_FEET;NUMBER_OF_SEATS;ACTIVE_SPACE;Geom
2017;15th Field Artillery Regiment Museum and Archives;www.memorybc.ca/museum-of-15th-field-artillery-regiment;Museum/Gallery;Museum/Gallery;2025 W 11th Av, Vancouver, BC, V6J 2C7;Kitsilano;Privately Owned;;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.151123, 49.261938]}"
2017;221A Artist Run Centre;www.221a.ca/;Museum/Gallery;Museum/Gallery;221 E Georgia St, Vancouver, BC, V6A 1Z6;Strathcona;Privately Owned;9000;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.098796, 49.278786]}"
2017;Acme Studios;https://www.facebook.com/ACMEstudiobuilding;Studio/Rehearsal;Artist Studio;112 E Hastings St, Vancouver, BC, V6A 4J1;Downtown;Privately Owned;18000;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.101791, 49.281101]}"
2017;AHVA Gallery;http://gallery.ahva.ubc.ca/about/;Museum/Gallery;Museum/Gallery;6398 University Blvd, Vancouver, BC,;UBC;Other;1990;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.2549451, 49.2639124]}"
2017;Al Mozaico Flamenco Dance Academy;http://www.mozaicoflamenco.com/;Educational;Educational Institution;828 E Hastings St, Vancouver, BC, V6A 1R6;Strathcona;Privately Owned;;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.0864434, 49.2810234]}"
2017;Anza Club (Australia-New Zealand Association);http://www.anzaclub.org;Theatre/Performance;Performance Space;3 W 8th Av, Vancouver, BC, V5Y 1M8;Mount Pleasant;Non-Profit;2885;135;Yes;"{""type"": ""Point"", ""coordinates"": [-123.105108, 49.263974]}"
2017;Art Beatus;www.artbeatus.com;Museum/Gallery;Museum/Gallery;808 Nelson St, Vancouver, BC, V6Z 2H2;Downtown;Privately Owned;3700;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.1249139, 49.2800409]}"
2017;Arts Factory;http://www.artsfactorysociety.ca/;Studio/Rehearsal;Artist Studio;281 Industrial, Vancouver, BC, V5A 2P2;Strathcona;City of Vancouver;21000;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.098517, 49.270111]}"
2017;Artspeak Gallery;www.artspeak.ca/;Museum/Gallery;Museum/Gallery;233 Carrall St, Vancouver, BC, V6B 2J2;Downtown;Non-Profit;990;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.104299, 49.282941]}"
2017;BAF Studio;http://www.burrardarts.org/about.html;Studio/Rehearsal;Artist Studio;108 E Broadway Av, Vancouver, BC, V5T 1V9;Mount Pleasant;Privately Owned;1200;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.102565, 49.2626666]}"
2017;Britannia Community Services Centre Society;www.britanniacentre.org;Community Space;Community Centre/Hall;1661 Napier St, Vancouver, BC, V5L 4X4;Grandview-Woodland;City of Vancouver;;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.0737717, 49.2756486]}"
2017;Canadian Music Centre (BC Region);http://www.musiccentre.ca/regions/british-columbia?field_event_region_value_many_to_one=3;Museum/Gallery;Library/Archives;837 Davie St, Vancouver, BC, V6Z 1B7;Downtown;Privately Owned;2680;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.127484, 49.278055]}"
2017;CBC Studio 700;http://www.cbc.ca/bc/communityspaces/studio700.html#igImgId_11630;Theatre/Performance;Performance Space;700 Hamilton St, Vancouver, BC, V6B 2R5;Downtown;Government;2784;140;Yes;"{""type"": ""Point"", ""coordinates"": [-123.114496, 49.279079]}"
2017;Centre Culturel Francophone de Vancouver;www.lecentreculturel.com;Community Space;Community Centre/Hall;1551 W 7th Av, Vancouver, BC, V6J 1S1;Fairview;Privately Owned;2637;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.1399958, 49.2653925]}"
2017;Christianne's Lyceum;http://www.christiannehayward.com/;Educational;Educational Institution;3696 W 8th Av, Vancouver, BC, V6R 1Z1;Kitsilano;Privately Owned;;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.1857634, 49.2652165]}"
2017;City of Vancouver Artist Studio;https://vancouver.ca/people-programs/artist-live-work-studio-program.aspx;Studio/Rehearsal;Artist Studio with Residence;485 W 8th Av, Vancouver, BC, V5Y 3Z5;Mount Pleasant;Privately Owned;1100;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.1138, 49.2641907]}"
2017;City of Vancouver Artist Studio;https://vancouver.ca/people-programs/artist-live-work-studio-program.aspx;Studio/Rehearsal;Artist Studio with Residence;272 E 4th Av, Vancouver, BC, V5T 4S2;Mount Pleasant;City of Vancouver;1500;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.0990734, 49.2670319]}"
2017;City of Vancouver Artist Studio;https://vancouver.ca/people-programs/artist-live-work-studio-program.aspx;Studio/Rehearsal;Artist Studio with Residence;1202 E Pender St, Vancouver, BC, V6A 1W8;Strathcona;City of Vancouver;1446;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.0789337, 49.2802238]}"
2017;Coal Harbour Community Centre;http://vancouver.ca/parks-recreation-culture/coal-harbour-community-centre.aspx;Community Space;Community Centre/Hall;480 Broughton St, Vancouver, BC, V6G 3H4;Downtown;Vancouver Park Board/COV;;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.125885091572, 49.2901651976341]}"
2017;Core Live/Work Studios;www.chf.bc.ca;Studio/Rehearsal;Artist Studio with Residence;275 Alexander St, Vancouver, BC, V6A 1C2;Strathcona;City of Vancouver;4500;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.0985607, 49.2841198]}"
2017;Croatian Cultural Centre;www.croatiancentre.com;Community Space;Community Centre/Hall;3250 Commercial Dr, Vancouver, BC, V5N 4E4;Kensington-Cedar Cottage;Non-Profit;16543;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.06845, 49.255421]}"
2017;Douglas Park Community Centre;https://vancouver.ca/parks-recreation-culture/douglas-park-community-centre.aspx;Community Space;Community Centre/Hall;801 W 22nd Av, Vancouver, BC, V5Z 1Z8;South Cambie;Vancouver Park Board/COV;;;Yes;"{""type"": ""Point"", ""coordinates"": [-123.121277422182, 49.2529172469768]}"
